GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "27000","Minnesota",4,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",137440520,139602760,141336072,143567920,144716085,146471641,147901037,151924789,155899397,158773213,161823637,163840805,166507608,167081596,165870984,167318412,168210592,169445332,170706580,172840540,174638840,177326812,179982240,180865644,185315368,187407604,189317892,195116868,191484076,193457164,196971832,198537612,202347120,204859260,205614540,208274444,213337516,217544084,217718540,220377004,225019216,228671192,227787768,223187800,216036404,216511172,215516140,218365932,219196884,223868036,228072180,233956568,238935948,242034556,243920128,244870508,252734696,256227272,255948348,264368412,256214872,258265920,261261692,262413128,266608080,272179196,277066568,279988464,283199792,285435276,288443044,290196788,289631036,291648216,296146752,298149436,303737280,304002116,304708492,310732196,316248964,321074840,324795696,328790796,331292154,335539282
 "27000","Minnesota",4,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5300850,5307310,5316011,5325396,5332945,5341013,5350106,5358395,5365344,5372479,5382202,5392573,5400241,5408693,5418980,5429367,5437776,5446585,5456410,5465274,5471499,5478408,5488348,5499351,5508445,5518017,5529751,5541902,5552140,5562346,5574144,5585454,5595193,5605441,5617232,5628592,5638152,5648180
 "27000","Minnesota",4,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41351,42181,42903,43932,44804,45316,45592,45698,47105,47693,47555,49025,47445,47750,48212,48332,49029,49972,50778,51230,51759,52102,52556,52769,52579,52854,53555,53799,54706,54654,54665,55632,56522,57279,57821,58414,58759,59407
 "27000","Minnesota",4,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",107698524,109240168,110720140,113133580,114498173,116162773,117118181,120630941,123705053,125649993,128149997,129891257,131945056,131817544,131019228,131935548,133339448,134220232,135721068,137231860,137892112,140525400,142870236,143298252,147355188,149406360,151442284,155746680,152765392,153350900,157102632,156659988,158569660,159613708,159188196,160982728,164879736,167647928,166916860,169257784,172831556,171017972,173338292,170501088,162174824,161935096,161785704,165270140,163972432,167853260,171136688,175769256,177153252,180094848,181178840,180308256,187299380,189140976,190249408,194035792,193028184,195127564,196599976,196286616,198759620,201415296,204262524,206063916,208801772,209420464,211898744,213891168,212299612,212816148,217213524,218471180,222724480,222449276,221781884,226020548,228904048,232009344,234522412,237033116,238786983,241054827
 "27000","Minnesota",4,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",12457232,12612784,12762332,13013676,13293200,13480136,13561716,13942908,14253412,14370380,14656544,14818824,15119380,15053960,14918124,15045876,15213104,15335132,15476936,15610200,15770428,16051504,16292348,16286780,16622480,16806188,17071160,17540288,17439732,17539164,18023300,18015712,18445380,18617884,18523036,18668512,19164644,19397036,19264716,19494096,19879040,19709764,20162696,19983988,19253744,19303684,19167788,19351408,19264060,19465040,19602444,19990148,18118304,18377452,18430516,18345808,18745144,18903264,19057160,19534484,22043068,22360600,22587608,22667920,22822168,22958140,23254736,23419616,23801740,23845988,23988048,24141744,24289504,24356988,24844128,25069700,25599856,25560620,25506508,26017500,26421072,26747536,27055968,27096540,27456276,27787023
 "27000","Minnesota",4,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",6352348,6437372,6515572,6655292,6820144,6924448,6966196,7157392,7296512,7356932,7496936,7582940,7749288,7727784,7664892,7734980,7850464,7905092,7972652,8027476,8055464,8178824,8298740,8291996,8466384,8564964,8693808,8932676,8888612,8924276,9160028,9149832,9436340,9535088,9497372,9566232,9870300,10013468,9948520,10068176,10320192,10230784,10479232,10381592,10033788,10050228,9987976,10082836,9986372,10077676,10143492,10342760,8222384,8336796,8347668,8331404,8450752,8531296,8606136,8787220,11284100,11437340,11572676,11633856,11864212,11939104,12097404,12183572,12449004,12473904,12548908,12637116,12811880,12839400,13090636,13194148,13529932,13501564,13456168,13719252,14091044,14269052,14425904,14450688,14665380,14835724
 "27000","Minnesota",4,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",6104884,6175412,6246760,6358384,6473056,6555688,6595520,6785516,6956900,7013448,7159608,7235884,7370092,7326176,7253232,7310896,7362640,7430040,7504284,7582724,7714964,7872680,7993608,7994784,8156096,8241224,8377352,8607612,8551120,8614888,8863272,8865880,9009040,9082796,9025664,9102280,9294344,9383568,9316196,9425920,9558848,9478980,9683464,9602396,9219956,9253456,9179812,9268572,9277688,9387364,9458952,9647388,9895920,10040656,10082848,10014404,10294392,10371968,10451024,10747264,10758968,10923260,11014932,11034064,10957956,11019036,11157332,11236044,11352736,11372084,11439140,11504628,11477624,11517588,11753492,11875552,12069924,12059056,12050340,12298248,12330028,12478484,12630064,12645852,12790896,12951299
 "27000","Minnesota",4,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-826484,-840356,-848160,-873860,-929852,-941268,-945532,-988144,-988124,-1018500,-1054564,-1085848,-1116536,-1091316,-1058620,-1069104,-1104696,-1100492,-1118548,-1123940,-1152800,-1183260,-1206756,-1177048,-1228344,-1233636,-1248112,-1322816,-1311944,-1300016,-1351016,-1319044,-1287664,-1283444,-1264036,-1268200,-1365744,-1422088,-1389204,-1395184,-1461116,-1401656,-1449160,-1374872,-1173592,-1151740,-1111380,-1155524,-1065176,-1079944,-1103524,-1175340,-1177988,-1206096,-1130688,-1057096,-961808,-904080,-912228,-933580,-899304,-887900,-888712,-883408,-931932,-906372,-931016,-912892,-910732,-991440,-1054736,-1121132,-1146596,-1179892,-1249768,-1283856,-1287756,-1228768,-1209564,-1290596,-1266080,-1300520,-1327956,-1316116,-1278890,-1302850
 "27000","Minnesota",4,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",94414808,95787028,97109648,99246044,100275121,101741369,102610933,105699889,108463517,110261113,112438889,113986585,115709140,115672268,115042484,115820568,117021648,117784608,119125584,120497720,120968884,123290636,125371132,125834424,129504364,131366536,133123012,136883576,134013716,134511720,137728316,137325232,138836616,139712380,139401124,141046016,144349348,146828804,146262940,148368504,151491400,149906552,151726436,149142228,141747488,141479672,141506536,144763208,143643196,147308276,150430720,154603768,157856960,160511300,161617636,160905352,167592428,169333632,170280020,173567728,170085812,171879064,173123656,172735288,175005520,177550784,180076772,181731408,184089300,184583036,186855960,188628292,186863512,187279268,191119628,192117624,195836868,195659888,195065812,198712452,201216896,203961288,206138488,208620460,210051817,211964954
 "27000","Minnesota",4,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",28003216,28677040,29011848,28874208,28649124,28902072,29227280,29957588,30905756,31504036,32063188,32200900,32301204,32189220,31843064,31311764,30784120,30789184,30590356,31131032,32152620,32208996,32527688,32925260,32926936,33179576,33151572,34988284,33899880,34793140,35000676,36729912,37821320,38931196,39392584,39740452,40351244,41931472,42227368,42344568,43134244,42687268,42958888,41779444,39665536,38429416,37383348,36722528,37161064,37749944,38364180,39725120,41519132,42359824,43039728,44590864,46233768,47370932,46342700,51133736,45714240,46222584,47295860,48031000,49708940,51761492,53161268,53942848,54455780,56234840,56986360,56693864,57352984,57996292,58592356,59256116,60602204,61107440,61458172,63435496,65174664,66488900,67620676,68419172,67650977,68987997
