GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "30000","Montana",7,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",18870422,19028606,19304650,19525218,19439166,19471138,19408678,20049738,20324901,20752137,20949837,21460905,21566084,21735760,21766548,21945168,21976652,22192308,22463796,22806796,23360940,23833248,24149544,24580008,25403340,25859340,26004336,26604724,27289540,27707208,28131600,28874104,29737764,30202956,30640120,31028376,32056652,32639676,32886176,33283764,34016896,35033824,34507968,34126748,33740540,33716776,33660500,33728052,34799744,35344484,35757684,36345408,37463212,37780640,38245120,38822024,39984588,40237744,40201380,41460400,40372616,40697616,40829932,40982928,41800344,42698592,43156556,43614652,44443492,44815592,45192548,44872524,44944352,45161664,45600092,46325600,47049408,47560392,47810340,48451376,49699428,50260592,50632396,51406364,51660765,52406269
 "30000","Montana",7,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),988640,990055,991698,993469,994882,996368,998155,999932,1001413,1002913,1005185,1007863,1010000,1012289,1014735,1017028,1018908,1020839,1023188,1025573,1027425,1029402,1031956,1034705,1037088,1039524,1042549,1045812,1048701,1051532,1054374,1056795,1058918,1061098,1063607,1066059,1068157,1070300
 "30000","Montana",7,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35200,35700,36057,36584,37656,37918,38316,38825,39928,40121,39994,41137,39973,40204,40237,40297,41025,41827,42179,42527,43257,43536,43793,43367,43337,43445,43739,44296,44864,45230,45345,45847,46934,47367,47604,48221,48364,48964
 "30000","Montana",7,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",12822662,12864606,13153526,13443378,13460034,13513366,13389290,13915182,14012885,14216397,14180201,14615841,14640004,14730616,14902816,15017816,15132312,15344652,15688068,15884140,16115700,16602700,16751128,17016660,17709768,18040932,18185552,18499304,19211688,19370496,19775572,20144460,20526256,20714700,21026728,21321740,22053876,22254352,22324300,22597544,22976492,22938696,23045024,22989952,22632680,22370296,22605816,22694764,23344164,23651828,23885648,24114052,24719336,24895364,25269956,25573704,26312776,26230000,26390524,26912124,27044248,27317596,27247688,27291152,27682228,28030516,28120280,28341660,29042256,29035264,29249632,28887760,28928644,28866968,29054944,29484264,29819584,30128548,30156768,30334416,31158132,31503392,31775760,32503744,32529640,32927675
 "30000","Montana",7,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1623700,1624620,1655616,1666392,1687796,1690276,1667632,1723820,1770144,1785668,1787084,1827444,1873444,1892460,1920940,1944064,1973152,2008216,2043460,2051984,2067436,2119272,2134532,2163088,2202884,2246016,2274652,2304016,2411412,2421952,2468984,2515772,2598860,2625144,2671776,2723048,2809364,2851176,2865092,2905272,2935924,2924032,2933340,2927220,2869656,2875536,2898712,2859760,2950508,2945952,2939572,2936936,2763884,2775272,2799432,2815392,2873816,2855008,2849604,2904772,3298672,3336648,3336228,3374868,3454852,3463892,3492572,3530676,3595168,3603808,3608816,3538276,3550356,3517460,3536400,3625588,3743504,3822748,3862380,3896708,3972496,4016232,4062184,4128396,4190574,4236522
 "30000","Montana",7,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",807684,808872,825508,834448,848440,850480,838292,864268,880888,888208,888412,912236,942804,956584,971648,979376,989964,1000764,1014448,1016732,1019532,1045596,1054744,1072688,1094624,1118120,1133764,1149028,1204888,1209648,1230640,1250040,1297152,1308508,1329572,1351724,1396904,1418384,1425092,1444460,1466356,1463112,1469020,1468172,1446144,1448856,1462492,1443836,1484520,1480544,1477416,1478096,1220548,1230644,1244524,1260300,1283468,1277268,1278340,1296148,1679312,1695372,1694496,1712208,1760312,1765440,1776460,1792072,1829116,1837828,1853056,1839028,1891420,1890344,1900848,1933164,1974712,1993372,1998812,2009408,2076448,2102240,2126844,2163112,2199130,2222528
 "30000","Montana",7,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",816016,815748,830108,831944,839356,839796,829340,859552,889256,897460,898672,915208,930640,935876,949292,964688,983188,1007452,1029012,1035252,1047904,1073676,1079788,1090400,1108260,1127896,1140888,1154988,1206524,1212304,1238344,1265732,1301708,1316636,1342204,1371324,1412460,1432792,1440000,1460812,1469568,1460920,1464320,1459048,1423512,1426680,1436220,1415924,1465988,1465408,1462156,1458840,1543336,1544628,1554908,1555092,1590348,1577740,1571264,1608624,1619360,1641276,1641732,1662660,1694540,1698452,1716112,1738604,1766052,1765980,1755760,1699248,1658936,1627116,1635552,1692424,1768792,1829376,1863568,1887300,1896048,1913992,1935340,1965284,1991444,2013994
 "30000","Montana",7,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",17172,17852,17920,18324,20096,20624,22128,22452,25524,25268,26372,26804,27500,28220,27800,27920,26580,26260,25892,26464,23876,23396,24280,24436,22684,23104,23788,23804,18900,19648,20192,20528,13472,14768,14812,15440,16224,16708,16848,17960,25752,26736,27984,28156,37692,37036,36380,37200,69912,73268,75964,78020,169612,174516,183220,191524,340708,359228,362960,370528,431248,442264,453728,460868,525456,542216,555240,567096,450308,430256,420000,411712,274720,270648,271520,269876,308004,315012,311908,315276,371768,378484,382620,383700,395375,400330
 "30000","Montana",7,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",11216134,11257838,11515830,11795310,11792334,11843714,11743786,12213814,12268265,12455997,12419489,12815201,12794060,12866376,13009676,13101672,13185740,13362696,13670500,13858620,14072140,14506824,14640876,14878008,15529568,15818020,15934688,16219092,16819176,16968192,17326780,17649216,17940868,18104324,18369764,18614132,19260736,19419884,19476056,19710232,20066320,20041400,20139668,20090888,19800716,19531796,19743484,19872204,20463568,20779144,21022040,21255136,22125064,22294608,22653744,22949836,23779668,23734220,23903880,24377880,24176824,24423212,24365188,24377152,24752832,25108840,25182948,25378080,25897396,25861712,26060816,25761196,25653008,25620156,25790064,26128552,26384084,26620812,26606296,26752984,27557404,27865644,28096196,28759048,28734441,29091483
 "30000","Montana",7,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",4607596,4702624,4736500,4688448,4628764,4631548,4639308,4752800,4846352,4941132,5073012,5110488,5172580,5178120,5140348,5068280,5003272,5016380,4992680,5117620,5344288,5379952,5507424,5671324,5729328,5803484,5795228,6069268,6027432,6206132,6231472,6607624,6965044,7204796,7314152,7430132,7638060,8026488,8137212,8209884,8444988,8384276,8461048,8195680,7779988,7590896,7398708,7267804,7400996,7517444,7645992,7926724,8293316,8492096,8629264,8913212,9143124,9305772,9090820,9802592,8878868,8920732,9072652,9189504,9492080,9864908,10153492,10364444,10575984,10903456,11018204,10912732,10895604,10934240,11015244,11160216,11469212,11644876,11753088,12103532,12393876,12625372,12824136,12968712,12839025,13065793
