GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "37000","North Carolina",5,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",193534464,196804408,200644180,204117664,205286281,206751785,209878757,213161969,217197555,221729223,224879447,226453403,228048052,229833892,227830372,229807532,229869992,232454456,232862796,233881880,236842344,238749508,242974908,247936556,253329532,259067108,264269496,269894484,275513772,278899468,282207516,287514344,300713152,303736472,307306512,312556052,326335272,328882200,329665020,333155252,346356520,356336872,350100904,350598728,329792436,338668368,341304512,343497536,337460616,341579336,342383428,345087028,351621672,353964036,356054440,358568920,374016736,379135880,379531364,387017172,374111540,374544384,376059196,379380308,389165904,395238360,401291364,406288064,413126648,418474516,423289324,424675604,428566352,430325424,434248768,439641792,447331756,450781820,454818904,462143624,470398576,476648236,480916176,487483240,494441414,501168605
 "37000","North Carolina",5,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),9522691,9554881,9586099,9608235,9627239,9646277,9669490,9693874,9715962,9737562,9762835,9788581,9809701,9831456,9856044,9880561,9901622,9922635,9948243,9975213,9997626,10020591,10049915,10082399,10111413,10140920,10172421,10202873,10229753,10256289,10286156,10315511,10341956,10369047,10399331,10429252,10455611,10482446
 "37000","North Carolina",5,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35438,35749,35717,35916,36524,36694,36822,36989,38495,38935,38875,39538,38137,38097,38155,38397,39303,39832,40338,40730,41322,41761,42119,42120,42384,42435,42689,43090,43729,43952,44217,44801,45484,45968,46245,46742,47290,47810
 "37000","North Carolina",5,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",145979708,148436940,152178544,155906588,157137537,158251213,160931129,163476433,166490159,169776611,172358523,173221607,173847172,174907460,173614900,174083808,174113156,176416764,177134504,177163152,179248936,181108148,184336300,188814156,191708500,195948580,200824616,203442232,208328900,209379776,212846912,215520840,226266452,227645376,229687104,234683228,245584840,244772784,244188644,246812596,257962164,256410184,256878448,258771040,235938844,241595624,245779972,249357964,241128576,244567692,244300016,245051824,246169068,246929736,248349324,248409560,263946468,266245616,268224696,269871896,265630140,266264816,266497940,268648636,277343864,277980376,281905920,285314236,290293372,292289220,295586124,297475288,300138280,300747924,304650260,309221148,313732136,316076360,318563296,323202372,327796652,332309176,333930848,340203256,345241108,349377358
 "37000","North Carolina",5,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",16713708,16982868,17384924,17744876,18028040,18167536,18457964,18687300,19072692,19294240,19621648,19722652,20127100,20243736,20018612,20010712,20149916,20377860,20458176,20490596,20875736,21152988,21524976,21951800,21858772,22202876,22746084,23042312,23577700,23797664,24201496,24510236,25302352,25499280,25816096,26467440,27286284,27371172,27482456,27930728,28167580,28242296,28387704,28316464,27228456,27555600,27628396,27558204,27835092,27874560,27721632,27819840,25763888,25905828,26042328,25994008,26680236,26753028,27094496,27297436,31054992,31206148,31302016,31667944,32652340,32586796,33021648,33483796,34118824,34385508,34741020,34960220,35204632,35263532,35695640,36259012,36708640,36889036,37039492,37336444,37812124,38102600,38209116,38754692,39599601,40054418
 "37000","North Carolina",5,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",8674160,8813968,9022416,9202216,9369904,9442340,9594056,9718512,9916452,10036180,10187368,10215756,10393072,10458772,10363976,10396372,10566076,10702568,10728304,10687376,10743500,10814272,10984976,11231396,11233316,11459600,11759464,11909088,12188292,12273344,12457396,12610472,13128392,13248964,13419544,13747664,14237080,14275312,14321296,14530648,14681104,14718288,14782476,14736048,14204140,14369548,14434872,14434880,14572604,14612132,14544076,14591128,11883380,11944984,12000432,12025016,12260588,12317484,12484700,12528824,16221100,16273632,16313296,16464448,17021932,16975408,17185580,17381308,17766808,17890900,18096580,18264236,18608528,18703488,18992372,19356284,19758184,19912364,20041112,20240032,20791616,20998428,21092684,21418384,21913633,22159856
 "37000","North Carolina",5,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",8039548,8168900,8362508,8542660,8658136,8725196,8863908,8968788,9156240,9258060,9434280,9506896,9734028,9784964,9654636,9614340,9583840,9675292,9729872,9803220,10132236,10338716,10540000,10720404,10625456,10743276,10986620,11133224,11389408,11524320,11744100,11899764,12173960,12250316,12396552,12719776,13049204,13095860,13161160,13400080,13486476,13524008,13605228,13580416,13024316,13186052,13193524,13123324,13262488,13262428,13177556,13228712,13880508,13960844,14041896,13968992,14419648,14435544,14609796,14768612,14833892,14932516,14988720,15203496,15630408,15611388,15836068,16102488,16352016,16494608,16644440,16695984,16596104,16560044,16703268,16902728,16950456,16976672,16998380,17096412,17020508,17104172,17116432,17336308,17685968,17894562
 "37000","North Carolina",5,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-718796,-723644,-746360,-762448,-787564,-801344,-818364,-820140,-906936,-912960,-935944,-927544,-937696,-944508,-921472,-917672,-906688,-912744,-900668,-877244,-739224,-735664,-754056,-793080,-716672,-742564,-778436,-788936,-831836,-810796,-823032,-838168,-964100,-986840,-1019432,-1068816,-1250100,-1233584,-1219604,-1257284,-1276192,-1276680,-1278168,-1254888,-1012424,-1039752,-1069500,-1062100,-984728,-963960,-943152,-954112,-908652,-892280,-869608,-892732,-916344,-924360,-978220,-936104,-859016,-839872,-833272,-857168,-940540,-882228,-927840,-925980,-1140056,-1110824,-1109776,-1140848,-1273556,-1258352,-1300324,-1328592,-1188100,-1191860,-1193564,-1231256,-1399964,-1485744,-1469704,-1547236,-1537905,-1561055
 "37000","North Carolina",5,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",128547204,130730428,134047260,137399264,138321933,139282333,141654801,143968993,146510531,149569411,151800931,152571411,152782376,153719216,152674816,153155424,153056552,155126160,155775660,155795312,157633976,159219496,162057268,166069276,169133056,173003140,177300096,179610984,183919364,184771316,187822384,190172436,200000000,201159256,202851576,207146972,217048456,216168028,215486584,217624584,228518392,226891208,227212576,229199688,207697964,213000272,217082076,220737660,212308756,215729172,215635232,216277872,219496528,220131628,221437388,221522820,236349888,238568228,240151980,241638356,233716132,234218796,234362652,236123524,243750984,244511352,247956432,250904460,255034492,256792888,259735328,261374220,263660092,264226040,267654296,271633544,275835396,277995464,280330240,284634672,288584564,292720832,294252028,299901328,304103602,307761885
 "37000","North Carolina",5,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",38803220,39769928,40200976,39903420,39409860,39678616,39947912,40567208,41625740,42255268,42749908,43071488,42778368,42607228,42181380,41606096,41092700,41192280,40742372,41233920,41896344,41660912,42226124,43185712,44055412,45147020,45642348,48200064,47914180,49449596,49470640,52093364,53125848,54541996,55096304,55755792,57553424,60762024,61710136,62310412,63561116,63261192,64219396,62728784,59233860,58025248,56432288,55061000,54931968,55353120,55870044,57827528,60393412,61539476,62135972,64040772,65275964,66393228,64899968,70515788,64436784,65265768,66730556,67681484,69659020,72259072,74201640,75505364,76500276,79211788,80284316,79713380,80191988,80765776,81370876,82191372,84020372,84708208,85223096,87807412,90044304,91745588,93220452,94226904,93253527,95005323
