GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "38000","North Dakota",4,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",14841731,15001031,15182131,15396047,14970529,15140177,15349769,15854693,16324721,16555345,16881397,16894257,16861468,17000552,17037864,16954092,17117908,17151544,17406996,17714948,18363396,18692544,19072188,19326964,18919468,19209084,19160180,19648800,19894740,20329268,20533256,20769492,20986084,21297476,21360068,21801892,23069936,23372316,23725728,24578212,26287116,27015156,26679352,26239228,25907140,26172316,26489396,26876328,28196044,28974656,29652936,30554896,31636892,32229856,33268332,34393588,37042664,38390500,39038224,40967756,38007672,38818192,39412824,39203776,40349568,41655760,41835552,42263884,41267580,40541560,40317048,40276240,39388328,39478012,39872608,39749852,39644268,39957372,39558204,39938608,41166964,41823968,42245436,43354596,43413678,43409759
 "38000","North Dakota",4,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),671405,673647,676129,678823,681275,683799,687212,691283,695182,699099,703873,709241,714242,719335,723984,727973,731680,735431,739599,743924,747860,751915,754164,754345,754264,754267,754538,754866,754963,755037,755845,757144,758237,759415,760820,762233,763332,764479
 "38000","North Dakota",4,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41996,43012,43857,45012,46438,47134,48411,49753,53285,54914,55462,57763,53214,53964,54439,53853,55146,56641,56565,56812,55181,53918,53459,53392,52221,52340,52844,52658,52512,52921,52336,52749,54293,55074,55526,56878,56874,56783
 "38000","North Dakota",4,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",11072427,11178159,11347055,11582543,11258845,11458997,11620033,11879129,12449321,12521813,12691245,12738101,12715180,12879340,12988124,12843740,12994792,12995824,13294000,13585676,14210136,14576876,14989220,15234152,14858364,15119744,15092020,15373056,15667344,15996172,16214712,16334532,16427688,16664664,16633296,17059040,18076748,18181388,18422336,19199736,20327604,20317796,20513200,20390908,19857412,20136856,20740572,21150668,21994028,22658128,23161544,23907904,24618152,25158788,26234584,27131868,29853800,31012620,31797556,32773728,31146432,31887948,32351732,32047380,33008140,34161528,34243336,34720864,33813476,32581624,32169240,32074996,31019168,30978828,31370868,31186464,31410692,31808756,31198252,31274448,32329960,32767208,32945576,33877428,33949642,33792560
 "38000","North Dakota",4,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1433672,1436344,1440356,1443788,1451664,1472396,1476976,1512788,1552724,1540200,1563056,1543424,1579820,1588760,1592400,1604376,1616684,1642248,1656692,1676188,1705528,1719788,1758268,1765760,1810628,1834512,1848872,1864200,1894240,1911140,1924872,1945584,1981644,2016304,2003216,2041280,2075368,2098024,2117148,2163460,2193940,2218984,2287016,2347100,2367156,2416860,2462964,2432676,2451324,2482116,2506828,2574364,2499116,2579880,2680612,2740460,2803284,2851364,2833200,2887092,3325992,3442196,3541600,3597436,3719660,3823480,3914872,4007868,3986784,3854272,3799564,3749504,3687848,3666892,3713656,3732132,3799148,3890044,3834212,3833808,3876996,3901120,3910488,3915212,4030185,4076952
 "38000","North Dakota",4,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",670376,672916,676960,682756,691284,703784,704492,718872,730924,724628,739272,738092,769060,782848,788208,791840,793320,800504,805652,816416,831352,840104,860640,865772,887832,899140,907372,917060,937040,948192,956840,969860,996972,1019964,1019636,1045672,1076844,1098568,1116188,1147060,1174600,1187608,1213012,1226916,1214176,1221024,1238644,1232492,1257692,1283392,1298032,1322676,1108836,1135756,1176904,1214892,1254532,1289940,1285704,1297248,1688912,1731448,1765556,1776512,1815388,1868480,1911244,1953064,1948696,1879864,1856056,1840288,1839728,1834068,1852540,1848988,1869196,1898328,1866268,1869752,1933068,1959376,1972872,1981000,2042351,2064693
 "38000","North Dakota",4,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",763296,763428,763396,761032,760380,768612,772484,793916,821800,815572,823784,805332,810760,805912,804192,812536,823364,841744,851040,859772,874176,879684,897628,899988,922796,935372,941500,947140,957200,962948,968032,975724,984672,996340,983580,995608,998524,999456,1000960,1016400,1019340,1031376,1074004,1120184,1152980,1195836,1224320,1200184,1193632,1198724,1208796,1251688,1390280,1444124,1503708,1525568,1548752,1561424,1547496,1589844,1637080,1710748,1776044,1820924,1904272,1955000,2003628,2054804,2038088,1974408,1943508,1909216,1848120,1832824,1861116,1883144,1929952,1991716,1967944,1964056,1943928,1941744,1937616,1934212,1987834,2012259
 "38000","North Dakota",4,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-344220,-343464,-344232,-344064,-361884,-370092,-371052,-378696,-407552,-399824,-407808,-400376,-416212,-429272,-438916,-444420,-435216,-445548,-449744,-457544,-458396,-459844,-475468,-483812,-508972,-521144,-527336,-529208,-555192,-566684,-569416,-588752,-612748,-634948,-635644,-655144,-679752,-690388,-708652,-735560,-733684,-753092,-770612,-789796,-778752,-790696,-819308,-822984,-921060,-960644,-982692,-1003356,-1232980,-1269956,-1348344,-1434900,-1800096,-1907124,-1930120,-1967968,-2207264,-2268332,-2326208,-2365812,-2521612,-2609068,-2673780,-2735292,-2536596,-2410424,-2344368,-2282412,-2002952,-1969612,-1973156,-1968028,-2058372,-2115400,-2087844,-2099056,-2229240,-2272356,-2294724,-2308480,-2381865,-2410383
 "38000","North Dakota",4,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",9294535,9398351,9562467,9794691,9445297,9616509,9772005,9987645,10489045,10581789,10720381,10794301,10719148,10861308,10956808,10794944,10942892,10908028,11187564,11451944,12046212,12397244,12755484,12984580,12538764,12764088,12715812,12979648,13217912,13518348,13720424,13800196,13833296,14013412,13994436,14362616,15321628,15392976,15596536,16300716,17399980,17345720,17455572,17254012,16711504,16929300,17458300,17895008,18621644,19215368,19672024,20330184,20886056,21308952,22205628,22956508,25250420,26254132,27034236,27918668,25613176,26177420,26483924,26084132,26766868,27728980,27654684,27977704,27290096,26316928,26025308,26043080,25328368,25342324,25684056,25486304,25553172,25803312,25276196,25341584,26223724,26593732,26740364,27653736,27537592,27305225
 "38000","North Dakota",4,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",3363608,3406044,3407272,3356808,3261488,3246604,3257228,3511440,3434176,3511460,3661472,3574252,3641104,3601132,3578568,3553308,3526836,3553624,3518876,3547660,3566184,3517452,3513552,3523796,3483124,3496892,3494400,3674860,3608284,3698600,3695868,3839184,3905056,3985604,4024028,4071296,4257996,4473668,4560280,4633660,5176032,5177316,5245036,5096332,5145744,4959184,4810980,4735720,5111164,5255864,5383168,5615964,6099748,6272288,6435188,6765964,7159168,7441760,7311316,8301904,7579024,7781260,8057688,8239880,8541192,8796244,8952436,9005748,8622404,8802560,8838960,8736332,8486784,8510548,8552088,8632676,8433616,8509100,8580952,8830424,9051424,9216760,9359572,9447088,9366977,9525346
 "38000","North Dakota",4,SQINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",2183588,2196636,2212392,2244548,2263744,2277064,2320536,2355608,2401500,2462096,2499544,2525704,2501216,2538112,2502488,2605840,2648180,2689892,2700556,2715344,2751000,2777848,2803152,2818588,2897580,2948104,2949968,2994292,3068544,3112320,3116964,3130112,3247732,3298460,3341604,3367980,3490312,3505672,3568912,3643836,3711104,4492120,3978744,3888884,4049892,4283832,4220116,4245600,4463236,4503424,4597744,4608748,4651088,4648616,4627516,4671116,4633076,4694608,4692672,4747184,4815472,4859512,4871212,4879764,5041508,5130536,5228432,5280432,5355080,5422072,5452780,5496828,5573176,5625140,5636464,5630872,5657480,5644960,5701056,5766600,5891816,6013476,6145500,6253772,6509109,6579188
 "38000","North Dakota",4,SQINC5N,50,"..."," Wages and salaries","Thousands of dollars",7562252,7599692,7654264,7727568,7799576,7944840,7968040,8161612,8357732,8281684,8432860,8366116,8642708,8758668,8819608,8908888,8934220,9083080,9160296,9260604,9343064,9429664,9673128,9787128,10005184,10215620,10364080,10488112,10584284,10715308,10842052,11019904,11255824,11507740,11496404,11775504,12011336,12217628,12397500,12770204,13075992,13240512,13540664,13687584,13378832,13499772,13767288,13844316,14107820,14618664,14933000,15307116,16016208,16482088,17284808,18080400,19285264,20198436,20393780,20824064,21031704,21516220,21961480,22274732,23036304,23754572,24321636,24856556,24636616,23599688,23034840,22491340,21832872,21510152,21631272,21642304,21829960,22337248,22106148,22290780,22768376,23138032,23365680,23477240,24071639,24373071
 "38000","North Dakota",4,SQINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",1661068,1665424,1668184,1666996,1664828,1691376,1712352,1767164,1829608,1845976,1890744,1893048,1967184,2006608,2036572,2062292,2077828,2115292,2145680,2196164,2245508,2270384,2323912,2332800,2394796,2420260,2435284,2470988,2517588,2552284,2581040,2638232,2688608,2764064,2771892,2822584,2832452,2873988,2914680,2967904,2998572,3030832,3098344,3159372,3225760,3286052,3367876,3374032,3481476,3538628,3582684,3639956,3812232,3873760,3957576,4048936,4108324,4192408,4198864,4258172,4371768,4532544,4688724,4786556,4978048,5085592,5184628,5272220,5262524,5153096,5159612,5188716,5223116,5250232,5320404,5333904,5327368,5404060,5338452,5366168,5432148,5524988,5568488,5590664,5678000,5737244
 "38000","North Dakota",4,SQINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",897772,901996,904788,905964,904448,922764,939868,973248,1007808,1030404,1066960,1087716,1156424,1200696,1232380,1249756,1254464,1273548,1294640,1336392,1371332,1390700,1426284,1432812,1472000,1484888,1493784,1523848,1560388,1589336,1613008,1662508,1703936,1767724,1788312,1826976,1833928,1874532,1913720,1951504,1979232,1999456,2024340,2039188,2072780,2090216,2143556,2173848,2287844,2339904,2373888,2388268,2421952,2429636,2453868,2523368,2559572,2630984,2651368,2668328,2734688,2821796,2912680,2965632,3073776,3130592,3181000,3217416,3224436,3178688,3216104,3279500,3374996,3417408,3459288,3450760,3397416,3412344,3370508,3402112,3488220,3583244,3630872,3656452,3690166,3724985
