GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "31000","Nebraska",4,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",43643617,44617429,45340449,45841573,45746117,46472861,47063233,48593137,48822022,49549174,50201450,50369642,51530272,52043096,51835860,52438352,51865220,52411404,53013336,53780828,55215844,55896544,56266512,56718656,57652336,58334788,58687708,59734748,59647436,60563472,61039968,61909632,62649356,63730360,63392376,64564564,66812860,68046832,68799192,70205400,71525992,73894268,72535608,71083756,70865240,70900572,70926116,72001984,72789596,74673684,75488136,76505260,82399948,83154880,84015736,84883972,85475712,86554988,85229772,87914348,87004904,87091452,87135328,86423944,89626032,92117360,92333212,93919556,94445420,95596504,96657088,96050700,94372472,94475720,94795948,95278980,95898380,96974708,97170500,98560552,101707104,102119060,102474368,104736736,104316542,105250132
 "31000","Nebraska",4,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1824279,1827895,1831216,1834229,1836579,1839077,1842349,1845784,1848705,1851675,1855203,1858621,1861086,1863777,1867381,1871259,1874420,1877704,1881375,1884771,1887256,1889948,1893565,1897468,1900675,1904044,1907641,1910892,1913492,1916057,1919237,1922362,1924941,1927703,1931025,1934293,1936853,1939531
 "31000","Nebraska",4,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39900,40852,41223,41710,44866,45216,45603,45988,46235,46744,45941,47301,46750,46728,46662,46185,47815,49059,49078,49831,50044,50582,51045,50620,49652,49618,49693,49861,50117,50612,50630,51271,52836,52974,53067,54147,53859,54266
 "31000","Nebraska",4,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",32727569,33510501,34153005,34657353,34694045,35408721,35838017,36941501,37042442,37385966,37732774,37990078,38878412,39450296,39466272,39988508,39451496,39939228,40625740,41186064,42284692,43072028,43352316,43777236,44753184,45358612,45771720,46185160,46153172,46744952,47199280,47678460,47858972,48599780,47847964,49013544,50584028,51173084,51610820,52748000,53281828,53915108,53789408,53017500,53028824,52872072,53520352,54808672,54762832,56498172,56913032,57498808,62391672,62961968,63511604,63637652,63794252,64315076,63312056,64885980,66322880,66537208,66480652,65679340,68328816,69990976,69663536,71040008,71274320,71799940,72585724,72016956,70106580,70017384,70265232,70751640,71046580,72167688,72128212,72811356,75024348,75042108,74968844,76963796,76312132,76780368
 "31000","Nebraska",4,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",3755460,3846740,3906964,3913688,3984724,4037728,4057500,4164428,4221444,4217812,4254132,4274000,4348112,4413528,4410096,4477192,4512084,4566888,4597400,4619564,4688068,4733476,4748228,4798064,4866396,4930508,5007776,5022516,5104916,5157804,5241316,5378200,5520364,5641588,5570632,5734324,5740920,5825980,5860848,5960056,5935352,6051692,6117580,6070420,6037604,6016748,6055148,6112148,6200192,6317484,6292180,6264208,5716652,5756140,5731800,5726344,5856112,5875744,5882980,5979652,6732440,6723708,6792488,6794288,7042116,7067240,7076012,7206504,7298752,7390804,7418176,7430432,7479244,7527176,7600080,7728624,7842340,7964604,8005952,8082288,8196460,8254052,8266720,8289276,8460625,8554370
 "31000","Nebraska",4,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1956280,2001852,2029680,2036140,2070140,2097604,2108240,2166248,2193484,2193040,2208676,2216352,2253820,2286180,2281380,2310736,2331876,2355588,2370440,2379764,2412672,2437008,2447448,2478160,2514352,2552540,2594420,2600752,2649952,2674656,2710952,2775516,2855144,2914680,2875340,2962468,2991188,3049624,3072064,3125516,3110072,3174340,3217140,3195160,3201324,3189152,3202744,3218968,3230248,3274172,3254060,3244980,2622200,2655744,2654064,2670188,2721288,2737124,2748804,2789552,3576288,3576348,3617588,3608112,3746808,3757856,3755224,3819004,3882548,3925444,3940252,3946456,3999836,4027192,4063392,4130188,4214036,4277916,4299868,4338476,4449860,4482876,4486300,4501148,4603195,4655180
 "31000","Nebraska",4,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1799180,1844888,1877284,1877548,1914584,1940124,1949260,1998180,2027960,2024772,2045456,2057648,2094292,2127348,2128716,2166456,2180208,2211300,2226960,2239800,2275396,2296468,2300780,2319904,2352044,2377968,2413356,2421764,2454964,2483148,2530364,2602684,2665220,2726908,2695292,2771856,2749732,2776356,2788784,2834540,2825280,2877352,2900440,2875260,2836280,2827596,2852404,2893180,2969944,3043312,3038120,3019228,3094452,3100396,3077736,3056156,3134824,3138620,3134176,3190100,3156152,3147360,3174900,3186176,3295308,3309384,3320788,3387500,3416204,3465360,3477924,3483976,3479408,3499984,3536688,3598436,3628304,3686688,3706084,3743812,3746600,3771176,3780420,3788128,3857430,3899190
 "31000","Nebraska",4,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-689668,-717404,-723336,-726936,-777488,-792900,-799792,-828540,-862168,-861004,-868872,-878200,-855988,-875548,-870636,-896812,-883088,-898220,-909384,-918844,-925368,-939244,-937724,-949072,-924540,-940912,-956400,-954216,-926828,-932328,-937368,-967384,-846652,-864020,-837020,-877348,-915396,-940528,-955460,-977936,-952784,-986524,-999384,-979220,-963768,-951388,-953816,-958504,-890960,-908924,-896432,-896460,-949960,-970976,-960608,-971288,-982000,-986964,-997300,-1027776,-971984,-963768,-974732,-965032,-931704,-931884,-924784,-957460,-987868,-1015168,-1018708,-1014056,-1043428,-1056844,-1062644,-1096164,-1177752,-1211440,-1227820,-1241156,-1158228,-1167372,-1166348,-1176888,-1199339,-1217911
 "31000","Nebraska",4,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",28282441,28946357,29522705,30016729,29931833,30578093,30980725,31948533,31958830,32307150,32609770,32837878,33674312,34161220,34185540,34614504,34056324,34474120,35118956,35647656,36671256,37399308,37666364,38030100,38962248,39487192,39807544,40208428,40121428,40654820,41020596,41332876,41491956,42094172,41440312,42401872,43927712,44406576,44794512,45810008,46393692,46876892,46672444,45967860,46027452,45903936,46511388,47738020,47671680,49271764,49724420,50338140,55725060,56234852,56819196,56940020,56956140,57452368,56431776,57878552,58618456,58849732,58713432,57920020,60354996,61991852,61662740,62876044,62987700,63393968,64148840,63572468,61583908,61433364,61602508,61926852,62026488,62991644,62894440,63487912,65669660,65620684,65535776,67497632,66652168,67008087
 "31000","Nebraska",4,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",9978064,10191132,10276040,10185752,10053868,10107084,10225268,10744328,10914204,11159372,11429572,11284884,11290448,11148596,11016228,10876288,10755584,10808216,10732244,10893720,11152128,11078092,11116852,11168572,10997552,11049456,11048572,11609884,11364124,11678104,11719432,12196928,12440432,12723560,12885152,13126524,13572524,14290516,14578532,14800336,15349424,15266100,15350264,14836004,14161236,13718304,13325528,13095380,13413144,13614576,13782344,14167072,14620596,14863384,15115392,15766044,16455212,16907740,16615512,17742296,16012336,15927348,16068200,16210604,16706908,17241668,17647716,17917008,18099480,18685800,18915436,18810504,18926048,19023392,19083612,19155724,19397116,19406324,19506560,20082432,20643328,21051424,21394576,21593128,21413287,21762779
