GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "39000","Ohio",3,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",294260429,297488157,300289497,304898513,304637576,306735760,309419512,316002028,322256637,324458753,328160861,328335821,334004580,334813812,333917692,335398200,334990172,338843772,341329044,343418104,345850552,347649716,349372140,355563004,354807692,360769908,364857780,371229676,366559932,371640664,374897932,380663556,386680168,391282384,394346284,396317656,406944344,407815984,408989756,410224908,417763664,430213628,421488112,416182828,408841500,410232220,408508204,411010192,412594220,419198172,425921548,430470984,444043864,447652076,454210748,458137700,462012072,468411812,467296644,479322512,471124420,475315524,476962932,479702292,486250144,492919328,499710664,505397008,508259344,514069992,517679992,520544488,519349216,521945988,524533464,530346260,537724016,540433188,545455116,552950484,561706016,566213132,573251748,577736040,585030326,591482447
 "39000","Ohio",3,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),11536929,11537891,11541719,11544455,11543183,11542558,11545447,11548084,11547886,11547597,11554166,11563660,11567369,11572444,11581243,11590032,11594582,11599530,11607130,11613410,11614027,11615743,11621658,11627801,11629791,11632482,11640339,11649797,11655168,11660208,11668725,11676379,11680655,11685721,11694211,11702051,11705897,11710351
 "39000","Ohio",3,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35763,36332,36903,37288,38468,38783,39341,39672,40008,40564,40444,41451,40729,41073,41184,41389,41938,42495,43052,43518,43763,44256,44544,44767,44657,44870,45062,45524,46136,46349,46745,47356,48089,48453,49020,49370,49977,50509
 "39000","Ohio",3,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",222930841,225291225,227979985,233760921,234391988,236444180,238311812,243805648,249237153,248873201,251218669,250501981,255452044,255500584,256061844,255699532,256366512,259106892,262057236,262629292,264396608,266451932,267765128,274157756,272889080,278618356,282834836,286083892,281556920,284196676,287630152,290244704,294246560,296793904,298223232,299247396,307745600,305220012,304080172,304349988,310039212,310028456,309412340,306151376,297635788,294941052,295448364,298597388,297268996,303900792,308775892,311317328,317711824,320046916,326720460,326793680,331910956,335695160,336294368,342219460,345726256,349008048,348764256,350090552,353472864,355928148,359743756,364115864,365670552,368393596,370650280,374733104,372601332,373190880,376009052,380625500,385173456,389368768,392798432,395823588,401493180,403596276,409450928,411705896,418097965,421755362
 "39000","Ohio",3,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",25064328,25290944,25594644,26282788,26464184,26640940,26704532,27059388,27287692,26952012,27077724,26979400,27778392,27769596,27709580,27580536,27547972,27713904,27914768,27904352,28377948,28663076,28851456,29625348,29777516,30445724,30945656,31170032,31067652,31213816,31556092,31816140,32470284,32789940,32898208,32961036,33788216,33488600,33426740,33649812,34265456,34490940,34707896,34600544,33611724,33483912,33362196,33342556,33217488,33609016,33848568,33950232,31390536,31534992,32143604,32096716,32754904,32934136,32737540,32956212,36937840,36974324,36795468,36898112,37669304,37729208,38142348,38652572,38769812,39222608,39492924,40088868,40317584,40672004,41165828,41868208,42781084,43307848,43661736,43836124,44299228,44247840,44677780,44725548,45837589,46265206
 "39000","Ohio",3,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",12229728,12333500,12470416,12779800,12906316,13013360,13084816,13349344,13596384,13507660,13598704,13511132,13795172,13770880,13777184,13779532,13942500,14091900,14222416,14177228,14280240,14314756,14314032,14604332,14581952,14851196,15081292,15252772,15321164,15473632,15652440,15780184,16179220,16350960,16425892,16454728,16996684,16870272,16848748,16919112,17262672,17334772,17371364,17235252,16734036,16598532,16551580,16597400,16580900,16826144,17008632,17100604,13865152,13974460,14262080,14304592,14505016,14634120,14624444,14754608,19006480,19137388,19135320,19243356,19850968,19897336,20113044,20375208,20553676,20775916,20866396,21099004,21292996,21363428,21543288,21844936,22375124,22630856,22818072,22919220,23502772,23533136,23808184,23852112,24478997,24698152
 "39000","Ohio",3,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",12834600,12957444,13124228,13502988,13557868,13627580,13619716,13710044,13691308,13444352,13479020,13468268,13983220,13998716,13932396,13801004,13605472,13622004,13692352,13727124,14097708,14348320,14537424,15021016,15195564,15594528,15864364,15917260,15746488,15740184,15903652,16035956,16291064,16438980,16472316,16506308,16791532,16618328,16577992,16730700,17002784,17156168,17336532,17365292,16877688,16885380,16810616,16745156,16636588,16782872,16839936,16849628,17525384,17560532,17881524,17792124,18249888,18300016,18113096,18201604,17931360,17836936,17660148,17654756,17818336,17831872,18029304,18277364,18216136,18446692,18626528,18989864,19024588,19308576,19622540,20023272,20405960,20676992,20843664,20916904,20796456,20714704,20869596,20873436,21358592,21567054
 "39000","Ohio",3,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1789708,-1791076,-1810448,-1886048,-1783340,-1775876,-1775664,-1819464,-1789284,-1740396,-1756704,-1707884,-1762492,-1742080,-1726532,-1715624,-1725600,-1749520,-1793704,-1763024,-1765000,-1770536,-1742128,-1805816,-1656188,-1710564,-1724732,-1773332,-1722592,-1711560,-1735644,-1755880,-1872508,-1896948,-1907132,-1865076,-2082288,-1980336,-1943508,-1890396,-2038296,-1990488,-1974744,-1855336,-1897904,-1826084,-1825416,-1798364,-1751608,-1779588,-1797300,-1852452,-1928892,-1886724,-1944152,-1930128,-1815896,-1855868,-1885552,-1995992,-2238596,-2307536,-2336752,-2379556,-2526352,-2505644,-2570844,-2616432,-2579612,-2602484,-2615716,-2673132,-2667468,-2650916,-2639108,-2689664,-2390488,-2457212,-2466688,-2452348,-1932308,-1908108,-1955812,-1947004,-2047780,-2077683
 "39000","Ohio",3,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",196076805,198209205,200574893,205592085,206144464,208027364,209831616,214926796,220160177,220180793,222384241,221814697,225911160,225988908,226625732,226403372,227092940,229643468,232348764,232961916,234253660,236018320,237171544,242726592,241455376,246462068,250164448,253140528,248766676,251271300,254338416,256672684,259903768,262107016,263417892,264421284,271875096,269751076,268709924,268809780,273735460,273547028,272729700,269695496,262126160,259631056,260260752,263456468,262299900,268512188,273130024,275514644,284392396,286625200,292632704,292766836,297340156,300905156,301671276,307267256,306549820,309726188,309632036,310812884,313277208,315693296,319030564,322846860,324321128,326568504,328541640,331971104,329616280,329867960,332204116,336067628,340001884,343603708,346670008,349535116,355261644,357440328,362817336,365033344,370212596,373412473
 "39000","Ohio",3,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",56323628,57182036,57414184,56833868,55445568,55562964,55897820,56874036,57305676,58317324,58990536,58990264,58979956,58311852,57545392,56739636,55005260,55455348,55031032,55760608,55984884,55417812,55508968,55834436,55208372,55601372,55594224,58301360,56273752,57744432,58145708,60851824,61899708,63752872,64669584,65459380,66234808,69023444,69657208,69923076,70843008,70158852,70688852,68709272,64671460,63051280,61369800,60316856,59810800,60792124,61452104,63903056,66609108,67865856,68842504,71810896,73886948,75591988,74409120,80861980,72319224,72616428,73778564,74690364,77150028,79950776,81846088,82880864,83464524,85783488,86667780,86091760,86751984,87461404,88197816,89111140,91030264,91784160,92405516,95170296,97627128,99463600,101025984,102089856,101090447,102843378
