GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "41000","Oregon",8,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",86059064,86974492,87712964,88748112,89102339,90005327,91188131,93422427,95839159,97507323,99143907,99327995,101022740,100927604,100476752,100366536,100873688,101812356,102025008,103106236,103692272,104525744,106188272,107864568,109095096,111327188,112125536,113464448,114875944,116146364,117881524,120750500,125695316,127260364,128983648,130642324,131706116,133438024,134616032,136318200,137936000,142497604,140203792,138146104,134750652,135714180,134994372,135069580,137507396,137745236,138990476,140229064,144970096,145825400,146410104,148523028,152685752,154030932,153855524,157061864,154627456,156315528,157803856,159161372,163144544,167007244,170374764,173108488,177369076,180339852,183796980,184460892,188153852,189308600,190477528,193023828,196722960,199509088,200913984,205170780,209167792,211509896,214598712,217004144,220179441,223524798
 "41000","Oregon",8,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3827861,3834239,3842497,3851651,3859361,3867319,3875671,3883053,3889305,3895622,3902923,3909763,3914543,3919760,3928573,3939669,3949204,3958913,3971550,3985658,3997740,4010233,4026842,4046148,4063922,4081962,4098945,4113524,4126605,4139599,4152644,4164131,4174396,4184984,4196802,4208359,4218555,4229032
 "41000","Oregon",8,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35923,35925,36172,36408,37563,37707,37777,38249,39258,39539,39421,40172,39501,39879,40168,40400,41311,42185,42899,43433,44367,44970,45643,45589,46299,46377,46470,46924,47672,48195,48382,49271,50107,50540,51134,51565,52193,52855
 "41000","Oregon",8,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",65998816,66560868,67170204,68271660,68899047,69726751,70676115,72761791,74967867,76085247,77525323,77326299,78440064,77993972,77897128,77276748,78028704,78763544,79020244,79767136,80232092,80836328,82040684,83918792,84813424,86960620,87724500,87818100,89887592,90427648,92148600,93613892,97429848,97687288,99049260,100813292,101141236,101784400,102537076,103672652,103827816,103818852,103365484,101884644,98030056,97466404,97365320,97668312,99102384,99082804,99949780,100056564,102967736,103080252,103583816,104760728,108916184,109789860,110265816,110603260,112242400,113570532,114173852,115090824,116972072,118823424,120567528,122411256,126026144,126883472,129970156,130624020,134362100,134643068,135305988,137482576,139866468,142777812,143452140,146325384,148573376,149559928,151457920,153097888,155764632,157723448
 "41000","Oregon",8,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",8296768,8338236,8369988,8458576,8575288,8637008,8724044,8967440,9291528,9379572,9542836,9454984,9597164,9465100,9395208,9339652,9492188,9615524,9627088,9685268,9744632,9800432,9936280,10174608,10371144,10635656,10745060,10716168,11087788,11099944,11256580,11389240,11883660,11918156,12084444,12281360,12406300,12476996,12583272,12728604,12760888,12755252,12752104,12597760,12258612,12203720,12167880,12184300,12579180,12545216,12581560,12499524,11637484,11525240,11517564,11597464,12007728,12089096,12146768,12204152,13918344,14141780,14276180,14469420,14774372,14934216,15116864,15346656,15666524,15749940,16075988,16092960,16477028,16512200,16628740,17015400,17417076,17885112,17978528,18245396,18426144,18405632,18534624,18683408,19144442,19370663
 "41000","Oregon",8,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3888716,3912736,3934032,3987832,4066168,4099924,4133672,4232224,4347980,4380080,4455900,4432152,4538060,4506772,4491776,4466644,4543756,4591220,4591304,4618440,4630512,4648472,4706684,4810352,4884796,5006196,5064384,5068648,5290948,5322016,5414056,5489004,5779924,5812124,5903368,6003596,6101216,6150372,6208692,6285496,6330156,6336612,6334564,6259796,6111056,6068636,6038424,6025492,6169148,6135812,6168348,6158844,5065512,5055436,5069624,5126676,5251720,5279668,5289936,5274264,6883508,6981224,7051156,7139496,7328960,7415908,7510796,7628076,7830768,7880612,8060268,8067972,8329956,8336852,8388200,8573884,8819168,9054144,9102176,9242248,9472172,9480804,9557780,9644000,9899861,10011360
 "41000","Oregon",8,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",4408052,4425500,4435956,4470744,4509120,4537084,4590372,4735216,4943548,4999492,5086936,5022832,5059104,4958328,4903432,4873008,4948432,5024304,5035784,5066828,5114120,5151960,5229596,5364256,5486348,5629460,5680676,5647520,5796840,5777928,5842524,5900236,6103736,6106032,6181076,6277764,6305084,6326624,6374580,6443108,6430732,6418640,6417540,6337964,6147556,6135084,6129456,6158808,6410032,6409404,6413212,6340680,6571972,6469804,6447940,6470788,6756008,6809428,6856832,6929888,7034836,7160556,7225024,7329924,7445412,7518308,7606068,7718580,7835756,7869328,8015720,8024988,8147072,8175348,8240540,8441516,8597908,8830968,8876352,9003148,8953972,8924828,8976844,9039408,9244581,9359303
 "41000","Oregon",8,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1649724,-1658388,-1659944,-1686472,-1716376,-1755120,-1756956,-1799612,-1921228,-1991076,-2057796,-2025088,-2151136,-2095960,-2115896,-2080968,-2162620,-2196768,-2193964,-2207696,-2334272,-2332188,-2362568,-2442608,-2543196,-2597200,-2630916,-2604332,-2852428,-2856640,-2909040,-2923608,-3230188,-3230312,-3290572,-3346596,-3501068,-3525656,-3557372,-3598428,-3690452,-3683588,-3666260,-3626612,-3533596,-3494140,-3479020,-3453028,-3373224,-3346096,-3381364,-3381896,-3692688,-3693924,-3688244,-3735688,-3904988,-3922796,-3921188,-3905664,-3861288,-3901108,-3916480,-3957004,-3789944,-3861904,-3917008,-3991444,-4097888,-4117360,-4243488,-4265664,-4561656,-4555288,-4562832,-4634044,-4601564,-4716520,-4714460,-4818756,-4827296,-4866376,-4922708,-4989068,-5061890,-5121999
 "41000","Oregon",8,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",56052324,56564244,57140272,58126612,58607383,59334623,60195115,61994739,63755111,64714599,65924691,65846227,66691764,66432912,66386024,65856128,66373896,66951252,67199192,67874172,68153188,68703708,69741836,71301576,71899084,73727764,74348524,74497600,75947376,76471064,77982980,79301044,82316000,82538820,83674244,85185336,85233868,85781748,86396432,87345620,87376476,87380012,86947120,85660272,82237848,81768544,81718420,82030984,83149980,83191492,83986856,84175144,87637564,87861088,88378008,89427576,93003468,93777968,94197860,94493444,94462768,95527644,95981192,96664400,98407756,100027304,101533656,103073156,106261732,107016172,109650680,110265396,113323416,113575580,114114416,115833132,117847828,120176180,120759152,123261232,125319936,126287920,128000588,129425412,131558300,133230786
 "41000","Oregon",8,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",18847680,19116316,19151456,18900916,18371916,18361064,18450568,18778056,19373596,19799104,20069980,20137580,20090932,19856384,19575568,19294356,18897456,19050880,18935604,19251548,19640104,19557236,19837336,20299784,20620788,21009688,21052172,21938068,21470924,22018956,22154480,23631616,24792812,25777820,26109868,26169052,26404664,27461792,27724968,28046068,29082416,29094960,29588044,28812208,27037216,26421848,25757008,25232584,25190548,25439484,25668596,26543180,27708316,28181744,28433520,29354540,30111328,30656784,30018968,32737784,29779408,30190768,30917496,31388984,32296880,33639372,34651392,35361140,35871504,37432140,38105652,37956260,38363828,38874296,39368932,40047960,41338204,41863576,42271276,43647680,44686404,45517524,46278600,46743760,46271105,47262786
 "41000","Oregon",8,SQINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",11159060,11293932,11421236,11720584,12123040,12309640,12542448,12649632,12710452,12993620,13149236,13344188,14240044,14638308,14515160,15216052,15602336,15810224,15890212,15980516,15898980,16264800,16609100,16263208,16575224,16589736,16724840,17028780,17457644,17656344,17744064,17817840,18586504,18943724,19199536,19287936,20067584,20194484,20494632,20926512,21477108,26022632,23668628,23673624,25475588,27523788,27518944,27806012,29166868,29114260,29335024,29510740,29624216,29782568,29598576,29740912,29570956,29596180,29638696,29830636,30385280,30597116,30905168,31107988,32439908,33340568,34189716,34674192,35235840,35891540,36040648,36239236,36466608,36858724,36994180,37142736,37536928,37469332,37883556,38261868,39161452,39704452,40319524,40834972,42350036,43031226
 "41000","Oregon",8,SQINC5N,50,"..."," Wages and salaries","Thousands of dollars",47230392,47618200,48013136,48843392,49808604,50400176,51035336,52558140,54459476,54948552,55942980,55471644,56530344,55885632,55477380,55019776,55313908,55912720,55910196,56273556,56271472,56614284,57385660,58712732,58903840,60473588,61273304,61341664,63328408,63698124,64780896,65506348,68058164,68136152,69144484,70511288,71550528,72261772,72974300,73957248,74119956,74054516,73962436,72967736,70334756,69873680,69487132,69457860,70185540,70413328,71260700,71594916,73716496,73682208,73941628,74310356,76777288,76981144,77145488,77545296,78810208,79789372,80416864,81507716,83083100,84309372,85629264,87216704,89269988,89995428,92257836,92631632,94981636,95165236,95678644,97484700,98576056,100938668,101590112,103748700,105493428,106201296,107602712,108757776,111036494,112464290
