GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "42000","Pennsylvania",2,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",328228003,333794607,335987987,340547339,343167336,346295676,350153064,356064404,365270455,370851819,376568775,380737231,386142528,388509372,388113768,389422552,392184332,395045428,396386732,398020960,403150104,406091160,410291544,416025832,422652592,428774356,436055448,443484020,441474732,449029980,454882080,462414704,467010772,472860340,478782920,484607124,496458936,503104284,508307588,513343600,517590880,531055420,523989740,521590656,506340524,512009112,509750600,518371472,520874208,531388072,539756636,545860512,555178548,561443336,567554072,569563544,579822696,584994860,586191876,599078132,586636924,593005592,594206832,598044204,607094212,615748156,623763108,630946608,635728196,642159048,647962012,650628548,652876756,655977220,663331208,667028608,669949720,674059528,682573680,692341452,707811388,714993416,725567480,731921480,742852565,752621577
 "42000","Pennsylvania",2,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12698494,12706820,12717615,12728033,12733680,12740009,12749047,12756337,12760151,12763865,12770760,12776077,12774616,12774695,12779843,12785492,12786245,12787416,12791399,12793543,12789133,12785905,12787447,12789063,12785863,12783409,12786435,12790680,12790142,12789296,12794246,12799933,12801713,12804385,12810333,12814865,12815842,12817835
 "42000","Pennsylvania",2,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41019,41819,42442,42886,43599,44069,44517,44649,45440,45832,45901,46891,45922,46420,46496,46775,47480,48153,48764,49318,49708,50224,50672,50874,51062,51315,51878,52150,52380,52705,53350,54089,55290,55840,56639,57115,57964,58717
 "42000","Pennsylvania",2,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",236187747,240998599,242821167,248319403,251505076,254512720,257090296,261181312,267730391,270132491,274672367,278154715,282770512,284729232,285993144,285574300,289633156,291012776,292795396,293082832,296454260,299425368,302753308,308676048,314006884,319391200,326503824,328936860,327660112,331924440,338414708,341057644,341806780,344685228,347915152,352720696,359278948,360864812,364261648,367820100,368270720,370651824,369835092,370351024,355881048,356666924,356906880,367438900,363842240,373697904,380551400,384099212,385646624,391270148,397967400,394954760,402312440,404742184,407089280,413115916,416821936,423849888,422738480,424982020,430240040,433767768,438161932,443915468,448145028,450408956,454320868,457516920,455417580,456579980,462272212,464143840,466349104,470289184,476602208,481879984,489554384,493740636,499084560,500853364,511003699,516823016
 "42000","Pennsylvania",2,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",27559680,28080556,28184932,28768120,29088948,29292052,29450752,29776712,30503884,30562544,31051868,31337056,31826352,31956884,31993608,31959896,32677560,32811528,32961840,32832356,33163324,33411980,33687244,34262856,34440372,34990368,35863164,36119204,36344788,36893752,37594160,37763016,38556288,38823996,39106148,39603668,40327936,40340432,40611836,40982732,41398184,41810992,41899300,42067336,40934636,41204312,41041612,41872196,41497888,42275320,42750140,42914264,38978684,39345328,39907744,39443116,40071952,40141920,40295720,40791900,46162672,46876044,46701176,46905340,47758740,47910408,48259956,48940720,49622108,49902864,50245500,50656148,50289376,50581220,51397676,51906956,52673896,53207348,53900260,54257364,54765464,54917740,55234504,55214420,56835195,57460947
 "42000","Pennsylvania",2,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",13693572,13963184,14029276,14325544,14564272,14718112,14819192,14974172,15302772,15331712,15567668,15729892,16006076,16103228,16163320,16167936,16603496,16681672,16771544,16712076,16815820,16937916,17113784,17469304,17607272,17931352,18378884,18482472,18562108,18791860,19108472,19172724,19722764,19900616,20076140,20354416,20859928,20913396,21080140,21264492,21538412,21775824,21805500,21897680,21388168,21506048,21438836,21895972,21606668,21997852,22270808,22378916,17912708,18117208,18391484,18235396,18381792,18421228,18488300,18619564,23928548,24267416,24147608,24220744,24817948,24879364,25033672,25342732,25810068,25905400,26061232,26256852,26246016,26376412,26774712,27003664,27518948,27782236,28158696,28356896,29021360,29153628,29350268,29351784,30264612,30591410
 "42000","Pennsylvania",2,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",13866108,14117372,14155656,14442576,14524676,14573940,14631560,14802540,15201112,15230832,15484200,15607164,15820276,15853656,15830288,15791960,16074064,16129856,16190296,16120280,16347504,16474064,16573460,16793552,16833100,17059016,17484280,17636732,17782680,18101892,18485688,18590292,18833524,18923380,19030008,19249252,19468008,19427036,19531696,19718240,19859772,20035168,20093800,20169656,19546468,19698264,19602776,19976224,19891220,20277468,20479332,20535348,21065976,21228120,21516260,21207720,21690160,21720692,21807420,22172336,22234124,22608628,22553568,22684596,22940792,23031044,23226284,23597988,23812040,23997464,24184268,24399296,24043360,24204808,24622964,24903292,25154948,25425112,25741564,25900468,25744104,25764112,25884236,25862636,26570583,26869537
 "42000","Pennsylvania",2,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",3177140,3215404,3373976,3316352,3545284,3474696,3554080,3651396,3867284,4030948,4052440,4273256,4235892,4284816,4262384,4485724,4579796,4588248,4570124,4625076,4863920,5089536,5202776,5164264,5710668,5840408,5883364,6040548,6735148,6763360,6866660,7202456,7291464,7397680,7274428,7398776,8273548,8285376,8103140,8238500,8790040,8457620,8519344,8536732,7198956,7360752,7504120,7262436,8105708,8047108,7975976,7882556,7976900,7879724,7830884,7779880,8222180,8147200,8174376,8370996,8159016,8046980,8087204,8314424,8945096,8922148,8974328,9041988,8728860,8923568,8915712,8929044,9476808,9586096,9545040,9679748,9873444,9920496,9982724,10047844,10215632,10222104,10346380,10301904,10403911,10519924
 "42000","Pennsylvania",2,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",211805207,216133447,218010211,222867635,225961412,228695364,231193624,235055996,241093791,243600895,247672939,251090915,255180052,257057164,258261920,258100128,261535392,262789496,264403680,264875552,268154856,271102924,274268840,279577456,285277180,290241240,296524024,298858204,298050472,301794048,307687208,310497084,310541956,313258912,316083432,320515804,327224560,328809756,331752952,335075868,335662576,337298452,336455136,336820420,322145368,322823364,323369388,332829140,330450060,339469692,345777236,349067504,354644840,359804544,365890540,363291524,370462668,372747464,374967936,380695012,378818280,385020824,384124508,386391104,391426396,394779508,398876304,404016736,407251780,409429660,412991080,415789816,414605012,415584856,420419576,421916632,423548652,427002332,432684672,437670464,445004552,449045000,454196436,455940848,464572415,469881993
 "42000","Pennsylvania",2,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",64586152,65613584,65783896,64841448,63494044,63556228,64031820,65377752,67884644,69528996,70396968,70504584,70350512,69537336,68583176,67621748,66082920,66575368,65992012,66794096,67617760,66916164,67119588,67687568,67659464,68356176,68264608,72460588,68976232,70572044,70885788,74934788,77318760,80427076,82077404,83373632,85398544,89739008,90720980,91024976,92848424,91809924,92842816,90291284,85147688,83741652,81837800,80460796,80418304,81550124,82191300,85028900,88264708,89692780,90961144,95165452,98502332,100972376,99275452,106006384,95449484,95111004,96212944,97505620,101047996,104487420,106719396,107633044,107533848,110585816,111447984,110247772,110933992,111768008,112745740,114133008,117213496,118093844,119181464,123158140,126588768,128979768,131034508,132247440,130983886,133358844
