GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "44000","Rhode Island",1,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",27865734,28238258,28603750,28933890,29058058,29458006,30000034,30489450,31404233,31751257,32364833,32675093,33454932,33738972,33685664,34054924,34607652,35066804,35250540,35608592,36388756,36551880,37152632,37802692,38121848,38760836,39346688,39401888,39111704,39601584,39800328,40476288,40754440,41576556,42243696,42272120,43230404,43260008,43470804,43617312,43843196,44774464,43824276,43764028,42240036,42889200,43075472,43605532,44141480,45147100,45660368,46095148,46271116,47169364,47330744,47496764,48452700,48707856,48573864,49506892,48496304,48573572,48857004,49163888,49999088,50456536,51038604,51959680,52258520,52856800,52992768,53351812,52960920,53320336,53656052,53764832,54252300,54915700,55801268,56380716,57459128,57876856,57847492,58791764,59599383,60279309
 "44000","Rhode Island",1,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1053206,1053441,1054077,1054150,1053821,1053551,1053800,1054214,1054340,1054454,1054882,1055227,1055030,1054995,1055353,1055778,1055802,1055888,1056251,1056520,1056264,1056114,1056427,1056807,1056808,1056907,1057129,1057177,1056867,1056518,1056707,1057019,1057043,1057144,1057553,1057867,1057844,1057888
 "44000","Rhode Island",1,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41912,42857,43318,43727,43908,44772,44914,45054,45955,46192,46047,46916,45967,46042,46294,46567,47357,47786,48321,49180,49475,50048,50162,50484,50114,50449,50756,50857,51333,51978,52807,53339,54358,54748,54699,55576,56340,56981
 "44000","Rhode Island",1,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",18897910,19152334,19533470,19894174,19986074,20410642,20851922,21181894,21892525,22007749,22441653,22621981,22997224,23193932,23310904,23474544,24047956,24382912,24645912,24868572,25446476,25546624,26009136,26653744,26706444,27104988,27748520,27311964,27552184,27908112,28095856,28480012,28511404,29342464,29899180,29722512,30384228,29831656,29689308,29580472,30083264,29721380,29405840,29776432,28171148,28490964,28802808,29388524,29680184,30571108,31064364,31099104,30529024,31341560,31505040,31394844,32197872,32437336,32457172,32888404,33051968,33057572,33191500,33431104,34142856,34137836,34349528,35159084,35199620,35549012,35553888,36053120,35451396,35890884,36234828,36226996,36194776,36745480,37303672,37484820,37783500,38001444,37630052,38738068,39185011,39667924
 "44000","Rhode Island",1,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2421012,2447056,2491788,2526608,2521896,2568120,2618532,2647132,2721732,2726372,2779404,2797332,2853512,2868260,2867056,2876724,2925520,2951836,2974852,2990840,3062316,3078256,3129692,3204232,3231424,3273092,3350972,3286588,3364332,3397356,3407580,3443548,3478820,3585956,3665984,3637508,3765620,3690584,3675636,3668224,3773076,3725384,3709140,3791748,3636904,3689184,3706840,3734092,3727408,3792680,3827428,3818124,3421492,3519380,3536892,3515888,3570452,3585324,3570292,3597656,4109408,4102596,4113124,4137484,4260732,4244264,4263840,4390296,4420784,4491120,4490516,4565152,4533752,4601304,4649344,4639476,4669704,4741648,4811128,4823436,4878956,4896280,4835124,4981488,5075851,5136498
 "44000","Rhode Island",1,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1244652,1258920,1282772,1303424,1306672,1333212,1359696,1376540,1413324,1417320,1447572,1460552,1494800,1510028,1515376,1523116,1555820,1571228,1585240,1594520,1631356,1635032,1665728,1710644,1726808,1752596,1793036,1753040,1795528,1808528,1807544,1823828,1850356,1912116,1957720,1942452,2023556,1991256,1987204,1981584,2047912,2021836,2006068,2049468,1963988,1983436,1989068,1998356,1982408,2014572,2037572,2042696,1625548,1688624,1702220,1696364,1702944,1706068,1692696,1692564,2184036,2173744,2176408,2185372,2263368,2250800,2257440,2323924,2350140,2383676,2380756,2420932,2423868,2466008,2493160,2486288,2520048,2562816,2607380,2614540,2675448,2688924,2651756,2742260,2790932,2823295
 "44000","Rhode Island",1,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",1176360,1188136,1209016,1223184,1215224,1234908,1258836,1270592,1308408,1309052,1331832,1336780,1358712,1358232,1351680,1353608,1369700,1380608,1389612,1396320,1430960,1443224,1463964,1493588,1504616,1520496,1557936,1533548,1568804,1588828,1600036,1619720,1628464,1673840,1708264,1695056,1742064,1699328,1688432,1686640,1725164,1703548,1703072,1742280,1672916,1705748,1717772,1735736,1745000,1778108,1789856,1775428,1795944,1830756,1834672,1819524,1867508,1879256,1877596,1905092,1925372,1928852,1936716,1952112,1997364,1993464,2006400,2066372,2070644,2107444,2109760,2144220,2109884,2135296,2156184,2153188,2149656,2178832,2203748,2208896,2203508,2207356,2183368,2239228,2284919,2313203
 "44000","Rhode Island",1,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1010456,1075048,1100712,1107868,1127868,1139804,1189304,1243624,1311628,1289820,1364956,1374992,1501244,1439424,1399408,1375816,1435216,1437264,1404272,1377364,1333400,1361472,1399804,1397388,1541348,1605832,1618756,1624152,1406396,1399900,1458564,1481988,1482864,1428504,1374912,1511456,1429444,1506748,1552532,1629324,1282596,1326728,1334684,1301112,1235860,1243560,1240572,1235468,981424,1006356,1044180,1062360,1267964,1312220,1268412,1271996,1384096,1396252,1417956,1493692,1366452,1425676,1425840,1434696,1088396,1123368,1187432,1215756,1348908,1400080,1426752,1454416,1545144,1542984,1599460,1606436,1986432,2017920,2034792,2097152,2576896,2559564,2691676,2573840,2771541,2734005
 "44000","Rhode Island",1,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",17487354,17780326,18142394,18475434,18592046,18982326,19422694,19778386,20482421,20571197,21027205,21199641,21644956,21765096,21843256,21973636,22557652,22868340,23075332,23255096,23717560,23829840,24279248,24846900,25016368,25437728,26016304,25649528,25594248,25910656,26146840,26518452,26515448,27185012,27608108,27596460,28048052,27647820,27566204,27541572,27592784,27322724,27031384,27285796,25770104,26045340,26336540,26889900,26934200,27784784,28281116,28343340,28375496,29134400,29236560,29150952,30011516,30248264,30304836,30784440,30309012,30380652,30504216,30728316,30970520,31016940,31273120,31984544,32127744,32457972,32490124,32942384,32462788,32832564,33184944,33193956,33511504,34021752,34527336,34758536,35481440,35664728,35486604,36330420,36880701,37265431
 "44000","Rhode Island",1,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",5812520,5901340,5922804,5857244,5768720,5770088,5804380,5905012,6125340,6282604,6375544,6442576,6451996,6450640,6414012,6371260,6365464,6438732,6430360,6565708,6838056,6842768,6910708,7011812,7005000,7030296,6982164,7301008,7009752,7116876,7104908,7392880,7492132,7686100,7778700,7840700,7971192,8287104,8365756,8405584,8546808,8485980,8554936,8339320,7865748,7773060,7664928,7610884,7694644,7826496,7903728,8138808,8302016,8396696,8460968,8739404,8873672,9000104,8857388,9202352,8635228,8605748,8667508,8742596,8915404,9147820,9314972,9419076,9502176,9669980,9737016,9700548,9716052,9754524,9784436,9820880,9868536,9946556,10027412,10289604,10574012,10803716,10984272,11103680,11028932,11159981
