GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "46000","South Dakota",4,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",17786968,18006108,18134008,18673252,18464594,18826650,19017206,19714994,19792094,20216302,20490642,20624550,20810328,20963676,20976768,21041632,20651200,20716644,21021020,21370292,22471068,22715500,22995044,23380984,24252212,24529452,24545356,24988996,25629064,26023568,26248764,26548440,27155548,27421552,27612104,27989264,29778964,30428880,30744572,31466380,32820952,33335244,32523100,32085916,31253152,31729916,31905756,32289508,32702648,33297864,34093788,34290332,36263132,36416036,36789336,37498912,37769932,37961420,36292380,38614024,38098992,38226284,38208668,37900460,39092560,39964512,40046936,40384928,40722948,41256488,41891584,42320728,41489188,41731640,42312760,42305956,43026548,43187436,43221720,43662564,45232348,45534800,45931712,47566880,46860034,47009480
 "46000","South Dakota",4,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),813121,815177,817203,819148,820810,822531,824827,827439,829815,832225,834750,837119,839063,841124,843215,845074,846631,848218,849856,851265,852244,853309,855163,857533,859616,861746,864297,867065,869520,871963,874491,876832,878912,881079,883460,885810,887867,890009
 "46000","South Dakota",4,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40219,40847,41720,41861,44180,44273,44602,45319,45516,45614,43477,46127,45407,45447,45313,44849,46174,47116,47122,47441,47783,48349,48987,49352,48265,48427,48956,48792,49483,49529,49425,49796,51464,51681,51991,53699,52778,52819
 "46000","South Dakota",4,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",12873756,12987424,13053336,13612504,13388374,13744314,13851550,14355106,14445626,14698490,14749526,14803294,14821020,14892136,14976900,14996240,14602524,14692668,15072604,15332788,16226140,16455108,16630312,16977220,17770532,17982632,17998916,18170644,18685132,18824072,19029572,19061104,19325816,19394348,19469284,19732404,21100488,21373748,21489088,22077428,23095716,22708312,22467804,22351720,21448196,21905544,22402016,22882348,22860420,23342084,24040440,23983180,25551528,25615256,25916216,26341224,26430980,26403076,24838620,26645660,27266228,27406280,27275820,26872076,27819480,28181704,27915672,28060824,28341188,28534740,28984084,29414460,28412908,28467756,28934960,28791612,29367368,29497176,29468100,29531208,30692248,30740932,30940064,32379832,31603781,31450870
 "46000","South Dakota",4,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1356644,1375508,1388236,1420364,1437376,1475044,1475180,1539984,1563928,1564744,1574244,1567128,1601808,1614468,1622596,1629864,1647120,1664200,1693948,1704564,1729056,1741732,1753508,1791344,1817160,1849604,1864124,1858532,1918088,1918500,1944208,1968852,2044552,2069096,2085828,2125832,2167728,2211124,2220592,2257204,2319780,2309996,2330428,2326852,2300564,2314892,2333596,2321420,2398128,2418836,2469968,2421328,2209916,2213816,2213916,2262576,2302040,2342208,2314352,2354804,2648496,2671880,2692420,2725588,2813700,2826192,2853920,2876576,2921076,2954428,2951344,2961836,3015952,3014820,3042196,3048872,3101732,3118976,3140304,3164320,3221616,3239272,3283580,3289792,3356294,3389420
 "46000","South Dakota",4,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",748412,758572,764712,782108,791028,811368,810788,846356,858284,858624,861704,855620,872904,877836,880608,882648,893188,901868,919760,928836,943484,952112,959756,981388,993112,1010688,1019240,1017624,1056132,1058080,1072344,1083832,1128992,1141552,1149564,1170532,1200012,1225440,1228384,1244952,1280676,1273112,1283292,1282500,1274456,1279148,1285220,1271100,1296172,1301208,1332032,1313948,1074940,1089044,1095928,1127108,1137684,1155896,1139176,1149840,1457688,1467412,1478080,1494396,1548792,1557192,1573512,1587856,1623140,1642308,1638136,1639420,1673904,1666768,1677644,1679224,1717656,1727372,1739368,1751048,1801988,1811808,1835840,1839772,1879762,1897503
 "46000","South Dakota",4,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",608232,616936,623524,638256,646348,663676,664392,693628,705644,706120,712540,711508,728904,736632,741988,747216,753932,762332,774188,775728,785572,789620,793752,809956,824048,838916,844884,840908,861956,860420,871864,885020,915560,927544,936264,955300,967716,985684,992208,1012252,1039104,1036884,1047136,1044352,1026108,1035744,1048376,1050320,1101956,1117628,1137936,1107380,1134976,1124772,1117988,1135468,1164356,1186312,1175176,1204964,1190808,1204468,1214340,1231192,1264908,1269000,1280408,1288720,1297936,1312120,1313208,1322416,1342048,1348052,1364552,1369648,1384076,1391604,1400936,1413272,1419628,1427464,1447740,1450020,1476532,1491917
 "46000","South Dakota",4,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-226968,-231596,-231184,-240632,-238468,-248192,-247072,-263584,-268120,-268176,-268100,-264164,-262168,-263624,-265496,-267700,-229296,-232476,-241004,-244152,-222864,-223432,-222900,-231668,-216508,-223224,-223704,-220492,-173912,-171292,-170184,-169952,-142548,-139060,-139996,-143628,-133880,-139484,-141236,-143204,-107384,-103104,-101928,-101656,-64452,-69056,-73008,-68856,-68000,-67212,-78800,-71184,-112824,-113888,-108628,-116728,-75720,-74632,-67032,-70648,-36800,-38980,-38316,-40164,-23348,-20440,-21424,-20792,-12572,-24300,-22968,-25080,-54432,-56068,-57984,-59616,-119356,-121764,-128768,-127612,-112884,-109656,-114520,-114652,-117096,-117765
 "46000","South Dakota",4,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",11290144,11380320,11433916,11951508,11712530,12021078,12129298,12551538,12613578,12865570,12907182,12972002,12957044,13014044,13088808,13098676,12726108,12795992,13137652,13384072,14274220,14489944,14653904,14954208,15736864,15909804,15911088,16091620,16593132,16734280,16915180,16922300,17138716,17186192,17243460,17462944,18798880,19023140,19127260,19677020,20668552,20295212,20035448,19923212,19083180,19521596,19995412,20492072,20394292,20856036,21491672,21490668,23228788,23287552,23593672,23961920,24053220,23986236,22457236,24220208,24580932,24695420,24545084,24106324,24982432,25335072,25040328,25163456,25407540,25556012,26009772,26427544,25342524,25396868,25834780,25683124,26146280,26256436,26199028,26239276,27357748,27392004,27541964,28975388,28130391,27943685
 "46000","South Dakota",4,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",4128856,4242824,4310320,4306896,4300376,4344320,4391924,4638732,4609408,4709984,4894708,4919972,5047716,5073960,5048776,4968456,4890016,4864288,4811060,4889184,5068236,5076760,5148216,5238564,5240664,5285572,5293620,5496832,5538268,5715836,5732160,6005300,6222992,6374416,6449292,6574040,6884952,7289284,7435448,7538340,7796516,7743156,7807284,7557500,7366552,7135064,6910360,6761264,7031548,7101580,7156044,7350132,7555572,7656296,7741436,8060400,8278204,8494912,8355084,8889156,7971220,7941472,8034204,8136688,8349668,8726380,8996872,9161156,9204420,9532380,9683832,9654544,9807044,9923724,10018024,10105988,10280972,10314048,10348536,10686528,10989948,11205016,11390320,11518372,11385198,11612752
