GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "00000","United States", ,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",7428956340,7555774728,7663250996,7758393936,7849481744,7919943412,8029052768,8207774076,8457239728,8590487880,8738325196,8815247196,8979768908,9009243928,8997124868,9021218296,9054130300,9145507156,9171169068,9251845476,9310627692,9411677768,9535064668,9666233872,9770721012,9947476472,10088118588,10308807928,10333975844,10501549508,10657963284,10882295364,11182385320,11315347264,11419201768,11573421648,11830734852,11972482748,12043051092,12162547308,12314008540,12639164328,12461684280,12339250852,11984221988,12074283984,12028785520,12117936508,12264621896,12484065468,12628031092,12791261544,13150022096,13256612948,13390030504,13465246452,13781307744,13937514892,13899403012,14375306352,13991223620,14131114860,14228839468,14350834052,14628793872,14882516620,15110691544,15308857964,15466874424,15675676636,15824699384,15869717556,15928162296,16020935296,16166933564,16330512844,16599641316,16742829808,16918886716,17219066160,17535505208,17720035896,17918889136,18077709760,18352749206,18596159973
 "00000","United States", ,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),308468490,309037543,309658448,310273873,310782673,311293354,311907107,312524994,313062520,313586831,314211253,314829232,315293605,315775976,316386958,317032700,317564047,318094888,318743866,319405109,319917253,320446239,321080422,321716118,322237647,322772992,323379953,323961756,324428802,324882608,325440089,325982976,326432971,326901436,327461014,328000894,328441065,328898168
 "00000","United States", ,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39760,40397,40781,41226,42313,42586,42930,43085,44021,44445,44236,45661,44375,44750,44973,45266,46066,46786,47407,47929,48346,48918,49286,49328,49430,49635,49994,50409,51166,51535,51988,52822,53719,54206,54721,55115,55878,56541
 "00000","United States", ,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",5554449060,5653415072,5755773856,5864418012,5967580936,6032994820,6122569676,6269022568,6470029944,6541800768,6662174736,6720966552,6855290696,6864003684,6866252520,6875617100,6916021368,6988728024,7026055716,7073714892,7083342068,7192483380,7291286444,7407548108,7479823452,7624463488,7760285564,7835959496,7878311380,7965063052,8105208104,8210009464,8420400020,8469792032,8524165164,8664750784,8816412080,8836365896,8864358836,8949999188,9018158060,9019072080,9025987912,8990613948,8637745820,8654032252,8671238084,8790767844,8811937784,9004665612,9102378076,9173810528,9342349260,9407333844,9528217212,9496211684,9773930760,9849912428,9874510560,10109174252,10109197860,10225871464,10253329124,10337513552,10515528424,10615335400,10738235068,10880681108,10983772176,11063520628,11167566964,11229696232,11248967292,11302079272,11413948312,11532221124,11718091868,11839634684,11968166724,12158714724,12348224320,12444034360,12574162288,12676199032,12924508000,13063712044
 "00000","United States", ,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",609308000,618720000,628488000,638224000,649172000,654744000,662056000,675268000,695028000,697464000,710608000,716296000,731268000,732048000,731284000,733868000,741992000,750364000,753176000,755824000,762064000,772628000,782432000,794700000,807784000,822232000,837764000,843516000,856680000,864884000,878132000,888084000,911784000,916672000,921228000,934828000,954284000,955860000,959168000,970700000,982500000,984716000,990052000,990232000,958420000,964852000,962368000,965668000,972004000,982820000,985652000,987704000,910208000,912896000,921284000,915860000,938736000,943180000,946088000,967808000,1088844000,1101232000,1104420000,1115344000,1137920000,1142644000,1154272000,1171956000,1187064000,1199296000,1208804000,1216356000,1223412000,1230520000,1242028000,1256060000,1278036000,1290052000,1302616000,1319756000,1341916000,1348788000,1360268000,1366588000,1405439000,1420205000
 "00000","United States", ,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",309368000,314336000,319440000,324572000,331448000,334556000,338528000,345296000,354968000,356512000,363028000,365984000,374000000,374608000,374400000,375668000,380920000,384932000,386244000,387396000,388756000,393544000,398108000,403988000,409664000,416800000,424624000,428036000,436300000,440984000,447908000,453168000,468856000,472124000,474944000,482184000,495292000,496768000,498972000,505072000,513484000,515048000,517972000,518260000,503180000,506228000,505336000,507316000,508724000,514120000,515692000,517044000,420340000,422016000,425988000,424580000,431612000,434080000,435768000,444788000,569364000,576236000,578500000,584148000,599348000,601796000,607512000,616156000,626604000,632696000,637536000,641448000,650204000,653964000,659884000,666996000,682440000,688836000,695656000,704876000,725384000,729632000,735920000,739584000,761768000,769485000
 "00000","United States", ,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",299940000,304384000,309048000,313652000,317724000,320188000,323528000,329972000,340060000,340952000,347580000,350312000,357268000,357440000,356884000,358200000,361072000,365432000,366932000,368428000,373308000,379084000,384324000,390712000,398120000,405432000,413140000,415480000,420380000,423900000,430224000,434916000,442928000,444548000,446284000,452644000,458992000,459092000,460196000,465628000,469016000,469668000,472080000,471972000,455240000,458624000,457032000,458352000,463280000,468700000,469960000,470660000,489868000,490880000,495296000,491280000,507124000,509100000,510320000,523020000,519480000,524996000,525920000,531196000,538572000,540848000,546760000,555800000,560460000,566600000,571268000,574908000,573208000,576556000,582144000,589064000,595596000,601216000,606960000,614880000,616532000,619156000,624348000,627004000,643671000,650720000
 "00000","United States", ,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",783280,767656,745140,723924,2544808,2528592,2511092,2475508,2609784,2599112,2570460,2568644,2682212,2692244,2696348,2697196,2668932,2659132,2653352,2646584,2705624,2686388,2670224,2653764,2689560,2668984,2645024,2632432,2644464,2630456,2603180,2577900,2641300,2631232,2612604,2582864,2618772,2600852,2592256,2572120,2654480,2648248,2644368,2648904,3016168,3019732,3023436,3016664,3096112,3075856,3061016,3039016,3212836,3207104,3189292,3194768,3436984,3426464,3416452,3364100,3677760,3655396,3646344,3624500,3469448,3453220,3428476,3400856,3418248,3408008,3396420,3389324,3079004,3072024,3057252,3039720,2793448,2771124,2747992,2719436,3212888,3193536,3174848,3158728,3114206,3086929
 "00000","United States", ,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",4945924340,5035462728,5128030996,5226917936,5320953744,5380779412,5463024768,5596230076,5777611728,5846935880,5954137196,6007239196,6126704908,6134647928,6137664868,6144446296,6176698300,6241023156,6275533068,6320537476,6323983692,6422541768,6511524668,6615501872,6674729012,6804900472,6925166588,6995075928,7024275844,7102809508,7229679284,7324503364,7511257320,7555751264,7605549768,7732505648,7864746852,7883106748,7907783092,7981871308,8038312540,8037004328,8038580280,8003030852,7682341988,7692199984,7711893520,7828116508,7843029896,8024921468,8119787092,8189145544,8435354096,8497644948,8610122504,8583546452,8838631744,8910158892,8931839012,9144730352,9024031620,9128294860,9152555468,9225794052,9381077872,9476144620,9587391544,9712125964,9800126424,9867632636,9962159384,10016729556,10028634296,10074631296,10174977564,10279200844,10442849316,10552353808,10668298716,10841678160,11009521208,11098439896,11217069136,11312769760,11522183206,11646593973
 "00000","United States", ,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",1508380000,1539276000,1550744000,1536128000,1514008000,1521360000,1535132000,1570188000,1622932000,1659864000,1686200000,1697260000,1697452000,1687236000,1667292000,1641652000,1617412000,1622256000,1603524000,1624908000,1662412000,1648564000,1662580000,1687584000,1698924000,1726616000,1737452000,1867436000,1821624000,1886128000,1900020000,2019900000,2082836000,2156792000,2185356000,2205052000,2259324000,2379056000,2402628000,2418040000,2472808000,2453800000,2481740000,2408504000,2262228000,2203516000,2140612000,2097548000,2118400000,2148088000,2172140000,2252000000,2352900000,2397392000,2427864000,2522472000,2602340000,2664572000,2602868000,2846440000,2563752000,2586664000,2641812000,2681920000,2773640000,2879620000,2955124000,2999696000,3024004000,3128888000,3166228000,3138280000,3155864000,3180796000,3208248000,3247532000,3333188000,3362332000,3388704000,3498672000,3590612000,3658556000,3718076000,3761292000,3717476000,3789933000
