GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "50000","Vermont",1,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",15064928,15303560,15547616,15726876,15990727,16224643,16530635,16830727,17312154,17724730,17800674,18144778,18677716,18854544,18802640,18952836,19071152,19132528,19218340,19485224,19587328,19768164,19989312,20590188,20560644,21162256,21361464,21505004,21427972,21542316,21734756,22202324,22787276,22969528,23225348,23453196,23949416,24263484,24446344,24619412,25307452,25910380,25524712,25379048,24976876,25157672,25194240,25328388,25352728,25892716,26180124,26330652,27003324,27335876,27540296,27941404,28032368,28433000,28187120,28930460,28453100,28804312,28825056,28992496,29119320,29628024,30159140,30640336,30535076,30918344,31197656,31343804,31543292,31606896,31806976,31756952,32205916,32243860,32522304,32870372,33410024,33806876,34107844,34389544,35104364,35537758
 "50000","Vermont",1,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),625669,625819,626102,626477,626621,626824,626925,626766,626469,626169,626182,626343,626198,626143,626141,626010,625642,625322,625323,625445,625267,625174,625074,624767,624267,623806,623824,624145,624275,624391,624809,625308,625669,626040,626522,626888,627192,627530
 "50000","Vermont",1,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40521,41374,41814,42030,43094,43610,43929,44580,44747,45408,45014,46189,45438,46003,46036,46313,46543,47380,48230,48990,48835,49456,49910,50169,50529,50668,50987,50881,51589,51640,52052,52567,53399,54001,54440,54858,55971,56631
 "50000","Vermont",1,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",10578880,10728892,10937680,11093108,11341439,11558807,11818615,12039459,12394506,12717062,12671922,12954526,13377520,13496088,13540932,13611984,13836292,13879900,13980852,14188136,14123692,14303040,14441120,15009300,14823108,15385408,15570604,15489696,15650368,15654260,15843960,16017196,16325412,16176412,16262256,16347056,16664116,16824724,16900164,16937688,17452216,17304192,17307712,17382912,16907760,16977996,17187664,17459852,17373584,17828736,18078200,17990908,18289576,18510500,18691816,18929692,18966792,19223060,19059012,19194900,19491456,19642936,19454352,19533328,19456964,19645096,19936988,20306324,20090380,20226628,20436796,20605212,20732892,20746672,20946756,20899192,21281632,21262508,21475976,21609908,21850632,22039988,22101556,22237556,22866111,23100039
 "50000","Vermont",1,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1239540,1255396,1279112,1290588,1306304,1330788,1358780,1377296,1406692,1437516,1430424,1464124,1516508,1527416,1523644,1523032,1546028,1543056,1550252,1570324,1580888,1604156,1617116,1679488,1657416,1718512,1735836,1724424,1782456,1782612,1801268,1813936,1881228,1864648,1884372,1906300,1959136,1986980,2004008,2014284,2059120,2039536,2049840,2069052,2015372,2026608,2037732,2048772,2043528,2069440,2086936,2061580,1906740,1921252,1936904,1958488,1984804,2019432,2002644,2013148,2313636,2332912,2315424,2342820,2391644,2400448,2430900,2486276,2488044,2514176,2539572,2554288,2561008,2562688,2596476,2610612,2672564,2685080,2717116,2722316,2749320,2755372,2751048,2757608,2859644,2885840
 "50000","Vermont",1,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",644692,653424,666224,673000,683508,697344,712468,721536,734344,750616,746268,764912,794444,802668,802508,803324,819664,819476,824432,836660,840476,852800,861160,896760,884620,918936,930032,925124,960076,960848,970464,976368,1019636,1010316,1021944,1034524,1070192,1086580,1093924,1094808,1118364,1103416,1105284,1113728,1088164,1091632,1097388,1101588,1092680,1104552,1114104,1100284,900488,907888,913208,922692,922400,934776,923980,923632,1208228,1218400,1211460,1226580,1262580,1267036,1280716,1306484,1312132,1321380,1333164,1339984,1353348,1352756,1369876,1375040,1415156,1421552,1440968,1446540,1484308,1492488,1493040,1498744,1556280,1569980
 "50000","Vermont",1,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",594848,601972,612888,617588,622796,633444,646312,655760,672348,686900,684156,699212,722064,724748,721136,719708,726364,723580,725820,733664,740412,751356,755956,782728,772796,799576,805804,799300,822380,821764,830804,837568,861592,854332,862428,871776,888944,900400,910084,919476,940756,936120,944556,955324,927208,934976,940344,947184,950848,964888,972832,961296,1006252,1013364,1023696,1035796,1062404,1084656,1078664,1089516,1105408,1114512,1103964,1116240,1129064,1133412,1150184,1179792,1175912,1192796,1206408,1214304,1207660,1209932,1226600,1235572,1257408,1263528,1276148,1275776,1265012,1262884,1258008,1258864,1303364,1315860
 "50000","Vermont",1,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",161024,171156,177980,187040,193424,192168,194508,202092,228424,212820,229744,236168,249332,235972,230116,231720,231492,241440,235672,230684,246412,251236,256856,249792,233864,226640,242496,246868,233672,249144,255944,260080,261136,271424,276376,316544,294116,298312,283924,288856,289596,286936,283420,282088,320952,331016,338388,335892,317596,339072,331636,332420,305920,311184,310768,293204,304924,297448,308936,338804,327504,333284,341944,348020,360180,374956,363564,383424,354288,376080,370024,387780,335024,349696,348948,347828,392020,403756,428064,427008,432872,421724,431596,423380,446805,452134
 "50000","Vermont",1,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",9500364,9644652,9836548,9989560,10228559,10420187,10654343,10864255,11216238,11492366,11471242,11726570,12110344,12204644,12247404,12320672,12521756,12578284,12666272,12848496,12789216,12950120,13080860,13579604,13399556,13893536,14077264,14012140,14101584,14120792,14298636,14463340,14705320,14583188,14654260,14757300,14999096,15136056,15180080,15212260,15682692,15551592,15541292,15595948,15213340,15282404,15488320,15746972,15647652,16098368,16322900,16261748,16688756,16900432,17065680,17264408,17286912,17501076,17365304,17520556,17505324,17643308,17480872,17538528,17425500,17619604,17869652,18203472,17956624,18088532,18267248,18438704,18506908,18533680,18699228,18636408,19001088,18981184,19186924,19314600,19534184,19706340,19782104,19903328,20453272,20666333
 "50000","Vermont",1,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",3478424,3554624,3592880,3577604,3544616,3567236,3593340,3648336,3744736,3805736,3861688,3914920,3962964,3969616,3929040,3852576,3743292,3722908,3678820,3724764,3835336,3843892,3904012,3994520,4092732,4162564,4145152,4315888,4019048,4035268,4022416,4244476,4445984,4643016,4738640,4788888,4825140,5019996,5070268,5113896,5291128,5273232,5345244,5198368,4875896,4740516,4593172,4482784,4410092,4451884,4493440,4680040,4922696,5035892,5093876,5261096,5321588,5396216,5291544,5800968,5263448,5360752,5502360,5595412,5779736,6013796,6172184,6265556,6325548,6480116,6548012,6520248,6575312,6617740,6645540,6666156,6710888,6744076,6767540,6961448,7164776,7325304,7456148,7550984,7476103,7599360
