GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "54000","West Virginia",5,SQINC5N,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",36681310,37010854,37354954,37494306,37725921,37879101,38228605,38773129,39553949,40231925,40533485,41092825,42224480,42695268,42735620,43479904,43801540,44081908,44340428,44732508,44402188,44571996,45010352,45494652,45464640,46345908,46739024,47358444,47841632,48576056,49073328,49953044,51208016,52032776,52483208,53050680,53358444,53867824,54329344,54959460,55788668,58455988,57819936,58030260,57493884,58335612,57830360,58135824,58674544,59515700,60627812,60892680,62101172,63134416,63867044,64294196,64747988,65467544,64878368,65730856,64768100,64836816,64674628,64860356,65547284,66638912,67268456,67999512,67735604,68259688,68128812,67865028,67506608,67560260,67520496,67884060,69626508,69642452,70413540,71190972,72189436,73198236,74711544,75136304,75412768,76158597
 "54000","West Virginia",5,SQINC5N,20,"...","Population (midperiod, persons) 2/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1852359,1853590,1854746,1855497,1855547,1855761,1856384,1856797,1856698,1856636,1856772,1856449,1855130,1854110,1853552,1852795,1851323,1849983,1848913,1847467,1845027,1842862,1840881,1838407,1835256,1832242,1829461,1826339,1822538,1818737,1815859,1813260,1810130,1807141,1804656,1802061,1798864,1795798
 "54000","West Virginia",5,SQINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31676,32108,32688,32817,33468,34021,34404,34626,34873,35261,34941,35407,34913,34969,34892,35007,35406,36021,36383,36807,36713,37040,37009,36915,36783,36873,36907,37169,38203,38292,38777,39261,39881,40505,41399,41695,41922,42409
 "54000","West Virginia",5,SQINC5N,35,"..."," Earnings by place of work","Thousands of dollars",24670070,24762654,25089598,25215558,25429369,25691905,26017409,26489497,27049269,27411197,27416461,27748277,28256060,28501584,28776720,29104216,29194616,29236396,29500388,29750976,29661028,29855620,30081868,30487092,30745056,31500620,31937336,32039616,32709984,33124756,33451116,34006804,34754092,35256816,35368948,35690676,35370060,35440820,35534380,35852264,36276640,36860868,37451080,38034156,37123944,36955076,36747524,37088256,37145064,37831716,38823748,38761788,39185504,40225244,40866548,40894032,41508544,41858864,41355896,41427748,41809396,41837428,41417692,41515984,41532648,42115656,42399084,42810224,42310320,42436272,42087452,41828524,41365804,41103776,41016656,41303052,42874124,42849516,43351132,43711280,44789440,45742756,47060128,47172424,46782033,47139453
 "54000","West Virginia",5,SQINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",3707096,3706208,3738608,3730964,3737296,3774476,3842624,3950436,4086216,4157964,4154908,4165048,4159956,4120064,4092956,4085260,4056548,4027012,4056704,4104000,4199516,4249552,4272116,4291812,4316656,4373224,4414340,4421088,4528412,4583840,4583704,4587772,4658240,4655152,4603904,4590692,4572920,4525192,4475896,4458292,4471932,4496112,4560288,4655264,4615912,4613016,4574880,4589512,4639408,4679236,4766932,4721864,4290760,4377976,4433896,4422188,4522968,4550928,4473048,4449736,5069748,5062200,5015336,5046960,5137320,5191888,5212312,5268800,5242276,5276716,5249736,5255916,5259180,5267388,5281340,5327620,5520040,5494808,5540220,5548924,5683708,5771160,5912944,5909424,5895979,5933498
 "54000","West Virginia",5,SQINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1531224,1534072,1553788,1560396,1581004,1597616,1611536,1629516,1642484,1653840,1653972,1682368,1726236,1749896,1765480,1774552,1774084,1761844,1776412,1797516,1830172,1850448,1866948,1889592,1913168,1955292,1981496,1989284,2041624,2072672,2083300,2102316,2177764,2208980,2222572,2256460,2306744,2329536,2344508,2367416,2410308,2443584,2483580,2528836,2497800,2480828,2454336,2464880,2487728,2515544,2572020,2552840,2059592,2113668,2144056,2147864,2179316,2193224,2151628,2126272,2735788,2727320,2701396,2716532,2782840,2812940,2821064,2847996,2843224,2857732,2836864,2835088,2845380,2845672,2855496,2889280,3026420,3022636,3051860,3053588,3158064,3203820,3282700,3280416,3276495,3296560
 "54000","West Virginia",5,SQINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2175872,2172136,2184820,2170568,2156292,2176860,2231088,2320920,2443732,2504124,2500936,2482680,2433720,2370168,2327476,2310708,2282464,2265168,2280292,2306484,2369344,2399104,2405168,2402220,2403488,2417932,2432844,2431804,2486788,2511168,2500404,2485456,2480476,2446172,2381332,2334232,2266176,2195656,2131388,2090876,2061624,2052528,2076708,2126428,2118112,2132188,2120544,2124632,2151680,2163692,2194912,2169024,2231168,2264308,2289840,2274324,2343652,2357704,2321420,2323464,2333960,2334880,2313940,2330428,2354480,2378948,2391248,2420804,2399052,2418984,2412872,2420828,2413800,2421716,2425844,2438340,2493620,2472172,2488360,2495336,2525644,2567340,2630244,2629008,2619484,2636938
 "54000","West Virginia",5,SQINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",390656,430012,444516,490136,495428,480340,499468,528024,593744,602756,654284,650196,789740,790204,759852,749328,781796,819320,833804,832372,904244,944200,981320,1015124,1060612,1057916,1094784,1147432,1249084,1274508,1323984,1309632,1350112,1319720,1329232,1346660,1485908,1485892,1486408,1483844,1499560,1463320,1424372,1376004,1251452,1315768,1356232,1389404,1429144,1474164,1440760,1491636,1504024,1454556,1472848,1438548,1189948,1157932,1224028,1287556,1227144,1241756,1264912,1289512,1459716,1447836,1473436,1496788,1449628,1495692,1579052,1631828,1628720,1678524,1734580,1767300,1591580,1637744,1642816,1672896,1298616,1238996,1167668,1180900,1299654,1332259
 "54000","West Virginia",5,SQINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",21353630,21486458,21795506,21974730,22187501,22397769,22674253,23067085,23556797,23855989,23915837,24233425,24885844,25171724,25443616,25768284,25919864,26028704,26277488,26479348,26365756,26550268,26791072,27210404,27489012,28185312,28617780,28765960,29430656,29815424,30191396,30728664,31445964,31921384,32094276,32446644,32283048,32401520,32544892,32877816,33304268,33828076,34315164,34754896,33759484,33657828,33528876,33888148,33934800,34626644,35497576,35531560,36398768,37301824,37905500,37910392,38175524,38465868,38106876,38265568,37966792,38016984,37667268,37758536,37855044,38371604,38660208,39038212,38517672,38655248,38416768,38204436,37735344,37514912,37469896,37742732,38945664,38992452,39453728,39835252,40404348,41210592,42314852,42443900,42185708,42538214
 "54000","West Virginia",5,SQINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6739464,6846328,6869472,6784668,6660444,6670220,6711888,6825944,7026244,7168648,7236384,7269344,7302860,7243084,7172260,7103272,6981420,7025664,6936012,6960512,6877664,6758576,6730948,6750372,6681100,6764508,6795800,7170996,6814376,6982804,7005384,7296136,7393968,7590780,7690592,7788648,7935836,8300060,8400220,8448812,8640672,8622700,8790904,8683596,8446048,8364416,8214552,8075800,8031620,8113336,8184264,8426684,8742416,8893572,9006684,9349364,9473696,9692340,9467676,9981080,9243384,9216688,9313168,9404824,9521492,9758152,9936648,10039920,10030276,10229544,10282100,10201376,10157984,10176852,10206688,10274448,10404700,10489132,10597992,10878552,11131216,11341148,11511616,11607332,11540843,11680347
