GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "02000","Alaska",8,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",660651,653887,674767,699439,712612,704116,679876,704564,753392,807540,820296,844136,815448,790292,791684,788484,804084,810820,848608,860428,874316,892796,910744,925032,962576,993920,1024824,1052976,1060088,1081492,1105120,1107124,1117408,1137344,1170412,1209552,1222280,1248944,1277792,1305576,1326296,1354888,1377508,1401744,1491136,1558756,1593172,1658160,1758960,1773592,1811136,1852124,1891888,1954044,2018152,2072412,2077628,2090988,2182352,2316064,2400392,2458728,2553312,2618172,2650508,2898912,3137400,3483760,3777232,4010868,4264336,4574796,4603616,4943280,5049952,4976324,5319684,5201636,4868060,4938128,5206672,5221900,5214188,5300780,5406116,5446532,5604452,5730100,5960916,6148676,6315288,6715308,6733680,6950020,7303160,7622288,8084208,8638844,9012116,9198316,9331552,9388260,9560184,9773824,10004800,10072520,10129544,10275608,10851076,10899096,11036892,11076108,11153220,11103920,11042508,10962660,10636792,10573528,10568184,10694056,10814340,10943692,11134956,11377312,11565332,12083068,12496648,12296968,12486536,12776868,12962320,13147624,13205852,13236948,13473104,13704388,14078452,14174516,14379896,14449844,14883928,14913240,15019860,15212188,15346972,15423500,15569644,15712444,15856084,15882820,15991084,16093352,16167516,16296364,16500924,16647244,16892872,17253984,17378524,17581116,17949369,17998353,18113881,18396213,18402890,18551614,18608326,19139882,19691240,19973304,20255804,20394312,20772868,21288308,21305388,21595008
 "02000","Alaska",8,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",599802,586990,605310,628334,641783,632511,607043,634611,673988,726156,734164,757352,726740,704200,702248,702372,717604,724320,758360,762764,781688,800912,813228,822500,860160,890480,918308,946912,951284,978168,997756,997700,1011656,1032020,1062592,1097668,1112840,1139632,1165172,1190572,1213664,1243064,1274612,1300812,1353580,1423172,1452464,1513304,1615832,1603228,1623896,1651188,1699968,1749328,1816312,1883732,1884492,1898184,1973924,2073012,2102088,2121124,2187572,2232140,2404744,2707188,2975820,3370860,3990144,4241668,4560592,4934208,5137472,5585576,5697940,5554072,5452320,5254060,4789984,4839392,4989212,4950168,4919436,5017612,5049604,5095928,5244364,5355980,5547984,5721076,5900800,6272032,6397168,6628184,6886340,7194440,7436268,7792700,8031840,8115752,8490008,8648424,8845680,9112488,9306792,9303840,9258732,9277116,9710580,9709088,9836196,9820272,9759420,9603836,9549016,9501468,9101164,9004868,8970404,9084776,9195716,9371388,9530288,9717296,9765736,10307828,10758040,10440812,10559988,10859668,11058284,11265340,11309980,11285524,11518700,11717656,12058464,12065780,12201864,12150024,12567900,12485376,12539820,12681972,12803568,12812316,12937292,13003808,13050708,13007264,13111408,13152340,13123796,13183604,13380500,13471632,13591412,13916396,13955056,14078740,14461321,14384933,14482093,14781097,14729210,14802582,14764334,15232262,15615068,15754672,16000924,16097776,16524952,17045268,17202864,17345084
 "02000","Alaska",8,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",22103,21519,22231,23287,24371,23691,22371,23799,26080,27656,28148,29340,29056,28364,27916,27300,29020,28380,29128,28912,31964,32836,33288,33660,34452,35940,37820,39960,40592,41768,41680,40136,48116,47284,48356,48888,50392,52552,54524,57816,62784,66252,69424,71176,87836,92728,94668,99440,106380,105104,105264,105168,114816,116624,119376,122492,132448,131564,134440,138080,162416,162468,166320,170580,193540,223676,251072,294640,363708,388756,421556,456036,500432,541584,543356,519800,516456,486644,427556,422320,442324,431456,429392,437616,452424,460692,475272,484192,489380,496828,512252,545812,608412,638708,665880,697736,736876,765180,783520,780108,830540,842020,852256,881404,955996,952844,949512,950844,981564,973828,978872,969712,952364,924164,914312,907840,870540,863644,866228,884392,914832,943512,959820,976200,977728,1041008,1099264,1073472,1113768,1158428,1188444,1217300,1228904,1224176,1242036,1259292,1311156,1308500,1321440,1286672,1402280,1374972,1384232,1388432,1439816,1425544,1445804,1456332,1455448,1451000,1460044,1452068,1447936,1446624,1465508,1474144,1472692,1511620,1512244,1523028,1549468,1533212,1541872,1569196,1563184,1564128,1555076,1597380,1630860,1635096,1656128,1654708,1698956,1742656,1746236,1763620
 "02000","Alaska",8,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",8715,8543,8867,9267,9540,9448,9064,9540,10472,10920,10912,11240,11040,10768,10700,10644,11004,10896,11268,11228,12928,13232,13372,13576,14336,14856,15492,16068,16100,16452,16620,16168,20492,20184,20956,20832,21500,22468,23204,24644,26908,28792,30160,30972,34880,36600,37240,38700,41180,40524,40536,40304,43384,43720,44448,45404,48672,48208,49364,50676,60024,60224,62344,64180,73584,84428,94752,109624,134312,143932,155372,168088,180172,193948,195044,185864,185084,175044,156228,154308,160888,157892,156824,162320,167868,171352,177004,180372,182332,184772,191196,204248,228372,240212,250744,262132,272424,283780,293452,296084,318532,325876,332600,340828,356608,354712,354816,359836,381720,384996,392388,394648,395456,387872,384728,382320,367356,365860,367244,375408,394256,408420,417024,426308,433424,463192,491180,481792,501768,521320,538720,552756,561344,558852,567736,571720,588928,584060,588660,573040,622160,611524,615676,617948,643628,639904,649736,656128,661844,661768,667304,667548,666012,666024,676924,683568,687156,707436,709752,714964,733092,725848,728260,741120,741832,743092,737728,759448,774064,777984,790080,792856,818088,842456,846696,854044
 "02000","Alaska",8,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",13388,12976,13364,14020,14831,14243,13307,14259,15608,16736,17236,18100,18016,17596,17216,16656,18016,17484,17860,17684,19036,19604,19916,20084,20116,21084,22328,23892,24492,25316,25060,23968,27624,27100,27400,28056,28892,30084,31320,33172,35876,37460,39264,40204,52956,56128,57428,60740,65200,64580,64728,64864,71432,72904,74928,77088,83776,83356,85076,87404,102392,102244,103976,106400,119956,139248,156320,185016,229396,244824,266184,287948,320260,347636,348312,333936,331372,311600,271328,268012,281436,273564,272568,275296,284556,289340,298268,303820,307048,312056,321056,341564,380040,398496,415136,435604,464452,481400,490068,484024,512008,516144,519656,540576,599388,598132,594696,591008,599844,588832,586484,575064,556908,536292,529584,525520,503184,497784,498984,508984,520576,535092,542796,549892,544304,577816,608084,591680,612000,637108,649724,664544,667560,665324,674300,687572,722228,724440,732780,713632,780120,763448,768556,770484,796188,785640,796068,800204,793604,789232,792740,784520,781924,780600,788584,790576,785536,804184,802492,808064,816376,807364,813612,828076,821352,821036,817348,837932,856796,857112,866048,861852,880868,900200,899540,909576
 "02000","Alaska",8,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",0,0,0,0,0,0,0,0,-1512,-1644,-1660,-1712,-3240,-3128,-3112,-3116,-4880,-4920,-5164,-5216,-8300,-8536,-8648,-8780,-12636,-13112,-13668,-14120,-17452,-17940,-18380,-18368,-22436,-22868,-23496,-24300,-29764,-30472,-31156,-31900,-37584,-38396,-39408,-40348,-23672,-25012,-25548,-26672,-45632,-45304,-45960,-46764,-56940,-58620,-60948,-63200,-72104,-72804,-75744,-79432,-90128,-91212,-94052,-96060,-175148,-196812,-216688,-246796,-545880,-582996,-628536,-682180,-823312,-895796,-912236,-885504,-484484,-466764,-426004,-429464,-327368,-322868,-319768,-325820,-266532,-268560,-276172,-283176,-310404,-320900,-331048,-352792,-427140,-447488,-465616,-488072,-522168,-544972,-561268,-563108,-588576,-598548,-610584,-627512,-620376,-619388,-618520,-622580,-615456,-613792,-618984,-616204,-574524,-561272,-555524,-553440,-525496,-524412,-523260,-529624,-535348,-548508,-556532,-568080,-580572,-617960,-648344,-626272,-605044,-620912,-630236,-642432,-659948,-658440,-673028,-683764,-701652,-701100,-710152,-708340,-726804,-722164,-724472,-731248,-738268,-737684,-743896,-745904,-745308,-741784,-747224,-748736,-760964,-762584,-774192,-778568,-760800,-779576,-780412,-786816,-821240,-814904,-818212,-834040,-820776,-823384,-818160,-844852,-865292,-870976,-886048,-888520,-838528,-863816,-870208,-879296
 "02000","Alaska",8,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",577699,565471,583079,605047,617412,608820,584672,610812,646396,696856,704356,726300,694444,672708,671220,671956,683704,691020,724068,728636,741424,759540,771292,780060,813072,841428,866820,892832,893240,918460,937696,939196,941104,961868,990740,1024480,1032684,1056608,1079492,1100856,1113296,1138416,1165780,1189288,1242072,1305432,1332248,1387192,1463820,1452820,1472672,1499256,1528212,1574084,1635988,1698040,1679940,1693816,1763740,1855500,1849544,1867444,1927200,1965500,2036056,2286700,2508060,2829424,3080556,3269916,3510500,3795992,3813728,4148196,4242348,4148768,4451380,4300652,3936424,3987608,4219520,4195844,4170276,4254176,4330648,4366676,4492920,4588612,4748200,4903348,5057500,5373428,5361616,5541988,5754844,6008632,6177224,6482548,6687052,6772536,7070892,7207856,7382840,7603572,7730420,7731608,7690700,7703692,8113560,8121468,8238340,8234356,8232532,8118400,8079180,8040188,7705128,7616812,7580916,7670760,7745536,7879368,8013936,8173016,8207436,8648860,9010432,8741068,8841176,9080328,9239604,9405608,9421128,9402908,9603636,9774600,10045656,10056180,10170272,10155012,10438816,10388240,10431116,10562292,10625484,10649088,10747592,10801572,10849952,10814480,10904140,10951536,10914896,10974396,11140800,11218920,11357920,11625200,11662400,11768896,12090613,12036817,12122009,12377861,12345250,12415070,12391098,12790030,13118916,13248600,13458748,13554548,13987468,14438796,14586420,14702168
 "02000","Alaska",8,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",61388,66704,70632,73092,74548,74272,72920,72104,85344,89196,94412,94684,95952,90380,90764,90008,93684,92940,99140,106088,105636,106464,112428,117200,119948,123460,129048,131220,135900,133668,136000,136184,143388,142032,145980,148660,151992,154860,158896,164260,168808,168532,163036,161800,197796,201108,207588,216628,237088,247760,263096,271808,281672,285228,288672,280968,305696,306336,319464,326264,340592,348252,363388,382992,394632,403628,426752,451916,481156,497704,515356,528580,561584,571900,573288,578480,610192,626612,642324,659044,702692,718832,736280,749620,796216,801492,805764,832256,888316,917796,911984,962960,974920,1024444,1125940,1187588,1257060,1307856,1360352,1431064,1504312,1534184,1592124,1625068,1652760,1698512,1749752,1794764,1868792,1890820,1907212,1941500,1982420,1982632,1940608,1896072,1890392,1908660,1953164,1989176,1982240,1958552,1993092,2053280,2153968,2212176,2240656,2271652,2309056,2326060,2354392,2335052,2354496,2370668,2394700,2406284,2452264,2510832,2550592,2601140,2683896,2707396,2742752,2791524,2840732,2911352,2973120,3041640,3074020,3108340,3131240,3166924,3186388,3210548,3249744,3295760,3318004,3377768,3425180,3478548,3456596,3498636,3510132,3482260,3447088,3454260,3474724,3523360,3602984,3655240,3679360,3686648,3641292,3611680,3575484,3540132
 "02000","Alaska",8,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",21564,21712,21056,21300,20652,21024,22284,21648,21652,21488,21528,23152,25052,27204,29700,26520,26696,26860,25400,25704,27256,26792,27024,27772,29556,29032,28956,28924,30948,29364,31424,31744,32916,33444,33692,36412,37604,37476,39404,40460,44192,47940,48692,50656,51268,52216,53336,54340,58052,73012,75368,81060,82004,94732,93492,93404,91992,90836,99148,134300,210256,243032,262724,269680,219820,208584,202588,202420,215520,243248,238480,250224,228304,223184,234316,249076,258112,274372,289312,291476,284460,307224,307632,296984,279252,278364,305768,309232,324400,327532,345804,378920,397144,383588,422376,426068,649924,848440,964712,994716,756348,646220,585220,545184,621620,642400,689092,777152,868724,886808,891340,900252,938268,1002888,1022720,1026400,1041272,1048056,1034104,1034120,1086564,1105772,1127928,1151016,1203928,1222032,1245560,1284248,1336304,1370480,1368324,1406964,1430228,1463372,1474768,1523504,1580532,1607504,1659032,1693692,1761216,1817604,1845992,1858372,1880756,1863060,1848932,1869232,1932112,1960000,1955704,1974892,2066232,2111420,2110380,2132564,2216948,2251016,2290944,2333672,2402160,2462900,2481740,2536092,2610552,2682284,2742504,2826492,2969340,3069464,3117696,3153116,3144108,3237832,3143484,3352708
 "02000","Alaska",8,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",455452,445968,461328,480016,491288,485284,466020,492564,524776,569680,575584,593372,563928,545288,542532,544480,554924,559228,585700,590732,605200,623192,632072,641140,669304,694856,723752,747908,742976,762440,779276,776424,785552,802380,826712,856184,867572,889632,910608,932244,951748,974804,1002376,1025840,1057784,1117580,1141244,1192136,1265796,1253488,1264876,1279660,1315088,1351236,1403088,1456492,1450516,1463612,1523692,1600608,1611980,1633488,1687132,1724176,1844224,2088440,2314716,2656312,3172288,3394124,3676164,4003564,4135620,4505216,4572204,4400476,4270532,4086600,3699880,3716576,3783432,3729076,3689640,3771148,3777936,3810436,3921848,4021052,4155460,4285204,4417788,4716404,4894268,5127344,5337784,5596576,5783028,6033516,6211088,6218808,6439072,6546760,6673772,6864668,6975720,6955532,6931948,6963304,7102916,7066352,7113924,7071152,6971232,6786364,6701020,6662840,6430596,6402956,6385604,6467536,6390752,6560636,6658624,6795380,6931292,7373248,7736204,7464396,7550148,7762308,7885240,8034340,8136376,8107464,8260260,8365120,8611808,8585168,8677440,8648344,8958096,8913656,8946168,9026348,9145468,9140988,9232760,9274224,9275156,9240688,9312428,9334496,9402988,9431608,9584684,9649516,9679588,9935732,9956388,10042768,10332144,10239864,10280152,10463536,10426560,10437768,10368504,10698384,10964248,11010300,11170852,11163780,11460228,11759468,11799916,11915776
