GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "06000","California",8,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",38965686,39575878,40692450,41775626,42352760,43649732,44566192,45556728,45724144,46372480,46809572,47178376,48086060,48801604,49608400,50570176,51432840,52543112,53615872,54750188,55582712,55986928,57044244,58346368,59775716,61061984,61977968,62802744,63819036,64796724,66228948,67625320,69200788,70760384,72027396,73435248,74962188,75698644,77505388,78760124,80966574,83054874,85201266,87000118,89232184,91517588,93021288,94869132,96884400,98965180,100394116,101426152,102847960,104934740,106780084,109385960,112083472,113899704,117554880,121866208,123020916,126522440,129047724,132517980,136248344,140528752,144969808,148282780,151504564,155564752,159602836,163887460,168155800,172482804,177554852,181505696,185566440,191026440,195719196,203819532,210784944,217704048,223608124,230463104,239585324,245576196,254045396,261488684,270902176,278293460,287938140,300098144,307360916,314337352,326631284,329899052,336562048,339920480,344230812,348656492,358256864,364887276,372467980,383622996,396101944,405237832,416655236,425190652,434985560,438791088,446695020,455795824,465029236,472313780,481343228,488042712,498918256,510142380,516283180,528164416,540904520,552436300,564583052,574240680,590526808,594620816,600562804,617309856,631307088,640724864,647236192,655471560,656234560,662124920,668091884,677519028,688378496,700270728,707686812,713460252,714331496,718118320,719540776,726933344,730583100,740019880,744716348,754397244,767973576,775727296,786343388,792527080,810929040,825512132,834572332,847652888,860316152,873365232,889388436,907639404,938044795,949880487,967465187,984408519,1000684128,1013885388,1029881480,1061226392,1101574402,1120739850,1156204114,1157343434,1179622060,1176095392,1169971736,1169385936
 "06000","California",8,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",31637458,31923690,32817114,33726922,34747464,35784268,36425644,37153772,37377092,37862984,38103240,38315720,39037128,39585104,40254588,41105024,42028624,42945228,43784452,44721072,45529036,45821672,46632092,47682120,48778068,49822060,50401840,50987456,51663104,52396648,53273808,54637368,56627664,58091632,59008964,59655112,60712428,61245260,62887840,64064104,66034382,67625058,69446634,70837198,71828844,73843064,75031684,76612876,77580296,78147540,78711376,78969412,80204140,81439148,83110320,85578236,87821324,89957400,92394128,95435384,97161604,100126276,101949240,104298620,107103704,109838996,112807944,114717028,116107100,118275796,121677548,125111056,128933188,132894244,136889656,140186876,144184104,148838248,152197708,159103316,165093040,171384408,175396472,181232796,189672652,194508216,200722248,205176768,210209068,215995844,221933464,230261056,235416820,238430700,244145892,245102096,250665040,253436384,256789212,259922500,267970572,272632656,277285784,285779460,298272148,304515096,312460760,318552172,327417700,330438332,337981884,346040852,351714424,358406544,368587144,376676812,387217332,397683744,401464992,410998412,423108332,434359020,442872140,448004400,457109440,457885964,461586600,475966616,487160056,493805872,497442328,503431516,504298840,509108680,514175820,519271872,527980708,535931760,540914744,542329104,542638700,545149776,545628760,552032864,554726228,561986508,564275268,569131748,577965688,582668992,591030920,594371756,607648812,618352972,625949828,637583700,648365900,660870280,674402632,688470440,712119543,718724139,735357099,754058775,769896300,782942056,797563380,827374776,860689386,873897242,909194398,906415954,922015092,915236912,911716952,910089016
 "06000","California",8,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",1085720,1093128,1123516,1147984,1372832,1413592,1441196,1469012,1702996,1717644,1733312,1726432,1779700,1800900,1839824,1906900,2144268,2226436,2290304,2333616,2592876,2594508,2631176,2679948,2692472,2722992,2740572,2766132,2792956,2825540,2861880,2904580,3655868,3716736,3800828,3786364,3955292,4047596,4145240,4250732,4446708,4548040,4644692,4708088,4685332,4796292,4866788,4960280,5023628,5032704,5020168,4993836,5372064,5402136,5449492,5573704,6222000,6286380,6370680,6453464,7774100,7920716,8021028,8176456,8757096,8950756,9139992,9205168,9413592,9494648,9651208,9838552,10632028,10846492,11108028,11324880,12086724,12452376,12654004,13046652,14018404,14536904,14975792,15691132,16756916,17345116,18058904,18491264,18677744,18872788,19389564,20109704,22294532,22878860,23454120,23743228,24571748,24861900,25122708,25421344,26760016,27302084,27818000,28682624,31116492,31642540,32415604,33069552,34355428,34753336,35591332,36590720,37405720,38096296,39084588,40165784,41049076,42234704,42607724,43529860,46124772,47413244,48187464,49191640,49901648,50667592,51336256,52352776,53542860,53870208,54366016,55313800,55374484,56177272,56885508,57208720,58582032,58964784,58997440,57523844,59941156,59263988,59425060,59495052,61175848,61545272,61817876,62229320,62989240,63350512,63992316,63821996,64604240,65182008,65821132,66973724,67611188,69119788,70415860,71763712,73547100,73942244,75533496,77315500,79153144,80385044,81579284,84307780,87578680,88133184,92278492,92288004,95000660,94784956,94686528,95187656
 "06000","California",8,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",506968,504696,515796,517876,595892,606816,612724,623092,734136,743504,755184,757308,779156,786676,797256,812912,854180,873948,893500,912328,1056452,1064852,1082700,1102160,1128156,1140448,1151948,1171104,1205908,1227936,1249176,1267124,1650728,1670200,1743652,1729880,1844104,1910664,1945852,1986424,2066588,2122140,2160852,2186768,2376676,2431332,2466784,2509384,2545456,2546248,2546944,2528544,2705840,2711752,2729712,2782468,3070012,3097952,3146808,3176016,3825936,3889568,3942248,4001088,4310564,4408732,4509184,4545680,4667208,4700756,4762880,4832028,5128104,5203680,5318788,5421668,5772676,5946908,6043400,6208108,6599692,6821116,7017900,7380492,7927744,8235564,8562632,8739512,8771528,8805816,9080736,9453992,10561540,10906732,11267916,11443600,11858304,12019144,12168620,12315432,12863480,13115976,13352680,13740620,14696108,14934660,15310272,15661632,16505504,16765836,17229996,17773412,18275232,18675136,19237200,19847540,20467856,21135380,21388036,21894748,23293232,23961512,24339988,24840012,25366484,25727896,26037776,26511480,27092764,27194148,27535192,28112940,28285236,28764908,29169784,29354120,29992816,30184424,30245852,29548996,30850320,30551268,30696336,30752880,31669400,31890164,32073052,32340332,32901736,33154012,33528400,33473260,33902296,34218056,34527384,35039840,35286104,35960928,36554576,37216876,38302496,38526848,39338148,40242876,41281440,41936668,42590060,44085200,45857816,46208340,48337460,48209892,49585260,49326388,49155000,49276208
 "06000","California",8,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",578752,588432,607720,630108,776940,806776,828472,845920,968860,974140,978128,969124,1000544,1014224,1042568,1093988,1290088,1352488,1396804,1421288,1536424,1529656,1548476,1577788,1564316,1582544,1588624,1595028,1587048,1597604,1612704,1637456,2005140,2046536,2057176,2056484,2111188,2136932,2199388,2264308,2380120,2425900,2483840,2521320,2308656,2364960,2400004,2450896,2478172,2486456,2473224,2465292,2666224,2690384,2719780,2791236,3151988,3188428,3223872,3277448,3948164,4031148,4078780,4175368,4446532,4542024,4630808,4659488,4746384,4793892,4888328,5006524,5503924,5642812,5789240,5903212,6314048,6505468,6610604,6838544,7418712,7715788,7957892,8310640,8829172,9109552,9496272,9751752,9906216,10066972,10308828,10655712,11732992,11972128,12186204,12299628,12713444,12842756,12954088,13105912,13896536,14186108,14465320,14942004,16420384,16707880,17105332,17407920,17849924,17987500,18361336,18817308,19130488,19421160,19847388,20318244,20581220,21099324,21219688,21635112,22831540,23451732,23847476,24351628,24535164,24939696,25298480,25841296,26450096,26676060,26830824,27200860,27089248,27412364,27715724,27854600,28589216,28780360,28751588,27974848,29090836,28712720,28728724,28742172,29506448,29655108,29744824,29888988,30087504,30196500,30463916,30348736,30701944,30963952,31293748,31933884,32325084,33158860,33861284,34546836,35244604,35415396,36195348,37072624,37871704,38448376,38989224,40222580,41720864,41924844,43941032,44078112,45415400,45458568,45531528,45911448
 "06000","California",8,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-3312,-3312,-3452,-3508,-4140,-4336,-4548,-4616,-4680,-4744,-4772,-4784,-5280,-5332,-5396,-5364,-5428,-5544,-5716,-5836,-5592,-5524,-5696,-5832,-6720,-6904,-6808,-6888,-7800,-7968,-8224,-8656,-10072,-10700,-10964,-11008,-12064,-11992,-12332,-12660,-13724,-13996,-14316,-14536,-94896,-97220,-98060,-99684,-93464,-93836,-94432,-92992,-109020,-109404,-111420,-114760,-115816,-116416,-119068,-120056,-100732,-103484,-103760,-104508,-100760,-100468,-101636,-97572,3120,11400,21084,31656,110500,127104,126412,115804,-7840,-16020,-26032,-32288,-23696,-24044,-18404,-20584,60928,61628,61684,62792,6640,5664,3644,10076,269068,280072,290060,305204,288600,294920,301212,297524,292820,298364,300808,308708,243516,248672,244440,241468,195496,198732,196172,188556,165824,157792,148688,145172,80604,66476,76692,82000,34776,33832,39592,41860,18264,28536,34336,18920,-61976,-49700,-32852,-42544,-49596,-44368,-35912,-21652,-59532,-55084,-40232,-16648,8604,18744,28900,43244,19136,27916,41580,55300,16488,16776,22552,42656,11076,12036,20632,10920,-48780,-63456,-77388,-83372,-77004,-59432,-71292,-88112,-36248,-61576,-87392,-132116,-210500,-219780,-318980,-266988,-376776,-310792,-282540,-286060
 "06000","California",8,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",30548426,30827250,31690146,32575430,33370492,34366340,34979900,35680144,35669416,36140596,36365156,36584504,37252148,37778872,38409368,39192760,39878928,40713248,41488432,42381620,42930568,43221640,43995220,44996340,46078876,47092164,47654460,48214436,48862348,49563140,50403704,51724132,52961724,54364196,55197172,55857740,56745072,57185672,58730268,59800712,61573950,63063022,64787626,66114574,67048616,68949552,70066836,71552912,72463204,73021000,73596776,73882584,74723056,75927608,77549408,79889772,81483508,83554604,85904380,88861864,89286772,92102076,93824452,96017656,98245848,100787772,103566316,105414288,106696628,108792548,112047424,115304160,118411660,122174856,125908040,128977800,132089540,136369852,139517672,146024376,151050940,156823460,160402276,165521080,172976664,177224728,182725028,186748296,191537964,197128720,202547544,210161428,213391356,215831912,220981832,221664072,226381892,228869404,231967716,234798680,241503376,245628936,249768592,257405544,267399172,273121228,280289596,285724088,293257768,295883728,302586724,309638688,314474528,320468040,329651244,336656200,346248860,355515516,358933960,367550552,377018336,386979608,394724268,398854620,407226056,407246908,410284680,423632760,433555220,439885964,443043460,448075172,448874760,452887040,457254400,462041500,469339144,476911892,481877072,484788612,482706148,485904532,486232600,492581056,493569516,500469152,502498972,506957728,514992936,519335256,527061156,530592416,543055648,553183000,560149328,570620896,580705932,591687036,603909384,616623356,638495439,644722463,659752311,676655163,690706908,702495436,715896704,742934880,772900206,785544278,816596926,813860962,826637656,820141164,816747884,814615300
 "06000","California",8,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",6430180,6514976,6664828,6865652,6825652,7050996,7272084,7487912,7622140,7692036,7801740,7871140,7908808,8006404,8154016,8367200,8439836,8704432,8923528,9095496,9168020,9313448,9520456,9747684,9981500,10215004,10462872,10669248,10890752,11159800,11417660,11598304,11841980,12006676,12202744,12379708,12658268,12837676,12964072,12986060,13128884,13375424,13650668,13955492,14629656,14938824,15295600,15693380,16226304,16608948,17199616,17468612,17842664,18127236,18414856,18691956,19348940,19077376,20323864,20763528,21232136,21785124,22463560,23363800,24200452,24992672,25794008,26557964,27304772,27633056,28168072,28636088,29150400,29738460,30311192,30980484,31651996,32638148,33678876,34934724,36256760,37202956,38700580,40180200,41379720,42559268,44170028,46969124,50577480,52224796,53206520,56710736,59501140,63271648,68221752,70520944,71907160,72095504,72025208,72573988,74707592,76686540,80468492,83563248,85227924,88336712,92093920,94127808,94982492,95528896,95842240,97335456,100309584,100837936,99828144,99091136,99831068,101087040,103623728,106400744,107514340,108550696,112181632,116937968,121841844,125138316,127125524,129266820,130914084,132645072,134893976,135035188,133724228,133753976,134263284,134271532,134505316,135655336,135689764,136487308,138673144,139230164,139310876,139868188,141644884,144242528,146775112,150263684,153036532,155999504,158557388,161622472,163924744,166148888,168830216,171696540,173665996,176681680,179955152,184179916,189335824,193727316,195734512,194474568,193062824,194469708,196292136,200276880,208226140,213078552,216865984,220078580,220345516,220439024,218390724,215019200
 "06000","California",8,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",1987080,2233652,2337476,2334544,2156616,2232396,2314208,2388672,2432588,2539848,2642676,2722732,2925104,3016328,3045016,3010216,3114076,3125432,3203912,3273072,3484124,3451840,3528568,3602344,3715340,3754816,3860636,3919060,4065936,4073784,4407584,4302884,4397084,4389512,4627480,5197800,5558848,5675296,5811048,5973352,6263740,6616428,6762972,6930052,7553912,7629212,7658852,7622840,8194892,9335232,9597724,10074956,10282240,10879896,10815820,10804232,11251024,11267724,11326636,12240816,12502008,12635240,12759712,13136524,13802044,14748308,15609484,16310528,17503164,19139148,19387340,19947212,20593740,20569488,21335620,21547412,21824904,22018440,22522648,22860432,23477244,23677632,24505268,24761824,25228940,25792200,27150340,27771264,28786732,28939944,32184076,33225980,34468420,35233792,37427700,37714036,38272996,38955572,40237888,41283824,42045896,42571800,42230896,42654204,43474848,43779892,44271720,45338756,46745300,47378464,48266056,48821680,50245124,51007804,51863840,52295376,52838328,53539824,53725492,54213120,56371844,56905996,57677152,58448092,61458908,62235592,63152600,64410276,66837784,68193828,69298756,72361200,73635572,75483904,76574200,81205996,84534036,87703500,90119976,92184332,92952204,92983624,93997300,94484100,95368700,95308200,95442264,97175832,99944108,100392536,100724844,100312192,103948648,106180244,105592788,105335452,105944224,104996516,105523900,106836132,110213532,111430708,111978364,113278788,116914396,116920244,117692640,118014632,120448056,122117020,122741204,123403892,132638888,135515204,134833128,139751436
 "06000","California",8,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",24137108,24325720,25080816,25863688,26531868,27345960,27855652,28473884,28680476,29122052,29363368,29519624,30024480,30449300,30983960,31634732,32188168,32971284,33634576,34262608,34929316,35229324,35911928,36641324,37414564,38128744,38543592,39022012,39642364,40231600,41021960,42130120,43288520,44743804,45569212,46078680,46948168,47423048,48610292,49608500,50994956,52163240,53507416,54658424,55745452,57455096,58555040,59971884,60802052,61148776,61455240,61629736,62353232,63132080,64374112,66191128,67388240,68834008,70681708,72648572,74146720,76300968,77772016,79406700,81327544,83532056,85719376,86932752,88083464,89489360,91727356,94250468,96694556,99358216,102193628,104549644,107310784,110997984,113784176,118473164,122944876,127513968,130557672,135400992,140670224,144248248,149434252,153628436,158028024,161433804,165475196,171388900,176684000,180561656,184683780,186489052,190052744,191953076,193645784,195858340,199430764,203763692,207994016,214735076,221919888,226007720,231814464,236902980,243164812,246136368,251824864,258170708,262118040,265734304,271390520,278040776,284772544,292897236,295515948,302856960,308300920,317636136,322297276,328173108,334127664,338412236,343346928,351961524,360974976,366152492,367911244,372292040,368593316,370856888,373388720,374616428,379739668,382155568,382857572,382613044,381618076,383080112,384199544,387429296,388612644,394674656,396909460,400958220,408141208,412637104,419048864,420306588,430013156,436660308,443042008,451983156,459189020,470479596,480355608,491102624,505751804,509465580,521080448,534072636,546678072,556634296,567642048,591544404,621890108,627598860,655532808,648798876,659699224,649770412,642329380,640402184
