GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "09000","Connecticut",1,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",6400128,6501876,6567964,6681896,6758940,6913680,7073316,7201780,7210780,7276696,7267148,7349836,7464568,7640280,7785796,7916344,8041840,8194524,8296124,8376500,8519776,8613184,8757540,8873848,9080664,9245384,9415236,9597920,9745764,9976328,10012788,10419532,10582872,10862508,11139604,11508964,11775496,11991088,12256896,12322172,12503072,12753620,12922248,13136228,14263864,14548508,14851848,15105908,15334908,15658856,15819856,15881640,16205684,16382992,16621888,16847044,17016428,17485420,18019008,18697888,18949332,19233128,19491992,19898972,20336268,20941888,21441144,21909652,22168664,22493376,22883428,23356704,23708780,24158784,24933036,25345016,26063628,26649768,27269344,28147868,28779952,29663000,30531356,31349132,32510180,33147564,34236132,35360520,36852352,37646164,38895056,40582132,41571052,42593312,44172580,44634952,45370348,46308956,47222104,47903928,48676012,49195144,50030352,51931456,53335424,55175480,57070436,57941404,58846604,59365992,60395568,61391892,61916760,63971844,65262428,67062364,67961580,69528296,71266216,73016968,75313008,76581712,78396084,80382192,82308584,83840780,85074776,85771728,85695128,86879200,87532524,87449632,86697340,87840188,87964256,88761256,92153568,93959052,94701704,96262992,95212012,97023092,98010844,99144392,98816184,99208668,100339660,102068688,103777324,105107280,106438480,107247016,108289048,110300548,111480652,112915064,115296620,117018276,118513224,121139184,124632114,126231566,128303818,130143406,131235581,133118117,135604453,137702869,143862105,145825649,148527253,150004129,154581320,156074896,154742136,155573932
 "09000","Connecticut",1,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",5181288,5210608,5226840,5336308,5464616,5585120,5723232,5828192,5859280,5917692,5872916,5917716,5982316,6093608,6219344,6312120,6447112,6563364,6627524,6666928,6801600,6873876,6984372,7055520,7198032,7328020,7457928,7612548,7712980,7913852,7838856,8250860,8478688,8755808,8986868,9251464,9353248,9454028,9668500,9774088,9958296,10206292,10377412,10582612,10871820,11096316,11346064,11550228,11722260,11830364,11880076,11788276,12112140,12073124,12259712,12413192,12605440,13042524,13497060,13992868,14398248,14610148,14772952,15074128,15394204,15802132,16104876,16361172,16318348,16371064,16582836,16978108,17356660,17745196,18357072,18654920,19310128,19778820,20208944,20951736,21476148,22293804,22956852,23632392,24588968,25042520,25747040,26496972,27343604,27797848,28489892,29628716,30365900,30825696,31421568,31525444,32211852,32848280,33495480,33934192,34809668,35176608,35701400,37250600,38377028,39684588,41106236,41743336,42577748,43207180,44311100,45122036,45122452,47027288,48169632,50040040,50881988,52199556,53632232,54823808,56817312,57887952,59008736,60122308,60817568,61385740,62018840,62346928,62362384,63514124,64141940,63998324,63545120,64668480,64521612,64729984,66326568,67656188,68021816,69067468,68558384,70200200,71015796,72049944,72264256,71930628,72928268,73894952,74492256,75514600,76666208,77430672,77393980,79102488,80228200,81327812,84022532,85443200,86452876,88783016,90712438,91533994,93591894,95732354,97131453,99118925,101193157,102688289,108228689,108894201,110934745,111467873,115887640,117616868,116574932,117755252
 "09000","Connecticut",1,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",182312,183048,183216,186132,221976,226788,233604,238420,276368,278288,277460,278788,286272,289284,292048,292712,317152,319848,321288,322736,362792,366720,372048,374496,374512,376912,380452,385156,384708,393760,389740,413660,527916,544844,566192,573068,586052,596128,607844,619424,647692,668352,678508,689740,734192,744712,760088,772336,785148,790268,787764,774816,848112,835900,837972,840936,934484,959528,980284,1003680,1217292,1226148,1234832,1264256,1356652,1391596,1414600,1423672,1425020,1415316,1416068,1438152,1539160,1558320,1601176,1614020,1730460,1761504,1785260,1836912,1947212,2025548,2095340,2176736,2313260,2375376,2457580,2537084,2597588,2622980,2692588,2805920,3073196,3137988,3198960,3210868,3358276,3404868,3471288,3488928,3667444,3689612,3725912,3864148,4133580,4250536,4377388,4461796,4609436,4683868,4791596,4884100,4979296,5096572,5194924,5390472,5465904,5588448,5731084,5828112,6193508,6286820,6392656,6551624,6606876,6672592,6715064,6709428,6711244,6770828,6847684,6862264,6883488,7053384,7051048,7055368,7174448,7294448,7303500,7231660,7389864,7462140,7574816,7634984,7838368,7754580,7892932,8004956,8096264,8220836,8342152,8415712,8422968,8586888,8688880,8789824,8971216,9082632,9143380,9385968,9421404,9467900,9643440,9836096,9823660,9996448,10158236,10235772,10635036,10574284,10762980,10747196,10924472,11074416,10968056,11222768
 "09000","Connecticut",1,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",82240,81844,81768,82016,94716,96080,97804,99288,116280,117104,117160,118252,121312,123232,125124,126228,131368,132952,134068,135056,156684,158328,160396,161024,164064,164500,165652,167596,168848,172440,170776,180628,239068,246024,261052,263696,276132,285192,289424,293624,304476,314700,318580,323160,352700,358084,365664,372056,379188,382044,383148,377188,413304,406740,406956,407008,445312,456004,467280,476484,578864,582768,588184,599364,647156,664852,677608,684996,689324,684828,685116,691720,726952,731536,747568,750724,798824,811108,819164,840212,882868,916572,949256,987656,1053400,1086572,1130604,1174756,1213392,1228668,1271644,1329256,1457628,1491416,1526108,1535984,1608364,1634472,1669300,1677464,1748660,1754804,1767428,1825104,1914896,1963772,2027376,2077308,2191420,2243052,2305392,2353348,2401360,2458572,2505976,2614072,2668516,2741604,2814716,2859332,3048404,3089112,3148496,3230032,3297340,3339440,3365076,3367660,3363408,3390688,3441712,3459824,3482248,3575404,3577132,3579472,3632080,3687864,3686888,3651432,3719872,3758308,3814628,3851908,3955456,3916516,3991240,4053516,4118532,4184276,4248248,4282928,4281708,4362296,4414212,4467316,4577232,4643240,4680956,4801888,4822836,4851988,4949916,5055144,5081432,5178856,5265144,5306880,5488004,5452720,5558604,5574760,5688308,5774128,5703536,5800736
 "09000","Connecticut",1,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",100072,101204,101448,104116,127260,130708,135800,139132,160088,161184,160300,160536,164960,166052,166924,166484,185784,186896,187220,187680,206108,208392,211652,213472,210448,212412,214800,217560,215860,221320,218964,233032,288848,298820,305140,309372,309920,310936,318420,325800,343216,353652,359928,366580,381492,386628,394424,400280,405960,408224,404616,397628,434808,429160,431016,433928,489172,503524,513004,527196,638428,643380,646648,664892,709496,726744,736992,738676,735696,730488,730952,746432,812208,826784,853608,863296,931636,950396,966096,996700,1064344,1108976,1146084,1189080,1259860,1288804,1326976,1362328,1384196,1394312,1420944,1476664,1615568,1646572,1672852,1674884,1749912,1770396,1801988,1811464,1918784,1934808,1958484,2039044,2218684,2286764,2350012,2384488,2418016,2440816,2486204,2530752,2577936,2638000,2688948,2776400,2797388,2846844,2916368,2968780,3145104,3197708,3244160,3321592,3309536,3333152,3349988,3341768,3347836,3380140,3405972,3402440,3401240,3477980,3473916,3475896,3542368,3606584,3616612,3580228,3669992,3703832,3760188,3783076,3882912,3838064,3901692,3951440,3977732,4036560,4093904,4132784,4141260,4224592,4274668,4322508,4393984,4439392,4462424,4584080,4598568,4615912,4693524,4780952,4742228,4817592,4893092,4928892,5147032,5121564,5204376,5172436,5236164,5300288,5264520,5422032
 "09000","Connecticut",1,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-1884,-2132,-1404,-1688,-900,-1120,-2108,-2692,3248,2740,3480,2980,2976,2740,2120,2608,3328,2936,2780,2372,3752,3876,3224,3712,4964,4908,4928,3576,2032,764,3912,268,1944,248,-1040,-3184,1024,1264,680,2332,5692,5912,7276,7904,699636,714968,730592,747936,700712,714020,726884,725476,734788,744096,751420,764144,765172,785496,800668,821412,801352,801836,801868,811980,815012,832156,846976,858412,903992,925116,939984,946040,989936,994032,1007512,1006820,1074428,1091544,1120252,1134304,1226556,1254464,1271028,1305204,1388836,1420964,1462376,1483316,1623248,1677252,1698120,1757560,1811716,1869392,1915996,1973908,1989800,2003956,2060184,2106436,2093888,2160248,2197088,2259876,2264432,2322380,2347272,2422604,2499480,2548368,2601428,2660252,2629736,2640244,2703328,2720648,2753316,2801136,2831376,2907324,3128196,3037584,3022336,3101476,2993532,3084336,3140504,3129836,2730332,2755688,2782096,2711820,2655240,2685160,2740436,2756208,3867844,3832420,3939184,4114700,3193748,3331600,3382720,3473844,2934900,3187116,3107656,3178636,3820656,3805456,3834864,3845736,4503592,4510980,4500976,4630460,3966696,3981012,4121088,4219128,5297208,5572988,5557036,5499820,5421220,5274624,5396396,5354808,5315608,5437348,5511972,5839428,5889008,5532756,5457728,5372372
 "09000","Connecticut",1,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",4997092,5025428,5042220,5148488,5241740,5357212,5487520,5587080,5586160,5642144,5598936,5641908,5699020,5807064,5929416,6022016,6133288,6246452,6309016,6346564,6442560,6511032,6615548,6684736,6828484,6956016,7082404,7230968,7330304,7520856,7453028,7837468,7952716,8211212,8419636,8675212,8768220,8859164,9061336,9156996,9316296,9543852,9706180,9900776,10837264,11066572,11316568,11525828,11637824,11754116,11819196,11738936,11998816,11981320,12173160,12336400,12436128,12868492,13317444,13810600,13982308,14185836,14339988,14621852,14852564,15242692,15537252,15795912,15797320,15880864,16106752,16485996,16807436,17180908,17763408,18047720,18654096,19108860,19543936,20249128,20755492,21522720,22132540,22760860,23664544,24088108,24751836,25443204,26369264,26852120,27495424,28580356,29104420,29557100,30138604,30288484,30843376,31447368,32084376,32551700,33236112,33647244,34172576,35646328,36507880,37756432,39076120,39704144,40467792,41071680,42120932,42898188,42772892,44570960,45678036,47370216,48169400,49412244,50732524,51903020,53752000,54638716,55638416,56672160,57204224,57797484,58444280,58767336,58381472,59498984,60076352,59847880,59316872,60300256,60211000,60430824,63019964,64194160,64657500,65950508,64362268,66069660,66823700,67888804,67360788,67363164,68142992,69068632,70216648,71099220,72158920,72860696,73474604,75026580,76040296,77168448,79018012,80341580,81430584,83616176,86588242,87639082,89505490,91396078,92729013,94397101,96431317,97807325,102909261,103757265,105683737,106560105,110852176,112075208,111064604,111904856
 "09000","Connecticut",1,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",1063680,1083348,1105104,1125908,1139296,1178756,1211540,1238932,1251604,1255396,1277144,1296796,1326268,1363948,1408044,1457916,1470096,1514176,1548252,1578568,1605212,1639476,1675152,1713364,1757416,1797644,1835648,1869552,1905808,1954744,2006888,2052972,2090164,2112864,2161416,2215180,2344132,2445212,2480460,2424324,2398036,2362656,2337172,2335216,2492880,2535120,2578244,2627808,2697740,2752196,2829860,2880924,2896392,2942828,2992988,3041384,3096656,3119608,3239060,3309720,3365060,3434264,3517656,3608076,3731508,3838936,3936548,4020452,4079712,4070424,4116012,4181076,4195944,4315300,4433744,4545752,4622392,4735552,4859620,5009988,5139584,5275932,5441204,5599356,5760472,5910808,6120304,6501056,6965316,7273644,7468080,7993308,8364720,8867320,9543472,9827968,9965060,10201448,10240152,10263008,10314700,10357104,10685596,11032484,11481844,12018732,12575996,12719752,12708376,12586228,12476844,12677912,13150980,13351724,13451140,13547124,13572488,13847092,14235696,14764692,14929620,15240840,15931724,16745408,17731852,18529944,18966028,19146044,19100732,18954752,18892460,18802952,18298460,18177316,18212712,18233272,18386492,18550648,18636532,18883596,19224548,19382984,19437920,19469232,19550588,19854132,20135040,20563696,20757792,21008484,21192144,21462380,21605708,21843552,22157916,22457248,22712444,23059336,23369572,23747720,24241684,24765192,24996328,24818296,24473232,24673572,24949868,25516368,26479240,27213404,27760400,28177092,28321524,28260596,27877408,27270168
 "09000","Connecticut",1,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",339356,393100,420640,407500,377904,377712,374256,375768,373016,379156,391068,411132,439280,469268,448336,436412,438456,433896,438856,451368,472004,462676,466840,475748,494764,491724,497184,497400,509652,500728,552872,529092,539992,538432,558552,618572,663144,686712,715100,740852,788740,847112,878896,900236,933720,946816,957036,952272,999344,1152544,1170800,1261780,1310476,1458844,1455740,1469260,1483644,1497320,1462504,1577568,1601964,1613028,1634348,1669044,1752196,1860260,1967344,2093288,2291632,2542088,2660664,2689632,2705400,2662576,2735884,2751544,2787140,2805356,2865788,2888752,2884876,2864348,2957612,2988916,3085164,3148648,3363992,3416260,3517772,3520400,3931552,4008468,4101912,4168892,4490504,4518500,4561912,4660140,4897576,5089220,5125200,5190796,5172180,5252644,5345700,5400316,5418320,5517508,5670436,5708084,5797792,5815792,5992888,6049160,6133252,6145024,6219692,6268960,6297996,6349256,6631388,6702156,6825944,6964624,7372508,7513352,7664468,7858348,8212924,8425464,8563712,8798800,9082008,9362616,9540544,10097160,10747112,11214244,11407672,11428888,11625196,11570448,11749224,11786356,11904808,11991372,12061628,12436360,12802884,12999576,13087416,12923940,13208736,13430416,13282440,13289368,13566164,13617360,13713068,13775288,13802188,13827292,13802000,13929032,14033336,14047444,14223268,14379176,14473604,14854980,15083116,15266932,15407620,15739092,15800124,16398908
 "09000","Connecticut",1,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",4157188,4178552,4192288,4289772,4377244,4470272,4580804,4678768,4702984,4754752,4717948,4758732,4799484,4889332,4995632,5078676,5174460,5281456,5334728,5364144,5464424,5521092,5611464,5657748,5768168,5871140,5981660,6119236,6204076,6368244,6292644,6640764,6771968,7027244,7234680,7458168,7532716,7618296,7785728,7869284,8003688,8195504,8327448,8511128,8748260,8943560,9163920,9372040,9524808,9615032,9644680,9537508,9820704,9728340,9847968,9947956,10072160,10461552,10839368,11236544,11532784,11714596,11852788,12111048,12387040,12737976,12985396,13166688,13040436,13041416,13182728,13475232,13696740,13979548,14414884,14585016,15036044,15370636,15664132,16251428,16591592,17254192,17802296,18336460,19041108,19390556,19978828,20640252,21405552,21756376,22247864,23179572,23680992,24144824,24578492,24665828,25421772,25798192,26340392,26570956,27157252,27484640,27957252,29197460,29860228,30830500,31853936,32470364,33080712,33613076,34421032,35110564,35733748,36596984,37224420,38740404,39390876,40482488,41672928,42674408,43889268,44713988,45502288,46357268,46759860,46996324,47306020,47618264,47812244,48765704,49147016,48959860,48457468,49249076,49004400,49029188,49552100,50513980,50689376,51549720,50350568,51673056,52377328,53176264,53052868,52804760,53594676,54279552,54887624,55687396,56545896,57075976,57476584,58756228,59630248,60516628,62409276,63534964,64255044,66149892,67077028,67548732,68961184,70454592,70527268,71912104,73289208,74259244,77501732,77224864,78936100,79121252,80610452,81504740,80036188,80827944
