GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "25000","Massachusetts",1,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",11572012,11672424,11946300,12152864,12237308,12524052,12766708,12993620,12964836,13129608,13211432,13282836,13495308,13728924,13887816,14143052,14314752,14555544,14700168,14815944,14976044,15087948,15270152,15479600,15794124,16106316,16374304,16657820,16768852,17076796,17639484,17793796,18149220,18394928,18791296,19265088,19673440,20073692,20491260,20803600,21421252,21927840,22303396,22853352,23289892,23835300,24338672,24703652,25237244,25829780,26213400,26565184,26917504,27525436,28106096,28418828,29158468,29641644,30110644,31001028,31677624,32358316,32822924,33437420,34070116,34834404,35597656,36226788,36649220,37427712,38141628,38988792,39519364,40182704,41219592,41833704,42710716,43722664,44877784,45880404,47014560,48280744,49768192,50691380,52555852,53558328,55086964,56724268,58720540,60180756,62149592,64504080,65539280,67192736,69885716,71356052,72392080,74268192,76452184,77281728,78839524,80304396,81694220,84945464,87730588,90763356,93660812,95558288,97257500,98435132,99733284,101940508,103150452,106116148,108462200,110857128,112020276,114186412,117218132,120752340,123657436,126534652,128811584,131888080,133911488,134927956,135558412,136437872,137782312,139277368,140333032,139537692,139730800,141013896,141463044,143199260,146410208,148161188,148456744,150882152,151440876,153443532,155832412,156752796,158504172,161894120,162389024,165913452,167674672,170516472,173468436,175308336,178073668,181626792,183792224,186828928,190052888,192308060,195110764,199051192,199716935,205755015,209193859,211046795,213944928,216856416,222399092,228419460,239685330,241260766,248734258,251332438,256766572,255469576,253951104,254153144
 "25000","Massachusetts",1,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",9532404,9504824,9729204,9917860,10117436,10335144,10524948,10712220,10720488,10867480,10915208,10951876,11115412,11296700,11403296,11637188,11831532,12015248,12095956,12126924,12271168,12357776,12471728,12593800,12796648,13054484,13252404,13483096,13504368,13781048,14193500,14345524,14824876,15048284,15376004,15686700,15939344,16234156,16543260,16806216,17314888,17676140,17959676,18439156,18755488,19246400,19739480,20089224,20409508,20639084,20908436,21086800,21391244,21712584,22251592,22438300,23242052,23603064,23971444,24489256,25414644,25911676,26214640,26613248,27096136,27454388,27857500,28111124,28080808,28363024,28877264,29661312,30258664,30944456,31746424,32230212,33045928,33944772,34911468,35754864,36829188,38037520,39281268,40018336,41769196,42579084,43578376,44680788,46018536,47112564,48180224,49846240,50765004,51774620,52998944,53974628,54497308,55571816,57384508,57751368,59673272,61223600,62287252,65144040,67594032,69779196,71900080,73572264,75225304,76715068,78132220,80181476,80540704,83197136,85518468,88143384,89149452,91046396,93666580,96557572,98916224,101390548,102695248,105038432,105795816,106181504,106288408,106467472,106813612,107770808,108347444,106870092,106708404,107066144,107373720,108596052,112047048,113635820,113956136,116202084,116492664,118027476,120066064,120539780,122133508,125202796,125087200,127551728,128261368,130442496,133041348,134708008,136469356,139491016,141547240,144312328,146919884,148473248,150740676,154201444,153962875,159781735,163237979,165291107,169050508,171859684,177239480,182517212,193138998,192491406,199673218,201311374,205936312,203062564,202250844,201314784
 "25000","Massachusetts",1,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",352228,349084,355148,356908,419728,425060,430812,434868,496936,498796,501964,499440,515020,523292,528704,545504,606260,619140,622508,620148,678112,676904,678492,685120,685416,695100,701832,708580,697100,706284,724856,726712,921988,927500,957436,962124,1000764,1028024,1042416,1062064,1111596,1133376,1143256,1166748,1224300,1249664,1278780,1297024,1316940,1325084,1333504,1331684,1434428,1441496,1460228,1454024,1642432,1649552,1648964,1664420,2040576,2066648,2078064,2113348,2252976,2273472,2291152,2283480,2278212,2272732,2291472,2339532,2505668,2537172,2585452,2595460,2748080,2794916,2838256,2888444,3082904,3192944,3306204,3410244,3631776,3741576,3850740,3960036,4067356,4141992,4243852,4406812,4787160,4918500,5054088,5165208,5327436,5411388,5600276,5596248,5931976,6079880,6153512,6399568,6942736,7132852,7316424,7508164,7733176,7900632,8052164,8322948,8525728,8744000,8981736,9280112,9346040,9510504,9756828,9989352,10504328,10706400,10823172,11115192,11139320,11182688,11175620,11166652,11184272,11179192,11248752,11133520,11239604,11354736,11410848,11529504,11920396,12036924,12023988,11957528,12473156,12473448,12712128,12686204,13086704,13372304,13400688,13658188,13800156,14050404,14325684,14494736,14510812,14822240,15043336,15361656,15668296,15823324,16058624,16418068,16403232,17018664,17338784,17478452,17775920,17990940,18519752,18947276,19995560,19756476,20540456,20719136,21074704,20760132,20641584,20599808
 "25000","Massachusetts",1,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",147272,145544,149200,150096,173912,177320,179560,181696,210516,212144,214236,214516,220496,223216,223772,227128,235584,237360,237716,237312,270932,271704,272600,273812,278412,280012,281332,283476,281824,285608,293864,296280,392944,396404,420264,423620,452268,474304,480844,489376,509912,521644,525776,535520,572684,584580,597968,607140,618072,622752,629484,629424,677296,679640,685624,679860,755004,753448,754612,757368,930028,943116,952672,965552,1036664,1047912,1059416,1058476,1060764,1057692,1062420,1077548,1132908,1141992,1158792,1162920,1223740,1246120,1268600,1282364,1354928,1397392,1451036,1493048,1599060,1653540,1712072,1771832,1828948,1863948,1925936,2002788,2184072,2251372,2318340,2374348,2454156,2501332,2590944,2588260,2718040,2780172,2800436,2900852,3076316,3150528,3237560,3341952,3524356,3631388,3728292,3864156,3976676,4084768,4205128,4358060,4420076,4512528,4633884,4746440,5009340,5109924,5178344,5344620,5426560,5474452,5496412,5496176,5506696,5496592,5555064,5515180,5599260,5667480,5703696,5757768,5937076,5986012,5970260,5937880,6197768,6196400,6317500,6298896,6514172,6654392,6666212,6819680,6918624,7059736,7211428,7297844,7304296,7455456,7571372,7742044,7915012,8005168,8126272,8304640,8316520,8631172,8798920,8870928,9059364,9173056,9437632,9676408,10192324,10071696,10455508,10525528,10711464,10540288,10490628,10477756
 "25000","Massachusetts",1,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",204956,203540,205948,206812,245816,247740,251252,253172,286420,286652,287728,284924,294524,300076,304932,318376,370676,381780,384792,382836,407180,405200,405892,411308,407004,415088,420500,425104,415276,420676,430992,430432,529044,531096,537172,538504,548496,553720,561572,572688,601684,611732,617480,631228,651616,665084,680812,689884,698868,702332,704020,702260,757132,761856,774604,774164,887428,896104,894352,907052,1110548,1123532,1125392,1147796,1216312,1225560,1231736,1225004,1217448,1215040,1229052,1261984,1372760,1395180,1426660,1432540,1524340,1548796,1569656,1606080,1727976,1795552,1855168,1917196,2032716,2088036,2138668,2188204,2238408,2278044,2317916,2404024,2603088,2667128,2735748,2790860,2873280,2910056,3009332,3007988,3213936,3299708,3353076,3498716,3866420,3982324,4078864,4166212,4208820,4269244,4323872,4458792,4549052,4659232,4776608,4922052,4925964,4997976,5122944,5242912,5494988,5596476,5644828,5770572,5712760,5708236,5679208,5670476,5677576,5682600,5693688,5618340,5640344,5687256,5707152,5771736,5983320,6050912,6053728,6019648,6275388,6277048,6394628,6387308,6572532,6717912,6734476,6838508,6881532,6990668,7114256,7196892,7206516,7366784,7471964,7619612,7753284,7818156,7932352,8113428,8086712,8387492,8539864,8607524,8716556,8817884,9082120,9270868,9803236,9684780,10084948,10193608,10363240,10219844,10150956,10122052
 "25000","Massachusetts",1,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-54884,-54592,-55968,-57004,-66008,-67612,-68812,-70400,-73228,-74812,-75632,-75968,-80712,-82044,-82492,-84332,-90712,-91796,-92400,-92888,-97004,-97792,-98628,-98888,-105448,-107308,-108724,-110892,-117152,-119844,-124076,-124896,-137000,-138788,-141608,-144704,-152244,-155852,-158288,-160732,-169764,-172448,-175444,-181104,-125028,-129556,-137828,-139424,-104764,-111576,-108908,-118344,-103364,-112024,-110200,-106992,-104480,-104996,-107532,-100816,-117944,-119644,-126304,-133212,-141040,-139424,-141152,-143576,-153120,-151608,-149916,-152456,-169864,-174252,-169052,-175828,-209056,-218456,-226944,-218004,-277440,-270908,-287432,-275024,-358588,-367992,-372620,-392824,-469108,-485184,-502972,-513180,-581696,-611120,-630552,-660072,-719320,-736040,-764456,-768612,-869744,-908920,-916256,-975192,-1113308,-1158608,-1197304,-1232868,-1329716,-1363740,-1376952,-1412444,-1442412,-1464512,-1510636,-1557864,-1602744,-1634676,-1682688,-1738316,-1824140,-1873260,-1885796,-1940800,-2025064,-2024144,-2035564,-2037844,-2075876,-2080916,-2089944,-2048640,-2230916,-2232232,-2233416,-2252720,-2342260,-2345872,-2318716,-2375268,-2513096,-2544228,-2590644,-2597688,-2674436,-2798092,-2761176,-2823664,-2738388,-2774268,-2871752,-2921384,-2989712,-3065776,-3119564,-3200476,-3356648,-3354564,-3417160,-3479628,-3390976,-3625872,-3697320,-3693148,-3995848,-4052648,-4246464,-4446452,-4955344,-4883524,-5185764,-5174984,-5412716,-5193392,-5140096,-5041088
 "25000","Massachusetts",1,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",9125292,9101148,9318088,9503948,9631700,9842472,10025324,10206952,10150324,10293872,10337612,10376468,10519680,10691364,10792100,11007352,11134560,11304312,11381048,11413888,11496052,11583080,11694608,11809792,12005784,12252076,12441848,12663624,12690116,12954920,13344568,13493916,13765888,13981996,14276960,14579872,14786336,15050280,15342556,15583420,16033528,16370316,16640976,17091304,17406160,17867180,18322872,18652776,18987804,19202424,19466024,19636772,19853452,20159064,20681164,20877284,21495140,21848516,22214948,22724020,23256124,23725384,24010272,24366688,24702120,25041492,25425196,25684068,25649476,25938684,26435876,27169324,27583132,28233032,28991920,29458924,30088792,30931400,31846268,32648416,33468844,34573668,35687632,36333068,37778832,38469516,39355016,40327928,41482072,42485388,43433400,44926248,45396148,46245000,47314304,48149348,48450552,49424388,51019776,51386508,52871552,54234800,55217484,57769280,59537988,61487736,63386352,64831232,66162412,67450696,68703104,70446084,70572564,72988624,75026096,77305408,78200668,79901216,82227064,84829904,86587756,88810888,89986280,91982440,92631432,92974672,93077224,93262976,93553464,94510700,95008748,93687932,93237884,93479176,93729456,94813828,97784392,99253024,99613432,101869288,101506412,103009800,104763292,105255888,106372368,109032400,108925336,111069876,111722824,113617824,115843912,117291888,118968832,121603000,123384340,125750196,127894940,129295360,131264892,134303748,134168667,139137199,142201875,144119507,147278740,149816096,154473264,159123484,168188094,167851406,173946998,175417254,179448892,177109040,176469164,175673888
 "25000","Massachusetts",1,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",1662704,1681576,1710120,1743484,1752584,1808780,1857348,1898552,1919684,1924580,1945912,1957400,1972412,2002460,2048348,2114892,2138064,2212092,2272980,2325564,2359396,2409572,2473768,2547944,2630888,2711176,2782972,2841768,2890528,2955188,3022760,3079060,3139712,3173352,3221440,3259392,3363080,3455656,3518184,3524120,3593468,3638892,3674464,3719780,3735876,3794804,3851172,3909604,3975652,4045956,4132028,4196792,4227408,4294440,4367916,4426780,4453556,4559944,4623492,4736152,4826608,4940920,5080664,5224440,5364224,5516404,5641056,5734680,5769376,5721108,5757704,5839348,5928716,6095472,6260804,6418640,6585256,6734456,6876836,7047280,7194192,7348892,7534380,7708776,7950752,8121812,8374016,8871284,9505964,9930208,10166300,10871540,11235808,11883944,12940152,13591928,14258204,14957696,15265620,15406584,15404472,15383896,15862280,16419432,17185180,18104172,19037156,19326784,19471324,19328216,19249704,19665204,20418704,20837744,20991084,21116492,21258856,21624224,22287832,23132796,23722316,24240104,25077400,25842004,26473428,26806192,26898836,27087464,27581860,27714052,27925476,27892764,27646580,27662832,27813048,27841764,27808268,28080364,28250284,28620520,29066936,29407292,29613740,29820988,30062700,30545584,31019720,31728352,32344300,33017208,33578256,34254184,34770656,35266592,35861080,36450588,36927072,37629520,38318000,39175616,40124928,41118252,41520384,41114276,40500316,40819312,41338396,42438976,44351904,45646544,46622876,47450860,47837404,47922628,47433604,46513748
 "25000","Massachusetts",1,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",784016,889700,918092,905432,853024,872800,884036,888116,894828,911156,927908,948968,1003216,1035100,1047368,1020808,1042128,1039140,1046140,1076492,1120596,1095296,1101776,1121864,1157452,1143064,1149484,1152428,1188208,1166688,1272156,1220820,1243620,1239580,1292896,1425824,1524024,1567756,1630520,1696060,1794256,1918632,1987956,2042268,2147856,2173316,2164628,2141272,2273788,2581400,2615348,2731620,2836644,3071932,3057016,3114764,3209772,3233184,3272204,3540856,3594892,3692012,3731988,3846292,4003772,4276508,4531404,4808040,5230368,5767920,5948048,5980120,6007516,5854200,5966868,5956140,6036668,6056808,6154680,6184708,6351524,6358184,6546180,6649536,6826268,6967000,7357932,7525056,7732504,7765160,8549892,8706292,8907324,9063792,9631260,9614776,9683324,9886108,10166788,10488636,10563500,10685700,10614456,10756752,11007420,11171448,11237304,11400272,11623764,11656220,11780476,11829220,12159184,12289780,12445020,12435228,12560752,12660972,12703236,12789640,13347364,13483660,13747904,14063636,14806628,15147092,15582352,16087432,16646988,17052616,17398808,17956996,18846336,19871888,19920540,20543668,20817548,20827800,20593028,20392344,20867528,21026440,21455380,21675920,22069104,22316136,22443968,23115224,23607548,23881440,24046268,23762264,24334180,24757200,24546804,24628144,25230876,25383180,25527872,25571828,25423340,25499564,25471600,25813012,26165872,26221008,26587432,26857000,27145332,27762816,28164384,28464324,29480276,30437908,30048336,31965508
 "25000","Massachusetts",1,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",7817684,7787788,7986304,8150756,8286928,8472840,8631968,8808512,8802864,8940488,8982064,9010716,9124496,9270560,9349392,9547428,9668684,9825296,9887232,9911892,10019832,10097856,10186160,10269404,10411204,10604268,10766372,10968492,10990936,11229300,11584444,11704508,12022220,12234500,12538432,12798700,13012224,13262400,13504436,13724524,14128456,14397092,14617968,15028980,15306340,15735652,16156484,16497252,16758256,16938244,17151720,17260808,17489232,17713044,18142204,18249384,18875484,19172828,19451280,19857128,20567040,21039616,21308856,21667480,22056464,22360804,22680596,22824972,22630968,22797216,23178172,23797968,24152240,24669412,25262116,25575512,26136836,26836428,27587168,28200440,28917952,29839036,30830276,31366428,32668472,33305324,34091480,35011292,36200872,36962344,37682100,39024880,39634852,40671500,41590788,42366352,42970704,43609168,45041192,45062436,46298696,47673132,48420372,50657340,52310580,53900872,55422452,56932864,58026644,59217720,60257648,61891684,62813384,64026864,65468572,67604032,68440992,70001404,72138736,74501444,75813008,77716780,78605872,80544136,80787548,80855444,81059472,81485260,82024508,82775136,83002552,81612480,81439896,81511916,81448960,82018584,83988960,84814640,84752528,86449312,86464076,87789764,89405792,89684968,90199720,92712484,92584064,94527208,95514972,97364100,99469144,100747312,101503004,103766204,105378676,107612848,110146756,111349248,113086476,115820232,116831132,121457924,124098136,125458540,127992500,129966560,134250816,138476228,147196540,145854060,151778956,152649432,155025736,151974756,150504292,149503536
