GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "26000","Michigan",3,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",16951924,16748680,17450148,17327288,17610060,18261196,18329100,18303784,18965816,18908188,18935116,18726896,18425440,18874268,19032628,19495612,19747900,20184640,20469720,20875072,21096420,21332344,21790360,22547000,23039756,23590548,24163416,24302944,25391548,26118664,26469228,27521172,28142908,28455144,28978332,29479964,29331088,29676060,30600588,30359520,32029740,32704284,33424236,34484336,34990832,35599160,36500516,37181284,36422400,37663540,37958212,37402508,39203776,40395480,40878076,42098500,43301584,44366620,45439044,47420864,48817340,49930856,50722964,52060308,52094604,52966372,55198192,55393632,55101040,56517652,58698936,60662840,62241332,63576084,64883180,67130572,68854660,71290996,73960444,75756380,77461592,79355800,81874900,84399332,86842636,87660584,88981884,90429796,92759436,92323456,94848836,98805860,98690268,100620756,102396088,103309880,102375040,104621528,105680152,106589280,107478544,110003980,112639932,116186268,118747776,121974060,124815284,127171540,130740068,131639980,133910956,138105568,139029240,142278132,142730028,144152952,145766336,146741228,147545852,150192272,153665040,155958460,158546596,161922536,167756168,168099996,170220072,172440824,174205356,176975416,179467352,178924584,177540700,180078332,182225576,185812388,186683920,191985144,192630548,197640692,196476384,202112916,203987336,207153164,212779924,215211892,218843808,224146136,227559320,228330528,230851144,234482508,235516308,241253448,244365188,247738944,250309264,252994388,256644392,259807748,265971982,268911446,269833394,275889006,277576747,281417655,284738879,292241923,299728468,302567052,304669816,303611532,309744752,307927256,306250600,306824996
 "26000","Michigan",3,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",14354616,13889728,14583212,14473500,15016568,15641432,15603956,15397292,16290600,16156100,16096044,15768080,15302852,15666272,15835068,16278976,16558064,16936660,17169180,17522736,17784368,18042144,18455692,19157824,19511556,20008796,20493132,20540392,21552960,22247960,22342060,23454860,24290696,24558084,24962616,25300832,24908508,25156340,26036680,25710596,27372616,27841516,28433824,29427000,30182972,30659172,31431460,31940612,31129284,31663628,31622500,30448016,32806812,33512732,33884472,34919868,36312720,37362472,38066400,39521220,41589248,42469712,42963552,43955648,43569332,43714384,45523552,44991648,43684336,44289512,46382960,48157492,50081932,51566180,52465740,54562408,56314592,58731084,61125628,62551360,64264352,66059776,68130376,70527064,72844228,73172740,73093252,73128584,73621120,71791528,72782212,76704972,76624748,77968156,77999488,78142688,76238476,77298660,77710596,77099256,78493500,80548236,83289040,86278376,89028892,91189348,93169836,95035248,98647660,99571664,102101548,106324032,106013172,109023912,109374924,111105756,112510580,112977752,113173432,115227984,119028580,121229768,123030092,125527332,129641608,128674820,129995348,131513920,132536432,135110328,137380340,136160592,133880128,135694752,138502332,141735684,141542740,146915816,147156064,151877680,149568228,154956740,155897196,158830608,162729032,164199836,167467060,171733340,174382300,174233400,176032740,179290480,178775836,183629572,186217676,188533864,190250672,191935504,194773012,197100768,203838550,206295258,206195382,213423574,215295519,218775323,221147563,227984099,234852732,236027276,237306884,235607824,239765476,237497896,237003988,236912892
 "26000","Michigan",3,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",565664,542752,572092,561100,678192,706672,704220,690148,845676,828916,825132,798040,775860,785124,783352,798744,867648,883608,892768,909392,1010392,1022792,1041416,1078280,1073056,1081156,1088124,1064936,1087464,1108520,1111108,1180332,1528976,1550612,1601124,1605456,1607436,1640904,1691036,1669460,1807844,1833656,1860424,1913876,2155428,2174052,2229116,2265384,2207748,2243416,2223156,2109256,2420944,2447992,2439044,2491212,2835816,2891436,2910140,2982048,3723724,3783196,3807508,3884072,4033184,4036244,4177764,4081060,3976040,3986896,4137880,4261188,4663052,4764200,4802364,4946188,5250656,5431456,5612284,5671268,6062316,6252000,6473532,6774304,7134924,7210528,7215212,7215632,7183612,6968152,7061552,7483644,8027808,8232724,8240540,8241760,8196668,8273700,8313740,8178728,8590584,8794380,9069964,9359256,10039372,10240264,10447232,10698544,11275384,11420284,11730660,12235940,12376280,12540948,12544712,12740948,12833312,12852876,12859844,13037816,13986156,14185712,14370032,14679256,15007924,14966060,15184752,15411172,15664316,15969872,16329484,16247228,16102608,16377908,16717200,17036808,17127172,17687040,17621072,17750740,18117636,18573512,18733644,18988676,19975932,20070232,20530472,21107720,21425960,21378184,21535012,21817480,21465356,21926308,22197344,22491584,22676312,22918348,23277360,23522732,23913744,24138928,24066364,24922184,25098764,25449812,25643504,26330716,26951052,26872704,26933396,26640440,26994508,26604076,26453440,26484176
 "26000","Michigan",3,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",227248,217100,230016,225736,267720,279852,278696,274012,339052,333088,331952,321300,310692,314604,315392,323720,338808,346260,349460,354048,402592,404716,410384,423504,431580,435508,439972,433700,450360,461992,466108,495016,666316,675408,714820,717868,740656,772308,799868,794684,863392,886232,900936,926936,1009312,1018544,1043596,1060392,1036520,1054204,1050320,999272,1144652,1155608,1147756,1164324,1297808,1311448,1320564,1348912,1688972,1719432,1735920,1764448,1845320,1847688,1914644,1871216,1833964,1836512,1899200,1948236,2094696,2131444,2145572,2207256,2333448,2410140,2485296,2502156,2645844,2720260,2819220,2955652,3128624,3177172,3196360,3209716,3214988,3125928,3193400,3383516,3644660,3742440,3754344,3766380,3746384,3780868,3800492,3740984,3889264,3972460,4079548,4194428,4419800,4501612,4600168,4723884,5068632,5156500,5313860,5553276,5630188,5717880,5732080,5842880,5939560,5975320,5990080,6076764,6529480,6625944,6725508,6898332,7146076,7161252,7286796,7396128,7512348,7638148,7836448,7811052,7780520,7915784,8076376,8218292,8234320,8480512,8437496,8492700,8686584,8892856,8967120,9097240,9586536,9637140,9868880,10154280,10343024,10339024,10443516,10627516,10507664,10787176,10951304,11116604,11220552,11336052,11505996,11623620,11798380,11919916,11900280,12339496,12470172,12663940,12769448,13105684,13369452,13340860,13377028,13259032,13483048,13350444,13322984,13366868
 "26000","Michigan",3,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",338416,325652,342076,335364,410472,426820,425524,416136,506624,495828,493180,476740,465168,470520,467960,475024,528840,537348,543308,555344,607800,618076,631032,654776,641476,645648,648152,631236,637104,646528,645000,685316,862660,875204,886304,887588,866780,868596,891168,874776,944452,947424,959488,986940,1146116,1155508,1185520,1204992,1171228,1189212,1172836,1109984,1276292,1292384,1291288,1326888,1538008,1579988,1589576,1633136,2034752,2063764,2071588,2119624,2187864,2188556,2263120,2209844,2142076,2150384,2238680,2312952,2568356,2632756,2656792,2738932,2917208,3021316,3126988,3169112,3416472,3531740,3654312,3818652,4006300,4033356,4018852,4005916,3968624,3842224,3868152,4100128,4383148,4490284,4486196,4475380,4450284,4492832,4513248,4437744,4701320,4821920,4990416,5164828,5619572,5738652,5847064,5974660,6206752,6263784,6416800,6682664,6746092,6823068,6812632,6898068,6893752,6877556,6869764,6961052,7456676,7559768,7644524,7780924,7861848,7804808,7897956,8015044,8151968,8331724,8493036,8436176,8322088,8462124,8640824,8818516,8892852,9206528,9183576,9258040,9431052,9680656,9766524,9891436,10389396,10433092,10661592,10953440,11082936,11039160,11091496,11189964,10957692,11139132,11246040,11374980,11455760,11582296,11771364,11899112,12115364,12219012,12166084,12582688,12628592,12785872,12874056,13225032,13581600,13531844,13556368,13381408,13511460,13253632,13130456,13117308
 "26000","Michigan",3,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",29960,29616,29612,31116,33652,34872,34208,34816,36816,37140,36664,36244,37064,37552,38416,39056,41040,41728,41608,41552,43512,44516,44792,44824,47404,48352,49444,50624,52816,53472,54668,56208,60348,62456,64132,65252,67092,66396,67640,70400,73568,75928,77200,78664,101084,104244,106572,107568,111524,108964,112840,116536,102124,106728,106692,106420,112912,112740,113180,115136,133228,135916,142392,147620,133332,139696,139284,146740,151300,148664,147360,149452,186396,188556,192764,194568,205784,217192,219788,225176,244672,260044,265144,270880,275476,282800,298292,312272,326420,339452,338464,343932,367824,369124,387148,387848,377812,378848,379736,386280,401676,407240,420700,423476,468056,478196,484340,486212,496032,506044,503604,498436,478128,477068,493820,504588,485172,492672,516320,532924,484792,506732,528252,538640,501892,512000,512300,521808,445572,456392,458432,471688,482340,482924,489472,495704,546412,548172,560368,553684,621844,618892,625608,644108,734920,755264,761548,762556,785352,799724,802404,799780,809720,814856,832688,832748,883200,901344,909200,943140,960860,980152,1015544,1014844,1070508,1073272,1079088,1099068,1088412,1086628,1109820,1107380,1174788,1188264,1195428,1196080
 "26000","Michigan",3,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",13818912,13376592,14040732,13943516,14372028,14969632,14933944,14741960,15481740,15364324,15307576,15006284,14564056,14918700,15090132,15519288,15731456,16094780,16318020,16654896,16817488,17063868,17459068,18124368,18485904,18975992,19454452,19526080,20518312,21192912,21285620,22330736,22822068,23069928,23425624,23760628,23368164,23581832,24413284,24111536,25638340,26083788,26650600,27591788,28128628,28589364,29308916,29782796,29033060,29529176,29512184,28455296,30487992,31171468,31552120,32535076,33589816,34583776,35269440,36654308,37998752,38822432,39298436,40219196,39669480,39817836,41485072,41057328,39859596,40451280,42392440,44045756,45605276,46990536,47856140,49810788,51269720,53516820,55733132,57105268,58446708,60067820,61921988,64023640,65984780,66245012,66176332,66225224,66763928,65162828,66059124,69565260,68964764,70104556,70146096,70288776,68419620,69403808,69776592,69306808,70304592,72161096,74639776,77342596,79457576,81427280,83206944,84822916,87868308,88657424,90874492,94586528,94115020,96960032,97324032,98869396,100162440,100617548,100829908,102723092,105527216,107550788,109188312,111386716,115135576,114220760,115322896,116624556,117317688,119596848,121509288,120385052,118259860,119799768,122274604,125194580,124961980,129776948,130095360,134680624,132072436,137002120,137789160,140486040,143488020,144884868,147698136,151388176,153741692,153654940,155300132,158272780,158120200,162518120,164853020,166875028,168457560,169918500,172404852,174521176,180885666,183136482,183144562,189516234,191267263,194398783,196583147,202752451,208990092,210241200,211483308,210074764,213945756,212082084,211745976,211624796
 "26000","Michigan",3,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",2059748,2109752,2166628,2228500,2211836,2269088,2327084,2387184,2432984,2462656,2503816,2529948,2541492,2568040,2613760,2684380,2709864,2791548,2855840,2903236,2918136,2956828,3020200,3096668,3183848,3263972,3342796,3401108,3449580,3524224,3610844,3685468,3781576,3845072,3914808,3967292,4057568,4115384,4157080,4156148,4224336,4312360,4402412,4490688,4343960,4453380,4611216,4818548,4640088,4873532,5155556,5385188,5158508,5314568,5449968,5552840,5583284,5628716,5893192,6054412,6046028,6247088,6482604,6715216,6897228,7127668,7371608,7615708,7781044,7876244,8053732,8219008,8305584,8465956,8650316,8855504,9069656,9356780,9646072,9984496,10236412,10444848,10678176,10940956,11268960,11583608,11965736,12572100,13440568,13781776,13963668,14694656,15312420,16182160,17418112,18017568,18808200,19272140,19369960,19513120,19779944,20095624,21006208,21779992,22088380,23070336,24077508,24593648,24820652,24968088,25001984,25416428,26281404,26487676,26308872,26126032,26412112,26678724,27185860,27781740,28042848,28187092,28991824,30008660,31271748,32175228,32708920,33193152,33573844,33854752,34130168,33993200,33639348,33480160,33540396,33544604,33794032,34230100,34413960,34785328,35129028,35347912,35695944,36279280,38850492,40172424,41193356,42201592,42345236,42797808,43265216,44025472,44296188,45041944,45987124,46956456,46887724,47634744,48463300,49526052,50055432,50959656,51233604,50687728,49335124,49523528,49978972,51049764,52440852,53483296,53945880,53744624,53153808,52290120,51412204,50593220
 "26000","Michigan",3,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",1073264,1262336,1242788,1155272,1026196,1022476,1068072,1174640,1051092,1081208,1123724,1190664,1319892,1387528,1328736,1291944,1306580,1298312,1295860,1316940,1360796,1311648,1311092,1325964,1370004,1350584,1366168,1375756,1423656,1401528,1572764,1504968,1539264,1540144,1637900,1752044,1905356,1978844,2030224,2091836,2167064,2308136,2371224,2401860,2518244,2556416,2580384,2579940,2749252,3260832,3290472,3562024,3557276,3909444,3875988,4010584,4128484,4154128,4276412,4712144,4772560,4861336,4941924,5125896,5527896,6020868,6341512,6720596,7460400,8190128,8252764,8398076,8330472,8119592,8376724,8464280,8515284,8417396,8581240,8666616,8778472,8843132,9274736,9434736,9588896,9831964,10839816,11632472,12554940,13378852,14826044,14545944,14413084,14334040,14831880,15003536,15147220,15945580,16533600,17769352,17394008,17747260,16993948,17063680,17201820,17476444,17530832,17754976,18051108,18014468,18034480,18102612,18632816,18830424,19097124,19157524,19191784,19444956,19530084,19687440,20094976,20220580,20366460,20527160,21348844,21704008,22188256,22623116,23313824,23523816,23827896,24546332,25641492,26798404,26410576,27073204,27927908,27978096,28121228,28174740,29274920,29762884,30502232,30387844,30441412,30154600,29952316,30556368,31472392,31877780,32285796,32184256,33099920,33693384,33525044,33907460,34963980,35441144,35776240,35760520,35030884,34815308,35455228,35685044,36974360,37495344,38176760,38439708,38297524,38842556,39240628,39792144,42645188,43555052,43092420,44606980
 "26000","Michigan",3,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",11321964,10898388,11543208,11480496,11936460,12482720,12463784,12305644,13070908,12941280,12882000,12590248,12125556,12410612,12545680,12922912,13099836,13455504,13653792,13952348,14156988,14382292,14720684,15287928,15564632,15950820,16348720,16383124,17255736,17836444,17886892,18772748,19232312,19460464,19807000,20124652,19829068,20102376,20866492,20606476,21961920,22336180,22793124,23628584,24132752,24522000,25207916,25740920,25088724,25583132,25531336,24456380,26400808,26923476,27163932,27959472,29010776,29815968,30360380,31463260,33130168,33959784,34359732,35065944,34846708,35007876,36349568,35676540,34424068,34726756,36316972,37754088,39309584,40625748,41335008,42930788,44073676,45913916,47835176,48745652,50090532,51613316,53342352,55442972,57236512,57483228,57353652,57333024,57708672,56305828,56791880,59914796,60046024,61381096,61221992,61218160,59918368,60338936,60553676,59720384,60714044,62365620,64479960,66814896,68375712,69921596,71395872,72916028,75621032,76333472,78226684,81418612,81941604,83001584,82941308,84408596,85700176,86281020,86581724,88220024,90923748,92447492,93573444,95395616,97935736,97287744,98374664,99503116,100243268,102203916,103681184,102477872,100909684,102030880,103823880,105816616,105674272,109312544,109163904,112781268,110509428,114877872,115701684,118099440,121057440,122505076,125149452,128653152,130709088,130720272,132258036,134908940,134478740,138436968,140653360,142644616,144146556,145560132,147809888,149645472,153724944,155412084,155172960,160811240,161636216,163966496,165422732,170278108,174837288,174440792,174809884,172561708,174563540,171929860,170723996,170619980
