GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "30000","Montana",7,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1405148,1404900,1408876,1438352,1395560,1395028,1394988,1383864,1405404,1467996,1477484,1454460,1438712,1421728,1473052,1484924,1591596,1697312,1726048,1790436,1742764,1676660,1663016,1683768,1692836,1708432,1745060,1763676,1808596,1822584,1875636,1918524,1947840,1973744,2026328,2010172,2027032,2025528,2013132,2050820,2091468,2119228,2133376,2169324,2262776,2314956,2401808,2422424,2497364,2591420,2667324,2660652,2694804,2751248,2800932,2902204,3001424,3157316,3278408,3483876,3438564,3767812,3741796,4032712,4008844,3948268,4118776,4203780,4259604,4388068,4585864,4681332,4714292,4767964,4813140,4930512,4976380,5090668,5297276,5427184,5792212,6006160,6105308,6458504,6531116,6290772,6454208,6918576,7131324,6887820,7058760,7766608,7891400,8041452,8416712,8427796,8135516,8415756,8434272,9557044,8996504,9055092,9030276,9225680,9321080,9533556,9721456,9834972,9747304,9640928,9749016,9816400,10022072,10117016,10177348,10186072,10291312,10367384,10366608,10566712,10396864,10567512,10787868,10999176,11551948,11747984,11807400,11994904,12160160,12314472,12483488,12553924,12896688,13018348,13271596,13598424,13748368,13983832,14139272,14184336,14963552,15186612,15025064,15478204,15217444,15479812,15700524,15943240,16137468,16294804,16519272,16712032,16834116,17083328,17339480,17556364,17609248,17750116,18052684,18344468,18870422,19028606,19304650,19525218,19439166,19471138,19408678,20049738,20324901,20752137,20949837,21460905,21566084,21735760,21766548,21945168
 "30000","Montana",7,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",1166732,1153004,1141584,1169212,1138064,1124448,1113276,1092024,1126108,1190788,1199128,1175684,1157268,1137608,1186240,1193992,1299264,1396900,1417860,1479664,1434864,1375116,1357108,1373112,1371172,1379312,1409288,1421200,1455604,1467596,1501920,1548376,1583964,1606940,1654188,1620552,1625956,1617700,1599696,1637308,1672008,1691080,1703584,1735584,1800572,1842388,1920424,1932300,1979096,2035356,2098140,2069836,2107708,2131852,2170984,2267952,2356364,2524388,2596668,2751920,2717200,3020428,2962108,3218896,3175052,3067416,3199708,3240624,3251284,3320888,3501008,3566800,3589488,3628952,3630420,3727272,3749780,3829240,3987900,4071724,4423120,4616964,4653140,4962900,4976488,4716468,4807236,5198928,5283088,4984868,5021508,5622132,5676440,5733352,5905480,5839592,5509924,5693872,5636304,6702736,6142804,6178932,6104224,6237352,6299328,6423860,6495456,6525060,6429832,6357104,6470128,6505960,6657556,6734140,6807228,6869284,6959672,7010016,6990132,7161052,6978636,7192276,7366500,7495856,7841844,7973856,7987376,8135032,8229312,8373428,8519240,8593308,8916828,8996140,9262536,9538952,9634168,9824872,9948424,9900600,10688488,10866584,10649068,11078792,10789640,10982988,11127576,11194308,11206412,11244800,11399032,11539716,11537676,11708468,11917752,12059256,11986436,12042964,12281192,12498152,12822662,12864606,13153526,13443378,13460034,13513366,13389290,13915182,14012885,14216397,14180201,14615841,14640004,14730616,14902816,15017816
 "30000","Montana",7,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",44256,43504,43424,44132,50872,50896,50776,49688,59840,62296,63592,63356,64312,62932,62344,60584,64260,64208,63028,64376,71784,71480,71876,73724,74000,73612,75388,74988,74776,75332,76008,77656,95508,97932,101300,100912,106052,108420,108028,110904,113976,115280,115652,115320,123884,125268,127608,129372,131260,135676,140224,138900,148728,150120,149792,155012,175756,179556,175972,178168,220048,224792,227508,235652,253776,257880,267372,270424,275724,278380,288872,290732,317308,320932,324744,332964,356388,364724,375632,378468,412048,428376,439976,450308,467588,489048,507268,521940,522124,530936,540700,572624,616144,627176,643264,643356,656848,659744,666836,671800,696724,701696,695268,704632,750780,754600,763556,764188,777536,789884,791120,799732,798532,801528,802920,818120,816076,817972,829328,845944,875372,918484,942724,971584,954248,989192,1004828,1038668,1078792,1105124,1135936,1153880,1177640,1193696,1241480,1265056,1305192,1328864,1351048,1309344,1461284,1459292,1455636,1470508,1527888,1543676,1558944,1557820,1566248,1558876,1566252,1565388,1546600,1552988,1568464,1582924,1567992,1572320,1590276,1609748,1623700,1624620,1655616,1666392,1687796,1690276,1667632,1723820,1770144,1785668,1787084,1827444,1873444,1892460,1920940,1944064
 "30000","Montana",7,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",19832,19456,19516,19864,22620,22872,22920,22748,27904,28952,29236,28540,27828,26852,26816,26780,28660,29596,29524,30064,33896,33400,33376,34208,35264,35032,35804,35300,35028,34856,34876,35348,45184,46260,48900,48800,52616,54732,54288,55548,56472,57240,57132,56716,58688,59468,60600,61500,62764,64572,66636,65632,69600,69756,69692,71740,80608,82272,81416,82448,101892,103900,105180,107964,115916,117156,120972,122044,125388,126404,130280,130420,139240,139864,140928,144480,154164,157836,163460,165340,178696,185960,191788,195868,202896,212120,219420,225404,226460,229532,234356,247704,267272,272252,280296,282012,288632,290788,294644,296768,303836,305440,302056,305588,319620,321332,326324,328936,341900,349316,351832,356632,358200,359376,359492,365772,366940,367608,372128,380060,397184,417888,430788,444188,442024,457744,465436,480932,497212,508052,522748,530676,540980,548092,569304,582864,603144,614524,621580,597624,657848,650400,646316,652060,680712,690336,701468,705376,718120,721280,730792,738332,738492,747892,762688,772912,772876,781320,794416,805988,807684,808872,825508,834448,848440,850480,838292,864268,880888,888208,888412,912236,942804,956584,971648,979376
 "30000","Montana",7,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",24424,24048,23908,24268,28252,28024,27856,26940,31936,33344,34356,34816,36484,36080,35528,33804,35600,34612,33504,34312,37888,38080,38500,39516,38736,38580,39584,39688,39748,40476,41132,42308,50324,51672,52400,52112,53436,53688,53740,55356,57504,58040,58520,58604,65196,65800,67008,67872,68496,71104,73588,73268,79128,80364,80100,83272,95148,97284,94556,95720,118156,120892,122328,127688,137860,140724,146400,148380,150336,151976,158592,160312,178068,181068,183816,188484,202224,206888,212172,213128,233352,242416,248188,254440,264692,276928,287848,296536,295664,301404,306344,324920,348872,354924,362968,361344,368216,368956,372192,375032,392888,396256,393212,399044,431160,433268,437232,435252,435636,440568,439288,443100,440332,442152,443428,452348,449136,450364,457200,465884,478188,500596,511936,527396,512224,531448,539392,557736,581580,597072,613188,623204,636660,645604,672176,682192,702048,714340,729468,711720,803436,808892,809320,818448,847176,853340,857476,852444,848128,837596,835460,827056,808108,805096,805776,810012,795116,791000,795860,803760,816016,815748,830108,831944,839356,839796,829340,859552,889256,897460,898672,915208,930640,935876,949292,964688
 "30000","Montana",7,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",88,96,96,96,56,64,72,96,72,64,56,56,20,20,8,8,-60,-72,-76,-76,-128,-120,-104,-120,-148,-136,-140,-140,-212,-220,-224,-248,-308,-328,-324,-316,-412,-408,-388,-392,-516,-528,-524,-512,-852,-804,-812,-772,-828,-956,-1072,-1064,-704,-692,-624,-732,-324,-496,-248,-116,280,240,332,272,-48,648,1068,2100,1576,2056,2476,3436,2656,3588,3800,3032,5496,4828,3036,3220,3600,3120,2796,3140,5456,5288,5856,6268,12364,12728,13236,13020,23252,23984,25036,27164,17724,17848,17144,16696,8844,8824,9404,9984,5596,5696,5912,6392,2648,2952,3540,3952,-1408,-1600,-1536,-1820,-3572,-3304,-3208,-3040,-204,-472,-776,-1140,-2716,-3148,-2772,-2708,-4480,-4240,-4424,-4296,-10736,-10812,-11812,-12336,-1976,-2264,-2452,-1464,480,556,1040,924,5212,5148,4996,5592,8292,8688,8496,8500,11200,11464,11460,11504,12720,13144,13228,13344,17172,17852,17920,18324,20096,20624,22128,22452,25524,25268,26372,26804,27500,28220,27800,27920
 "30000","Montana",7,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1122564,1109596,1098256,1125176,1087248,1073616,1062572,1042432,1066340,1128556,1135592,1112384,1092976,1074696,1123904,1133416,1234944,1332620,1354756,1415212,1362952,1303516,1285128,1299268,1297024,1305564,1333760,1346072,1380616,1392044,1425688,1470472,1488148,1508680,1552564,1519324,1519492,1508872,1491280,1526012,1557516,1575272,1587408,1619752,1675836,1716316,1792004,1802156,1847008,1898724,1956844,1929872,1958276,1981040,2020568,2112208,2180284,2344336,2420448,2573636,2497432,2795876,2734932,2983516,2921228,2810184,2933404,2972300,2977136,3044564,3214612,3279504,3274836,3311608,3309476,3397340,3398888,3469344,3615304,3696476,4014672,4191708,4215960,4515732,4514356,4232708,4305824,4683256,4773328,4466660,4494044,5062528,5083548,5130160,5287252,5223400,4870800,5051976,4986612,6047632,5454924,5486060,5418360,5542704,5554144,5674956,5737812,5767264,5654944,5570172,5682548,5710180,5857616,5931012,6002772,6049344,6140024,6188740,6157596,6312068,6103060,6273320,6423000,6523132,6884880,6981516,6979776,7093656,7146040,7264064,7378880,7435132,7728452,7791632,8009244,8261560,8327000,8493744,8594924,8589792,9227684,9407848,9194472,9609208,9266964,9444460,9573628,9642080,9648456,9694612,9841276,9982828,10002276,10166944,10360748,10487836,10431164,10483788,10704144,10901748,11216134,11257838,11515830,11795310,11792334,11843714,11743786,12213814,12268265,12455997,12419489,12815201,12794060,12866376,13009676,13101672
 "30000","Montana",7,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",193944,197584,203264,208504,208532,216432,221976,226708,230476,232500,234516,232496,230360,228732,230912,234776,237896,246688,251888,255368,255164,254068,257736,262908,269788,277204,285304,290760,296608,301084,308548,313400,321572,327808,333324,335848,343472,349596,351376,350820,353116,352080,351512,352496,381328,389532,398596,408032,431832,445408,465860,476620,475864,485224,494516,499860,521944,514796,554076,572064,594020,616836,643516,675332,698012,722812,750812,779776,808136,825872,846696,861540,882188,900952,920888,948824,982624,1019168,1055972,1094912,1128692,1157340,1200272,1239628,1293972,1323104,1362380,1439716,1526696,1579152,1616900,1745624,1819272,1913956,2058348,2123716,2169836,2233820,2267856,2283644,2300280,2298132,2344484,2389120,2439308,2514240,2629080,2682100,2670324,2648504,2637444,2657456,2672572,2670456,2625572,2582464,2568416,2576976,2606224,2638632,2625264,2615496,2667716,2748864,2854500,2927128,2961464,2995264,3026664,3024848,3055312,3051008,3052180,3091428,3135988,3154768,3158504,3186824,3195640,3226024,3283636,3303616,3317716,3337812,3389372,3464940,3546268,3659248,3757904,3829680,3879844,3934380,3977104,4021800,4094072,4183060,4240976,4336044,4411052,4486540,4607596,4702624,4736500,4688448,4628764,4631548,4639308,4752800,4846352,4941132,5073012,5110488,5172580,5178120,5140348,5068280
 "30000","Montana",7,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",88640,97720,107356,104672,99780,104980,110440,114724,108588,106940,107376,109580,115376,118300,118236,116732,118756,118004,119404,119856,124648,119076,120152,121592,126024,125664,125996,126844,131372,129456,141400,134652,138120,137256,140440,155000,164068,167060,170476,173988,180836,191876,194456,197076,205612,209108,211208,212236,218524,247288,244620,254160,260664,284984,285848,290136,299196,298184,303884,338176,347112,355100,363348,373864,389604,415272,434560,451704,474332,517632,524556,540288,557268,555404,582776,584348,594868,602156,626000,635796,648848,657112,689076,703144,722788,734960,786004,795604,831300,842008,947816,958456,988580,997336,1071112,1080680,1094880,1129960,1179804,1225768,1241300,1270900,1267432,1293856,1327628,1344360,1354564,1385608,1422036,1422252,1429024,1448764,1491884,1515548,1549004,1554264,1582872,1601668,1602788,1616012,1668540,1678696,1697152,1727180,1812568,1839340,1866160,1905984,1987456,2025560,2049296,2067784,2116056,2135288,2126364,2182096,2262864,2303264,2348708,2368520,2452232,2475148,2512876,2531184,2561108,2570412,2580628,2641912,2731108,2770512,2798152,2794824,2854736,2894584,2884660,2885468,2937108,2930284,2937488,2956180,3046692,3068144,3052320,3041460,3018068,2995876,3025584,3083124,3210284,3355008,3457336,3535216,3599444,3691264,3616524,3775216
 "30000","Montana",7,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",732208,725788,732092,761884,769444,778800,774796,758216,778464,806276,816984,820440,826028,826188,843548,846644,867588,894052,894188,919872,930904,926232,927728,943740,952188,948168,976508,980008,996428,1015020,1031592,1058200,1052924,1086676,1104184,1104288,1116228,1117976,1110724,1138248,1154372,1173964,1185968,1191320,1226468,1249224,1272740,1291104,1303868,1343348,1395420,1399116,1421944,1453804,1479880,1540188,1594388,1643560,1639372,1685896,1759340,1815876,1853540,1924252,1980824,2023712,2106656,2144520,2176724,2217608,2318120,2357964,2443640,2493432,2534144,2611212,2687492,2757564,2867768,2919372,3050244,3176964,3276252,3339712,3410760,3549060,3649180,3725604,3739728,3797404,3835572,4058380,4109192,4185872,4288148,4288636,4292796,4302040,4351452,4404020,4436756,4503072,4491464,4578412,4638596,4668252,4720376,4713588,4715144,4755352,4734388,4746044,4693300,4672092,4647508,4722676,4746656,4755064,4796032,4878244,4831148,5046832,5155436,5264704,5188444,5308712,5334248,5449484,5531392,5635048,5724732,5779412,5865564,5920764,6120860,6234868,6359136,6459348,6535524,6453844,6838188,6892928,6864920,6987276,7108324,7266320,7370204,7403480,7511128,7544624,7657344,7759496,7833352,7963432,8135528,8244640,8260872,8352496,8500204,8644600,8767860,8793200,8988144,9101144,9233212,9273620,9174544,9514032,9790080,9876360,9856516,10037432,10251800,10320048,10444532,10542980
