GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "37000","North Carolina",5,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",6660988,6642088,6782356,6867756,7039644,7192520,7275012,7361196,7374700,7611472,7718864,7765220,7806556,7918712,8243864,8288492,8438112,8609840,8739536,8857224,8946196,9016456,9119508,9356804,9588972,9785804,9883784,10214632,10424044,10462652,10792528,11005244,11378508,11702164,12027088,12312504,12538048,12644280,12838300,13248184,13536228,13984308,14353752,14668408,15225332,15722404,16147124,16337708,16876324,17186876,17488760,17729732,18088920,18640616,19224380,19473252,20490952,20898940,21439716,22446456,23013904,23807852,24380040,25496224,25963764,26341324,27017048,27293288,27349880,28517540,29390344,30513288,31093824,31626704,32662636,33146124,33650672,34655820,35627288,36898616,37956244,39166416,40330808,41491188,42472656,43170708,44256012,45733876,46957392,48016076,49934344,52080016,53232744,54412960,56860496,57480640,57861296,59119820,60235252,60463920,62054904,63430608,65514664,67577632,70113888,72458420,74176156,75756224,76914452,78093696,79621980,81450500,82898468,84284024,86154924,87440632,88930612,90658960,92692564,95255848,96898916,99400340,102030764,104027880,106849956,109240348,110164552,112517664,114856808,116560316,117577312,117095512,117912612,120523168,123147792,125989688,128792720,131995584,134196160,135715168,137945528,140577616,142052280,145257928,146733896,149393356,151416484,154786592,157881036,160193296,162307712,165564792,167423824,172370924,174111316,177360736,181843968,183309280,186594748,191003436,193534464,196804408,200644180,204117664,205286281,206751785,209878757,213161969,217197555,221729223,224879447,226453403,228048052,229833892,227830372,229807532
 "37000","North Carolina",5,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",5795592,5717832,5818808,5873896,6112368,6226540,6275156,6334920,6375256,6599588,6673640,6685152,6681536,6765444,7058428,7075252,7218764,7357008,7451260,7535140,7634700,7716660,7797728,8001712,8182484,8364420,8430472,8745832,8920924,8942296,9185300,9401560,9840320,10148340,10455356,10674620,10857372,10948336,11122672,11540724,11786516,12160612,12492340,12765020,13144684,13598492,13965056,14073484,14498812,14534800,14743308,14882072,15259532,15660440,16256524,16446376,17475972,17862484,18206996,18920768,19666492,20358476,20813284,21795696,22127196,22218544,22589004,22469912,22072508,22862956,23698220,24778376,25405156,25848240,26603300,26899920,27403296,28329452,29054004,30150744,31135564,32237664,33123660,34164348,35006544,35547032,36131980,37244420,37712780,38443128,39538212,41237888,42197344,42859456,44250872,44578588,44450040,45492076,46281408,46140516,47715424,48923444,50618588,52128740,54499228,56329288,57521420,58717828,59581096,60698904,62151604,63769520,64510796,65628280,67543324,68981344,70290148,71799332,73400308,75485104,76566020,78911004,80850964,82141832,83323704,85134432,85701932,87916952,89312720,90747792,91325140,90421896,90306968,92463812,94912164,97175416,99544072,102137572,103907880,104779716,106031280,108242360,109262472,112218460,113325788,115506772,117051880,119267356,120725096,122213608,123474136,126350140,126460296,130312596,131479964,133943388,137809992,138578252,140976608,144625444,145979708,148436940,152178544,155906588,157137537,158251213,160931129,163476433,166490159,169776611,172358523,173221607,173847172,174907460,173614900,174083808
 "37000","North Carolina",5,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",211904,212628,215900,214988,254064,255924,258556,260524,302732,308320,308648,306580,311104,312476,315660,318468,340744,345464,347344,352936,399104,408140,417448,422560,425096,431684,437044,447532,459312,463120,471940,474852,594772,603732,629560,639812,678572,705224,724076,754236,789068,817800,840932,856844,871796,890792,911004,924792,961400,966192,975004,981844,1076396,1092156,1120992,1117488,1300480,1306252,1302396,1325144,1623724,1649400,1688316,1750116,1870236,1906900,1935224,1891600,1882744,1954716,2003440,2070120,2248920,2252864,2286308,2300304,2429896,2492024,2539156,2591828,2776996,2859512,2960488,3084544,3228632,3337580,3425512,3567212,3580724,3662372,3742456,3881576,4222520,4327984,4457340,4512460,4532500,4622756,4683748,4699536,4968424,5108964,5250320,5363000,5753156,5911084,6041364,6170584,6332100,6488456,6670084,6864164,7054988,7198756,7377004,7544872,7650072,7782148,7930256,8115028,8477724,8749440,8934776,9191064,9289828,9419012,9456092,9795448,10063652,10254380,10386516,10321836,10360876,10601808,10927128,11099048,11422692,11662304,11820824,11691028,12247248,12305340,12533444,12653776,13056032,13243740,13492448,13803020,13963720,14174820,14257808,14515624,14485128,14841592,15043596,15334328,15646076,15814480,16029220,16421312,16713708,16982868,17384924,17744876,18028040,18167536,18457964,18687300,19072692,19294240,19621648,19722652,20127100,20243736,20018612,20010712
 "37000","North Carolina",5,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",99248,98680,100076,98572,113184,113896,114764,116320,138088,141636,142848,142760,144476,145844,148260,150708,155732,158108,158712,160256,184788,187564,190872,192644,198120,201092,203448,208000,214980,216120,219536,220012,284864,288228,306624,310100,334968,351268,357900,369576,382032,395372,404256,410684,431572,441084,450956,457804,476648,478708,485144,487600,532196,538544,551872,548856,631112,632508,633004,643652,791964,806280,827832,854896,917704,935520,950768,930172,928780,960780,981164,1008632,1077900,1074780,1088388,1093760,1149908,1179872,1203132,1228384,1308980,1349044,1398776,1458336,1528252,1582636,1628988,1700216,1715420,1753900,1802204,1871344,2040572,2095512,2167052,2204920,2227456,2280720,2318144,2324436,2427876,2488556,2549732,2595072,2737392,2807836,2874680,2950908,3090088,3187084,3289472,3391528,3493780,3566044,3655668,3743796,3819444,3892568,3971752,4067860,4266424,4409012,4512264,4654196,4757128,4834484,4856908,5024724,5149872,5230832,5314352,5294320,5335984,5463736,5626488,5709112,5857280,5975268,6054324,5986384,6276184,6310524,6434292,6499400,6721020,6823600,6962460,7135656,7252476,7373592,7419696,7555356,7534576,7714008,7816656,7965716,8137540,8223820,8333264,8534932,8674160,8813968,9022416,9202216,9369904,9442340,9594056,9718512,9916452,10036180,10187368,10215756,10393072,10458772,10363976,10396372
 "37000","North Carolina",5,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",112656,113948,115824,116416,140880,142028,143792,144204,164644,166684,165800,163820,166628,166632,167400,167760,185012,187356,188632,192680,214316,220576,226576,229916,226976,230592,233596,239532,244332,247000,252404,254840,309908,315504,322936,329712,343604,353956,366176,384660,407036,422428,436676,446160,440224,449708,460048,466988,484752,487484,489860,494244,544200,553612,569120,568632,669368,673744,669392,681492,831760,843120,860484,895220,952532,971380,984456,961428,953964,993936,1022276,1061488,1171020,1178084,1197920,1206544,1279988,1312152,1336024,1363444,1468016,1510468,1561712,1626208,1700380,1754944,1796524,1866996,1865304,1908472,1940252,2010232,2181948,2232472,2290288,2307540,2305044,2342036,2365604,2375100,2540548,2620408,2700588,2767928,3015764,3103248,3166684,3219676,3242012,3301372,3380612,3472636,3561208,3632712,3721336,3801076,3830628,3889580,3958504,4047168,4211300,4340428,4422512,4536868,4532700,4584528,4599184,4770724,4913780,5023548,5072164,5027516,5024892,5138072,5300640,5389936,5565412,5687036,5766500,5704644,5971064,5994816,6099152,6154376,6335012,6420140,6529988,6667364,6711244,6801228,6838112,6960268,6950552,7127584,7226940,7368612,7508536,7590660,7695956,7886380,8039548,8168900,8362508,8542660,8658136,8725196,8863908,8968788,9156240,9258060,9434280,9506896,9734028,9784964,9654636,9614340
 "37000","North Carolina",5,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",9408,9244,9228,9680,9460,9424,9456,9508,9528,9680,9788,9588,9740,9932,10104,10188,10456,10664,10828,11164,10484,10908,11220,11664,11376,11564,12012,12080,10940,11060,11280,11368,10408,10640,10528,10748,10024,10048,10152,10704,12144,12380,12552,12876,17748,18312,18984,18944,16888,20336,20064,21612,14436,16296,14192,15864,8216,7984,9672,10608,6792,7940,8056,6632,10372,10728,11512,18520,19532,13908,14376,12200,11828,13500,14936,15072,18144,18636,20176,18556,15264,21296,17620,17388,7428,6516,11168,5736,12364,9720,11448,11704,-12240,-22148,-34036,-49172,-36748,-43172,-44480,-37408,-50040,-55148,-65488,-66284,-84588,-94112,-96940,-103364,-147956,-154368,-161712,-164576,-211008,-215540,-222996,-226512,-288060,-297096,-304964,-313200,-348868,-358952,-363008,-381744,-413560,-420536,-407492,-429392,-459160,-465392,-461940,-443848,-399588,-423696,-461732,-475644,-437364,-459640,-474624,-486312,-452504,-469704,-491264,-511580,-523732,-533520,-550748,-577496,-602380,-616392,-615132,-637292,-652088,-677776,-685352,-712812,-739052,-749920,-760436,-789188,-718796,-723644,-746360,-762448,-787564,-801344,-818364,-820140,-906936,-912960,-935944,-927544,-937696,-944508,-921472,-917672
 "37000","North Carolina",5,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",5593096,5514448,5612136,5668588,5867764,5980040,6026056,6083904,6082052,6300948,6374780,6388160,6380172,6462900,6752872,6766972,6888476,7022208,7114744,7193368,7246080,7319428,7391500,7590816,7768764,7944300,8005440,8310380,8472552,8490236,8724640,8938076,9255956,9555248,9836324,10045556,10188824,10253160,10408748,10797192,11009592,11355192,11663960,11921052,12290636,12726012,13073036,13167636,13554300,13588944,13788368,13921840,14197572,14584580,15149724,15344752,16183708,16564216,16914272,17606232,18049560,18717016,19133024,20052212,20267332,20322372,20665292,20596832,20209296,20922148,21709156,22720456,23168064,23608876,24331928,24614688,24991544,25856064,26535024,27577472,28373832,29399448,30180792,31097192,31785340,32215968,32717636,33682944,34144420,34790476,35807204,37368016,37962584,38509324,39759496,40016956,39880792,40826148,41553180,41403572,42696960,43759332,45302780,46699456,48661484,50324092,51383116,52443880,53101040,54056080,55319808,56740780,57244800,58213984,59943324,61209960,62352016,63720088,65165088,67056876,67739428,69802612,71553180,72569024,73620316,75294884,75838348,77692112,78789908,80028020,80476684,79656212,79546504,81438308,83523304,85600724,87684016,90015628,91612432,92602376,93331528,95467316,96237764,99053104,99746024,101729512,103008684,104886840,106158996,107422396,108601196,111197224,111323080,114793228,115751016,117896248,121424864,122013852,124186952,127414944,128547204,130730428,134047260,137399264,138321933,139282333,141654801,143968993,146510531,149569411,151800931,152571411,152782376,153719216,152674816,153155424
 "37000","North Carolina",5,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",707916,730808,752216,772680,768524,787332,805944,827332,847588,863236,885384,901416,916184,934252,958012,990424,1007516,1044336,1072476,1092600,1099872,1113812,1135892,1162372,1194784,1225836,1254636,1275336,1295416,1321824,1351008,1373728,1408880,1431776,1457084,1476856,1515160,1540176,1560968,1569236,1606068,1648080,1688588,1726036,1854268,1896180,1958176,2037320,2147968,2223740,2329528,2376828,2429804,2449536,2482764,2511716,2631948,2646624,2809312,2893716,2986900,3082384,3196656,3326684,3469504,3595212,3723764,3842340,3939648,3976764,4060220,4143504,4222320,4342512,4460340,4587044,4708156,4868996,5037844,5227964,5410988,5561860,5746516,5915408,6068312,6211588,6415864,6804088,7362476,7702180,7861784,8360236,8763976,9325676,10073308,10383372,10773876,10947212,10970200,11053516,11286140,11503544,12087400,12623620,12999152,13593724,14168692,14470764,14711056,14860564,14979192,15365088,15996488,16295452,16289024,16276828,16473208,16727604,17291064,17870928,18328512,18643988,19322556,20091884,21190324,21688244,21859672,22119924,22828892,23051452,23351560,23212468,23350516,23485312,23774572,23956844,24076612,24650088,25010836,25411004,25905220,26151500,26397476,26752892,27227212,27990424,28671808,29437016,30105332,30538100,30993496,31711832,32379416,33124712,34059088,35078072,35328864,36069560,36860888,37778844,38803220,39769928,40200976,39903420,39409860,39678616,39947912,40567208,41625740,42255268,42749908,43071488,42778368,42607228,42181380,41606096
 "37000","North Carolina",5,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",359976,396832,418004,426488,403356,425148,443012,449960,445060,447288,458700,475644,510200,521560,532980,531096,542120,543296,552316,571256,600244,583216,592116,603616,625424,615668,623708,628916,656076,650592,716880,693440,713672,715140,733680,790092,834064,850944,868584,881756,920568,981036,1001204,1021320,1080428,1100212,1115912,1132752,1174056,1374192,1370864,1431064,1461544,1606500,1591892,1616784,1675296,1688100,1716132,1946508,1977444,2008452,2050360,2117328,2226928,2423740,2627992,2854116,3200936,3618628,3620968,3649328,3703440,3675316,3870368,3944392,3950972,3930760,4054420,4093180,4171424,4205108,4403500,4478588,4619004,4743152,5122512,5246844,5450496,5523420,6265356,6351764,6506184,6577960,7027692,7080312,7206628,7346460,7711872,8006832,8071804,8167732,8124484,8254556,8453252,8540604,8624348,8841580,9102356,9177052,9322980,9344632,9657180,9774588,9922576,9953844,10105388,10211268,10236412,10328044,10830976,10953740,11155028,11366972,12039316,12257220,12466532,12705628,13238008,13480844,13749068,14226832,15015592,15599548,15849916,16432120,17032092,17329868,17572892,17701788,18708780,18958800,19417040,19451932,19760660,19673420,19735992,20462736,21616708,22232800,22713020,22655736,23721328,24452984,24301212,24386416,25090240,25225868,25546908,25809648,26184040,26304052,26395944,26814980,27554488,27790836,28276044,28625768,29061284,29904544,30328608,30810504,32487308,33507448,32974176,35046012
 "37000","North Carolina",5,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",4013796,4053088,4173492,4263828,4421700,4537944,4622568,4695216,4728748,4841564,4838108,4848520,4862944,4956140,5098748,5245800,5323588,5470476,5521912,5588044,5679092,5774052,5895148,5966288,6121672,6278720,6388052,6552920,6754004,6849812,7065332,7259340,7489276,7763332,8022592,8181136,8308316,8401572,8573456,8859488,9113240,9446328,9765828,10033320,10289280,10578588,10829508,11015568,11386648,11427668,11572340,11691892,12014868,12264508,12744396,12834464,13711532,13956676,14121632,14582768,15111384,15511260,15970996,16564120,16902728,17277504,17572628,17232924,16896420,17563612,18093448,18802980,19415952,19646064,20123172,20464364,20974684,21739204,22372476,23033232,23697572,24378712,25169416,26042548,26714012,27410644,27991344,29054916,29390612,30149012,30624852,31744088,32326152,33117684,34066212,34516144,34241624,34939408,35442936,35628684,36448248,37648748,38936504,40066960,41199888,42565440,43652352,44642556,45229300,46246052,47342436,48399344,49187800,49889660,50918352,52132872,53327652,54534612,55764304,57337308,57561036,59520164,60708068,62250668,63127572,63653316,63602248,65619992,66750780,68051068,68443840,67712392,67579884,68839712,70724860,71855156,73408232,75133932,76321748,77359076,77591352,79168616,80635864,82020632,82631576,84531064,86071928,88105924,89232680,90683548,91325692,93148624,93591044,96099440,97552488,99506608,102050320,103296552,104865420,107712956,109126268,111040460,113846964,116315876,118160412,119221044,121397744,123447900,126808368,128416388,130441896,130507256,132380992,132823076,131287784,131518724
