GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "91000","New England",1,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",23366960,23629132,24089532,24513972,24694272,25251444,25761176,26216848,26236168,26533268,26610760,26789976,27193312,27657744,28065340,28514492,28932732,29463096,29776776,29997788,30368392,30620276,31037052,31497408,32157868,32778708,33332880,33982676,34346292,35047812,35896316,36555732,37298032,37969484,38843212,39891040,40726900,41448800,42331760,42859420,43946012,44931836,45649536,46635972,48464968,49579500,50573340,51418132,52500808,53667812,54474484,55016352,55859932,56935092,58124728,58832484,60350224,61367772,62570696,64684712,65982720,67425980,68436816,69817992,71183944,72907460,74525416,75938524,76784960,78426004,80077836,81976060,83431008,85008752,87610760,88976160,90992168,93168268,95527256,98190832,100583064,103572004,106628016,109038476,113149960,115292092,118795996,122262192,127034700,129978976,134207616,139619740,142533044,145867876,151471368,153879412,156282388,159976212,164405404,166271644,169507644,172286808,175291264,181647956,187428836,193431232,199349704,203188552,207312980,209445208,212453332,216916836,219539140,226303844,231019356,236572508,239187212,244304368,250768132,258161560,264166580,270031276,275876252,282752456,288926492,292267512,294355756,296792068,298596612,301918044,303876780,302547428,302558568,305553180,306752988,310515268,318228536,323079796,324736208,329470500,329532340,334025344,338653464,340957928,343622596,348565820,350820652,357909592,362242868,368114948,373090644,376475620,381729812,388843320,393174044,398968888,406511540,411904504,417390020,426325748,433032704,442776216,450169824,455329488,460112724,466557600,477162444,487071940,509679284,514999756,527062300,533042416,546421388,547391072,544356600,546690272
 "91000","New England",1,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",19032272,19041832,19373420,19761100,20149244,20569392,20978896,21351812,21457400,21726208,21715208,21797152,22064628,22384932,22690348,23058308,23503224,23907700,24085568,24142460,24472440,24668060,24954268,25251268,25686072,26206484,26624520,27174076,27344900,27961172,28457964,29114212,30075244,30707532,31438792,32139584,32579592,33043736,33734184,34244940,35175920,35942016,36526924,37393328,38161052,39111480,39980328,40707020,41462296,41815852,42331708,42437416,43196468,43604288,44686284,45155432,46735664,47548376,48430288,49758888,51507704,52622748,53273732,54206684,55165076,56065500,56924628,57496920,57295236,57897712,59081464,60801556,62345436,63835940,65878900,66846444,68617808,70443284,72240356,74485856,76580472,79376848,81755096,83752752,87300020,88915088,91133320,93329508,96253864,98202496,100351628,104063800,106432120,108110532,110392700,111625828,113148268,115321160,118794864,119595132,123231356,125888448,128055960,133373896,138222780,142319244,146461164,149591796,153313456,155895456,159112320,163055004,163781832,169841796,174257144,180127644,182369480,186754180,192168244,197919744,202675532,207727248,211331364,215917176,218338104,219466896,220059560,221213536,221903560,224587912,225808300,223349736,222670284,224006720,224500196,226810240,232965572,237056744,238413704,242194948,242241780,245827248,249795456,251343472,254155948,257666696,258896072,263364724,264838068,269334940,273371000,276459668,279018960,284758336,288703496,293389592,299980004,304036288,308018852,315791780,319383052,327586240,334978912,340885136,346570760,353046100,362727748,370549872,390576304,391386888,401649612,405318836,417078548,416393880,414852088,415835316
 "91000","New England",1,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",720032,716352,724472,729036,855736,866204,879748,888352,1021828,1025144,1028108,1025020,1054920,1067084,1077104,1094532,1201452,1219320,1222996,1219388,1346580,1350332,1359324,1373956,1374992,1392400,1407280,1426428,1415272,1439700,1462524,1486128,1881780,1905516,1972568,1988580,2063540,2117080,2156172,2202008,2306020,2359348,2384880,2429168,2566132,2615528,2666496,2708708,2761484,2774148,2791004,2771916,2999628,2995236,3033596,3029880,3424652,3445660,3454040,3501416,4281312,4341948,4374220,4457140,4755700,4824472,4876684,4874632,4872264,4871672,4918852,5023492,5399516,5468664,5603600,5624804,5971408,6077788,6172716,6321664,6726096,6989676,7219144,7474904,7941940,8167740,8418284,8654940,8886628,9014572,9222804,9582724,10456360,10691296,10933460,11078948,11472756,11639840,12006920,11999020,12667332,12915444,13066692,13539308,14618172,14987052,15359132,15740620,16252588,16555988,16888752,17383400,17791868,18226724,18653912,19306320,19481236,19880412,20408520,20894468,21980988,22425036,22757932,23351088,23459704,23611132,23662628,23779784,23977896,24123496,24321584,24145396,24318192,24598200,24691300,24901992,25596768,25956428,26022404,25782576,26764896,26790596,27303796,27276300,28173736,28440024,28662548,29160672,29461100,29999784,30415664,30722732,30773992,31355128,31773212,32295848,32909472,33296932,33659636,34491168,34574536,35401916,36098460,36596492,36856196,37416792,38344176,38909612,40719076,40436536,41520864,41839872,42660892,42510076,42249144,42494144
 "91000","New England",1,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",310388,307484,312628,313796,361408,366864,371332,375380,437328,439996,442560,443672,455196,460384,464140,469108,487792,492456,493524,492524,563820,566176,569784,573812,584672,588868,593656,601444,602820,613000,623248,634036,835108,845580,895996,903348,960092,1002188,1018224,1037332,1080332,1108444,1118700,1137120,1216212,1239688,1263800,1284492,1312200,1319460,1333100,1325172,1433224,1428992,1442076,1434064,1594300,1596076,1604940,1620240,1986248,2016724,2039460,2070056,2223408,2259380,2290880,2297060,2306988,2305572,2320728,2354848,2482960,2501432,2551492,2558624,2703036,2751652,2794928,2848200,3002672,3110184,3218548,3331388,3554656,3670152,3804192,3932668,4064356,4128452,4256344,4430288,4843368,4963116,5091984,5175336,5371400,5468260,5647920,5644936,5904344,6006036,6054248,6248280,6605496,6752920,6935836,7148384,7547352,7748408,7954624,8204264,8425516,8641932,8855984,9199540,9352776,9581720,9848596,10085600,10648704,10864772,11051868,11378788,11579832,11702388,11766148,11836456,11926520,11987428,12136216,12091024,12240188,12408216,12475652,12581168,12901228,13069776,13087028,12966168,13449420,13459052,13716116,13703412,14180324,14312420,14430852,14719432,14935280,15233752,15462052,15617740,15638780,15924292,16139632,16416688,16769504,16990788,17182552,17600284,17669260,18101236,18475280,18745172,18963900,19270752,19744412,20059284,20930832,20785424,21335788,21515832,21985064,21929568,21813612,21930320
 "91000","New England",1,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",409644,408868,411844,415240,494328,499340,508416,512972,584500,585148,585548,581348,599724,606700,612964,625424,713660,726864,729472,726864,782760,784156,789540,800144,790320,803532,813624,824984,812452,826700,839276,852092,1046672,1059936,1076572,1085232,1103448,1114892,1137948,1164676,1225688,1250904,1266180,1292048,1349920,1375840,1402696,1424216,1449284,1454688,1457904,1446744,1566404,1566244,1591520,1595816,1830352,1849584,1849100,1881176,2295064,2325224,2334760,2387084,2532292,2565092,2585804,2577572,2565276,2566100,2598124,2668644,2916556,2967232,3052108,3066180,3268372,3326136,3377788,3473464,3723424,3879492,4000596,4143516,4387284,4497588,4614092,4722272,4822272,4886120,4966460,5152436,5612992,5728180,5841476,5903612,6101356,6171580,6359000,6354084,6762988,6909408,7012444,7291028,8012676,8234132,8423296,8592236,8705236,8807580,8934128,9179136,9366352,9584792,9797928,10106780,10128460,10298692,10559924,10808868,11332284,11560264,11706064,11972300,11879872,11908744,11896480,11943328,12051376,12136068,12185368,12054372,12078004,12189984,12215648,12320824,12695540,12886652,12935376,12816408,13315476,13331544,13587680,13572888,13993412,14127604,14231696,14441240,14525820,14766032,14953612,15104992,15135212,15430836,15633580,15879160,16139968,16306144,16477084,16890884,16905276,17300680,17623180,17851320,17892296,18146040,18599764,18850328,19788244,19651112,20185076,20324040,20675828,20580508,20435532,20563824
 "91000","New England",1,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",17680,17540,18284,18408,20336,20504,19956,19776,26828,26448,27048,26764,27804,28048,27972,28940,31384,31532,31688,31432,35740,36260,36144,36976,41120,41696,42464,41776,43388,42996,45488,44188,50688,50776,50716,49952,56572,57404,58016,60456,67644,69484,72176,74244,808076,824884,843228,863260,826352,841580,853260,848800,872784,879004,885484,900740,908920,939072,963776,992636,990960,992156,994524,1010360,1048356,1075004,1095816,1113232,1156344,1177536,1194076,1202596,1268108,1276148,1297512,1301188,1393484,1416976,1450748,1478192,1570688,1611660,1637148,1685996,1773976,1813964,1869256,1904156,2076292,2138108,2169768,2249116,2256256,2320696,2374240,2430460,2455948,2475908,2532796,2591436,2574020,2638532,2685232,2764048,2763224,2836508,2878212,2959256,3026428,3082532,3151704,3216492,3175860,3198216,3267852,3305756,3337468,3401404,3443308,3526096,3742720,3650484,3646728,3731960,3636968,3737832,3805768,3799868,3396928,3444344,3483452,3421060,3363124,3419024,3470808,3485008,4597044,4576428,4693264,4887012,3931932,4103072,4156332,4274212,3745964,3979404,3920388,3993560,4661044,4649760,4685048,4700948,5379592,5401216,5400372,5540196,4921620,4958368,5115228,5240752,6365092,6622652,6621620,6592272,6559196,6425064,6549280,6495716,6532232,6669288,6744896,7094384,7113184,6799180,6689200,6630976
 "91000","New England",1,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",18329920,18343020,18667232,19050472,19313844,19723692,20119104,20483236,20462400,20727512,20714148,20798896,21037512,21345896,21641216,21992716,22333156,22719912,22894260,22954504,23161600,23353988,23631088,23914288,24352200,24855780,25259704,25789424,25973016,26564468,27040928,27672272,28244152,28852792,29516940,30200956,30572624,30984060,31636028,32103388,32937544,33652152,34214220,35038404,36402996,37320836,38157060,38861572,39527164,39883284,40393964,40514300,41069624,41488056,42538172,43026292,44219932,45041788,45940024,47250108,48217352,49272956,49894036,50759904,51457732,52316032,53143760,53735520,53579316,54203576,55356688,56980660,58214028,59643424,61572812,62522828,64039884,65782472,67518388,69642384,71425064,73998832,76173100,77963844,81132056,82561312,84584292,86578724,89443528,91326032,93298592,96730192,98232016,99739932,101833480,102977340,104131460,106157228,109320740,110187548,113138044,115611536,117674500,122598636,126367832,130168700,133980244,136810432,140087296,142422000,145375272,148888096,149165824,154813288,158871084,164127080,166225712,170275172,175203032,180551372,184437264,188952696,192220160,196298048,198515368,199593596,200202700,201233620,201322592,203908760,204970168,202625400,201715216,202827544,203279704,205393256,211965848,215676744,217084564,221299384,219408816,223139724,226647992,228341384,229728176,233206076,234153912,238197612,240038012,243984916,247640384,250437884,253624560,258804424,262330656,266633940,271992152,275697724,279474444,286541364,291173608,298806976,305502072,310880916,316273760,322054372,330932852,338135976,356389460,357619640,366873644,370573348,381530840,380682984,379292144,379972148
 "91000","New England",1,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",3523700,3574600,3640076,3711476,3728752,3845200,3941220,4025016,4065020,4071808,4123420,4162800,4219156,4303344,4418280,4566072,4611476,4760644,4881480,4986364,5061432,5167732,5294572,5433880,5587144,5731648,5866588,5982588,6097280,6248776,6402216,6528420,6649436,6718156,6830972,6940940,7218516,7443992,7564568,7516480,7586672,7621988,7655992,7729420,7992612,8134168,8280156,8443656,8640936,8819056,9056736,9211308,9315568,9454304,9610488,9746268,9909784,10055976,10341488,10583256,10784740,11023628,11311760,11613092,11959724,12309612,12620672,12889884,13063104,13019648,13154952,13363352,13499512,13886528,14273164,14654152,14999220,15381672,15767912,16222120,16609192,17001164,17465844,17899876,18474172,18891772,19495636,20664412,22140760,23112104,23681356,25350932,26341184,27856048,30166148,31388820,32467748,33722740,34225624,34515248,34653532,34682644,35730824,36868536,38425600,40345860,42339708,42990156,43285256,42966372,42748840,43611424,45292496,46187008,46546628,46847524,47093496,47960720,49408620,51256784,52239024,53308016,55398000,57634972,60077748,61750544,62513228,63005952,63506040,63407096,63567688,63355640,62419060,62318612,62582144,62612544,62640744,63189708,63480476,64258292,65187696,65795924,66079108,66348640,66795508,67841600,68926964,70604836,71790016,73014608,74046544,75291568,76158684,77183012,78469496,79809016,80674292,82029420,83291076,84909496,87014632,88966124,89724896,88856960,87551776,88134428,89088832,91182260,94981444,97586012,99502304,101072140,101620356,101629720,100562072,98743892
 "91000","New England",1,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",1513340,1711512,1782224,1752024,1651676,1682552,1700852,1708596,1708748,1733948,1773192,1828280,1936644,2008504,2005844,1955704,1988100,1982540,2001036,2056920,2145360,2098556,2111392,2149240,2218524,2191280,2206588,2210664,2275996,2234568,2453172,2355040,2404444,2398536,2495300,2749144,2935760,3020748,3131164,3239552,3421796,3657696,3779324,3868148,4069360,4124496,4136124,4112904,4332708,4965472,5023784,5290744,5474740,5992732,5976068,6059924,6220508,6270008,6289184,6851348,6980628,7129396,7231020,7444996,7766488,8281816,8760984,9313120,10142540,11202780,11566196,11632048,11717468,11478800,11764784,11799180,11953064,12004124,12240956,12326328,12548808,12572008,12989072,13174756,13543732,13839008,14716068,15019056,15450412,15540840,17227668,17538616,17959844,18271896,19471740,19513252,19683180,20096244,20859040,21568848,21716068,21992628,21885940,22180784,22635404,22916672,23029752,23387964,23940428,24056836,24329220,24417316,25080820,25303548,25601644,25597904,25868004,26068476,26156480,26353404,27490292,27770564,28258092,28819436,30333376,30923372,31639828,32552496,33767980,34602188,35338924,36566388,38424292,40407024,40891140,42509468,43621944,44213344,44171168,43912824,44935828,45089696,45926364,46267904,47098912,47518144,47739776,49107144,50414840,51115424,51403716,50746168,51946568,52855884,52373892,52525932,53845096,54177360,54624500,54874888,54844464,55003116,54942856,55591612,56287188,56368800,57140760,57753704,58308380,59794104,60686352,61396928,63270192,65078368,64502384,67974232
 "91000","New England",1,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",15321528,15320980,15624144,15972656,16235312,16589520,16923044,17259536,17314280,17544208,17547956,17617824,17802120,18072432,18328040,18650484,18945308,19295176,19433808,19476616,19730692,19900092,20125112,20325308,20640196,21023288,21367784,21816272,21941424,22454176,22903888,23440256,24032608,24636904,25309248,25906368,26282912,26696940,27235268,27662448,28384532,28950420,29395292,30144132,30776600,31592744,32332928,33039360,33659924,33945456,34327512,34326696,34922836,35125148,35949644,36228628,37467104,38144748,38817924,39813352,41144032,42108292,42672680,43436224,44213080,45000028,45698928,46053188,45636912,45991956,46826444,48125428,49056392,50132548,51597332,52175284,53439244,54802600,56184240,57867712,59252176,61423404,63322420,64853292,67395052,68685968,70440620,72325528,74912688,76316672,77739272,80697424,82284964,84087096,85794792,86857408,88525104,89822252,92581448,92737464,94965836,97296524,98901424,103107292,106125416,109141332,112135336,114971312,117266568,119370308,121730372,124887700,127108728,129835792,132442692,137149916,139026000,142541604,146896164,151540328,154200380,158069916,160534080,164270408,165405912,165836784,166248416,167555972,168755004,170899828,171398656,169094200,168463984,169087712,168892344,169953500,173114004,175634872,176173068,179101812,178009196,180974188,184184684,185140788,186190000,189089492,190019088,193461528,195561244,199305160,202448380,204724336,206366972,210644756,213768108,217573800,223059188,226279164,229264552,235455168,237776668,243995148,249407984,253429452,255878352,260406304,267651460,273528812,288101460,286620460,294935820,296818332,302261328,300105484,297024616,297219440
