GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "44000","Rhode Island",1,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1836560,1857884,1903724,1942548,1943212,1965176,2006208,2027856,2020720,2020120,2004316,2017616,2058708,2091420,2122788,2158884,2203596,2269072,2296276,2298824,2330180,2343496,2370708,2428060,2451464,2497744,2546372,2591608,2626780,2674560,2787532,2802360,2882468,2927296,3010024,3072828,3137892,3173268,3262884,3318832,3407608,3512264,3553112,3615612,3631092,3725468,3763520,3847300,3984036,4035636,4179352,4172860,4209668,4247188,4405704,4483824,4617840,4672856,4696548,4900624,4962764,5072104,5070296,5073052,5134608,5232992,5349540,5438516,5515292,5689904,5815632,5948920,6084364,6170356,6379556,6455496,6632576,6766608,6941068,7119496,7193416,7474936,7637240,7819056,8096480,8204464,8490660,8661200,9026168,9223864,9477556,9834912,10145380,10340996,10665584,10703096,10948036,11128380,11474328,11533424,11836380,12033752,12266652,12604816,12888680,13249656,13570584,13816412,14156204,14289556,14454736,14754540,14952508,15348300,15608016,15901984,16023496,16275308,16718380,17171744,17536220,18021388,18445408,18953996,19516028,19818856,19928724,20146384,20344524,20482836,20518072,20406780,20445020,20505568,20673772,20920036,21150580,21520816,21725736,21991460,22165832,22403244,22775484,22714484,22846516,23000248,23048368,23468716,23836968,24301720,24558696,24599636,24707396,25085228,25263656,25632280,26058692,26490192,26685332,27300960,27865734,28238258,28603750,28933890,29058058,29458006,30000034,30489450,31404233,31751257,32364833,32675093,33454932,33738972,33685664,34054924
 "44000","Rhode Island",1,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",1463164,1467216,1505444,1540456,1558132,1570148,1605544,1623672,1631520,1632812,1609616,1615804,1643708,1664488,1684252,1710352,1752236,1805748,1819908,1805092,1828140,1833808,1849092,1897632,1907872,1955620,2000920,2043144,2059120,2096040,2179944,2186456,2278296,2319224,2392232,2423744,2459220,2476316,2551568,2603076,2675076,2755644,2774356,2820992,2872652,2953556,2966604,3035340,3146792,3108440,3243040,3196396,3239320,3223792,3396572,3466260,3607280,3647136,3626072,3774756,3864568,3950952,3905064,3857868,3905056,3947396,4002472,4004176,3983976,4054392,4159988,4298884,4456604,4543808,4715616,4744168,4898100,4997064,5127656,5273536,5330832,5606664,5718840,5890804,6142076,6191424,6355460,6415116,6666128,6774748,6836228,7047972,7306220,7351880,7413148,7364640,7536648,7615112,7899952,7861876,8125280,8272596,8421544,8683308,8912852,9165584,9376108,9568124,9806620,9929884,10101636,10377472,10458648,10808776,11049912,11348996,11426944,11616224,11987824,12285388,12532892,12949856,13179052,13493384,13613712,13741880,13761896,13946584,14087892,14198760,14175528,13963840,13902152,13710644,13833152,13981420,14295968,14659824,14866564,15029700,15053160,15140652,15443904,15338676,15545592,15731584,15761208,16048624,16208928,16475088,16649124,16633392,16646080,16921024,17052992,17305752,17534512,17828212,17833076,18401408,18897910,19152334,19533470,19894174,19986074,20410642,20851922,21181894,21892525,22007749,22441653,22621981,22997224,23193932,23310904,23474544
 "44000","Rhode Island",1,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",75556,74900,75648,75520,86680,85860,86084,85360,97620,96340,95060,94324,97152,97736,98024,98796,107432,108892,108508,106628,117356,117032,116804,118908,117684,120028,123084,127156,130052,132724,136592,132332,163112,159852,164000,162224,168060,171456,176832,182392,193072,200520,202012,204884,225160,230548,230668,235748,244576,240808,250268,245004,264560,260444,271084,272404,307704,307140,301096,310068,377512,385064,382008,380828,405672,410480,414420,410756,408116,411032,417064,427600,464236,467880,482224,478980,509844,514560,523652,535120,560256,592916,606200,628320,664496,674120,694812,706232,729992,738616,745436,767272,843568,850456,857752,853008,884020,889740,923744,910844,961172,980760,990956,1019024,1099380,1126284,1146288,1170820,1194284,1205612,1221596,1259360,1289240,1315372,1339748,1376216,1389104,1407760,1449664,1474232,1546272,1586792,1603324,1642232,1634680,1648476,1659448,1701356,1764948,1791932,1809204,1794044,1806732,1791512,1810416,1826748,1888164,1929584,1950728,1922352,2005052,1990504,2038092,2011612,2084476,2103132,2108620,2141004,2154828,2183548,2199964,2190936,2188040,2221508,2235896,2270136,2295160,2326132,2322452,2392952,2421012,2447056,2491788,2526608,2521896,2568120,2618532,2647132,2721732,2726372,2779404,2797332,2853512,2868260,2867056,2876724
 "44000","Rhode Island",1,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",31120,30824,31588,31788,36228,36256,36612,36552,42300,41832,41256,41096,42116,42360,42656,43168,45236,46216,46152,45268,51216,50892,50808,51812,52264,53328,54864,56868,58864,60236,62140,60288,77212,75568,78808,77284,81044,83324,85432,87968,93080,97320,98044,99292,105288,107672,107640,109636,113660,111784,116196,113872,122636,120700,124728,124196,137616,136400,134656,139068,171180,175772,175232,174000,186296,188684,191360,190112,190376,191600,193496,196836,208752,208896,214216,212760,225944,228372,232376,236600,245260,258080,264064,273924,290788,295756,306660,312752,325916,329896,334528,343320,375652,378144,382508,382724,399300,404628,421720,417092,436228,444372,447520,458812,485008,495640,505004,517020,536860,544908,555372,573820,591172,604752,617652,636760,648424,659664,680276,693508,731080,751784,761728,783368,790900,801076,809596,831648,864132,877984,892432,891048,905236,901252,914888,924652,953912,975304,985504,970592,1010980,1001180,1024176,1010444,1051952,1059372,1062420,1080108,1090544,1105580,1114084,1110800,1111104,1129176,1138268,1156464,1171760,1189868,1187048,1223288,1244652,1258920,1282772,1303424,1306672,1333212,1359696,1376540,1413324,1417320,1447572,1460552,1494800,1510028,1515376,1523116
 "44000","Rhode Island",1,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",44436,44076,44060,43732,50452,49604,49472,48808,55320,54508,53804,53228,55036,55376,55368,55628,62196,62676,62356,61360,66140,66140,65996,67096,65420,66700,68220,70288,71188,72488,74452,72044,85900,84284,85192,84940,87016,88132,91400,94424,99992,103200,103968,105592,119872,122876,123028,126112,130916,129024,134072,131132,141924,139744,146356,148208,170088,170740,166440,171000,206332,209292,206776,206828,219376,221796,223060,220644,217740,219432,223568,230764,255484,258984,268008,266220,283900,286188,291276,298520,314996,334836,342136,354396,373708,378364,388152,393480,404076,408720,410908,423952,467916,472312,475244,470284,484720,485112,502024,493752,524944,536388,543436,560212,614372,630644,641284,653800,657424,660704,666224,685540,698068,710620,722096,739456,740680,748096,769388,780724,815192,835008,841596,858864,843780,847400,849852,869708,900816,913948,916772,902996,901496,890260,895528,902096,934252,954280,965224,951760,994072,989324,1013916,1001168,1032524,1043760,1046200,1060896,1064284,1077968,1085880,1080136,1076936,1092332,1097628,1113672,1123400,1136264,1135404,1169664,1176360,1188136,1209016,1223184,1215224,1234908,1258836,1270592,1308408,1309052,1331832,1336780,1358712,1358232,1351680,1353608
 "44000","Rhode Island",1,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",42736,42664,43324,44140,48608,49832,50744,51880,52404,53400,53844,54156,55480,56468,57120,58284,61260,61952,62448,62936,65784,66480,67264,67368,71076,72240,73240,74696,79148,81132,82184,84568,92072,94172,96124,98716,101816,103928,105572,107028,111836,113788,116224,119792,58232,59224,65068,65572,60700,67112,60180,65240,58684,63116,56620,54044,46608,50280,58928,55208,61644,61516,70412,81232,82524,86080,88452,93260,84560,82420,80440,79660,85368,87836,86076,91276,96332,102712,105240,106668,102284,95684,104196,101572,97132,106180,108268,121744,110664,115980,126580,133272,135316,146648,157644,173808,197596,206104,207676,217472,248988,256820,262672,283296,313524,324944,339124,348164,375980,388252,396876,404004,399108,408064,420668,439372,461836,477588,488884,508876,549504,554492,560048,570588,623428,622208,628696,624312,657212,669028,680892,675700,680468,704612,697632,703540,719544,717440,705768,729436,733444,757168,766020,785816,807244,833380,832104,845792,829500,841976,868868,896172,893976,918836,940056,961620,971928,974456,1010664,1022864,1010456,1075048,1100712,1107868,1127868,1139804,1189304,1243624,1311628,1289820,1364956,1374992,1501244,1439424,1399408,1375816
 "44000","Rhode Island",1,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1430344,1434980,1473120,1509076,1520060,1534120,1570204,1590192,1586304,1589872,1568400,1575636,1602036,1623220,1643348,1669840,1706064,1758808,1773848,1761400,1776568,1783256,1799552,1846092,1861264,1907832,1951076,1990684,2008216,2044448,2125536,2138692,2207256,2253544,2324356,2360236,2392976,2408788,2480308,2527712,2593840,2668912,2688568,2735900,2705724,2782232,2801004,2865164,2962916,2934744,3052952,3016632,3033444,3026464,3182108,3247900,3346184,3390276,3383904,3519896,3548700,3627404,3593468,3558272,3581908,3622996,3676504,3686680,3660420,3725780,3823364,3950944,4077736,4163764,4319468,4356464,4484588,4585216,4709244,4845084,4872860,5109432,5216836,5364056,5574712,5623484,5768916,5830628,6046800,6152112,6217372,6413972,6597968,6648072,6713040,6685440,6850224,6931476,7183884,7168504,7413096,7548656,7693260,7947580,8126996,8364244,8568944,8745468,8988316,9112524,9276916,9522116,9568516,9901468,10130832,10412152,10499676,10686052,11027044,11320032,11536124,11917556,12135776,12421740,12602460,12715612,12731144,12869540,12980156,13075856,13047216,12845496,12775888,12623744,12720368,12858212,13127348,13447680,13621604,13836784,13781552,13907316,14171832,14112880,14268360,14461832,14484692,14753412,14883600,15133516,15318028,15338628,15352016,15618352,15757152,15997236,16211280,16476536,16521288,17031320,17487354,17780326,18142394,18475434,18592046,18982326,19422694,19778386,20482421,20571197,21027205,21199641,21644956,21765096,21843256,21973636
 "44000","Rhode Island",1,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",268292,271552,276116,280812,279184,285052,287924,289868,287688,283360,284008,285688,291288,299104,311456,326104,331040,343452,353816,363744,372180,382856,393760,401636,405536,408156,411268,416340,427624,441740,453524,460428,465324,465536,469060,474600,490664,503148,512880,515516,525148,536604,547960,560436,582492,596948,613048,631944,651508,670516,691284,699272,708672,713032,719668,728452,742916,749496,777032,795656,811824,828928,847944,862980,880048,900900,923800,948448,968468,969824,983168,1000064,1009372,1034280,1061328,1089216,1120528,1152496,1181436,1215120,1239320,1264312,1290328,1318088,1360032,1390492,1436624,1524180,1641996,1712860,1760272,1893792,1979972,2097636,2261816,2326564,2378080,2442604,2462216,2483528,2530828,2560532,2654760,2735416,2811996,2927404,3039036,3073544,3108476,3092332,3075468,3125540,3229688,3280680,3293460,3304268,3312348,3360580,3458008,3576716,3646224,3727404,3894056,4085256,4357356,4513688,4573572,4593704,4593988,4569508,4562828,4518124,4411740,4371780,4372960,4365540,4357192,4415844,4444216,4494276,4533512,4552564,4552796,4554764,4549816,4597852,4662036,4782072,4870004,4950112,5022280,5101052,5123348,5191296,5274668,5362944,5434528,5529800,5595172,5669940,5812520,5901340,5922804,5857244,5768720,5770088,5804380,5905012,6125340,6282604,6375544,6442576,6451996,6450640,6414012,6371260
 "44000","Rhode Island",1,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",137924,151352,154488,152660,143968,146004,148080,147796,146728,146888,151908,156292,165384,169096,167984,162940,166492,166812,168612,173680,181432,177384,177396,180332,184664,181756,184028,184584,190940,188372,208472,203240,209888,208216,216608,237992,254252,261332,269696,275604,288620,306748,316584,319276,342876,346288,349468,350192,369612,430376,435116,456956,467552,507692,503928,507472,528740,533084,535612,585072,602240,615772,628884,651800,672652,709096,749236,803388,886404,994300,1009100,997912,997256,972312,998760,1009816,1027460,1028896,1050388,1059292,1081236,1101192,1130076,1136912,1161736,1190488,1285120,1306392,1337372,1358892,1499912,1527148,1567440,1595288,1690728,1691092,1719732,1754300,1828228,1881392,1892456,1924564,1918632,1921820,1949688,1958008,1962604,1997400,2059412,2084700,2102352,2106884,2154304,2166152,2183724,2185564,2211472,2228676,2233328,2274996,2353872,2376428,2415576,2447000,2556212,2589556,2624008,2683140,2770380,2837472,2908028,3043160,3257392,3510044,3580444,3696284,3666040,3657292,3659916,3660400,3850768,3943364,4050856,4046840,4028340,3940564,3901640,3933232,4083364,4218092,4218388,4159956,4232032,4275580,4231836,4272100,4412884,4483856,4568872,4599700,4565860,4556592,4538552,4601212,4697292,4705592,4772960,4806052,4796472,4897456,4962084,5032876,5357980,5523236,5428396,5710028
 "44000","Rhode Island",1,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",1176648,1177012,1210956,1242388,1251604,1264708,1294088,1312632,1319752,1324108,1306940,1310880,1329128,1345404,1364360,1387644,1415560,1459324,1470244,1457824,1474660,1482568,1494696,1533288,1542508,1581428,1617200,1651476,1662788,1691004,1763648,1764388,1830344,1868364,1933328,1960352,1988232,2002628,2060736,2098460,2153920,2212980,2225840,2265352,2310132,2379956,2389552,2449492,2536884,2503372,2605632,2566660,2597376,2582252,2718552,2763424,2879132,2911180,2896708,3009248,3074380,3146948,3119780,3091288,3127424,3166412,3210624,3200740,3158044,3206692,3283080,3395920,3502848,3568448,3699872,3703568,3804856,3867036,3966988,4083104,4110988,4337004,4429736,4563568,4736676,4764672,4888528,4941128,5139876,5217180,5248748,5418512,5602196,5667992,5723612,5701700,5816828,5853936,6071484,6005496,6140752,6289016,6374712,6585336,6758860,6948104,7102304,7275928,7362168,7454540,7576484,7797348,7953984,8100524,8237380,8474904,8620872,8780940,9069336,9290712,9398868,9702692,9838000,10107704,10183076,10242144,10252780,10409804,10589552,10667848,10619428,10431376,10410960,10234104,10289328,10337424,10542844,10770652,10901888,11033188,11059632,11147628,11394000,11290300,11388932,11532980,11556468,11787804,11953096,12173248,12301868,12273288,12318676,12521332,12627472,12841964,13082092,13320376,13323456,13775148,13943160,14117808,14398340,14640436,14622304,14915664,15221996,15446640,15940540,15966492,16285264,16356356,16647696,16751400,16778108,16876948
