GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "46000","South Dakota",4,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1168020,1196848,1199768,1187464,1071976,1029532,1083256,1138916,1222264,1305556,1377476,1394076,1358600,1302228,1323152,1348052,1492288,1522208,1498652,1562416,1521024,1473888,1458864,1438772,1423264,1435244,1438808,1483408,1539504,1593328,1682340,1688264,1778340,1747256,1742316,1763948,1763440,1752720,1804540,1823520,1866892,1888288,1931240,1970600,1998972,2042512,2101560,2162668,2188272,2251880,2283972,2305316,2348772,2410456,2516492,2616496,2612004,2720876,2879016,3209864,3226248,3536840,3592664,4065396,3859868,3544028,3531280,3512884,3812400,3910752,4056072,4108952,4035584,3946444,3752564,3996664,4353564,4246220,4416928,4833528,4936508,5012464,5091768,5529112,5429468,5556264,5758852,5914924,5862696,5214980,5614924,6158612,6391732,6532528,6832820,6850252,6767820,6959312,6989912,7323928,7067132,7202920,7307092,7505176,8047824,8204144,8354520,8482564,8447848,8466280,8476128,8531956,8581968,8768764,8988348,9050848,9158956,9236800,9363648,9583512,9577220,9701332,9816040,9895408,10308896,10416716,10521024,10722920,11251912,11430936,11594992,11660464,11649768,11916452,11959056,12341256,12659700,12934872,13075896,13096828,13352524,13553884,13471808,13745592,14438772,14531524,14528536,14852880,14573712,14705432,14959788,15295204,16221908,16661968,16428800,16467160,16584284,16577180,16978580,17083128,17786968,18006108,18134008,18673252,18464594,18826650,19017206,19714994,19792094,20216302,20490642,20624550,20810328,20963676,20976768,21041632
 "46000","South Dakota",4,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",965308,983384,978156,959524,861828,814628,861356,906824,982052,1058372,1124516,1138556,1100516,1046100,1064236,1084668,1228472,1250416,1221272,1282040,1239168,1192520,1173628,1147792,1128488,1141032,1139208,1181704,1224336,1272520,1342340,1351532,1446892,1417116,1409468,1421292,1409940,1397228,1444932,1462600,1501676,1510828,1548236,1584332,1578404,1614420,1666940,1719812,1728248,1757908,1778016,1782204,1820688,1853640,1956872,2054568,2031788,2146584,2264552,2549772,2580704,2873408,2900700,3340136,3106592,2752444,2702072,2650568,2911156,2963644,3088892,3124828,3033180,2934964,2706776,2928428,3258660,3117484,3245880,3625556,3705892,3767428,3805928,4216968,4088268,4184896,4313552,4379544,4224548,3520540,3792764,4213868,4401284,4449616,4565036,4528784,4373044,4500372,4479196,4808800,4573792,4698204,4761004,4909180,5425016,5519000,5609412,5697140,5662944,5699304,5690608,5705864,5722124,5874556,6120772,6222528,6339788,6407112,6505368,6704628,6670348,6831280,6896516,6906988,7142160,7196684,7282696,7468580,7926912,8105816,8253940,8342376,8276152,8498692,8506984,8850736,9167852,9379488,9474464,9428836,9677248,9839212,9725252,9968780,10669168,10708732,10656016,10865800,10433084,10457076,10651616,10951436,11761252,12130952,11873404,11864924,11894084,11872228,12244404,12270416,12873756,12987424,13053336,13612504,13388374,13744314,13851550,14355106,14445626,14698490,14749526,14803294,14821020,14892136,14976900,14996240
 "46000","South Dakota",4,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",24744,25272,26308,27740,33776,34960,34572,33252,35848,34596,34204,34604,37100,38344,40004,40372,46036,44440,44052,45228,51068,50928,51460,50444,50072,50220,50272,51036,50832,51512,51656,50808,62388,62772,65152,67232,72604,76688,78980,80448,82796,82960,83736,85028,86968,88932,91164,91372,93516,95412,96536,96356,103596,104392,107580,109964,121048,120656,120548,122072,151916,156420,158804,165272,176256,181100,186024,189412,195460,196988,202032,207056,224132,225300,223808,225152,234348,236108,238892,240948,259768,267864,279636,290340,306384,316236,330656,335040,338692,337656,342272,348772,378060,385828,388288,400172,401636,407048,409172,413348,428528,437644,441820,453896,479272,484952,496316,504400,518160,529148,535644,535188,551772,564456,582704,596756,603720,609048,621588,638280,657656,689108,701420,718144,720596,740116,754924,785620,815696,840860,865768,882964,895828,906572,924260,938716,971080,985884,987344,960912,1038436,1026512,1034384,1039544,1092460,1105356,1125252,1146292,1158716,1159408,1176168,1191188,1198812,1221996,1235432,1241372,1261148,1283940,1308448,1314584,1356644,1375508,1388236,1420364,1437376,1475044,1475180,1539984,1563928,1564744,1574244,1567128,1601808,1614468,1622596,1629864
 "46000","South Dakota",4,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",13796,14188,15144,16384,20336,21348,20988,19788,20672,19328,18732,18820,20128,20916,21996,22380,24860,24248,24012,24540,28116,27992,28312,27848,28256,28472,28696,29220,29420,29668,29420,28396,35232,34952,36856,38196,42628,45780,47008,47548,48056,47976,48016,48704,51836,52968,54184,54176,55460,56336,56760,56296,59796,59688,61552,63172,68056,68048,68412,69600,87144,89908,91264,94456,100880,103428,106140,107964,111940,112572,114960,117000,124272,123776,121912,121524,124640,124552,125376,126196,135392,139984,146812,153276,162860,169116,177356,180200,182744,181860,184496,187580,203112,206564,208272,214568,216596,220176,221908,224196,230316,234892,236736,242888,253072,256240,263036,268904,281060,288736,292924,292488,301604,308200,318612,327712,335816,340404,348076,357060,367892,384948,392236,402904,409236,421132,429400,445512,460060,471292,484984,494264,500880,507408,517320,524876,541136,548336,547480,531664,573396,566056,570396,573540,604592,611640,622300,632680,639520,638404,646248,653780,658568,670596,677876,680016,691384,704240,717744,720880,748412,758572,764712,782108,791028,811368,810788,846356,858284,858624,861704,855620,872904,877836,880608,882648
 "46000","South Dakota",4,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",10948,11084,11164,11356,13440,13612,13584,13464,15176,15268,15472,15784,16972,17428,18008,17992,21176,20192,20040,20688,22952,22936,23148,22596,21816,21748,21576,21816,21412,21844,22236,22412,27156,27820,28296,29036,29976,30908,31972,32900,34740,34984,35720,36324,35132,35964,36980,37196,38056,39076,39776,40060,43800,44704,46028,46792,52992,52608,52136,52472,64772,66512,67540,70816,75376,77672,79884,81448,83520,84416,87072,90056,99860,101524,101896,103628,109708,111556,113516,114752,124376,127880,132824,137064,143524,147120,153300,154840,155948,155796,157776,161192,174948,179264,180016,185604,185040,186872,187264,189152,198212,202752,205084,211008,226200,228712,233280,235496,237100,240412,242720,242700,250168,256256,264092,269044,267904,268644,273512,281220,289764,304160,309184,315240,311360,318984,325524,340108,355636,369568,380784,388700,394948,399164,406940,413840,429944,437548,439864,429248,465040,460456,463988,466004,487868,493716,502952,513612,519196,521004,529920,537408,540244,551400,557556,561356,569764,579700,590704,593704,608232,616936,623524,638256,646348,663676,664392,693628,705644,706120,712540,711508,728904,736632,741988,747216
 "46000","South Dakota",4,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",212,228,228,256,392,400,400,408,484,472,492,460,396,372,328,348,464,572,636,628,928,960,968,1048,1320,1340,1368,1428,1632,1680,1692,1796,2080,2160,2248,2280,2632,2648,2720,2768,3152,3220,3280,3320,5816,5944,6068,6248,6056,6036,6184,6284,6292,6608,6396,6152,7020,7000,6992,7196,6724,7048,7632,7644,7756,7860,8140,8500,9956,10132,10544,10812,11220,11484,12104,12480,11856,12512,12804,13052,13736,14188,14436,15236,13776,14700,15268,16272,15448,15844,16176,17060,12652,12588,13560,12860,11024,10520,10160,9504,3984,3720,4148,3396,-1968,-1916,-2228,-2508,-5136,-5412,-5256,-3992,-10144,-11012,-12096,-12728,-18940,-18640,-19200,-19876,-24772,-27140,-27088,-27724,-35976,-36924,-37196,-38732,-51976,-53532,-54952,-56496,-64944,-66280,-68660,-71088,-82764,-85200,-85844,-86104,-99188,-99716,-100872,-101696,-127144,-128756,-131200,-134580,-148200,-148080,-151160,-152180,-186424,-189720,-189940,-189068,-180496,-184360,-189856,-187904,-226968,-231596,-231184,-240632,-238468,-248192,-247072,-263584,-268120,-268176,-268100,-264164,-262168,-263624,-265496,-267700
 "46000","South Dakota",4,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",940776,958340,952076,932040,828444,780068,827184,873980,946688,1024248,1090804,1104412,1063812,1008128,1024560,1044644,1182900,1206548,1177856,1237440,1189028,1142552,1123136,1098396,1079736,1092152,1090304,1132096,1175136,1222688,1292376,1302520,1386584,1356504,1346564,1356340,1339968,1323188,1368672,1384920,1422032,1431088,1467780,1502624,1497252,1531432,1581844,1634688,1640788,1668532,1687664,1692132,1723384,1755856,1855688,1950756,1917760,2032928,2150996,2434896,2435512,2724036,2749528,3182508,2938092,2579204,2524188,2469656,2725652,2776788,2897404,2928584,2820268,2721148,2495072,2715756,3036168,2893888,3019792,3397660,3459860,3513752,3540728,3941864,3795660,3883360,3998164,4060776,3901304,3198728,3466668,3882156,4035876,4076376,4190308,4141472,3982432,4103844,4080184,4404956,4149248,4264280,4323332,4458680,4943776,5032132,5110868,5190232,5139648,5164744,5149708,5166684,5160208,5299088,5525972,5613044,5717128,5779424,5864580,6046472,5987920,6115032,6168008,6161120,6385588,6419644,6490576,6644228,7059240,7211424,7333220,7402916,7315380,7525840,7514064,7840932,8114008,8308404,8401276,8381820,8539624,8712984,8589996,8827540,9449564,9474620,9399564,9584928,9126168,9149588,9324288,9608068,10376016,10719236,10448032,10434484,10452440,10403928,10746100,10767928,11290144,11380320,11433916,11951508,11712530,12021078,12129298,12551538,12613578,12865570,12907182,12972002,12957044,13014044,13088808,13098676
 "46000","South Dakota",4,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",160740,165972,171436,176920,167112,168764,172276,179176,190756,196504,200908,202224,201736,201552,202888,207248,211528,216908,220560,222972,225416,226944,230464,234104,234200,234984,239460,242296,250164,257316,263804,264340,267896,266844,267764,267200,274556,277320,280160,278532,277888,279744,282388,284476,310904,317140,324236,331400,346164,355296,371180,380224,387996,394092,401404,402168,423240,415504,451640,465360,473628,489456,513000,543944,569820,590036,612772,633960,661224,675424,692464,705260,724108,734212,745744,763644,798432,831348,860592,892360,922636,938488,963792,988444,1018668,1045384,1089860,1170664,1253204,1301600,1345476,1459140,1523944,1614632,1741088,1797128,1867600,1915360,1917000,1894616,1888636,1897288,1945364,1986616,2019416,2076336,2140908,2168116,2153808,2137076,2144392,2181436,2212180,2253256,2237128,2210172,2196932,2197468,2236084,2266352,2283220,2281260,2328176,2394692,2517308,2562716,2571572,2598688,2673288,2685736,2718036,2695564,2720860,2747804,2781860,2794688,2785284,2830112,2855596,2890016,2937428,2959940,2977452,2999508,3023236,3067292,3121324,3212696,3330500,3416696,3478032,3532876,3618520,3665936,3710252,3759324,3815524,3862176,3910100,3979500,4128856,4242824,4310320,4306896,4300376,4344320,4391924,4638732,4609408,4709984,4894708,4919972,5047716,5073960,5048776,4968456
 "46000","South Dakota",4,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",66504,72536,76256,78504,76420,80700,83796,85760,84820,84804,85764,87440,93052,92548,95704,96160,97860,98752,100236,102004,106580,104392,105264,106272,109328,108108,109044,109016,114204,113324,126160,121404,123860,123908,127988,140408,148916,152212,155708,160068,166972,177456,181072,183500,190816,193940,195480,196580,201320,228052,225128,232960,237392,260508,259400,263572,271004,272444,276380,309608,317108,323348,330136,338944,351956,374788,394320,409268,425524,458540,466204,475108,491208,491084,511748,517264,518964,520984,536544,543508,554012,560224,587248,598804,615140,627520,670828,683484,708188,714652,802780,817316,831912,841520,901424,911652,917788,940108,992728,1024356,1029248,1041352,1038396,1059880,1084632,1095676,1102744,1124216,1154392,1164460,1182028,1183836,1209580,1216420,1225248,1227632,1244896,1259908,1262984,1270688,1306080,1305040,1319856,1339596,1406000,1434356,1458876,1480004,1519384,1533776,1543736,1561984,1613528,1642808,1663132,1705636,1760408,1796356,1819024,1824992,1875472,1880960,1904360,1918544,1965972,1989612,2007648,2055256,2117044,2139148,2157468,2154260,2227372,2276796,2270516,2273352,2316320,2311076,2322380,2335700,2367968,2382964,2389772,2414848,2451688,2461252,2495984,2524724,2569108,2640748,2688752,2732576,2805568,2875672,2839184,2974500
 "46000","South Dakota",4,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",496276,502600,513064,529432,536864,552096,557684,565268,568236,579588,585716,597628,615948,629160,652060,653836,695080,672188,660160,671736,678308,676472,686440,676700,684176,694220,699488,708700,704484,716056,728276,735208,746752,764468,774956,788352,793620,802524,818180,833420,856228,870448,890892,919120,925980,954160,982060,991216,1017520,1043792,1062260,1070560,1081880,1098604,1156108,1206564,1210284,1226632,1239404,1268860,1322404,1368356,1393356,1455980,1494380,1546368,1591592,1619048,1637124,1650128,1702800,1763092,1829756,1873244,1893916,1942716,1979928,2032112,2093440,2147836,2240884,2316180,2407308,2467620,2524636,2571420,2664252,2697064,2764392,2782368,2813232,2878364,2933620,2993388,3013064,3096032,3067344,3105096,3120236,3156148,3170488,3250960,3297220,3407412,3445136,3496596,3577744,3625836,3648596,3703928,3721260,3684368,3753420,3800424,3883292,3946912,3989664,4012376,4086372,4204120,4163584,4365836,4428556,4505428,4511572,4579940,4620656,4759016,4857896,4989968,5093740,5181296,5241648,5316848,5434784,5539636,5698092,5813792,5851364,5867912,6110792,6160468,6221680,6301580,6452940,6579108,6700800,6846468,6960428,6989016,7103292,7198236,7282164,7417028,7495008,7514060,7662224,7811268,7971872,8027628,8226452,8351432,8437144,8650308,8739948,8978232,8989312,9408640,9590240,9607360,9681160,9647728,9896672,9993324,10056056,10108864
