GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "47000","Tennessee",5,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",5252196,5335144,5423780,5547104,5606364,5730136,5846792,5919384,5834196,5962120,5943952,5983648,6126324,6212604,6306908,6465316,6507112,6627064,6727264,6808848,6878252,7006684,7128976,7273188,7420336,7512300,7655316,7828924,8006088,8117008,8405500,8617264,8825552,9046212,9228240,9392768,9582420,9646180,9812912,10038148,10325720,10711944,11143884,11393684,11445028,11701872,11971432,12144068,12359196,12701604,13008060,13328628,13613612,14090492,14326120,14722324,15289476,15637776,16063152,16891900,17306228,17830924,18410352,19019100,19306856,19786580,20414896,20786076,20954480,21514520,22189248,22916272,23765196,24144140,24781332,25388096,25897532,26677832,27549980,28577668,29263804,30591612,31624752,32436880,33553484,33912608,34913908,35794944,36706640,37050756,38621592,39933004,41292256,41929140,43223720,43088244,43975040,44726960,45427964,46054912,46732744,47478692,48304584,49712360,51463316,53121652,54233548,55107196,55979856,56866288,57377080,58606740,59809272,60651156,61725756,62679264,64380296,65126888,66081760,68174952,69246584,70888176,72504144,73944992,75607840,76399444,77306696,78397336,80098048,81265584,82732140,83039828,84274956,85351732,86282088,88126768,91411396,93749296,94871452,96179432,98209680,99335568,100563104,102258784,103553380,105493828,107171340,109767908,112292048,113617176,114937732,116612500,117911928,120234068,121801868,123248196,125373904,126610336,128284904,131543024,136282805,139738585,140984513,143142049,142711508,144448488,145885284,149213076,151378044,153444620,156508588,156346764,156941568,158587752,158259024,159638832
 "47000","Tennessee",5,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",4492560,4534980,4595732,4701060,4825912,4915032,5003640,5053248,4993580,5119004,5081644,5093220,5205504,5265428,5330744,5476060,5523344,5621424,5696856,5754792,5830624,5973716,6084508,6214504,6322348,6408424,6532764,6694664,6830472,6929844,7153168,7384904,7660372,7883308,8048504,8139128,8279672,8326336,8452724,8653032,8888760,9185768,9565504,9756476,9927868,10146428,10374632,10484000,10598920,10726792,10968300,11204032,11460204,11814560,12041556,12422776,12995856,13350108,13634816,14219016,14700472,15162472,15643968,16130592,16317240,16569420,16969716,17076712,16924388,17128852,17771728,18440076,19276964,19586600,20053456,20565052,21105816,21859056,22552956,23451056,24068540,25341848,26103944,26778616,27788640,27952028,28537604,29071500,29515632,29572648,30399384,31407732,32700816,33005384,33493336,33019908,33599276,34047140,34439448,34834752,35497460,36148816,36845876,38006356,39590964,40891720,41599600,42227740,42922312,43933112,44385544,45517112,46287900,46950260,47995604,49032412,50659772,51172568,51855416,53756788,54369556,55907200,57147564,58196116,58836076,59396980,60188264,61012012,62109152,62902448,64127364,64055364,65043600,65853760,66552912,67893408,70754080,72723992,73508312,74496872,76281904,77232180,78216024,79851588,80984756,82614956,83960480,85719152,87305732,88018832,88924724,90561460,90893348,92726652,94365232,95669356,97687616,98647916,99880112,102711864,106941309,110041361,110965741,113266753,113001360,114775632,115811040,118838340,120247188,120994544,123672824,122773132,122719828,123914248,124442364,125075364
 "47000","Tennessee",5,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",173688,173632,175488,176068,206920,206744,207660,208692,239464,245092,244008,241484,246764,246528,246716,249212,268120,271760,274504,278524,312796,321064,326928,333192,331912,335072,340372,347880,351160,356516,366548,377704,479724,495028,514944,517588,544728,559820,568292,584592,609804,627520,646164,656360,643112,652888,667656,674220,683052,690668,700820,708036,771228,788396,792052,806244,923672,934716,937232,956512,1162468,1195168,1225192,1262748,1352480,1379776,1405248,1398864,1397784,1405248,1443468,1477396,1620224,1623420,1646612,1671544,1774600,1829568,1868284,1916652,2027748,2124896,2186196,2268800,2393944,2442100,2515764,2574524,2606080,2626780,2679056,2761944,3073720,3127508,3182392,3158388,3273100,3320628,3356512,3374992,3550148,3611496,3671464,3775372,4051292,4165544,4233052,4311416,4426848,4549296,4615840,4765952,4904148,4998460,5122340,5239580,5362960,5399524,5473464,5660316,5870104,6040052,6180032,6342056,6394044,6514804,6633296,6732988,6868736,6925040,7094308,7120164,7273820,7408752,7505348,7633652,7936460,8114764,8156460,8060000,8560212,8552840,8691364,8811952,9142296,9289456,9473460,9699792,9853336,9947416,10048756,10211652,10124880,10292076,10473216,10618296,10797496,10893084,11021332,11319332,11379016,11702056,11760768,11989736,12108712,12297276,12374564,12662648,12813484,12799548,13115128,12982520,13185548,13306864,13364436,13490404
 "47000","Tennessee",5,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",75836,75540,77028,77604,90336,91520,92492,93976,110148,113160,112856,111472,112200,111808,112080,113864,118664,120920,122352,123884,142164,144928,146772,148992,150996,151848,153924,156608,159216,160796,164764,169116,222144,228328,242764,244036,263468,274988,278432,285000,294800,303428,312328,315904,321740,326704,333896,337180,342300,345880,352340,355640,386364,394240,395836,402380,455284,459556,461872,469032,569580,584920,599980,615532,662592,676292,690192,688272,690636,692988,709040,721884,776644,774656,784652,797212,846524,873300,891456,911892,953712,996320,1024988,1064296,1126424,1152552,1192096,1225064,1246504,1257896,1290508,1333596,1484080,1513400,1546136,1541504,1598272,1625068,1647828,1658948,1725868,1751436,1774700,1818432,1916800,1966940,2002980,2051180,2150880,2225852,2266212,2343376,2416900,2464244,2527364,2590804,2671700,2697672,2739164,2833852,2948952,3037484,3114528,3207264,3273184,3346476,3412208,3462228,3527912,3546848,3644736,3664540,3759868,3833712,3885356,3946968,4086980,4172412,4190240,4141076,4403700,4402024,4476024,4537364,4714224,4790400,4892472,5017088,5120340,5178324,5235556,5323400,5275240,5360320,5454204,5529100,5631968,5682280,5743808,5902644,5930968,6102420,6133192,6260220,6344024,6448444,6486988,6635032,6699320,6697848,6870056,6810352,6939076,7025352,7065044,7130876
 "47000","Tennessee",5,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",97852,98092,98460,98464,116584,115224,115168,114716,129316,131932,131152,130012,134564,134720,134636,135348,149456,150840,152152,154640,170632,176136,180156,184200,180916,183224,186448,191272,191944,195720,201784,208588,257580,266700,272180,273552,281260,284832,289860,299592,315004,324092,333836,340456,321372,326184,333760,337040,340752,344788,348480,352396,384864,394156,396216,403864,468388,475160,475360,487480,592888,610248,625212,647216,689888,703484,715056,710592,707148,712260,734428,755512,843580,848764,861960,874332,928076,956268,976828,1004760,1074036,1128576,1161208,1204504,1267520,1289548,1323668,1349460,1359576,1368884,1388548,1428348,1589640,1614108,1636256,1616884,1674828,1695560,1708684,1716044,1824280,1860060,1896764,1956940,2134492,2198604,2230072,2260236,2275968,2323444,2349628,2422576,2487248,2534216,2594976,2648776,2691260,2701852,2734300,2826464,2921152,3002568,3065504,3134792,3120860,3168328,3221088,3270760,3340824,3378192,3449572,3455624,3513952,3575040,3619992,3686684,3849480,3942352,3966220,3918924,4156512,4150816,4215340,4274588,4428072,4499056,4580988,4682704,4732996,4769092,4813200,4888252,4849640,4931756,5019012,5089196,5165528,5210804,5277524,5416688,5448048,5599636,5627576,5729516,5764688,5848832,5887576,6027616,6114164,6101700,6245072,6172168,6246472,6281512,6299392,6359528
 "47000","Tennessee",5,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",35404,34816,35088,36520,31440,32404,31560,31284,30896,31444,31664,30976,29904,29964,31292,32216,29832,30536,30580,31064,29792,30856,31160,31084,29408,29920,29820,29952,31340,32156,32368,32436,31600,32064,34024,36232,49620,49632,51232,51856,48304,50168,48924,50660,-141376,-144040,-147744,-150660,-140684,-142156,-145408,-148416,-146684,-152784,-156040,-164120,-175244,-181636,-184088,-189664,-154724,-165376,-169504,-174584,-171612,-174380,-178936,-180120,-171924,-175180,-184928,-189284,-170592,-170404,-174476,-177516,-215480,-222884,-233184,-249616,-282288,-289380,-297960,-306356,-344744,-342172,-350740,-355912,-405608,-411220,-419612,-429024,-447856,-465120,-450764,-421204,-392588,-398864,-408636,-416884,-403708,-414472,-416436,-433824,-423228,-442044,-447668,-460296,-453088,-468968,-465420,-486512,-481048,-496128,-512224,-529640,-523716,-525612,-526104,-559976,-527724,-539036,-550508,-566480,-552876,-566980,-581964,-581748,-624084,-621520,-642220,-627196,-623024,-623576,-615052,-626740,-456768,-489392,-487900,-496704,-573320,-587032,-600272,-622112,-665844,-670380,-691248,-720232,-755948,-757812,-767216,-788068,-764352,-770572,-791588,-812540,-1008224,-1011152,-1025076,-1077520,-1129252,-1199812,-1169144,-1200820,-1319292,-1359848,-1352956,-1403316,-1544620,-1527144,-1604572,-1522496,-1562256,-1561640,-1554620,-1573780
 "47000","Tennessee",5,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",4354276,4396164,4455332,4561512,4650432,4740692,4827540,4875840,4785012,4905356,4869300,4882712,4988644,5048864,5115320,5259064,5285056,5380200,5452932,5507332,5547620,5683508,5788740,5912396,6019844,6103272,6222212,6376736,6510652,6605484,6818988,7039636,7212248,7420344,7567584,7657772,7784564,7816148,7935664,8120296,8327260,8608416,8968264,9150776,9143380,9349500,9559232,9659120,9775184,9893968,10122072,10347580,10542292,10873380,11093464,11452412,11896940,12233756,12513496,13072840,13383280,13801928,14249272,14693260,14793148,15015264,15385532,15497728,15354680,15548424,16143332,16773396,17486148,17792776,18232368,18715992,19115736,19806604,20451488,21284788,21758504,22927572,23619788,24203460,25049952,25167756,25671100,26141064,26503944,26534648,27300716,28216764,29179240,29412756,29860180,29440316,29933588,30327648,30674300,31042876,31543604,32122848,32757976,33797160,35116444,36284132,36918880,37456028,38042376,38914848,39304284,40264648,40902704,41455672,42361040,43263192,44773096,45247432,45855848,47536496,47971728,49328112,50417024,51287580,51889156,52315196,52973004,53697276,54616332,55355888,56390836,56308004,57146756,57821432,58432512,59633016,62360852,64119836,64863952,65940168,67148372,68092308,68924388,70417524,71176616,72655120,73795772,75299128,76696448,77313604,78108752,79561740,80004116,81664004,83100428,84238520,85881896,86743680,87833704,90315012,94433041,97139493,98035829,100076197,99573356,101118508,102083520,104772376,105889084,106667852,108953124,108268116,107972024,109045744,109523308,110011180
 "47000","Tennessee",5,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",562456,570268,582616,596508,591520,607484,623584,640812,652448,658104,671476,682152,690780,705132,722852,743756,752392,776688,796228,810600,818620,829208,841860,855612,873844,890788,908088,921480,938892,958448,975184,985516,1002364,1015100,1029804,1044640,1063516,1078084,1102296,1128636,1174832,1229576,1284640,1331400,1355260,1385248,1425084,1474216,1535748,1582204,1656032,1696392,1761040,1785340,1818200,1840224,1916608,1926000,2050956,2116312,2174096,2239052,2327980,2430540,2526024,2630700,2733132,2830132,2930688,2972212,3031748,3084664,3147556,3219572,3287732,3368352,3463916,3574460,3696136,3843244,3979188,4102492,4247732,4384796,4522664,4641404,4797588,5080652,5448520,5678336,5803660,6189272,6458132,6822364,7362516,7612660,7885032,8160820,8235320,8267240,8370240,8417936,8699936,8968028,9245176,9670792,10107236,10281524,10381324,10353316,10352044,10560780,10862876,11028592,11038276,11039452,11087396,11218680,11515680,11859856,12113816,12321368,12721816,13156148,13702752,13932824,14016548,14157212,14497808,14688452,14917624,14944768,14804384,14773584,14861080,14906804,14924252,15153596,15268372,15463040,15714004,15803876,15888688,16049304,16272632,16658580,17089556,17647784,18017232,18378520,18661768,19016160,19251468,19514952,19820412,20098668,20085936,20399216,20758204,21298592,21669168,22163512,22396888,22264340,22030612,22191144,22331144,22650432,23258312,23690088,24003224,24168048,24331308,24167648,23834376,23380504
 "47000","Tennessee",5,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",335464,368712,385832,389084,364412,381960,395668,402732,396736,398660,403176,418784,446900,458608,468736,462496,469664,470176,478104,490916,512012,493968,498376,505180,526648,518240,525016,530708,556544,553076,611328,592112,610940,610768,630852,690356,734340,751948,774952,789216,823628,873952,890980,911508,946388,967124,987116,1010732,1048264,1225432,1229956,1284656,1310280,1431772,1414456,1429688,1475928,1478020,1498700,1702748,1748852,1789944,1833100,1895300,1987684,2140616,2296232,2458216,2669112,2993884,3014168,3058212,3131492,3131792,3261232,3303752,3317880,3296768,3402356,3449636,3526112,3561548,3757232,3848624,3980868,4103448,4445220,4573228,4754176,4837772,5517216,5526968,5654884,5694020,6001024,6035268,6156420,6238492,6518344,6744796,6818900,6937908,6846672,6947172,7101696,7166728,7207432,7369644,7556156,7598124,7720752,7781312,8043692,8166892,8326440,8376620,8519804,8660776,8710232,8778600,9161040,9238696,9365304,9501264,10015932,10151424,10317144,10542848,10983908,11221244,11423680,11787056,12323816,12756716,12988496,13586948,14126292,14475864,14739128,14776224,15347304,15439384,15750028,15791956,16104132,16180128,16286012,16820996,17578368,17925052,18167212,18034600,18656344,19055112,18881028,18911008,19406072,19467440,19692996,19929420,20180596,20435580,20551796,20801512,21107540,21138836,21470620,21790268,22230648,23086680,23552240,23910600,24638236,25374360,24901340,26247148
 "47000","Tennessee",5,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",3241200,3260852,3338836,3431616,3530020,3592604,3642088,3704872,3704768,3822644,3806156,3805356,3838764,3888352,3951704,4049868,4107320,4208148,4263808,4319712,4373028,4474872,4562800,4667968,4752584,4858664,4977592,5101248,5183952,5262860,5422680,5622112,5780296,6015540,6172336,6243192,6348872,6401088,6502464,6672824,6881144,7103656,7400440,7573360,7730400,7903536,8103472,8222768,8319124,8426228,8596560,8734400,8938048,9194952,9348384,9598536,10053948,10293804,10469828,10829224,11127716,11555956,11907676,12275772,12553784,12855664,13153560,13188264,13053040,13208724,13671872,14100656,14674244,14845328,15174588,15537412,15987596,16628644,17172296,17834144,18214612,19141636,19684880,20285160,20934540,21169680,21693728,22166444,22634204,22926772,23254896,23985364,24919928,25332736,25713764,25487596,25887480,26176532,26441064,26641404,27106436,27670004,28238644,29179008,29892108,30817944,31372412,31961028,32397776,33216476,33529228,34371104,34971696,35408852,36107176,36928552,38075664,38502904,39142704,40657960,40541296,41757148,42572888,43409372,43703400,44206680,44829680,45490184,46267828,46841104,47690444,47539296,48106916,48663652,49126924,49946748,51536144,52808956,53177364,53866376,54781564,55551408,56408224,57564444,58250428,59606132,60691004,62079048,63026764,63624584,64310688,65445740,65309396,66509216,67732200,68647560,70101120,70765732,71613908,73780064,74126908,76314936,76705648,78246040,78864256,80073700,80606452,82704344,84080620,84020120,86036280,84790224,85725684,86174184,86135480,86565644
