GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "51000","Virginia",5,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",7284040,7311908,7416476,7652880,7778108,7882556,7972644,8068260,8033708,8176736,8235848,8246484,8460568,8611532,8800196,8949864,9130872,9332032,9463352,9656464,9787312,9974676,10204844,10459644,10745840,11013712,11324756,11519856,11743784,11866928,12184292,12355044,12633112,12867352,13112892,13493520,13851244,14067148,14331592,14754804,15150328,15605716,15966380,16350484,17250528,17689072,18132256,18318752,18457172,19311648,19619156,20098596,20492772,21244148,21709740,22197208,22934344,23320800,23850000,24951544,25610392,26242280,26931408,27666760,28325476,29109584,29877212,30646088,31309700,31965208,32766208,33477984,34714872,35213344,36153416,37001664,37829640,38976656,40325024,41393480,42752264,44536340,45667888,47005076,48269892,49324192,50813552,52320472,54350868,55786692,57298196,59470152,62405888,63043160,64868420,64475240,67029608,68233928,69425716,70729852,71591444,73169420,75004392,77190688,79642812,81700724,83881968,85327432,87042332,88336000,89883808,91971500,94245584,95384048,96949604,98786644,100592060,102613624,105178980,107872000,109555344,112503604,115663316,117944172,120643572,122459312,123903432,125941808,127574684,129185800,130551200,130921100,133016464,134281504,135449400,137418588,140327428,142922544,144897076,146527344,148905792,150310368,151428772,153248268,154770452,158504168,160128252,162128212,164652236,166313704,167670408,169376944,171371744,174360500,176770292,178866896,183373008,185146632,187927660,190934864,194410017,198388985,202148433,205339913,211034445,211001733,215021025,220177653,225869484,230798716,234841428,237744976,242821912,245827576,243459192,245533972
 "51000","Virginia",5,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",5846976,5793584,5851736,6037072,6213984,6255676,6310504,6355084,6335468,6459260,6488732,6443476,6598200,6710988,6852072,6966416,7109356,7262508,7338268,7476176,7560020,7727700,7902904,8101736,8300776,8527664,8770768,8928384,9037808,9120288,9316540,9472744,9782760,10006564,10188364,10439292,10664428,10779764,10988376,11412400,11742644,12062172,12363028,12651360,13443384,13804520,14145088,14161352,14282264,14889576,15037480,15345280,15676228,16212916,16581344,16975736,17686172,17972148,18283328,19050168,19673088,20207756,20758092,21337716,21789340,22258376,22712836,23190252,23429336,23701320,24365836,24933564,25960776,26317976,26995404,27649740,28222400,29167076,30250600,30891064,31674928,33298100,33902736,35015988,35770640,36577604,37557104,38501008,39303880,40257616,41098740,42697932,45587904,45446884,45831964,44728400,47266624,48087208,49051992,50175548,50991708,52346408,53684716,55290856,57433020,58813496,60357132,61458192,62823940,64201644,65694540,67498156,68901040,69870612,71448948,73440836,75106028,76705408,78637468,80523744,81830880,84479316,86667484,88195984,89301056,90522608,91681104,93378796,93737352,94904620,95848892,95920800,97340160,97969548,98683192,100130928,102396852,104240360,105766000,106808652,108162932,109271524,110054360,111420924,112288768,115411148,116310636,117260452,118539844,119595472,120777088,122230896,123357828,126126308,128153660,129571720,132706192,134075252,136628752,139555952,142348741,145661301,149081401,152953669,157438577,156294617,159770465,164172341,170143068,174102844,177609500,179383416,183191396,185911160,183958696,185604740
 "51000","Virginia",5,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",181548,180632,183716,190532,231380,234692,236172,235652,267872,268800,269728,266432,277360,282624,287464,290412,312908,317216,318372,322752,360084,367908,373604,378932,378156,380140,386080,391292,394844,398704,406412,411828,522168,532632,554396,567324,605340,627620,639040,660332,683332,695276,705828,714872,771276,790344,813740,821420,838400,868660,876712,893564,971728,999172,1007048,1017508,1160980,1162656,1159060,1182972,1438564,1462988,1497212,1535168,1647492,1687236,1720604,1747184,1786444,1798696,1837876,1863056,2042120,2048208,2082200,2112976,2226016,2285940,2343180,2354312,2483840,2604040,2640368,2766504,2902496,3003732,3107892,3199948,3256088,3320048,3406144,3538936,4015384,4019084,4055240,3960944,4240180,4299676,4401892,4534012,4747516,4902532,5007964,5123760,5510688,5619388,5776840,5901956,6135728,6330408,6520460,6758340,6987404,7167280,7359588,7602212,7744912,7889068,8055144,8233536,8615616,8898688,9134716,9357112,9501936,9670260,9800636,10010736,10144648,10252436,10405808,10464496,10640916,10759928,10857604,10974052,11326916,11462892,11578132,11406252,12016304,11961320,12049232,12079356,12429144,12702272,12814528,12931696,13063332,13196996,13325024,13469872,13559944,13852488,14107528,14286536,14597532,14769528,15055016,15371032,15501772,15846008,16204796,16628532,17151952,16957320,17303580,17716452,18167164,18486864,18862832,19047032,19469292,19775056,19577076,19834500
 "51000","Virginia",5,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",90312,88952,89964,91920,107784,108704,109220,109624,127404,128756,129760,127688,131404,133308,135696,137828,144260,146864,147540,149100,169704,172336,174764,177608,181636,183552,187592,190604,195096,197188,201292,202732,265084,269132,284112,288384,312208,325876,329524,340472,349448,356684,360588,365148,388788,396916,405924,407588,414116,432268,434856,439428,474644,485324,489612,495100,557912,558948,562368,575340,703840,717704,735976,752312,810672,828248,843224,852704,870176,872584,887832,898008,967448,969576,985012,998884,1049376,1078964,1106876,1114152,1171756,1228016,1254512,1311300,1381200,1433568,1488880,1536876,1570616,1603104,1653544,1722212,1950200,1962144,1991188,1958908,2096828,2133872,2183752,2238052,2334980,2402184,2446932,2501780,2650060,2701968,2784764,2862308,3032636,3140880,3240884,3360580,3483088,3568416,3662612,3786084,3880620,3956808,4041880,4131352,4338284,4478700,4598568,4714836,4835376,4924980,4988676,5087384,5144360,5178132,5265348,5298096,5400840,5466504,5519176,5571508,5728352,5790660,5845740,5763956,6080692,6063976,6121420,6150004,6345792,6498876,6570480,6644768,6741912,6819544,6888464,6963900,7004800,7152180,7282888,7377532,7551188,7640352,7787084,7947964,8006480,8188036,8377080,8605940,8916484,8807768,8986164,9194652,9416900,9589416,9777728,9864984,10094060,10276248,10150752,10282924
 "51000","Virginia",5,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",91236,91680,93752,98612,123596,125988,126952,126028,140468,140044,139968,138744,145956,149316,151768,152584,168648,170352,170832,173652,190380,195572,198840,201324,196520,196588,198488,200688,199748,201516,205120,209096,257084,263500,270284,278940,293132,301744,309516,319860,333884,338592,345240,349724,382488,393428,407816,413832,424284,436392,441856,454136,497084,513848,517436,522408,603068,603708,596692,607632,734724,745284,761236,782856,836820,858988,877380,894480,916268,926112,950044,965048,1074672,1078632,1097188,1114092,1176640,1206976,1236304,1240160,1312084,1376024,1385856,1455204,1521296,1570164,1619012,1663072,1685472,1716944,1752600,1816724,2065184,2056940,2064052,2002036,2143352,2165804,2218140,2295960,2412536,2500348,2561032,2621980,2860628,2917420,2992076,3039648,3103092,3189528,3279576,3397760,3504316,3598864,3696976,3816128,3864292,3932260,4013264,4102184,4277332,4419988,4536148,4642276,4666560,4745280,4811960,4923352,5000288,5074304,5140460,5166400,5240076,5293424,5338428,5402544,5598564,5672232,5732392,5642296,5935612,5897344,5927812,5929352,6083352,6203396,6244048,6286928,6321420,6377452,6436560,6505972,6555144,6700308,6824640,6909004,7046344,7129176,7267932,7423068,7495292,7657972,7827716,8022592,8235468,8149552,8317416,8521800,8750264,8897448,9085104,9182048,9375232,9498808,9426324,9551576
 "51000","Virginia",5,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",373496,394160,393996,403896,405020,419928,415324,436588,451384,465076,469416,482724,495960,496632,502712,505008,545340,548444,555912,563024,595500,603816,617936,626144,652652,655240,674072,672768,724576,729052,758924,777476,808696,799320,826700,873444,934768,997648,1014132,1005288,1024248,1067168,1067660,1098312,960996,966660,989384,1045380,910876,889780,905900,929608,904636,932340,960572,990584,960896,1006420,1014372,1030500,1155036,1095744,1050940,1022072,1105032,1164904,1220296,1265976,1401764,1449212,1485004,1491676,1659752,1670472,1692508,1713688,1869552,1917428,1883552,1958764,2279556,2269972,2340992,2360392,2696620,2722188,2738620,2780312,3184948,3353652,3361672,3367688,3319576,3343160,3436652,3553368,3388600,3437084,3441224,3464264,3383900,3367028,3365948,3396388,3497676,3545900,3613348,3642208,3715324,3645616,3692908,3737492,3880868,3813148,3802404,3787916,3820536,3865412,3936468,4116292,4121612,4236484,4489248,4464964,4532880,4554336,4549348,4610792,5051148,5197112,5238092,5298240,5452432,5599740,5671780,5791256,6034564,6051940,6080576,5959452,6474036,6362556,6273004,6265788,6348588,6288124,6280816,6158468,6375564,6461600,6336760,6328104,6114688,5758996,5829156,5996700,6484044,6469116,6520936,6454868,6255348,6197104,6332808,6060360,7465624,7907180,8104748,8209056,6304280,5901356,5798240,6246188,6335584,6382488,6761304,6819452
 "51000","Virginia",5,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",6038924,6007112,6062016,6250436,6387624,6440912,6489656,6556020,6518980,6655536,6688420,6659768,6816800,6924996,7067320,7181012,7341788,7493736,7575808,7716448,7795436,7963608,8147236,8348948,8575272,8802764,9058760,9209860,9367540,9450636,9669052,9838392,10069288,10273252,10460668,10745412,10993856,11149792,11363468,11757356,12083560,12434064,12724860,13034800,13633104,13980836,14320732,14385312,14354740,14910696,15066668,15381324,15609136,16146084,16534868,16948812,17486088,17815912,18138640,18897696,19389560,19840512,20311820,20824620,21246880,21736044,22212528,22709044,23044656,23351836,24012964,24562184,25578408,25940240,26605712,27250452,27865936,28798564,29790972,30495516,31470644,32964032,33603360,34609876,35564764,36296060,37187832,38081372,39232740,40291220,41054268,42526684,44892096,44770960,45213376,44320824,46415044,47224616,48091324,49105800,49628092,50810904,52042700,53563484,55420008,56740008,58193640,59198444,60403536,61516852,62866988,64477308,65794504,66516480,67891764,69626540,71181652,72681752,74518792,76406500,77336876,79817112,82022016,83303836,84332000,85406684,86429816,87978852,88643852,89849296,90681176,90754544,92151676,92809360,93497368,94948132,97104500,98829408,100268444,101361852,102620664,103672760,104278132,105607356,106208212,108997000,109776924,110487224,111852076,112860076,113788824,115089128,115912572,118032816,119875288,121281884,124592704,125774840,128094672,130639788,133102317,136012397,139209413,142385497,147752249,147244477,150571633,154664945,158280184,161517336,164544908,166582572,170057688,172518592,171142924,172589692
 "51000","Virginia",5,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",947516,975764,1010460,1049764,1050480,1083824,1112132,1136956,1147720,1154708,1176572,1200888,1228420,1261680,1295876,1335160,1344100,1391592,1434224,1475336,1503360,1535304,1575124,1617772,1659160,1705196,1753368,1793144,1836224,1881000,1921576,1945444,1978316,2006368,2045428,2086552,2151596,2194452,2223404,2234028,2268852,2318436,2367900,2421916,2667168,2735528,2822912,2929968,3071768,3187828,3346596,3448836,3587552,3658832,3734928,3770424,3913336,3958208,4121916,4237436,4349448,4482468,4665316,4836864,4984256,5141820,5289404,5432388,5569472,5621416,5729976,5836108,5973136,6133444,6268828,6417364,6593720,6788920,7022644,7318720,7613372,7864836,8142508,8398424,8601352,8806412,9070312,9569552,10271116,10595780,10707628,11329216,11754404,12430728,13420084,13875728,14311344,14616676,14635924,14673536,14949392,15217460,15860632,16401956,16833844,17473088,18153928,18414736,18715632,18831424,18898592,19332800,20061916,20376872,20444192,20528664,20659440,21080412,21777308,22511624,22902196,23291204,24126428,24971616,26156552,26771364,27024492,27343304,27932588,28172040,28560364,28588652,28826724,29109880,29468000,29587440,29664904,30132616,30421268,30917560,31641260,31937348,32266508,32670548,33201104,33986896,34663940,35518564,36084748,36492048,36761256,37186940,37753936,38274428,38906544,39573628,40343012,40902236,41218904,41561644,42294824,43250208,43710524,43468728,43352860,43670696,44072628,44908768,46559984,47624472,48396428,48988664,49061880,49055248,48652808,48015040
 "51000","Virginia",5,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",297600,329032,344000,352680,340004,357820,370856,375284,367008,366492,370856,385828,415348,424856,437000,433692,444984,446704,453320,464680,488516,475764,482484,492924,511408,505752,512628,516852,540020,535292,593664,571208,585508,587732,606796,661556,705792,722904,744720,763420,797916,853216,873620,893768,950256,972708,988612,1003472,1030664,1213124,1205892,1268436,1296084,1439232,1439944,1477972,1534920,1546680,1589444,1816412,1871384,1919300,1954272,2005276,2094340,2231720,2375280,2504656,2695572,2991956,3023268,3079692,3163328,3139660,3278876,3333848,3369984,3389172,3511408,3579244,3668248,3707472,3922020,3996776,4103776,4221720,4555408,4669548,4847012,4899692,5536300,5614252,5759388,5841472,6234960,6278688,6303220,6392636,6698468,6950516,7013960,7141056,7101060,7225248,7388960,7487628,7534400,7714252,7923164,7987724,8118228,8161392,8389164,8490696,8613648,8631440,8750968,8851460,8882880,8953876,9316272,9395288,9514872,9668720,10155020,10281264,10449124,10619652,10998244,11164464,11309660,11577904,12038064,12362264,12484032,12883016,13558024,13960520,14207364,14247932,14643868,14700260,14884132,14970364,15361136,15520272,15687388,16122424,16715412,16961580,17120328,17100876,17705236,18053256,17988460,18011384,18437292,18469556,18614084,18733432,19012876,19126380,19228496,19485688,19929336,20086560,20376764,20603940,21029316,21656908,21900092,22173740,23702344,24253736,23663460,24929240
 "51000","Virginia",5,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",4477384,4444728,4496684,4660612,4796944,4847476,4893840,4945864,4946088,5038108,5061364,5009548,5107036,5215508,5341472,5443536,5529024,5667256,5733240,5852152,5950504,6111784,6260332,6405304,6546176,6686800,6865340,6981556,7095252,7176048,7353624,7491336,7698476,7931560,8084520,8247728,8387500,8458996,8607544,8967428,9258760,9544524,9811560,10077160,10662584,10949160,11210596,11275496,11369004,11865024,11942124,12155304,12395568,12792928,13068432,13333272,13877296,14074076,14306744,14890588,15404360,15871860,16335756,16762548,17136552,17545144,17887988,18167280,18268840,18448440,18955076,19379676,20142628,20439376,20935000,21391840,21794184,22575576,23376360,23798132,24307376,25506236,25946916,26839344,27514716,28188456,28987360,29752336,30533100,31293900,31910328,33150928,35013828,35150220,35541472,34927548,36860500,37411124,38101992,38896008,39348796,40474108,41375448,42613280,43933084,45015280,46337548,47281692,48268604,49398000,50431428,51766564,52886252,53772120,54856180,56571996,57990140,59232644,60593424,62192168,62585916,64692668,66207856,67457528,68574272,69357932,70057520,71563280,72272864,73331884,73991592,73961544,74541708,74962308,75431836,76181228,77945296,79021928,79970244,80850012,81650088,82652988,83348556,84299368,84685968,87340812,88072076,88912452,89845504,90778908,91695176,92759732,93896404,96001624,97738952,98867824,101308848,102452744,104466084,106854896,108156496,110689828,113276692,116338252,119935512,118453772,121084336,124494504,128660192,131352628,134238880,135286268,138120792,140110136,137782960,138932412
