GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "55000","Wisconsin",3,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",7887128,7915728,8069548,8234012,8426364,8689320,8801632,8893548,8973168,8977736,9007816,9018312,9066200,9223424,9341576,9498360,9651664,9801440,9829832,9955676,9942696,10053120,10211748,10333416,10584716,10824380,10977572,11251084,11467912,11657492,11905900,12162264,12508568,12683800,13050228,13311092,13433992,13422580,13694712,13857712,14280316,14723488,15091428,15489972,15948524,16303384,16640360,16806144,17218764,17498348,17844640,18033260,18179980,18906724,19210940,19539332,20109384,20435628,20734472,21646788,22079388,22753172,23392352,24406396,24513824,25116372,25758044,26357656,26768464,27383292,28296512,29039604,29573464,30117328,30943880,31801844,32752148,33800548,34601352,35687508,36717712,37693512,38734404,39693820,41131048,42134068,43405636,44519676,45716796,46119676,47733340,49558164,50035752,50880516,52710176,52826980,53509644,54045012,55165196,55129432,55324020,56621316,57882876,58958648,61178428,62500332,63597628,64376252,65302224,65863920,66570668,67369800,68502628,69412800,70468108,71283584,72096556,72809308,74315104,75953744,75952124,77582048,79282408,81008808,84127568,84938676,85823368,87245908,88643504,90060136,91269088,91752176,91981152,93350152,94453800,96224660,98584304,101041780,102185944,103818908,104569500,106071160,107140000,109074952,110396372,112526272,114300980,116354028,117691368,118711192,119804452,121101260,123309688,125566176,127245868,128665100,131018904,132590880,134569496,137481428,140154144,142488584,144452180,146193852,146563042,148029002,150011234,153079634,156435668,158782636,160380852,161704824,166081004,167130740,166869512,168451912
 "55000","Wisconsin",3,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",6554156,6515064,6598276,6737504,7002796,7228184,7294008,7331516,7458536,7446132,7445648,7427716,7423020,7540772,7635268,7774696,7943668,8067944,8061596,8151876,8144076,8268312,8413600,8491372,8696420,8917288,9040236,9290812,9444076,9603768,9731336,10004392,10419084,10589900,10926516,11111440,11165636,11115104,11324992,11432460,11738416,12036796,12310760,12637444,12902756,13195920,13492864,13607216,13874504,13857296,14100264,14154544,14277884,14817436,15088860,15347172,15922684,16215020,16350744,16970932,17575344,18130116,18637248,19497804,19467728,19807056,20175476,20503576,20605180,20864784,21667536,22346588,22899412,23379656,23937900,24661548,25563644,26537468,27093476,27952600,28937176,29770640,30505484,31253328,32521236,33403784,34161772,34797312,35263284,35073588,35747888,37067920,37314984,37596968,38402060,38155708,38632320,38587588,39279944,38754572,38800116,39845816,40984004,41714520,43847048,44669912,45273208,45681124,46325040,46871660,47564496,48171420,48824516,49586756,50715924,51716360,52451760,53027812,54357880,55830928,55649012,57371480,58706284,59912140,61810132,62058128,62682740,63894748,64920508,66289568,67385248,67884316,67796924,68858260,69768340,71191376,73316396,75382844,76163824,77389156,77987784,79294068,80168232,81951860,82933180,84568884,85967668,87326024,87743228,88277840,89012516,89993640,91387880,93121064,94523304,95460624,97415940,98614148,100062764,102326084,103802616,105603684,107510596,109655020,110440794,111925974,113601250,115833334,118141420,119241660,119991432,120994792,124514620,125275584,125550904,126621068
 "55000","Wisconsin",3,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",235320,232288,232416,233032,277052,282936,285232,284560,338276,339028,343672,342496,346320,349672,348452,347756,371680,374132,372488,377704,420784,430380,439204,440704,442016,446648,449676,458704,462836,473592,482620,497848,635360,650500,687328,700332,736884,755768,768212,777424,798028,810188,818660,833192,912040,924784,945840,951836,974436,970336,977052,975200,1040152,1071268,1080108,1089604,1241136,1245748,1240304,1263308,1557932,1589432,1629680,1679760,1786492,1834904,1862692,1877512,1892984,1897532,1944116,1975044,2143180,2174052,2196508,2236332,2355188,2431028,2476912,2508628,2713228,2787900,2881896,2988076,3151404,3264164,3352140,3441220,3479008,3451272,3482928,3572888,3915828,3976760,4047568,4056652,4169676,4147492,4190456,4118276,4253628,4326204,4408372,4449228,4816104,4877952,4938364,4984352,5106288,5170772,5244260,5312488,5402520,5456544,5526796,5627692,5681028,5720748,5852160,5989432,6298332,6479988,6629220,6787152,6822960,6911740,7044612,7237772,7529492,7729968,7920236,8024296,8087320,8210812,8311300,8427084,8719692,8919756,8966408,8880764,9309420,9317760,9427928,9578844,9873004,10042616,10240172,10427624,10539528,10608060,10687640,10793020,10833820,11016104,11215996,11332320,11535656,11679128,11829008,12075324,12156088,12360000,12578272,12808484,12969412,13147432,13328764,13559848,13858316,13867764,13918228,13957708,14196948,14207108,14161980,14240120
 "55000","Wisconsin",3,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",110472,108696,110036,111000,131060,134772,135284,134188,159412,158704,160300,159704,160932,163376,164300,165944,172516,174776,174332,175444,198992,201624,204720,204836,209772,211756,212944,216540,219568,223220,225960,231120,303404,308636,331656,336540,361948,375812,380464,383356,390720,397616,400420,406544,449692,456500,467120,470672,483172,481512,487040,486056,516308,530752,534576,537516,604788,603832,601252,608628,748476,762140,782036,802412,858624,882964,899392,909432,923868,926372,946420,956056,1017240,1025584,1032772,1049224,1099904,1133584,1153052,1165220,1247344,1279428,1323468,1374436,1453060,1510352,1557364,1604464,1630676,1619664,1645336,1690808,1856804,1888124,1927100,1935836,1991272,1983332,2007356,1971836,2017192,2045524,2076320,2086280,2214428,2239344,2272008,2307644,2415056,2463004,2510528,2547256,2597664,2623696,2660376,2717116,2761860,2790180,2859276,2927932,3088764,3182396,3266428,3363132,3432500,3493800,3568040,3663848,3799328,3884652,3988148,4043628,4085604,4153032,4206848,4266008,4403004,4498700,4515100,4464104,4668068,4663764,4712056,4783588,4940508,5023304,5129388,5230588,5310320,5352436,5394820,5445988,5464944,5553236,5652732,5713616,5829168,5906028,5983920,6107060,6117252,6225060,6338644,6466896,6571260,6670812,6766612,6881416,7010396,7024368,7047412,7079836,7223424,7249392,7241892,7288640
 "55000","Wisconsin",3,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",124848,123592,122380,122032,145992,148164,149948,150372,178864,180324,183372,182792,185388,186296,184152,181812,199164,199356,198156,202260,221792,228756,234484,235868,232244,234892,236732,242164,243268,250372,256660,266728,331956,341864,355672,363792,374936,379956,387748,394068,407308,412572,418240,426648,462348,468284,478720,481164,491264,488824,490012,489144,523844,540516,545532,552088,636348,641916,639052,654680,809456,827292,847644,877348,927868,951940,963300,968080,969116,971160,997696,1018988,1125940,1148468,1163736,1187108,1255284,1297444,1323860,1343408,1465884,1508472,1558428,1613640,1698344,1753812,1794776,1836756,1848332,1831608,1837592,1882080,2059024,2088636,2120468,2120816,2178404,2164160,2183100,2146440,2236436,2280680,2332052,2362948,2601676,2638608,2666356,2676708,2691232,2707768,2733732,2765232,2804856,2832848,2866420,2910576,2919168,2930568,2992884,3061500,3209568,3297592,3362792,3424020,3390460,3417940,3476572,3573924,3730164,3845316,3932088,3980668,4001716,4057780,4104452,4161076,4316688,4421056,4451308,4416660,4641352,4653996,4715872,4795256,4932496,5019312,5110784,5197036,5229208,5255624,5292820,5347032,5368876,5462868,5563264,5618704,5706488,5773100,5845088,5968264,6038836,6134940,6239628,6341588,6398152,6476620,6562152,6678432,6847920,6843396,6870816,6877872,6973524,6957716,6920088,6951480
 "55000","Wisconsin",3,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",51920,51636,52608,53580,58360,60032,59904,60500,63332,63632,64236,63932,65728,66496,67372,68544,72796,74560,75112,75752,79944,80656,81772,82908,88724,90748,92344,94056,100652,103008,104716,108576,119048,122216,125604,128076,133952,136036,139128,140604,152788,156340,159984,164428,240152,247180,253560,258612,251592,251612,257224,258492,259628,265700,270148,273680,283920,288856,290856,299120,302948,313608,321028,327224,331504,336372,348448,354356,337084,339032,346772,357320,368136,377780,386884,397492,405756,417104,428832,439224,454920,467968,480840,497720,489268,497764,514536,521384,521164,522616,532192,545752,567096,576616,582704,595452,592616,602796,600108,606464,626140,640484,659320,679596,730044,752404,771548,789528,826784,842164,855872,871272,909128,924012,940284,947824,1016016,1021900,1037688,1056052,1174012,1181480,1200872,1219396,1207644,1223236,1240028,1261984,1310948,1342484,1354192,1362336,1335380,1355800,1372920,1386864,1432988,1448884,1468296,1497532,1490096,1510808,1526848,1546796,1611632,1651912,1676356,1683008,1746176,1757480,1778844,1816728,1874744,1904300,1935756,1957864,2053232,2101168,2145588,2183012,2254452,2289700,2320776,2359716,2431172,2467304,2462908,2546404,2646612,2668072,2745624,2769320,2863724,2833928,2823712,2834752
 "55000","Wisconsin",3,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",6370756,6334412,6418468,6558052,6784104,7005280,7068680,7107456,7183592,7170736,7166212,7149152,7142428,7257596,7354188,7495484,7644784,7768372,7764220,7849924,7803236,7918588,8056168,8133576,8343128,8561388,8682904,8926164,9081892,9233184,9353432,9615120,9902772,10061616,10364792,10539184,10562704,10495372,10695908,10795640,11093176,11382948,11652084,11968680,12230868,12518316,12800584,12913992,13151660,13138572,13380436,13437836,13497360,14011868,14278900,14531248,14965468,15258128,15401296,16006744,16320360,16854292,17328596,18145268,18012740,18308524,18661232,18980420,19049280,19306284,20070192,20728864,21124368,21583384,22128276,22822708,23614212,24523544,25045396,25883196,26678868,27450708,28104428,28762972,29859100,30637384,31324168,31877476,32305440,32144932,32797152,34040784,33966252,34196824,34937196,34694508,35055260,35042892,35689596,35242760,35172628,36160096,37234952,37944888,39760988,40544364,41106392,41486300,42045536,42543052,43176108,43730204,44331124,45054224,46129412,47036492,47786748,48328964,49543408,50897548,50524692,52072972,53277936,54344384,56194816,56369624,56878156,57918960,58701964,59902084,60819204,61222356,61044984,62003248,62829960,64151156,66029692,67911972,68665712,70005924,70168460,71487116,72267152,73919812,74671808,76178180,77403852,78581408,78949876,79427260,80103720,81017348,82428804,84009260,85243064,86086168,87933516,89036188,90379344,92433772,93900980,95533384,97253100,99206252,99902554,101245846,102735394,104819890,106929716,108041968,108818828,109806404,113181396,113902404,114212636,115215700
 "55000","Wisconsin",3,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",1070204,1080168,1101712,1133748,1133012,1171632,1206964,1238572,1253252,1260588,1276536,1287132,1295984,1312144,1330528,1356684,1356688,1387164,1408900,1425788,1434460,1450624,1470872,1492596,1516532,1539964,1570132,1600496,1637040,1681172,1723788,1751696,1784800,1801548,1819868,1829116,1856488,1883536,1918276,1950176,2027680,2105056,2173092,2232884,2364020,2416020,2476408,2541844,2647336,2724536,2830404,2888724,2948612,2989544,3031780,3067964,3140944,3156604,3295736,3384436,3457600,3559708,3686792,3818780,3934416,4063408,4202484,4337940,4465204,4511024,4588668,4657716,4713104,4814724,4920112,5039416,5177564,5312848,5453008,5617668,5754956,5888412,6062716,6236740,6407768,6567576,6789540,7193048,7696484,8038436,8251308,8825560,9224968,9749120,10470520,10754292,10992196,11278796,11362428,11439596,11687812,11807368,12180288,12489772,12806692,13276600,13767264,13977236,14091720,14065116,14066220,14288428,14657736,14821228,14742412,14621500,14584032,14691812,14961232,15244824,15348972,15447160,15871640,16394064,17237752,17704864,17917944,18146412,18436672,18501080,18660460,18539788,18569532,18672040,18859768,18938320,19033820,19377880,19568332,19830972,20128044,20257296,20420884,20684944,21039556,21596336,22100204,22685292,23196036,23552744,23858096,24315768,24728044,25182976,25716156,26259140,26393080,26803636,27335728,28072328,29168152,29762060,29930852,29546108,28953028,29013844,29240168,29955556,30928236,31580944,32044648,31976596,32042700,31701404,31297928,30862992
 "55000","Wisconsin",3,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",446168,501148,549368,542212,509248,512408,525988,547520,536324,546412,565068,582028,627788,653684,656860,646192,650192,645904,656712,679964,705000,683908,684708,707244,725056,723028,724536,724424,748980,743136,828680,795448,820996,820636,865568,942792,1014800,1043672,1080528,1111896,1159460,1235484,1266252,1288408,1353636,1369048,1363368,1350308,1419768,1635240,1633800,1706700,1734008,1905312,1900260,1940120,2002972,2020896,2037440,2255608,2301428,2339172,2376964,2442348,2566668,2744440,2894328,3039296,3253980,3565984,3637652,3653024,3735992,3719220,3895492,3939720,3960372,3964156,4102948,4186644,4283888,4354392,4567260,4694108,4864180,4929108,5291928,5449152,5714872,5936308,6684880,6691820,6844532,6934572,7302460,7378180,7462188,7723324,8113172,8447076,8463580,8653852,8467636,8523988,8610748,8679368,8723972,8912716,9164968,9255752,9328340,9351168,9513768,9537348,9596284,9625592,9725776,9788532,9810464,9811372,10078460,10061916,10132832,10270360,10695000,10864188,11027268,11180536,11504868,11656972,11789424,11990032,12366636,12674864,12764072,13135184,13520792,13751928,13951900,13982012,14272996,14326748,14451964,14470196,14685008,14751756,14796924,15087328,15545456,15731188,15842636,15768144,16152840,16373940,16286648,16319792,16692308,16751056,16854424,16975328,17085012,17193140,17268228,17441492,17707460,17769312,18035672,18304188,18577716,19159724,19517376,19921824,20856908,21526932,21358948,22373220
 "55000","Wisconsin",3,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",4854868,4819424,4888816,5015980,5215584,5393448,5459056,5469596,5609632,5627784,5647040,5621268,5555652,5647428,5711736,5814016,5923816,6070372,6093860,6160888,6180884,6292880,6428932,6467168,6623588,6776372,6876744,7044456,7154012,7304524,7407496,7611888,7770552,7965856,8228888,8374644,8461280,8484812,8637656,8766556,8974080,9211648,9424888,9700500,9929984,10150288,10421140,10553452,10801192,10796324,10946908,11011160,11034900,11446080,11674284,11847700,12325300,12471012,12565348,12965740,13510556,13924968,14356868,14796060,15022520,15468916,15752468,15955372,15914720,16047352,16568248,16969032,17512476,17956772,18296568,18780636,19127336,19893116,20456200,20937416,21795972,22412176,23114916,23783828,24499152,25156960,25700140,26336280,26885656,26815392,26936196,27627236,28318984,28743492,29224848,29304672,29694392,29574700,29980284,29633036,29807604,30545052,31348848,31865388,32950640,33523620,34014880,34349972,34698272,35108220,35627708,36086100,36656592,37026968,37494752,38274388,38863508,39285204,40272768,41370620,41787732,43043292,43940508,44831396,45195712,45430204,45916912,46778256,47883108,48980376,49727456,50123448,50310656,50985320,51581968,52374416,53769528,55145372,55603896,56567496,56898448,57904068,58564944,59894672,60185656,61615384,62775448,63961420,64769712,65298140,65892108,66628592,67342944,68596076,69900444,70655172,72285052,73292368,74354000,76080588,76846912,78231388,79624292,81126388,81907656,82990188,84183248,85842208,88026300,88262060,88642464,88896928,90505624,90652920,90437216,91021048
