GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "05000","Arkansas",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",34299004,34702104,35264072,35683296,36226892,36512472,37019184,37562584,38606564,38511788,39038376,39098448,40218844,40410940,40523540,40528724,41057244,41636528,41871608,42200400,42575856,43000684,43736096,44759240,44827428,45695540,46797792,47071500,47686368,48147376,48539816,49686124,50589188,51009948,51132256,51688888,52304668,53019420,53192368,56020960,54233312,54799120,54994048,55102740,55109212,53858820,53972232,54174096,53986504,55373060,56098844,55589824,56679780,56414044,57210152,57284600,58415300,59166916,59074116,60116588,60370724,60555100,60603996,60604524,61819996,62066108,62488428,63826424,63348048,64063908,64941888,65369860,65415660,65926456,66014908,67175048,67833572,68239924,68330736,69250484,70087752,70290128,70981356,71284520,72702826,73529728
 "05000","Arkansas",5,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",27999276,28323068,28792688,29161952,29650956,29901172,30312988,30786940,31712216,31573364,32019016,32017452,32885036,32983600,33016700,32997260,33404252,33877864,34028004,34183456,34373916,34688388,35273060,36139104,36152332,36907812,37830324,38005640,38395176,38747892,39090152,40072996,40913196,41267944,41388724,41882196,42461040,43022468,43117144,45525628,43986204,44441900,44643328,44783868,44652016,43702100,43776996,43939784,43606892,44814324,45465744,45144148,46095276,45948624,46602268,46511356,47373188,47855736,47693300,48596384,48753128,48851236,48821900,48768812,49731928,49992904,50455384,51686500,51423348,52112084,52908484,53266064,53262452,53686636,53776392,54798572,55396476,55748556,55797168,56567804,57285516,57394824,57942240,58175440,59432457,60121368
 "05000","Arkansas",5,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",6299728,6379036,6471384,6521344,6575936,6611300,6706196,6775644,6894348,6938424,7019360,7080996,7333808,7427340,7506840,7531464,7652992,7758664,7843604,8016944,8201940,8312296,8463036,8620136,8675096,8787728,8967468,9065860,9291192,9399484,9449664,9613128,9675992,9742004,9743532,9806692,9843628,9996952,10075224,10495332,10247108,10357220,10350720,10318872,10457196,10156720,10195236,10234312,10379612,10558736,10633100,10445676,10584504,10465420,10607884,10773244,11042112,11311180,11380816,11520204,11617596,11703864,11782096,11835712,12088068,12073204,12033044,12139924,11924700,11951824,12033404,12103796,12153208,12239820,12238516,12376476,12437096,12491368,12533568,12682680,12802236,12895304,13039116,13109080,13270369,13408360
 "05000","Arkansas",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",4016904,4073788,4134916,4167316,4193132,4214684,4281384,4319596,4364988,4421224,4469568,4539936,4740452,4839428,4928556,4958588,5044828,5116632,5193688,5358028,5501316,5588444,5705860,5814036,5850128,5930792,6056740,6153540,6335128,6420328,6442064,6523288,6520968,6553496,6545808,6577064,6595224,6722792,6794220,7084288,6869788,6932496,6896704,6847220,7002168,6744004,6770072,6793344,6877820,6972844,7017648,6876792,6847644,6754064,6857048,7042932,7234192,7478632,7577736,7660532,7767908,7841096,7920240,7963052,8131344,8107520,8039804,8047580,7874576,7854896,7894620,7968776,8077384,8165696,8177748,8251052,8276184,8310532,8363648,8484240,8627284,8737900,8861820,8925524,8985789,9078228
 "05000","Arkansas",5,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",2282824,2305248,2336468,2354028,2382804,2396616,2424812,2456048,2529360,2517200,2549792,2541060,2593356,2587912,2578284,2572876,2608164,2642032,2649916,2658916,2700624,2723852,2757176,2806100,2824968,2856936,2910728,2912320,2956064,2979156,3007600,3089840,3155024,3188508,3197724,3229628,3248404,3274160,3281004,3411044,3377320,3424724,3454016,3471652,3455028,3412716,3425164,3440968,3501792,3585892,3615452,3568884,3736860,3711356,3750836,3730312,3807920,3832548,3803080,3859672,3849688,3862768,3861856,3872660,3956724,3965684,3993240,4092344,4050124,4096928,4138784,4135020,4075824,4074124,4060768,4125424,4160912,4180836,4169920,4198440,4174952,4157404,4177296,4183556,4284580,4330132
 "05000","Arkansas",5,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",260156,264204,266788,268232,271360,272856,272860,271904,268620,267348,269044,274092,287248,291028,293640,295084,290184,288928,286564,282948,287776,286032,287628,292528,302972,309296,313592,316032,260768,259892,257736,254316,245020,247752,257596,275152,278924,294456,300432,296148,311712,302344,298760,301032,261916,265424,265768,262588,292016,284000,275820,267160,237068,236364,243420,258472,289588,304720,311844,311048,328740,325192,327008,333864,293520,294248,290688,282744,334368,326508,325380,330920,348488,358992,367088,373004,293904,295500,295708,294564,318112,317908,319824,324312,330224,334512
 "05000","Arkansas",5,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",34038848,34437900,34997284,35415064,35955532,36239616,36746324,37290680,38337944,38244440,38769332,38824356,39931596,40119912,40229900,40233640,40767060,41347600,41585044,41917452,42288080,42714652,43448468,44466712,44524456,45386244,46484200,46755468,47425600,47887484,48282080,49431808,50344168,50762196,50874660,51413736,52025744,52724964,52891936,55724812,53921600,54496776,54695288,54801708,54847296,53593396,53706464,53911508,53694488,55089060,55823024,55322664,56442712,56177680,56966732,57026128,58125712,58862196,58762272,59805540,60041984,60229908,60276988,60270660,61526476,61771860,62197740,63543680,63013680,63737400,64616508,65038940,65067172,65567464,65647820,66802044,67539668,67944424,68035028,68955920,69769640,69972220,70661532,70960208,72372602,73195216
 "05000","Arkansas",5,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",27781872,28118028,28500680,28840884,29325724,29627632,29943784,30405880,31380608,31111396,31748216,31563632,32507956,32495532,32434884,32348448,32822440,33337168,33513800,33699052,33890132,34205816,34811772,35674028,35639856,36331836,37249084,37266088,37649764,38048048,38355784,39457564,40035684,40297384,40327436,40805264,41359976,41953344,41945900,44716444,42771984,43308988,43398104,43494144,43336660,42079316,41930596,42104324,41806560,43194088,43729904,43259932,44157232,44153928,44762456,44830664,46030444,46662720,46650548,47486784,47626816,47665068,47734140,47578988,48849056,49029816,49533896,50716992,50139700,50877580,51871616,52234080,52114424,52515972,52687476,54023804,54607976,55069944,54841876,55646208,56512868,56721296,57117768,57491816,58854450,59590845
 "05000","Arkansas",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",250396,246736,236152,236424,258108,259012,242764,239704,231424,216344,261608,321496,265912,263380,256040,250536,271792,269000,262096,260272,252752,254368,258296,275160,289256,290420,299244,286604,280820,279260,285024,288036,291164,301852,293204,317196,301028,301972,292328,295604,301048,298228,288568,296312,298236,288176,297808,290788,297992,317736,320960,298236,305380,298148,304148,320516,327944,358900,313200,340920,335748,323440,329112,328320,353624,348100,348220,368676,343776,354160,391672,365472,387296,385092,375984,383396,390536,383908,375668,402000,396144,401740,402892,406164,408432,412492
 "05000","Arkansas",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",150076,145812,143576,139208,138632,135216,141996,141304,139780,141980,144760,150508,173644,180988,184892,181220,161336,165836,165216,165696,161088,176372,182712,193400,195952,201240,207620,207844,211372,219268,229176,250200,276908,300644,320684,341788,397044,423608,459644,481032,494692,574540,637640,669720,649464,623460,603868,601288,607776,656024,649724,662868,664276,706032,736128,713644,761432,740156,675956,636020,626100,624444,629072,611780,582260,561360,570536,569316,547176,507604,484268,452592,390096,334188,308332,304080,306876,314288,312600,305980,320888,323380,319368,309508,316354,330617
 "05000","Arkansas",5,SQINC6N,300,"22","   Utilities","Thousands of dollars",404384,437668,428392,413376,440012,414280,412752,423428,422740,391240,445984,445144,474912,506700,512704,507076,499748,525992,518392,523348,526108,501364,525424,539836,564108,568156,547828,529364,547116,521632,586876,623668,543652,624820,618592,656416,628196,642028,660712,646852,691792,704604,666960,693084,720872,670788,694436,691240,682784,723756,721752,749556,719732,766320,744704,721584,765188,746468,832608,820864,863604,871112,891212,899068,941292,916568,877628,864472,898056,858800,921004,930616,917596,879324,961728,986592,922420,990180,934116,936392,964440,1006488,975220,1028988,988557,989606
 "05000","Arkansas",5,SQINC6N,400,"23","   Construction","Thousands of dollars",1544020,1587512,1593332,1624760,1707088,1707616,1733620,1808492,1942268,1881600,1911444,1875968,1900068,1949892,1962424,1941128,2057684,2079928,2076812,2002640,1912268,1912488,1933756,1998332,2021836,2056660,2100264,2031140,2167732,2226252,2249272,2371548,2406552,2411200,2395280,2437544,2545800,2554204,2465944,2581336,2652036,2676264,2724552,2806928,2723900,2570756,2593464,2448512,2336152,2528956,2518028,2360704,2311484,2388580,2410216,2361176,2535232,2525832,2431072,2432108,2373876,2368928,2336276,2333972,2454768,2474568,2463492,2604088,2577312,2675816,2829380,2926656,2826288,2880796,2867604,2899316,2961648,3012596,2970592,2978800,2972968,2980804,2994108,3047184,3134074,3240873
 "05000","Arkansas",5,SQINC6N,500,"31-33","   Manufacturing","Thousands of dollars",7923944,8037628,8073736,8189804,8109668,8219316,8408892,8395236,8599744,8580772,8547032,8488688,8774040,8643660,8482304,8369476,8364952,8453692,8363668,8376568,8407456,8455284,8479220,8773696,8496224,8776632,8979612,8964072,8864104,8923756,9021652,9116832,9208472,9126016,8968076,8983708,9084012,9043860,8975648,8938988,8929636,8888848,8825988,8700068,7921192,7870404,7873436,8078268,7855496,8217300,8314512,8199100,8333572,8280256,8262172,8231236,8393884,8606548,8509556,8474448,8509796,8436868,8446980,8589304,8757920,8843008,8893004,9039376,8912864,8974588,9033152,9032556,9032956,8975456,9090372,9311256,9434808,9532516,9601196,9587784,9903116,9867236,10010932,10108368,10186463,10300484
 "05000","Arkansas",5,SQINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",4485012,4572016,4566064,4616880,4560732,4611084,4737092,4771536,4918796,4878372,4831624,4773304,4890460,4829364,4721512,4659296,4630312,4689744,4612012,4641044,4584948,4629008,4636004,4851956,4669232,4822692,4927788,4876396,4895992,4928964,4976924,5056884,5138032,5114796,5010700,5021900,5085004,5002444,4983148,4921676,4893064,4874984,4852116,4727308,4207652,4085244,4053064,4127232,3968028,4253368,4246072,4236448,4365216,4315184,4301292,4305732,4410004,4520504,4465652,4375760,4445696,4387848,4375556,4504944,4501336,4596504,4639024,4704768,4654232,4626464,4637320,4574560,4610912,4530680,4546712,4628580,4747724,4844348,4858348,4860596,4948616,4983888,5070716,5203916,5243913,5271759
 "05000","Arkansas",5,SQINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",3438932,3465612,3507672,3572924,3548936,3608232,3671800,3623700,3680948,3702400,3715408,3715384,3883580,3814296,3760792,3710180,3734640,3763948,3751656,3735524,3822508,3826276,3843216,3921740,3826992,3953940,4051824,4087676,3968112,3994792,4044728,4059948,4070440,4011220,3957376,3961808,3999008,4041416,3992500,4017312,4036572,4013864,3973872,3972760,3713540,3785160,3820372,3951036,3887468,3963932,4068440,3962652,3968356,3965072,3960880,3925504,3983880,4086044,4043904,4098688,4064100,4049020,4071424,4084360,4256584,4246504,4253980,4334608,4258632,4348124,4395832,4457996,4422044,4444776,4543660,4682676,4687084,4688168,4742848,4727188,4954500,4883348,4940216,4904452,4942550,5028725
 "05000","Arkansas",5,SQINC6N,600,"42","   Wholesale trade","Thousands of dollars",1720508,1716944,1729840,1739692,1746384,1768720,1781864,1809012,1856176,1884740,1928304,1952968,2000724,2040392,2038740,2042272,2068452,2096308,2117972,2116892,2141696,2156408,2191732,2230144,2278988,2376716,2438440,2506592,2520824,2546464,2631428,2690048,2730656,2734032,2785796,2818120,2854888,2894872,2940488,2964228,2998080,3050812,3067348,3135640,2973948,2971824,2942556,2945692,2960596,2996456,3065068,3113884,3077752,3132956,3171892,3171304,3304660,3279276,3300452,3336960,3364200,3367368,3328200,3363968,3438376,3446996,3484388,3527596,3675620,3638108,3659148,3606244,3568124,3632352,3613048,3649272,3759724,3748804,3800816,3800176,3800608,3828272,3841964,3854052,3944596,4013285
 "05000","Arkansas",5,SQINC6N,700,"44-45","   Retail trade","Thousands of dollars",2584860,2649164,2628052,2701288,2741760,2800924,2787208,2836512,2892848,2882616,2949620,2841280,2858808,2839596,2817304,2827428,2884816,2931148,2959700,2951672,3033528,3042768,3107756,3204700,3117056,3152132,3262484,3279644,3335900,3360052,3295388,3379080,3447684,3484300,3507424,3536660,3594728,3638640,3617988,3645148,3730496,3710432,3717560,3676692,3585788,3643940,3637832,3678392,3605428,3747252,3737496,3698140,3792288,3770796,3858416,3857140,3964312,3917124,3947424,4014896,4023556,4054364,4064948,4053208,4145900,4152148,4208400,4313256,4189204,4369236,4478428,4492020,4529876,4614724,4531520,4645004,4653752,4618248,4639532,4671400,4712220,4771112,4703524,4722912,4758188,4795244
