GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "09000","Connecticut",1,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",80334644,80927748,82651748,84421340,84437368,86181884,87928244,89026972,92732652,92610180,94567600,95015872,97036660,98291680,96744444,97821120,95610012,97081016,97473788,97563820,96794688,99059016,100560988,102282276,102515532,104905816,108191956,108218432,108460428,109897216,110820716,113002052,115297964,114390752,114460332,116938008,122350308,122352792,122734496,122922872,125181700,123682484,124169648,123439676,117831236,118291908,118071976,119046600,117327148,120490304,122121036,121936620,125199340,125544268,125269668,122472752,126531144,126283316,126350420,130228992,128679372,128870212,129580664,129508192,132038864,132514516,132821148,134874576,136334824,137172472,137003440,138693196,137786440,139024352,137707480,138039500,138095804,140652588,140733264,142111308,143014064,142700644,145152312,144280016,148071008,149746757
 "09000","Connecticut",1,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",67077028,67548732,68961184,70454592,70527268,71912104,73289208,74259244,77501732,77224864,78936100,79121252,80610452,81504740,80036188,80827944,78844240,80039484,80248972,80116528,79158700,81019048,82122000,83371304,83233912,85104016,87807596,87751036,87889436,89020636,89970620,92047732,94321940,93666824,93785708,95988224,100724000,100573844,100676636,100770196,102576168,101146684,101549212,100900588,95716400,96235616,95988252,96753688,95112708,97805384,99127000,99081096,101811216,102329484,102150856,99703088,103517344,103289400,103361660,106771140,105168760,105197568,105726652,105721964,108154316,108528568,108830120,110485788,111724624,112244208,112137908,113468280,112997936,113955532,112825380,113069736,112875156,114963264,114835904,115874896,116594984,116171096,118117520,117407376,120697083,122123981
 "09000","Connecticut",1,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",13257616,13379016,13690564,13966748,13910100,14269780,14639036,14767728,15230920,15385316,15631500,15894620,16426208,16786940,16708256,16993176,16765772,17041532,17224816,17447292,17635988,18039968,18438988,18910972,19281620,19801800,20384360,20467396,20570992,20876580,20850096,20954320,20976024,20723928,20674624,20949784,21626308,21778948,22057860,22152676,22605532,22535800,22620436,22539088,22114836,22056292,22083724,22292912,22214440,22684920,22994036,22855524,23388124,23214784,23118812,22769664,23013800,22993916,22988760,23457852,23510612,23672644,23854012,23786228,23884548,23985948,23991028,24388788,24610200,24928264,24865532,25224916,24788504,25068820,24882100,24969764,25220648,25689324,25897360,26236412,26419080,26529548,27034792,26872640,27373925,27622776
 "09000","Connecticut",1,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",8659048,8763104,8997040,9185796,9167872,9452188,9745944,9838836,10083888,10263752,10427124,10722184,11190044,11486652,11443736,11571144,11272068,11387296,11512320,11749932,11965352,12300956,12654152,13050872,13374384,13787120,14227120,14368076,14441084,14719384,14680908,14711432,14673124,14467404,14449388,14629932,15102920,15262912,15519420,15559972,15889156,15837028,15845484,15717536,15542532,15415356,15463316,15661908,15616468,15995232,16275648,16199064,16384612,16215692,16126252,15893648,15854012,15857404,15839696,16090860,16226212,16356196,16507308,16447560,16453676,16531620,16525676,16786196,16986924,17238264,17146620,17406312,17035352,17229984,17100964,17134136,17396348,17716248,17924608,18196540,18416304,18550988,18951128,18832740,19080932,19245415
 "09000","Connecticut",1,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",4598568,4615912,4693524,4780952,4742228,4817592,4893092,4928892,5147032,5121564,5204376,5172436,5236164,5300288,5264520,5422032,5493704,5654236,5712496,5697360,5670636,5739012,5784836,5860100,5907236,6014680,6157240,6099320,6129908,6157196,6169188,6242888,6302900,6256524,6225236,6319852,6523388,6516036,6538440,6592704,6716376,6698772,6774952,6821552,6572304,6640936,6620408,6631004,6597972,6689688,6718388,6656460,7003512,6999092,6992560,6876016,7159788,7136512,7149064,7366992,7284400,7316448,7346704,7338668,7430872,7454328,7465352,7602592,7623276,7690000,7718912,7818604,7753152,7838836,7781136,7835628,7824300,7973076,7972752,8039872,8002776,7978560,8083664,8039900,8292993,8377361
 "09000","Connecticut",1,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",122028,122360,121032,118916,114004,111132,111684,114980,123328,130112,135872,139952,138320,140648,141764,141644,178952,177012,175172,173360,155464,155412,157076,160448,148000,151460,153744,154936,123080,122604,121580,120072,132272,132708,135692,141272,151528,157964,162436,164724,152312,152468,152604,152800,147060,146652,145712,144108,143080,140380,137404,134040,119184,119032,122256,128952,168248,175856,179788,180184,180764,179420,179596,181048,191804,193304,192964,190684,161552,159676,159628,161448,177900,181080,183496,185360,147952,148588,148828,148636,147816,148224,149440,151704,154432,156437
 "09000","Connecticut",1,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",80212616,80805388,82530716,84302424,84323364,86070752,87816560,88911992,92609324,92480068,94431728,94875920,96898340,98151032,96602680,97679476,95431060,96904004,97298616,97390460,96639224,98903604,100403912,102121828,102367532,104754356,108038212,108063496,108337348,109774612,110699136,112881980,115165692,114258044,114324640,116796736,122198780,122194828,122572060,122758148,125029388,123530016,124017044,123286876,117684176,118145256,117926264,118902492,117184068,120349924,121983632,121802580,125080156,125425236,125147412,122343800,126362896,126107460,126170632,130048808,128498608,128690792,129401068,129327144,131847060,132321212,132628184,134683892,136173272,137012796,136843812,138531748,137608540,138843272,137523984,137854140,137947852,140504000,140584436,141962672,142866248,142552420,145002872,144128312,147916576,149590320
 "09000","Connecticut",1,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",68682604,69226232,70535220,72228212,72478912,73686212,74881520,75757976,79552584,78710272,81212100,81064412,82809836,83911228,81815120,82836876,80578724,81797272,81980144,82006708,81058320,83426948,84824504,86070348,86388956,88280116,91629272,90904428,91777248,92183604,93096572,95540312,97613920,97014540,96737596,98977484,104153976,103891796,103656624,103824976,105628668,104175692,104583436,104201932,98203648,98832292,98740816,99250744,98294308,100786424,102001116,101626036,104885576,105734932,104898604,102440552,106973264,106233528,106533020,110020376,108294080,108272036,109012264,108805988,111123236,111451100,111643512,113426768,114707640,114995944,115157564,116124416,115997848,116667364,115391152,116124884,115783376,118763580,118659000,119839024,120685124,120310036,122126928,121723052,125404635,126993390
 "09000","Connecticut",1,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",21468,23204,23072,22296,19128,22212,25508,21448,20952,21104,24048,31108,17276,19304,18088,15976,17284,17716,17072,19764,18084,17700,18184,20776,21020,22132,23276,20104,19620,19596,20352,20336,23780,23776,21624,25652,20940,23880,24876,24516,21560,21244,22768,22784,23204,24292,24428,23420,20616,21860,24116,19808,19892,22124,23208,21664,23300,22908,21360,23248,22636,22180,22324,23732,24540,24836,24684,24932,24996,25004,26792,26440,25068,25992,26332,25840,24856,24872,24560,24776,24960,25280,25292,26336,25953,26208
 "09000","Connecticut",1,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",38872,39780,44732,42712,42352,40780,46256,56328,49468,47604,42460,41828,47032,46012,44680,44804,45548,43892,44668,45292,44748,47716,47472,53300,48388,50880,52516,45388,50316,49892,50516,47972,55772,55900,53288,57924,52768,51184,52796,57388,56936,59976,59656,58288,52744,50840,49452,46160,47748,48436,47944,45360,53028,45532,40648,40292,45968,42688,42532,44688,43084,43252,44396,42808,43220,47400,49584,47176,48240,50216,49568,46280,49348,48136,47984,51412,55412,48196,49176,53484,50072,49444,49772,49696,50613,52866
