GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "11000","District of Columbia",2,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",37343956,37553968,38535588,38231208,39581828,40541620,41660868,42645140,43522316,42950888,43159628,44899860,45422740,46199428,46758856,47257432,47957084,49014896,49442120,50475884,50405780,51624948,52219692,53176772,54266524,55137636,55955856,56799708,57793904,58797776,59435528,59757024,60912840,61029156,61702768,62230104,63420324,63931680,65783732,65620052,67380736,67075524,67841104,68955040,67580928,69133984,69483280,70207928,71157240,73084008,73296136,74017668,75214476,75789592,76641916,76003104,76506788,76753784,76775228,78028468,77845220,78244512,77844732,79240292,80684904,81228792,81895428,83129376,84332740,85517800,85604804,86164244,87521680,88222940,88606164,89668372,91133868,91133848,92993392,93180520,95571156,95653384,97568904,97896928,99217862,100203597
 "11000","District of Columbia",2,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",30249316,30415944,31234816,30964136,32111928,32869448,33750572,34556608,35319748,34853332,34995868,36432424,36884072,37495208,37860300,38185816,38602840,39402824,39676268,40373964,40165140,41140352,41625924,42466384,43276948,44001548,44642636,45173644,45714760,46446916,47004568,47396744,48653324,48899268,49514668,50021604,51085460,51416572,52869936,52683340,54080276,53751764,54365412,55300796,53821820,55181976,55410652,56003864,56548880,58091456,58201052,58635444,59316432,59668860,60344148,59819296,60572388,60868976,60973444,62233528,61986892,62242844,61831496,62714136,63802716,64245536,64819604,65884456,66864464,67820020,67843412,68231000,69264580,69758876,70026468,70870676,72069456,72059924,73542620,73674204,75652628,75576780,77124612,77362056,78626982,79432959
 "11000","District of Columbia",2,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",7094640,7138024,7300772,7267072,7469900,7672172,7910296,8088532,8202568,8097556,8163760,8467436,8538668,8704220,8898556,9071616,9354244,9612072,9765852,10101920,10240640,10484596,10593768,10710388,10989576,11136088,11313220,11626064,12079144,12350860,12430960,12360280,12259516,12129888,12188100,12208500,12334864,12515108,12913796,12936712,13300460,13323760,13475692,13654244,13759108,13952008,14072628,14204064,14608360,14992552,15095084,15382224,15898044,16120732,16297768,16183808,15934400,15884808,15801784,15794940,15858328,16001668,16013236,16526156,16882188,16983256,17075824,17244920,17468276,17697780,17761392,17933244,18257100,18464064,18579696,18797696,19064412,19073924,19450772,19506316,19918528,20076604,20444292,20534872,20590880,20770638
 "11000","District of Columbia",2,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",5164248,5202144,5311992,5287460,5416308,5566552,5754836,5896612,5987564,5920208,5939876,6115188,6077032,6146956,6271148,6403976,6651244,6868848,7017276,7323684,7453304,7645916,7734764,7815876,8002960,8110448,8252104,8533288,8935976,9168448,9211652,9106016,8940116,8790064,8802184,8794508,8877096,9034732,9336144,9320508,9569920,9567312,9646628,9744896,9898252,9997556,10097824,10203204,10495352,10797184,10929156,11215788,11582692,11792964,11929396,11859344,11527560,11441740,11340340,11253004,11338456,11441708,11464976,11882924,12165728,12246276,12293248,12390692,12558288,12717752,12776724,12920720,13205540,13375436,13470256,13633012,13834684,13838800,14126508,14146588,14475988,14620348,14886352,14957064,14919949,15047733
 "11000","District of Columbia",2,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",1930392,1935880,1988780,1979612,2053592,2105620,2155460,2191920,2215004,2177348,2223884,2352248,2461636,2557264,2627408,2667640,2703000,2743224,2748576,2778236,2787336,2838680,2859004,2894512,2986616,3025640,3061116,3092776,3143168,3182412,3219308,3254264,3319400,3339824,3385916,3413992,3457768,3480376,3577652,3616204,3730540,3756448,3829064,3909348,3860856,3954452,3974804,4000860,4113008,4195368,4165928,4166436,4315352,4327768,4368372,4324464,4406840,4443068,4461444,4541936,4519872,4559960,4548260,4643232,4716460,4736980,4782576,4854228,4909988,4980028,4984668,5012524,5051560,5088628,5109440,5164684,5229728,5235124,5324264,5359728,5442540,5456256,5557940,5577808,5670931,5722905
 "11000","District of Columbia",2,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",37343956,37553968,38535588,38231208,39581828,40541620,41660868,42645140,43522316,42950888,43159628,44899860,45422740,46199428,46758856,47257432,47957084,49014896,49442120,50475884,50405780,51624948,52219692,53176772,54266524,55137636,55955856,56799708,57793904,58797776,59435528,59757024,60912840,61029156,61702768,62230104,63420324,63931680,65783732,65620052,67380736,67075524,67841104,68955040,67580928,69133984,69483280,70207928,71157240,73084008,73296136,74017668,75214476,75789592,76641916,76003104,76506788,76753784,76775228,78028468,77845220,78244512,77844732,79240292,80684904,81228792,81895428,83129376,84332740,85517800,85604804,86164244,87521680,88222940,88606164,89668372,91133868,91133848,92993392,93180520,95571156,95653384,97568904,97896928,99217862,100203597
 "11000","District of Columbia",2,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",20425276,20688400,21463816,21067348,22229808,22744588,23469856,24288060,25104784,25342044,25231660,26538216,26803384,27316480,27174052,27425484,27396676,27914188,28276432,28777280,28407840,29152556,29551032,30229616,30838248,31208204,31752796,32134464,32403716,33078648,33515096,33682456,34712868,34951120,35328988,35783736,36871276,37138536,38452320,38294876,39267948,38815192,39109684,39805780,37798168,38863608,38655872,38805792,38858172,39683200,40030084,40656836,41340060,41945068,42612088,42358636,42875724,43082820,43279188,44598072,44372792,44775652,44947588,44995992,46702916,46933776,47374300,48214112,49178012,50080252,50104076,50387160,51049224,51312008,51408700,52112008,53140696,53366824,54521128,54745564,56395560,56118772,57439584,57553676,58947998,59632414
 "11000","District of Columbia",2,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",9316,9328,9328,9328,11460,11472,11476,11476,(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),8204,8256,8260,8288,4572,4624,4628,4528,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
