GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "18000","Indiana",3,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",103105904,104940828,106213396,108152156,109266584,110449076,111414372,114835708,117224876,117477128,118561520,116409112,119448400,118663264,118273616,118005244,118597788,120391448,121522984,122747860,122195248,123286400,124350224,128300548,127103020,130538892,132353180,132919104,132646660,134857216,136360800,137044848,139812080,140632268,141112348,142170932,144478508,145308912,145368664,146679108,148399036,147733272,147331820,146728160,138195372,137728936,137482632,139976016,138521376,142530924,143696292,144708116,145720660,147021280,149506084,148988908,153560248,154507296,154961632,156530384,157270028,157230812,158248376,158684088,162934320,164201356,165780724,167753804,168455264,171206300,171971080,173580488,173600304,175758788,177929976,180345808,182276524,182913972,184519936,187094736,190514800,190858144,192434096,193721800,196432865,198244521
 "18000","Indiana",3,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",85019604,86491632,87529880,89135404,90017884,90830736,91437868,94064836,95893340,95813372,96612804,94783572,97245848,96592064,96195412,95951420,96315712,97761100,98582076,99306200,98600952,99449296,100342016,103630068,102535960,105477920,106999668,107276312,106775556,108348516,109524412,110003824,112360136,112890496,113178028,114090292,116125888,116665780,116503024,117484052,118745596,118160736,118060276,117909144,111001364,111019724,110895724,112895992,111129636,114446032,115457804,116400724,117460084,118568868,120630240,119888528,123547084,124156684,124541572,126321820,127269288,127303124,127834468,127724344,130019952,131255464,132881524,134980548,136183504,138723740,139433184,140609408,140251624,141797740,143592724,145828776,147845796,148618176,150042528,152098056,154825716,154816900,156024192,156978180,159407896,160891303
 "18000","Indiana",3,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",18086300,18449196,18683516,19016752,19248700,19618340,19976504,20770872,21331536,21663756,21948716,21625540,22202552,22071200,22078204,22053824,22282076,22630348,22940908,23441660,23594296,23837104,24008208,24670480,24567060,25060972,25353512,25642792,25871104,26508700,26836388,27041024,27451944,27741772,27934320,28080640,28352620,28643132,28865640,29195056,29653440,29572536,29271544,28819016,27194008,26709212,26586908,27080024,27391740,28084892,28238488,28307392,28260576,28452412,28875844,29100380,30013164,30350612,30420060,30208564,30000740,29927688,30413908,30959744,32914368,32945892,32899200,32773256,32271760,32482560,32537896,32971080,33348680,33961048,34337252,34517032,34430728,34295796,34477408,34996680,35689084,36041244,36409904,36743620,37024969,37353218
 "18000","Indiana",3,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",11901124,12169408,12338372,12557668,12753972,13059224,13372992,13990248,14422544,14772128,14996360,14794948,15203820,15119560,15154060,15139732,15316352,15559444,15807960,16246276,16340140,16508116,16629868,17091008,16990924,17306964,17491688,17743060,17908472,18401968,18613640,18758120,19036056,19291748,19467968,19551740,19725128,19999936,20229096,20475568,20853768,20796020,20468716,20000828,18824776,18314896,18223056,18615896,18922900,19450648,19607864,19667880,19308524,19451692,19733684,20036664,20648292,20943848,20992048,20637176,20364100,20241444,20671588,21208792,23025460,22995308,22835048,22555300,22021712,22044068,22065328,22430140,22925284,23453576,23730260,23787384,23605416,23455900,23559796,23942496,24543760,24888628,25176944,25440848,25521095,25746650
 "18000","Indiana",3,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",6185176,6279788,6345144,6459084,6494728,6559116,6603512,6780624,6908992,6891628,6952356,6830592,6998732,6951640,6924144,6914092,6965724,7070904,7132948,7195384,7254156,7328988,7378340,7579472,7576136,7754008,7861824,7899732,7962632,8106732,8222748,8282904,8415888,8450024,8466352,8528900,8627492,8643196,8636544,8719488,8799672,8776516,8802828,8818188,8369232,8394316,8363852,8464128,8468840,8634244,8630624,8639512,8952052,9000720,9142160,9063716,9364872,9406764,9428012,9571388,9636640,9686244,9742320,9750952,9888908,9950584,10064152,10217956,10250048,10438492,10472568,10540940,10423396,10507472,10606992,10729648,10825312,10839896,10917612,11054184,11145324,11152616,11232960,11302772,11503874,11606568
 "18000","Indiana",3,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",265860,276648,281352,280116,271012,264604,259772,257784,255952,258156,262748,269372,282460,286228,288768,290020,272176,270800,268428,264944,300372,299420,302844,310732,332344,341268,345988,346520,325096,321412,317588,313576,291624,293632,301348,315004,347716,361908,369348,369644,332304,328656,327284,328292,365204,367292,367968,366952,401840,394780,384192,370108,353368,349976,360320,384876,407508,432580,444500,442964,445732,438884,439740,447936,488240,489652,484096,471436,393900,385336,384792,392264,395536,406816,413684,416332,470492,469400,468840,468860,532880,536312,542180,551100,561355,568641
 "18000","Indiana",3,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",102840044,104664180,105932044,107872040,108995572,110184472,111154600,114577924,116968924,117218972,118298772,116139740,119165940,118377036,117984848,117715224,118325612,120120648,121254556,122482916,121894876,122986980,124047380,127989816,126770676,130197624,132007192,132572584,132321564,134535804,136043212,136731272,139520456,140338636,140811000,141855928,144130792,144947004,144999316,146309464,148066732,147404616,147004536,146399868,137830168,137361644,137114664,139609064,138119536,142136144,143312100,144338008,145367292,146671304,149145764,148604032,153152740,154074716,154517132,156087420,156824296,156791928,157808636,158236152,162446080,163711704,165296628,167282368,168061364,170820964,171586288,173188224,173204768,175351972,177516292,179929476,181806032,182444572,184051096,186625876,189981920,190321832,191891916,193170700,195871510,197675880
 "18000","Indiana",3,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",88823240,90301588,91357912,93352564,94115448,94889840,95936576,98684304,100660464,100806420,101682260,100073840,102281976,101623920,100984196,100615936,101054880,102579532,103507232,104429036,103775884,104458260,105204800,108904344,107353324,110654372,112414240,112424472,112324032,113651600,115435144,116313384,118996448,119652108,119850848,120706112,122760864,123379464,123111948,124284624,125576084,124884584,124190844,123464724,114818640,114158112,113787156,116138784,114792488,118498892,120226856,120555624,122470404,122719620,125025676,125012192,129443100,130669008,131024704,132774512,133586772,133710924,134578684,134759072,138700884,139749876,141235648,142931300,143934720,146364028,146748512,148556780,148425464,150355976,152397028,154870808,156516584,157096976,158494648,160574376,164127680,164042256,165365996,166447180,169052083,170729815
 "18000","Indiana",3,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",69268,66464,64676,70948,70052,72788,71240,68860,63388,62680,73060,98968,63112,61424,87136,66348,65556,64280,64252,66300,67756,66840,69008,74192,82044,89352,77556,87888,78492,79960,80556,88224,98780,99764,91512,97052,96084,101128,99180,103552,79908,83624,91308,90408,92736,91996,93292,86476,91628,90808,95424,95344,90348,91844,93156,97488,102816,106080,103860,108016,103164,107252,112184,104324,152944,140352,168668,157900,150328,152000,156580,163980,182928,166236,171328,167976,162480,170160,170948,178972,179696,172476,178232,191928,203358,190106
 "18000","Indiana",3,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",384912,371468,386116,383136,373556,370584,379036,378736,386560,384116,381180,395364,365972,386000,392636,396620,385676,376884,373736,384412,380252,387040,388888,416808,395436,419028,427212,410456,410572,408136,405196,401752,438108,460920,455564,462316,465596,462564,483980,475444,455120,471684,473400,485084,432932,453492,439380,462088,456836,471248,482684,486880,494492,505088,523300,511892,564856,541796,533048,509664,575908,549420,540496,553176,573804,590200,591924,591060,555816,557408,556520,553984,517592,502676,494500,489528,500988,512360,511376,546972,535120,537292,536720,525784,582784,615941
 "18000","Indiana",3,SQINC6N,300,"22","   Utilities","Thousands of dollars",978416,972736,1001664,1021936,1067488,1007852,1021396,1041492,1029660,1040272,1053408,1051896,1188924,1224816,1288320,1304920,1251748,1296844,1240944,1238648,1244420,1199972,1210328,1253372,1258264,1330996,1296408,1293976,1260692,1274396,1346880,1419128,1398428,1557868,1488568,1505536,1421888,1460532,1535504,1497452,1607464,1592960,1589020,1627676,1699568,1585864,1582668,1604736,1556048,1651076,1764604,1714240,1702920,1778316,1711664,1686524,1600352,1636596,1696264,1669548,1723004,1724740,1749244,1762576,1861604,1800868,1765264,1777852,1808040,1780380,1801828,1864356,1797788,1892136,1917424,1936552,1887468,1836692,1852112,1866560,1879716,2036164,1942996,1980648,1981679,1987623
 "18000","Indiana",3,SQINC6N,400,"23","   Construction","Thousands of dollars",5971316,6133880,6267476,6294092,6295772,6402676,6508624,6818916,7037536,6848816,6742688,6516012,6720612,6793868,6798808,6884764,6923768,6785112,6830660,6846192,6866348,7011332,7130064,7246180,7066640,7525968,7565984,7323624,7429108,7575012,7646876,7777100,8014204,7798748,7752536,8072804,8271108,8500668,8381420,8579444,8620456,8533832,8485664,8396076,7530836,7150852,6927412,6778384,6856744,7265284,7422376,7259980,7277076,7570732,7953292,8008224,8369520,8552152,8484304,8403716,8580588,8310528,8066828,8085624,8029028,8165688,8269276,8365368,8301936,8614724,8666892,8804660,8746616,8996832,8989560,9363792,9625344,9637500,9768176,9860528,10000648,10056876,10191348,10311224,10704289,10942988
 "18000","Indiana",3,SQINC6N,500,"31-33","   Manufacturing","Thousands of dollars",31796164,32208204,31938768,32441716,33120516,32793136,33229432,34057048,34225744,34163564,34322956,33758548,33338492,32988284,32534848,32080424,32109324,33076280,33278868,33435484,32818332,33125220,32967156,35087472,33598056,34891492,35640916,35657508,35163632,35414928,35649300,36012996,36904840,36407912,36767540,36318928,36950888,36850976,36414348,36293584,36767832,36149012,35021100,34994412,30523388,29732020,29693276,30859520,30557580,31662020,32356320,31998200,33254648,32695256,33012672,33453056,34782608,35211676,35087492,35606720,35543000,35596172,35961020,35973604,37377584,37876260,38300444,38810856,39003404,40272384,39605576,39632076,39545832,39666436,40245492,40941236,41782432,41958044,42203056,42930588,44337768,43485448,43931292,44100020,44446737,44929842
 "18000","Indiana",3,SQINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",24261560,24567944,24131384,24106980,24157824,24759288,25205772,25919692,26220332,25930876,25789148,25224776,24456316,24541312,24111396,23801296,23563968,24613656,24791388,24939652,24637616,24334316,24438576,26071252,24869344,25833792,26550676,26463908,26212404,26281764,26231792,26696044,27181096,27016048,26870184,26653112,27263252,27066876,26789088,26451568,26384012,26197864,25211688,25003056,21252984,20534392,20571324,21408708,20555712,22017288,22556848,22307400,23419200,22958288,23362708,23668392,25091516,25181260,24962844,25335424,24926052,24983256,25309804,25414548,26007068,26600648,26953504,27428424,27729272,28930960,28096124,28140736,27953304,28230092,28509872,29036724,30046268,29495220,30094004,30532604,31698900,31237608,31574816,31671140,31466500,31783954
 "18000","Indiana",3,SQINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",7534604,7640260,7807384,8334736,8962692,8033848,8023660,8137356,8005412,8232688,8533808,8533772,8882176,8446972,8423452,8279128,8545356,8462624,8487480,8495832,8180716,8790904,8528580,9016220,8728712,9057700,9090240,9193600,8951228,9133164,9417508,9316952,9723744,9391864,9897356,9665816,9687636,9784100,9625260,9842016,10383820,9951148,9809412,9991356,9270404,9197628,9121952,9450812,10001868,9644732,9799472,9690800,9835448,9736968,9649964,9784664,9691092,10030416,10124648,10271296,10616948,10612916,10651216,10559056,11370516,11275612,11346940,11382432,11274132,11341424,11509452,11491340,11592528,11436344,11735620,11904512,11736164,12462824,12109052,12397984,12638868,12247840,12356476,12428880,12980237,13145888
 "18000","Indiana",3,SQINC6N,600,"42","   Wholesale trade","Thousands of dollars",5286884,5326964,5523840,5508628,5469808,5575108,5577832,5762792,5913072,5924156,6044948,6046476,6271384,6280148,6191188,6144228,6203064,6252724,6256680,6238272,6233492,6215892,6319284,6384132,6398176,6593400,6680624,6791708,6895484,6941212,7073548,7161220,7374228,7473000,7453492,7558480,7674044,7785000,7854424,8073956,7977868,8017076,8062184,7914660,7408280,7243368,7131048,7147884,7177232,7370316,7542292,7521780,7677468,7711492,7832648,7786992,8052676,8038724,8047172,8175276,8243896,8268144,8198732,8334832,8599236,8642308,8825948,8873572,9003252,9068948,9094320,9087432,9002012,9137308,9147668,9524464,9485112,9512264,9561952,9631232,9906596,9757544,9822776,9779020,10020935,10178358
 "18000","Indiana",3,SQINC6N,700,"44-45","   Retail trade","Thousands of dollars",7772656,7854800,7926732,8101988,8111740,8349492,8390200,8539384,8899504,8817340,8863892,8559572,8686984,8469624,8406440,8443836,8538376,8631032,8680052,8757380,8800460,8828484,8892672,9059264,8886152,8960684,9163752,9120924,9149924,9162304,9231936,9261980,9368976,9419892,9332380,9426788,9531256,9531988,9353104,9510724,9511300,9481640,9377324,9201328,8916948,8925716,8889408,8985588,8756104,9260916,9068732,9026552,9172948,9174960,9410780,9309528,9646688,9477928,9511188,9714096,9808736,9851036,9873668,9832888,10033576,10166168,10242104,10403980,10287084,10356300,10609964,10708364,10745760,10823964,10954324,11075848,10971876,11004204,10920340,11036744,11227160,11342732,11276224,11356424,11475034,11486236
 "18000","Indiana",3,SQINC6N,800,"48-49","   Transportation and warehousing","Thousands of dollars",4104860,4165752,4292756,4512428,4440456,4608368,4704068,4810752,4827896,4858960,4839680,4790796,4901332,4860940,4813724,4703116,4703040,4783468,4814324,4913504,4862408,4891672,4789112,4989564,4965056,5128768,5254180,5371960,5340632,5417856,5638148,5637168,5752148,5757660,5828116,5870164,6102784,6176288,6091828,6146356,6142436,6139196,6071444,5995200,5702268,5633600,5623336,5782820,5636852,5816644,5907056,6074112,6065740,6125804,6281164,6178488,6481056,6542732,6557924,6538924,6635300,6676080,6738696,6799572,6845072,6990776,7107300,7221388,7279500,7393344,7530800,7733724,7598720,7788284,7988624,8012980,8150868,8218380,8257472,8471592,8529156,8730708,8837332,8980272,9062772,9031651
 "18000","Indiana",3,SQINC6N,900,"51","   Information","Thousands of dollars",1780544,1801328,1796788,1811192,1802316,1851212,1822872,1904228,1953240,1913172,2082492,2017268,2139908,2125168,2128496,2142140,2033736,2088716,2108392,2165408,2091484,2150636,2242636,2261812,2375892,2343036,2284012,2323124,2289092,2286104,2349928,2308356,2317964,2338092,2338864,2366324,2469004,2497572,2484856,2474508,2477464,2471560,2493060,2475948,2398456,2519096,2425748,2400692,2292856,2275668,2320868,2371784,2289080,2271900,2354468,2274280,2501316,2528048,2493596,2496020,2527420,2523440,2563472,2509844,2634300,2665336,2653776,2649308,2526188,2524888,2474720,2421244,2381668,2416284,2434480,2412616,2399216,2369416,2376224,2382396,2306880,2305192,2239496,2288444,2278972,2285506
 "18000","Indiana",3,SQINC6N,1000,"52","   Finance and insurance","Thousands of dollars",4840580,4901264,5012824,5151216,5210716,5064960,5178448,5531572,5382124,5705308,5668768,5286692,6052112,6156996,6073660,6044564,5918480,5748256,6018776,6028636,5971872,5958680,6133984,6144708,6115260,6408476,6180552,6404720,6278744,6366056,6544072,6535152,6656012,6809060,6836812,6821676,6736896,6868636,6859896,7047540,7032148,6924892,6987600,6744752,6100496,6485348,6485108,6662440,6419876,6575452,6739132,6995844,7018648,7022772,7150720,7037408,7048828,7379868,7327992,7781304,7331356,7490404,7511968,7522364,8041908,7817348,7903544,8021564,8254260,8312072,8311104,8563112,8394976,8524060,8757452,8849752,8751912,9016736,9115808,9300864,9650592,9487332,9646216,9411564,9802453,10083367
 "18000","Indiana",3,SQINC6N,1100,"53","   Real estate and rental and leasing","Thousands of dollars",922832,935116,969976,1053260,1045948,1061644,1066232,1090324,1114312,1130400,1148492,1131144,1139996,1153056,1160416,1180220,1185416,1217072,1222084,1229500,1226424,1189928,1222552,1220856,1249880,1290192,1317712,1337144,1336360,1362676,1381800,1381592,1392164,1409180,1432512,1459056,1458492,1452952,1449144,1449300,1443160,1444352,1425452,1418832,1363960,1392168,1386180,1399056,1341420,1375120,1390672,1410996,1394972,1393848,1422568,1425948,1476044,1502216,1496944,1515312,1545152,1530884,1532200,1526412,1691360,1587548,1639756,1673200,1687840,1713224,1743048,1792604,1796376,1824944,1841848,1841036,1843172,1889376,1903980,1929676,1990648,1999180,2043816,2078192,2077746,2105143
