GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "21000","Kentucky",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",57296224,58397460,59339704,60301536,61332804,62365204,62949444,64607036,65762272,66079804,67116684,67416000,68455676,68881904,69412132,69300580,69698212,70791600,71273712,72042072,72358736,73135204,74212440,75452784,75988024,76726196,78393460,79350752,79909680,81320380,82413776,82740188,84115604,84577944,85122372,86208332,87757084,88864348,88833080,90262240,91169564,91860868,91403632,91479148,87898828,88097392,88584640,89921884,89319376,91586644,92866004,92896348,93284324,94193260,95504256,95616808,97439828,98045584,98037612,98592280,99161208,99019408,99011344,99112320,101034528,101974004,102593648,103892924,104889112,106772452,107498816,108726044,107597684,108469792,110407984,111062416,111889704,112525660,113475280,114797384,115827664,116419584,117134312,118134808,120052484,121128603
 "21000","Kentucky",5,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",46872408,47746328,48504272,49256800,50067736,50831436,51199964,52495660,53429948,53546528,54323236,54484076,55268260,55521208,55806788,55624704,55804908,56615844,56883728,57300248,57361592,57935148,58784768,59815168,60125768,60759112,62068252,62648412,62795168,63799120,64705504,65041176,66458232,66931640,67425072,68418452,69826540,70620248,70419944,71460916,72037336,72506940,72280136,72585800,69723304,70127252,70475548,71331144,70099888,71773068,72739732,72886872,73369220,74225048,75331432,75203896,76648500,76983600,76948320,77652916,78202116,78188260,78247864,78480808,80298680,81136224,81687840,82803348,83588004,85141872,85782784,86879432,86142776,86936620,88565596,89006952,89533132,89866376,90516692,91525248,92411224,92788912,93375912,94145084,95852347,96721156
 "21000","Kentucky",5,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",10423816,10651132,10835432,11044736,11265068,11533768,11749480,12111376,12332324,12533276,12793448,12931924,13187416,13360696,13605344,13675876,13893304,14175756,14389984,14741824,14997144,15200056,15427672,15637616,15862256,15967084,16325208,16702340,17114512,17521260,17708272,17699012,17657372,17646304,17697300,17789880,17930544,18244100,18413136,18801324,19132228,19353928,19123496,18893348,18175524,17970140,18109092,18590740,19219488,19813576,20126272,20009476,19915104,19968212,20172824,20412912,20791328,21061984,21089292,20939364,20959092,20831148,20763480,20631512,20735848,20837780,20905808,21089576,21301108,21630580,21716032,21846612,21454908,21533172,21842388,22055464,22356572,22659284,22958588,23272136,23416440,23630672,23758400,23989724,24200137,24407447
 "21000","Kentucky",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",6661080,6818292,6930144,7061152,7196004,7391540,7584680,7879252,8081752,8328148,8563844,8714408,8925456,9094692,9317916,9381032,9543272,9751592,9947868,10285060,10518004,10701016,10897412,11061288,11229404,11320476,11598780,11945452,12316028,12653084,12774660,12741148,12621368,12579860,12606188,12635592,12701968,12970132,13140388,13426860,13692976,13853568,13603356,13331012,12800468,12548064,12641888,13044800,13629388,14121564,14407552,14341252,14104024,14144920,14281348,14548192,14762248,14984452,15019100,14816676,14820352,14679048,14597108,14429772,14392732,14445832,14475000,14557704,14731612,14920904,14956696,15005680,14734780,14762328,14970776,15163280,15451616,15761856,16033116,16300012,16471416,16682064,16779760,16968624,17027139,17172252
 "21000","Kentucky",5,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",3762736,3832840,3905288,3983584,4069064,4142228,4164800,4232124,4250572,4205128,4229604,4217516,4261960,4266004,4287428,4294844,4350032,4424164,4442116,4456764,4479140,4499040,4530260,4576328,4632852,4646608,4726428,4756888,4798484,4868176,4933612,4957864,5036004,5066444,5091112,5154288,5228576,5273968,5272748,5374464,5439252,5500360,5520140,5562336,5375056,5422076,5467204,5545940,5590100,5692012,5718720,5668224,5811080,5823292,5891476,5864720,6029080,6077532,6070192,6122688,6138740,6152100,6166372,6201740,6343116,6391948,6430808,6531872,6569496,6709676,6759336,6840932,6720128,6770844,6871612,6892184,6904956,6897428,6925472,6972124,6945024,6948608,6978640,7021100,7172998,7235195
 "21000","Kentucky",5,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",206888,213564,219064,222740,229188,232024,231964,229708,216984,211800,214136,223220,261732,264684,266308,266560,329936,327780,325288,322300,352304,352368,356572,364932,336964,345476,351076,353920,280608,278940,275684,270932,296144,295932,302044,314752,338148,353076,363048,367572,338804,338048,337232,336556,322620,321172,319220,316452,315416,309068,300432,289500,252812,250528,257828,275116,343340,364524,375676,376548,374672,369056,366688,367148,372304,376036,376960,374748,330732,328356,328768,332028,364220,370356,376332,382556,365808,369140,369700,367492,372480,370820,372084,376784,383659,388638
 "21000","Kentucky",5,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",57089336,58183896,59120640,60078796,61103616,62133180,62717480,64377328,65545288,65868004,66902548,67192780,68193944,68617220,69145824,69034020,69368276,70463820,70948424,71719772,72006432,72782836,73855868,75087852,75651060,76380720,78042384,78996832,79629072,81041440,82138092,82469256,83819460,84282012,84820328,85893580,87418936,88511272,88470032,89894668,90830760,91522820,91066400,91142592,87576208,87776220,88265420,89605432,89003960,91277576,92565572,92606848,93031512,93942732,95246428,95341692,97096488,97681060,97661936,98215732,98786536,98650352,98644656,98745172,100662224,101597968,102216688,103518176,104558380,106444096,107170048,108394016,107233464,108099436,110031652,110679860,111523896,112156520,113105580,114429892,115455184,116048764,116762228,117758024,119668825,120739965
 "21000","Kentucky",5,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",46145744,47074152,47952580,48672460,49477172,50281600,50685344,52161268,53328312,53323204,54117616,54363920,55202296,55357324,55403992,55322656,55455484,56429804,56601668,57312112,57318656,57816944,58756844,59894464,60050776,60732180,62269636,62856628,63044492,64022420,64926420,64713776,65883352,65990384,66094748,66986004,68542596,69328340,68751740,69699476,70093196,70444032,70015196,70147276,66885168,66968096,67544820,68328632,66728432,68451256,69664680,69890140,70375552,71145296,72581740,72797072,74541212,75145100,75105208,75652116,75995240,75823316,75884040,76066480,77993496,79044768,79691424,81148312,81900676,83874380,84558236,85872876,84733500,85691320,87661472,88218472,89170276,89593940,90437940,91525376,92612556,92936520,93656992,94504176,96392833,97338133
 "21000","Kentucky",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",167500,169868,177800,184608,178760,197196,184372,195016,180904,188884,208396,265580,201476,216768,190584,193084,191004,194740,188948,194384,194244,189756,199300,201116,213812,221876,222092,219996,214056,210784,205200,214220,254420,234928,237092,227756,226960,234640,233928,237968,233544,235432,236848,259840,245720,252644,260892,240744,245120,245420,249632,236756,239312,236544,241600,246216,255432,256240,245100,254640,257484,247432,246680,253756,256244,261288,268304,276520,267296,277804,280948,311012,298168,295068,292532,300836,301940,293028,305556,310660,312508,322428,320916,326404,346932,335370
 "21000","Kentucky",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1088448,1070212,1079744,1087456,1055432,1030440,1010772,1006140,985148,970852,972476,952212,1010216,1094400,1149856,1176800,1121528,1070012,1045036,1053052,1038960,1045204,1061940,1111384,1083432,1148664,1193752,1231704,1237828,1306760,1370536,1405580,1505788,1580524,1550016,1516088,1506684,1458548,1486948,1520684,1571300,1698116,1839608,1966848,1880572,1819512,1714708,1666116,1626880,1817004,1810592,1813892,1769504,1889096,1935840,1895636,1827700,1719224,1564212,1506384,1472976,1452032,1407564,1343844,1359636,1344096,1327992,1324192,1235908,1182288,1111456,1059620,857120,795976,833456,849448,880696,882224,880168,873448,872776,904552,915072,896308,959036,1005155
 "21000","Kentucky",5,SQINC6N,300,"22","   Utilities","Thousands of dollars",487624,494412,528132,544168,498152,504788,501032,480792,542344,552116,548588,635288,623536,602220,610264,581676,565692,550772,527684,542048,513556,507296,504316,527448,498176,558888,530388,536176,519916,531080,561444,568572,588312,613320,594792,589468,577668,596640,616816,602636,598864,612336,618556,623196,706336,609936,618144,620360,588328,627888,685244,679856,669476,703280,699672,694068,655712,676628,683352,677728,675236,704368,692844,713920,740284,739272,727296,736452,729412,746324,753988,772240,767904,802500,799196,800568,802764,785776,825972,823880,834792,840356,858472,891668,857515,860028
