GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "38000","North Dakota",4,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",9223320,9265116,9322448,9394564,9464404,9636216,9680392,9928776,10187340,10127660,10323604,10259164,10609892,10765276,10856180,10971180,11012048,11198372,11305976,11456768,11588572,11700048,11997040,12119928,12399980,12635880,12799364,12959100,13101872,13267592,13423092,13658136,13944432,14271804,14268296,14598088,14843788,15091616,15312180,15738108,16074564,16271344,16639008,16846956,16604592,16785824,17135164,17218348,17589296,18157292,18515684,18947072,19828440,20355848,21242384,22129336,23393588,24390844,24592644,25082236,25403472,26048764,26650204,27061288,28014352,28840164,29506264,30128776,29899140,28752784,28194452,27680056,27055988,26760384,26951676,26976208,27157328,27741308,27444600,27656948,28200524,28663020,28934168,29067904,29749639,30110315
 "38000","North Dakota",4,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",7562252,7599692,7654264,7727568,7799576,7944840,7968040,8161612,8357732,8281684,8432860,8366116,8642708,8758668,8819608,8908888,8934220,9083080,9160296,9260604,9343064,9429664,9673128,9787128,10005184,10215620,10364080,10488112,10584284,10715308,10842052,11019904,11255824,11507740,11496404,11775504,12011336,12217628,12397500,12770204,13075992,13240512,13540664,13687584,13378832,13499772,13767288,13844316,14107820,14618664,14933000,15307116,16016208,16482088,17284808,18080400,19285264,20198436,20393780,20824064,21031704,21516220,21961480,22274732,23036304,23754572,24321636,24856556,24636616,23599688,23034840,22491340,21832872,21510152,21631272,21642304,21829960,22337248,22106148,22290780,22768376,23138032,23365680,23477240,24071639,24373071
 "38000","North Dakota",4,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",1661068,1665424,1668184,1666996,1664828,1691376,1712352,1767164,1829608,1845976,1890744,1893048,1967184,2006608,2036572,2062292,2077828,2115292,2145680,2196164,2245508,2270384,2323912,2332800,2394796,2420260,2435284,2470988,2517588,2552284,2581040,2638232,2688608,2764064,2771892,2822584,2832452,2873988,2914680,2967904,2998572,3030832,3098344,3159372,3225760,3286052,3367876,3374032,3481476,3538628,3582684,3639956,3812232,3873760,3957576,4048936,4108324,4192408,4198864,4258172,4371768,4532544,4688724,4786556,4978048,5085592,5184628,5272220,5262524,5153096,5159612,5188716,5223116,5250232,5320404,5333904,5327368,5404060,5338452,5366168,5432148,5524988,5568488,5590664,5678000,5737244
 "38000","North Dakota",4,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",897772,901996,904788,905964,904448,922764,939868,973248,1007808,1030404,1066960,1087716,1156424,1200696,1232380,1249756,1254464,1273548,1294640,1336392,1371332,1390700,1426284,1432812,1472000,1484888,1493784,1523848,1560388,1589336,1613008,1662508,1703936,1767724,1788312,1826976,1833928,1874532,1913720,1951504,1979232,1999456,2024340,2039188,2072780,2090216,2143556,2173848,2287844,2339904,2373888,2388268,2421952,2429636,2453868,2523368,2559572,2630984,2651368,2668328,2734688,2821796,2912680,2965632,3073776,3130592,3181000,3217416,3224436,3178688,3216104,3279500,3374996,3417408,3459288,3450760,3397416,3412344,3370508,3402112,3488220,3583244,3630872,3656452,3690166,3724985
 "38000","North Dakota",4,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",763296,763428,763396,761032,760380,768612,772484,793916,821800,815572,823784,805332,810760,805912,804192,812536,823364,841744,851040,859772,874176,879684,897628,899988,922796,935372,941500,947140,957200,962948,968032,975724,984672,996340,983580,995608,998524,999456,1000960,1016400,1019340,1031376,1074004,1120184,1152980,1195836,1224320,1200184,1193632,1198724,1208796,1251688,1390280,1444124,1503708,1525568,1548752,1561424,1547496,1589844,1637080,1710748,1776044,1820924,1904272,1955000,2003628,2054804,2038088,1974408,1943508,1909216,1848120,1832824,1861116,1883144,1929952,1991716,1967944,1964056,1943928,1941744,1937616,1934212,1987834,2012259
 "38000","North Dakota",4,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",133288,138796,140612,139136,133924,129272,127800,129488,134768,140516,146512,152120,158764,161088,162732,163688,150208,149580,148216,146104,116788,116020,116808,119168,164036,168088,170888,172480,168648,167808,165824,162704,157692,157124,159900,166172,224944,233972,239380,240952,261204,259472,258396,258044,193696,193636,193436,192940,201144,198512,194280,188464,209924,208468,214056,226692,294112,311044,322096,327436,301548,302736,305752,310472,354508,357616,357776,354644,220144,217432,216272,216596,220492,221196,221020,220264,242808,242660,243632,245736,237440,241044,245092,249832,254525,257828
 "38000","North Dakota",4,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",9090032,9126320,9181836,9255428,9330480,9506944,9552592,9799288,10052572,9987144,10177092,10107044,10451128,10604188,10693448,10807492,10861840,11048792,11157760,11310664,11471784,11584028,11880232,12000760,12235944,12467792,12628476,12786620,12933224,13099784,13257268,13495432,13786740,14114680,14108396,14431916,14618844,14857644,15072800,15497156,15813360,16011872,16380612,16588912,16410896,16592188,16941728,17025408,17388152,17958780,18321404,18758608,19618516,20147380,21028328,21902644,23099476,24079800,24270548,24754800,25101924,25746028,26344452,26750816,27659844,28482548,29148488,29774132,29678996,28535352,27978180,27463460,26835496,26539188,26730656,26755944,26914520,27498648,27200968,27411212,27963084,28421976,28689076,28818072,29495114,29852487
 "38000","North Dakota",4,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",6857844,6900116,6945644,7005660,7068348,7219868,7238908,7444664,7648340,7568012,7762884,7676232,7931704,8031188,8047252,8115092,8133776,8250188,8289532,8392924,8503292,8554696,8798436,8903296,9052356,9263740,9437532,9550400,9593280,9767948,9948856,10099076,10363288,10643732,10603640,10887228,11076940,11265796,11423232,11806084,12092236,12248420,12582264,12723968,12468352,12545660,12838992,12902888,13064996,13622456,13937600,14403740,15149012,15683700,16604044,17399364,18601216,19529040,19707608,20146732,20430400,21002640,21559492,21916580,22743524,23526516,24109544,24667300,24436584,23247748,22617276,22108636,21352996,21092612,21282516,21213396,21343468,21941396,21648864,21820728,22374520,22753468,22969720,23101208,23758014,24097785
 "38000","North Dakota",4,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",30956,31992,31660,31924,32000,33684,32844,32780,37416,35352,42720,56396,31392,31024,29872,31716,32292,29424,32108,30796,30276,31824,33856,34088,37912,38384,38044,39540,38820,40748,37936,41212,46428,41656,41280,40016,40228,43200,45228,45980,47004,51124,52960,54336,57148,62840,65084,68552,65572,65528,71532,69424,71920,70520,75624,80484,82660,83156,81416,87748,82208,85468,87796,90088,89596,93044,93216,94712,95720,91756,100276,102200,106472,108288,103808,103860,111820,104868,106928,106644,110772,109188,111780,110852,113339,113415
 "38000","North Dakota",4,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",178136,177080,174736,162528,169364,161996,159792,169788,169388,177772,179488,186612,203956,207080,208788,209144,175460,185580,184040,189992,186384,200952,202256,209380,212252,218992,227108,233824,239824,258552,286672,298412,323876,342936,366576,374400,384256,397168,402704,438256,481268,543464,609896,692780,620228,549676,561996,615840,716588,886524,1047280,1200132,1327680,1525680,1745724,2036984,2341600,2742136,2721884,2626032,2705700,2820676,2890128,2974744,3150396,3437184,3544248,3704304,3227564,2735496,2409424,2215284,1850736,1632320,1663628,1726428,1937196,2118496,2240164,2305240,2459288,2566484,2652580,2636860,2771772,2850814
