GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "91000","New England",1,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",285553412,293036176,299475044,304220352,306898236,312487760,321285288,328135968,344968808,343879216,353532264,356131580,363175408,361117544,358205648,358996932,356707560,360922492,361507396,361889268,361287380,365416636,372292992,379474560,381243268,390537208,399139452,396507744,399625952,403071140,408294452,413644192,421433368,423590568,425225592,434979488,447253776,449410132,451358264,456130164,463508112,462140440,460914796,462072736,440780884,443787012,445439088,449235612,444249476,456341144,464124424,464250480,470145044,479428752,477121740,472861888,484226236,486897792,488182980,499966832,497771124,501660680,503207532,506360348,515770652,518218144,523144664,536318512,539859256,548416252,549591616,558617544,553129888,559411388,565204224,565388604,571358332,579797328,587461028,592811968,603143408,603926096,609326852,611854292,631223108,635355420
 "91000","New England",1,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",237776668,243995148,249407984,253429452,255878352,260406304,267651460,273528812,288101460,286620460,294935820,296818332,302261328,300105484,297024616,297219440,294508480,297775280,297916372,297673672,296564892,300031696,305573964,311123512,311424960,318847068,325712440,323190848,325085984,327823240,332444212,337118412,344577940,346345596,347738112,356204404,366938652,368295724,369440532,373308768,379387604,377936700,376892104,377736224,358498396,361225156,362316028,365188528,359705832,369820656,376192952,376293620,380783484,388584168,386862160,382842152,393376840,395649660,396573608,407170932,404460044,407520556,408686220,411999372,421639152,423703580,427778776,438766320,441345564,448305464,449118144,456822816,453069548,458489880,463577292,463605696,468162008,474812464,480913788,485106828,493891672,493936488,498280944,500275148,517202200,520596265
 "91000","New England",1,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",47776744,49041028,50067060,50790900,51019884,52081456,53633828,54607156,56867348,57258756,58596444,59313248,60914080,61012060,61181032,61777492,62199080,63147212,63591024,64215596,64722488,65384940,66719028,68351048,69818308,71690140,73427012,73316896,74539968,75247900,75850240,76525780,76855428,77244972,77487480,78775084,80315124,81114408,81917732,82821396,84120508,84203740,84022692,84336512,82282488,82561856,83123060,84047084,84543644,86520488,87931472,87956860,89361560,90844584,90259580,90019736,90849396,91248132,91609372,92795900,93311080,94140124,94521312,94360976,94131500,94514564,95365888,97552192,98513692,100110788,100473472,101794728,100060340,100921508,101626932,101782908,103196324,104984864,106547240,107705140,109251736,109989608,111045908,111579144,114020908,114759155
 "91000","New England",1,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",30871468,31740348,32443880,32939580,33127588,33935416,35034064,35756828,37079104,37607644,38411368,38989208,40238252,40431552,40745500,41213668,41555364,42255728,42721512,43437904,43959668,44443964,45411660,46539136,47517744,48761408,49950604,49995300,50965696,51558528,51926016,52415432,52457956,52839796,53108928,53995524,55018788,55811876,56554640,57148228,58113716,58179700,57901328,57922992,56817944,56743168,57196280,58015860,58485444,60038920,61228876,61492404,61882896,63002400,62525196,62518072,62483688,62759184,63137092,63670656,64463496,65030452,65369296,65013008,64342716,64669676,65360908,66890984,68085552,69247008,69580952,70390636,68950316,69423024,69741564,69801724,70921972,72286012,73441216,74314700,75669264,76383984,77194692,77609468,78785919,79306576
 "91000","New England",1,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",16905276,17300680,17623180,17851320,17892296,18146040,18599764,18850328,19788244,19651112,20185076,20324040,20675828,20580508,20435532,20563824,20643716,20891484,20869512,20777692,20762820,20940976,21307368,21811912,22300564,22928732,23476408,23321596,23574272,23689372,23924224,24110348,24397472,24405176,24378552,24779560,25296336,25302532,25363092,25673168,26006792,26024040,26121364,26413520,25464544,25818688,25926780,26031224,26058200,26481568,26702596,26464456,27478664,27842184,27734384,27501664,28365708,28488948,28472280,29125244,28847584,29109672,29152016,29347968,29788784,29844888,30004980,30661208,30428140,30863780,30892520,31404092,31110024,31498484,31885368,31981184,32274352,32698852,33106024,33390440,33582472,33605624,33851216,33969676,35234989,35452579
 "91000","New England",1,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",409660,411160,407788,401868,379728,371480,373016,382236,411632,431000,447880,460436,453268,460868,464572,464212,581096,574852,568876,562900,507732,507448,512728,523616,485880,497216,504884,509064,407360,405864,402476,397272,440140,441324,451072,469636,507348,528936,543812,551276,509412,509656,509792,510204,490692,489408,486848,482500,480472,471340,459968,446116,393224,391088,401612,425312,607568,639056,655624,657288,657508,651240,650980,655744,694640,699896,698324,689488,583572,576520,576420,583316,643548,655756,665164,672436,548888,551488,552448,551744,548592,550012,554492,562876,573032,580471
 "91000","New England",1,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",285143752,292625016,299067256,303818484,306518508,312116280,320912272,327753732,344557176,343448216,353084384,355671144,362722140,360656676,357741076,358532720,356126464,360347640,360938520,361326368,360779648,364909188,371780264,378950944,380757388,390039992,398634568,395998680,399218592,402665276,407891976,413246920,420993228,423149244,424774520,434509852,446746428,448881196,450814452,455578888,462998700,461630784,460405004,461562532,440290192,443297604,444952240,448753112,443769004,455869804,463664456,463804364,469751820,479037664,476720128,472436576,483618668,486258736,487527356,499309544,497113616,501009440,502556552,505704604,515076012,517518248,522446340,535629024,539275684,547839732,549015196,558034228,552486340,558755632,564539060,564716168,570809444,579245840,586908580,592260224,602594816,603376084,608772360,611291416,630650076,634774949
 "91000","New England",1,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",242829904,249715956,255354436,259438908,261951276,266361748,274356976,280184260,296496496,294141856,304162920,306490040,311772140,309342336,304993668,305775704,302453204,305848744,305750724,305995672,304128472,308197020,314625348,320592236,321893664,329792976,337946116,334948000,337827512,340136216,344794556,349323368,356880092,358282920,358967484,367975396,379526520,380713532,381808364,386126096,392239732,390782064,389199692,389645136,368906844,371058320,372791884,375228004,371483144,381467656,389244664,388738828,395098296,403786424,401139500,397660404,408200740,410743864,411057396,422679392,418829716,422415044,423597844,426296940,434356908,436367672,440094512,452973580,455620860,463630008,464009000,471819692,467888096,472802152,478644636,478669172,484394804,492413516,499860344,504228500,514263256,513956664,517981108,520508888,539480585,543090337
 "91000","New England",1,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",312144,318852,319932,327020,341412,354968,369996,369828,338056,352568,394452,513468,(D),(D),(D),(D),(D),(D),(D),(D),459312,448928,468428,493424,508244,557276,536388,614524,584568,568304,598992,565280,596208,609448,615948,604688,570800,640028,620940,644872,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",162712,170604,172552,169452,175236,173500,178488,199172,187096,182844,179912,179928,(D),(D),(D),(D),(D),(D),(D),(D),218356,224324,234032,252860,237732,249236,257532,246772,251548,254496,250004,251740,282116,283284,277096,280068,277712,274004,271440,270500,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
