GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "34000","New Jersey",2,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",177354004,180270172,184636312,186033912,188795424,189765780,191755368,195541696,203110392,208104852,210409596,216104944,210813656,214081816,213741372,218136520,219683904,219309460,219274344,221020404,220935208,225663752,228841572,231091224,230849904,234827160,240232740,242706844,243018360,245789432,250258640,251302624,253795192,257794304,257577804,262677156,266419628,269189136,268322140,271707212,275180256,272579124,272921560,274697696,262451624,264656776,266705772,267853232,266343668,267635196,268974444,268547768,270815980,272828088,275002708,272887200,280334732,278414240,281387788,284059532,287625504,288599540,288315900,291989560,295621440,296231464,297408588,301057876,304980696,306663904,308248876,308822300,309531344,310397444,313876224,316832136,317515740,322553668,326392852,327618504,332937444,334291344,337376232,336940276,344104298,348300985
 "34000","New Jersey",2,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",146817820,149181480,152935380,154208036,156717576,157607484,159252908,162631632,169184040,173242016,175117608,179672840,174951808,177228396,176494972,179493124,180205748,179623944,179259496,180325128,179837040,183836752,186397988,188312300,187526440,190811876,195058868,196603320,196112644,198224596,202031064,203304828,206525528,210201164,210325748,214681944,217951000,219987588,219195756,222304756,225607400,223363680,223494928,224420924,212619164,214153120,215609012,216698940,215074116,216847260,218342992,218150936,219914260,221485552,223286012,221136024,227616828,225844708,228021556,230570588,233190952,233742432,233044548,235829260,238309568,239070152,240505256,244274368,248360716,250359448,252115216,253134284,254023060,255026136,257914628,260307236,260781100,264685036,267930668,268797288,273556224,274526656,277088040,276621820,282932701,286469142
 "34000","New Jersey",2,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",30536184,31088692,31700932,31825876,32077848,32158296,32502460,32910064,33926352,34862836,35291988,36432104,35861848,36853420,37246400,38643396,39478156,39685516,40014848,40695276,41098168,41827000,42443584,42778924,43323464,44015284,45173872,46103524,46905716,47564836,48227576,47997796,47269664,47593140,47252056,47995212,48468628,49201548,49126384,49402456,49572856,49215444,49426632,50276772,49832460,50503656,51096760,51154292,51269552,50787936,50631452,50396832,50901720,51342536,51716696,51751176,52717904,52569532,53366232,53488944,54434552,54857108,55271352,56160300,57311872,57161312,56903332,56783508,56619980,56304456,56133660,55688016,55508284,55371308,55961596,56524900,56734640,57868632,58462184,58821216,59381220,59764688,60288192,60318456,61171597,61831843
 "34000","New Jersey",2,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",19568088,19960604,20311576,20362024,20454236,20524568,20816216,21054548,21671796,22379408,22632764,23362296,23008196,23744900,24142228,25302124,26053588,26348244,26790284,27517184,27931232,28485500,29014180,29264644,29676160,30165504,31024756,31853764,32549492,33077516,33533152,33318308,32590592,32747696,32405780,32736484,32841132,33314132,33169040,33171000,33162968,32947316,33100788,33824308,34079292,34552892,35027656,35044676,34967440,34443704,34275620,34147436,34095060,34431712,34696408,34899428,35293568,35290448,35938944,35828868,36585096,36892520,37330272,38024800,39124736,38938596,38588856,38211016,37891544,37410392,37171740,36741908,36678656,36548064,36965784,37345952,37506872,38403036,38810368,39168392,39695256,40098996,40527460,40623020,40978222,41402934
 "34000","New Jersey",2,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",10968096,11128088,11389356,11463852,11623612,11633728,11686244,11855516,12254556,12483428,12659224,13069808,12853652,13108520,13104172,13341272,13424568,13337272,13224564,13178092,13166936,13341500,13429404,13514280,13647304,13849780,14149116,14249760,14356224,14487320,14694424,14679488,14679072,14845444,14846276,15258728,15627496,15887416,15957344,16231456,16409888,16268128,16325844,16452464,15753168,15950764,16069104,16109616,16302112,16344232,16355832,16249396,16806660,16910824,17020288,16851748,17424336,17279084,17427288,17660076,17849456,17964588,17941080,18135500,18187136,18222716,18314476,18572492,18728436,18894064,18961920,18946108,18829628,18823244,18995812,19178948,19227768,19465596,19651816,19652824,19685964,19665692,19760732,19695436,20193375,20428909
 "34000","New Jersey",2,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",177160,177692,175832,172816,165756,161740,162832,168048,180900,191312,200012,206088,203528,206824,208416,208260,263412,260396,257268,253860,232744,232152,234516,239876,227832,233732,237724,239928,195960,195472,194232,192328,218384,219700,225072,234652,258840,269844,277336,280912,259284,259232,259312,259680,250052,249664,248528,246400,245540,241084,235684,229112,202736,202200,208256,221164,262392,276304,283308,283292,282284,278904,278524,280724,298648,301120,300904,297784,252776,250436,251028,254648,281520,286948,290588,292752,280652,280868,280544,279668,277792,278372,280512,284692,289811,293573
 "34000","New Jersey",2,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",177176844,180092480,184460480,185861096,188629668,189604040,191592536,195373648,202929492,207913540,210209584,215898856,210610128,213874992,213532956,217928260,219420492,219049064,219017076,220766544,220702464,225431600,228607056,230851348,230622072,234593428,239995016,242466916,242822400,245593960,250064408,251110296,253576808,257574604,257352732,262442504,266160788,268919292,268044804,271426300,274920972,272319892,272662248,274438016,262201572,264407112,266457244,267606832,266098128,267394112,268738760,268318656,270613244,272625888,274794452,272666036,280072340,278137936,281104480,283776240,287343220,288320636,288037376,291708836,295322792,295930344,297107684,300760092,304727920,306413468,307997848,308567652,309249824,310110496,313585636,316539384,317235088,322272800,326112308,327338836,332659652,334012972,337095720,336655584,343814487,348007412
 "34000","New Jersey",2,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",147854164,149986592,154420244,155339076,157881304,158622452,159659192,163681988,170916588,174769084,176920992,182464768,176565464,178678216,178510944,180147320,182058140,181520656,180976780,182563852,181138900,185455620,187990740,190210264,188850716,192542072,196799936,198587892,199197012,201720464,204906052,205269800,208744792,211424328,211701788,215856544,218914704,220772020,220013296,223223304,226119164,222897124,222935468,223449076,211785568,213099056,214758336,215263152,213922764,215265248,217719728,216981164,220618944,221982436,224062508,223332424,230752564,229661232,230743752,233244556,235710620,236533408,235778812,239027540,242233328,242972688,243691696,247697752,250548912,252903704,253826844,255214732,255960824,257080520,259210460,262058484,263535728,267027696,271709036,271981056,277746928,278210952,280709788,279583208,286639269,290440917
 "34000","New Jersey",2,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",62356,68748,66904,62924,61156,67860,68068,68336,73848,68896,71600,93572,66996,66336,65756,64560,67704,68784,70348,70540,68772,65892,63908,76084,79728,80908,79352,79336,73648,76616,80144,72860,81592,81288,79692,82900,83468,87424,88204,84540,87360,84972,88968,93892,93460,101892,102808,107148,110204,107360,105512,113056,101288,105012,111188,113576,117564,117320,124444,118552,104396,104592,103432,109940,121000,132708,137424,133804,133344,128956,154544,147252,177416,167004,170252,173200,169440,175232,175608,175344,181568,178808,182040,184096,187113,186379
 "34000","New Jersey",2,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",149516,138000,140280,138720,137736,134252,125716,119284,118592,120188,124372,125572,111004,117244,118504,120016,89100,88708,87732,95544,94136,98532,100436,101100,104548,108536,111824,114864,112172,128860,120044,114972,121972,120016,119488,116864,117020,118404,118132,120284,126404,123720,123084,120956,116640,110544,125856,116672,107956,115592,114952,113376,100920,107980,105580,111184,110996,111240,109336,108876,108684,118072,130220,116196,121936,125748,120720,131416,129632,128324,131948,134396,128092,120196,125640,121712,123948,129156,136200,136456,136980,136512,133300,133968,143866,151846
