GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "32000","Nevada",8,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",35043356,35801024,36940720,38151108,39378856,39717572,40039084,41284772,42298444,43099484,43463076,43306096,44468220,45558972,45602052,44664196,45511664,46094628,46732712,47655436,48160816,48951496,50605044,52135616,53036740,54684320,56517540,57950972,59025332,61948688,61732696,62455284,64451052,65691196,65827124,67475312,68824252,68991448,69637596,71817488,71778780,69965292,69775248,68076012,65448464,64536832,63740376,63753108,62296848,63274244,63934656,63421816,63258544,64040816,64242536,63521232,65417060,65577528,65734252,66701696,66693392,67317592,67768320,68937012,71381112,71546808,72122248,73989764,74713136,76331392,76549832,77764984,78195596,79310916,83142024,80975560,82030596,82876824,84897884,84799720,87929028,88064320,89448976,91399392,92407512,93641899
 "32000","Nevada",8,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",28571148,29164528,30050872,31001008,31942768,32169924,32411036,33463128,34405256,35063288,35447216,35351776,36371564,37261132,37280372,36496184,37175176,37679620,38174356,38832860,39125520,39752544,41155304,42474824,43191800,44630592,46200336,47352376,48142136,50576848,50424360,51056484,52882696,53951824,54041048,55427340,56577680,56639164,57144716,59053288,59064664,57502336,57258256,55711964,53086180,52187844,51305112,51110384,49500212,50288224,50928860,50720872,50897828,51777424,52062268,51290468,52716624,52729940,52833636,53907356,54136824,54762028,55035164,55750696,57030148,57133344,57654184,59166664,59738356,60954172,61106096,62043580,62318008,63301464,66645208,64986184,66170832,67079776,68792836,68905768,71485456,71474528,72562824,74189644,75034391,76057525
 "32000","Nevada",8,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",6472208,6636496,6889848,7150100,7436088,7547648,7628048,7821644,7893188,8036196,8015860,7954320,8096656,8297840,8321680,8168012,8336488,8415008,8558356,8822576,9035296,9198952,9449740,9660792,9844940,10053728,10317204,10598596,10883196,11371840,11308336,11398800,11568356,11739372,11786076,12047972,12246572,12352284,12492880,12764200,12714116,12462956,12516992,12364048,12362284,12348988,12435264,12642724,12796636,12986020,13005796,12700944,12360716,12263392,12180268,12230764,12700436,12847588,12900616,12794340,12556568,12555564,12733156,13186316,14350964,14413464,14468064,14823100,14974780,15377220,15443736,15721404,15877588,16009452,16496816,15989376,15859764,15797048,16105048,15893952,16443572,16589792,16886152,17209748,17373121,17584374
 "32000","Nevada",8,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",3911556,4030076,4215308,4402284,4616440,4768184,4916712,5157388,5321512,5541716,5550880,5514108,5538432,5652292,5652524,5540268,5645676,5692696,5829764,6095636,6318788,6496160,6691880,6845204,6963260,7096992,7275964,7501864,7749688,8104768,7987668,7966808,7933852,7958240,7949096,8085604,8215760,8349220,8513032,8776464,8852088,8746544,8821656,8704200,8767316,8742596,8867224,9097812,9341952,9513700,9501848,9199656,8699124,8504952,8337948,8392640,8679224,8806048,8891956,8785988,8663816,8683844,8858596,9227628,10162924,10216580,10212116,10436796,10541136,10827504,10869528,11074552,11260960,11335472,11636036,11227340,11047392,10935524,11159884,10920936,11362072,11520368,11754336,11980392,12051002,12185736
 "32000","Nevada",8,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",2560652,2606420,2674540,2747816,2819648,2779464,2711336,2664256,2571676,2494480,2464980,2440212,2558224,2645548,2669156,2627744,2690812,2722312,2728592,2726940,2716508,2702792,2757860,2815588,2881680,2956736,3041240,3096732,3133508,3267072,3320668,3431992,3634504,3781132,3836980,3962368,4030812,4003064,3979848,3987736,3862028,3716412,3695336,3659848,3594968,3606392,3568040,3544912,3454684,3472320,3503948,3501288,3661592,3758440,3842320,3838124,4021212,4041540,4008660,4008352,3892752,3871720,3874560,3958688,4188040,4196884,4255948,4386304,4433644,4549716,4574208,4646852,4616628,4673980,4860780,4762036,4812372,4861524,4945164,4973016,5081500,5069424,5131816,5229356,5322119,5398638
 "32000","Nevada",8,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",60144,59304,58656,58612,58660,58544,58476,58088,58176,58208,58612,59380,57932,59332,59976,59824,66128,65288,64760,64472,57636,58092,59028,60496,62408,63728,64384,64380,72876,72108,71320,70508,67924,68328,69904,72672,78612,81676,83784,84824,78404,78220,77900,77428,86112,85440,84852,84316,77684,76468,74552,71980,72656,71972,73948,78620,85512,90616,93528,94196,103344,102500,102524,103320,99488,99940,99076,96892,83884,82360,82376,83944,94728,97484,99480,100764,95328,95824,96304,96720,103028,103904,105200,107000,109022,110435
 "32000","Nevada",8,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",34983212,35741720,36882064,38092496,39320196,39659028,39980608,41226684,42240268,43041276,43404464,43246716,44410288,45499640,45542076,44604372,45445536,46029340,46667952,47590964,48103180,48893404,50546016,52075120,52974332,54620592,56453156,57886592,58952456,61876580,61661376,62384776,64383128,65622868,65757220,67402640,68745640,68909772,69553812,71732664,71700376,69887072,69697348,67998584,65362352,64451392,63655524,63668792,62219164,63197776,63860104,63349836,63185888,63968844,64168588,63442612,65331548,65486912,65640724,66607500,66590048,67215092,67665796,68833692,71281624,71446868,72023172,73892872,74629252,76249032,76467456,77681040,78100868,79213432,83042544,80874796,81935268,82781000,84801580,84703000,87826000,87960416,89343776,91292392,92298490,93531464
 "32000","Nevada",8,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",29302136,29970984,30886944,32004564,33175748,33367060,33672788,34716188,35701424,36244796,36747684,36437912,37488836,38312588,38042372,37123152,37854268,38317020,38817128,39456940,39784372,40240228,42023660,43292432,43927144,45390124,47035444,48274268,49172732,51977296,51682428,52192100,53997112,55051596,54941160,56323892,57478788,57476336,57918252,59995960,59645312,57832296,57303152,55644464,52819680,51855740,50995700,50854404,49370412,50184464,50849236,50343504,50281024,50953736,51410876,50764236,52688700,52912856,52919848,53846836,53702420,54232856,54668620,55644156,57907492,57876828,58580680,60242292,60771480,62163784,62421608,63488800,63762768,64937704,68377308,66335964,67261560,68082844,69410576,70089628,72839528,72766276,73865040,75730236,76477662,77632448
 "32000","Nevada",8,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",14336,15176,15648,13204,20476,18740,15952,17620,14496,14612,16808,19180,12672,13112,10828,10968,15296,12060,13396,13316,12752,13876,15252,15092,16136,18200,16080,16164,15080,13880,18896,14620,14100,17288,16256,17836,17160,12856,13000,25604,20636,22028,21368,22232,23276,23416,26612,24776,25492,26752,24012,25348,27300,26068,25992,26276,34016,24788,30488,28696,28500,28656,28896,30664,28516,34876,33348,31296,32260,31740,28588,34164,29752,29128,31792,32636,33180,30004,30112,30744,33156,32268,34200,39980,33446,35654
 "32000","Nevada",8,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",864512,817168,800776,790920,773068,810052,762640,781624,747580,729372,718712,711176,717148,710944,691532,660968,686668,664292,644408,638228,634124,676228,647308,758844,744524,753108,796332,754796,778124,793904,832732,807972,915124,941644,962064,988548,1010184,1056708,1053872,1139840,1083648,1112764,1137136,1201580,1080556,1086556,1112744,1085532,1185776,1211240,1189548,1262240,1286652,1422044,1372136,1400360,1433152,1553156,1583360,1552980,1619840,1565716,1570344,1556668,1550108,1495496,1493112,1525080,1559568,1588788,1591884,1541180,1548788,1485132,1560328,1582136,1590868,1640504,1624920,1674692,1730324,1708828,1715728,1688436,1759424,1842934
 "32000","Nevada",8,SQINC6N,300,"22","   Utilities","Thousands of dollars",293292,312064,289288,318684,332244,347552,382608,329980,347152,317212,344764,338996,370684,422864,447224,448044,501916,495212,501176,474732,496944,479588,518548,526472,550220,585164,550068,532340,491512,488260,469116,514624,511544,533396,531932,532628,515636,522320,534528,524004,549748,550944,541624,576824,570892,554908,532784,580376,546504,578912,557492,532632,595580,540768,542820,513208,542360,520892,532056,479908,574968,535336,537584,617168,541328,554568,559732,557672,562952,550316,603612,582492,615220,631788,598752,634144,603468,630280,589184,605092,612324,629600,624820,639220,632749,632172
 "32000","Nevada",8,SQINC6N,400,"23","   Construction","Thousands of dollars",3974012,4165468,4437520,4670572,5091048,4548428,4373892,4434192,4508548,4580472,4629576,4438300,4481680,4508388,4618176,4479580,4487600,4624068,4746596,4905948,5031320,5125456,5252488,5626560,5593620,6059120,6505356,6975588,7009828,7334196,7809228,7844340,8303192,8337552,8203536,8212964,8503452,8558712,8502136,8578860,8573032,8341192,8123960,7644700,6830372,6074480,5410984,5056136,4167452,4186868,4075460,4023052,3694092,3386980,3323016,3236164,3244440,3342972,3388636,3460976,3492404,3599996,3658676,3716564,4006520,4131684,4263560,4310852,4525748,4540464,4699328,4981188,5021436,5047884,5292448,5469024,5646164,5906100,6000496,6075920,6343088,6528364,6735680,6916788,7184405,7347360
 "32000","Nevada",8,SQINC6N,500,"31-33","   Manufacturing","Thousands of dollars",1665040,1718080,1729528,1738516,1836196,1809804,1860396,1780616,1879388,1906928,1980924,2076604,2128020,2353496,2152124,2137384,2163664,2135804,2149040,2158180,2269652,2283900,2411468,2440676,2406648,2503236,2585836,2613472,2670868,2766436,2722080,2779704,2879220,2926356,2935660,2963500,3062104,3080892,3059756,3184996,3218056,3128280,3051300,2981668,2762400,2687064,2574664,2516632,2500652,2577964,2556960,2450988,2575744,2532908,2529512,2512708,2703432,2656724,2713276,2662964,2720764,2688960,2804712,2885228,2855812,2858072,2889128,3186708,2896384,3379744,2982528,2898248,3037588,3138252,3097564,3136824,3276004,3452528,3565812,3739568,4013980,4050044,4344752,4470800,4668750,4759664
