GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "40000","Oklahoma",6,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",46150936,46635576,46708352,46807432,47651720,48013444,48487236,49694520,50718780,51491456,52532720,53434744,54312968,54751368,54928572,55449200,55487032,55811564,56182116,56221352,56470804,57478856,57665660,58548156,58990388,60407508,61400100,61856420,62514244,63445420,64656136,65808096,69618060,69523784,69893896,70581560,71998240,73076796,74065316,75010312,76269924,77505464,77920784,78423860,76066052,75425408,75650716,75208500,75835592,77771688,78923560,79132484,79831268,81788660,83590960,84328004,85155120,86058240,86466764,89747452,89092244,90105916,90105376,90869876,92650460,93336424,94668344,95392404,96756712,95540388,96111668,95726760,94446416,94070836,93764980,93992844,95029096,96699824,97540356,98347840,100208940,101150300,102424672,103140016,106055757,106425441
 "40000","Oklahoma",6,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",37821200,38220668,38298768,38425632,39192940,39493480,39831356,40764808,41538660,42029896,42835532,43541672,44273644,44588408,44650104,44978136,44924688,45113192,45346952,45269052,45390612,46196944,46322620,47009748,47168372,48282484,49059108,49336376,49745612,50498732,51579432,52589468,56015732,55998868,56333272,56977284,58253440,59163944,60012664,60934696,62164632,63273512,63669184,64072916,61717652,61132920,61164940,60620348,60712328,62251864,63136960,63350040,63945928,65634924,67236872,67853164,68758040,69508168,69798392,72535480,71704236,72375732,72251536,72875992,74486736,75065208,76074272,76640040,77611724,76494456,76951640,76653400,75736324,75492820,75337520,75593544,76476940,77842340,78479024,79151540,80726556,81402656,82401024,82933012,85394131,85737349
 "40000","Oklahoma",6,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",8329736,8414908,8409584,8381800,8458780,8519964,8655880,8929712,9180120,9461560,9697188,9893072,10039324,10162960,10278468,10471064,10562344,10698372,10835164,10952300,11080192,11281912,11343040,11538408,11822016,12125024,12340992,12520044,12768632,12946688,13076704,13218628,13602328,13524916,13560624,13604276,13744800,13912852,14052652,14075616,14105292,14231952,14251600,14350944,14348400,14292488,14485776,14588152,15123264,15519824,15786600,15782444,15885340,16153736,16354088,16474840,16397080,16550072,16668372,17211972,17388008,17730184,17853840,17993884,18163724,18271216,18594072,18752364,19144988,19045932,19160028,19073360,18710092,18578016,18427460,18399300,18552156,18857484,19061332,19196300,19482384,19747644,20023648,20207004,20661626,20688092
 "40000","Oklahoma",6,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",5464488,5529960,5530324,5513192,5557376,5615792,5738848,5953408,6147372,6387124,6547496,6669116,6739580,6813700,6900128,7042288,7106840,7208444,7319004,7438524,7519324,7648292,7682212,7803252,7984540,8184920,8325812,8483132,8687184,8823660,8898488,8993996,9219828,9161520,9193932,9197348,9262884,9383392,9477420,9461780,9458272,9536332,9528856,9584560,9698436,9663464,9864348,10024196,10486184,10800020,11013080,10973912,10834972,10925768,10978604,11050672,10849100,10931812,11030644,11343440,11604060,11888924,12041072,12182892,12361456,12456752,12749752,12897928,13305624,13299896,13382452,13288792,12968556,12812492,12649948,12589980,12696372,12895888,13050788,13127228,13346748,13556868,13755908,13899076,14153728,14151259
 "40000","Oklahoma",6,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",2865248,2884948,2879260,2868608,2901404,2904172,2917032,2976304,3032748,3074436,3149692,3223956,3299744,3349260,3378340,3428776,3455504,3489928,3516160,3513776,3560868,3633620,3660828,3735156,3837476,3940104,4015180,4036912,4081448,4123028,4178216,4224632,4382500,4363396,4366692,4406928,4481916,4529460,4575232,4613836,4647020,4695620,4722744,4766384,4649964,4629024,4621428,4563956,4637080,4719804,4773520,4808532,5050368,5227968,5375484,5424168,5547980,5618260,5637728,5868532,5783948,5841260,5812768,5810992,5802268,5814464,5844320,5854436,5839364,5746036,5777576,5784568,5741536,5765524,5777512,5809320,5855784,5961596,6010544,6069072,6135636,6190776,6267740,6307928,6507898,6536833
 "40000","Oklahoma",6,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",189216,185228,185460,189296,202440,211668,216944,217668,209100,203848,203544,208348,228968,232348,235548,238556,170652,170912,169748,167100,196608,194512,195368,199148,268372,275136,279720,282212,269532,268028,264744,259724,245980,245236,249888,260092,344600,359128,368024,370900,402424,399916,398156,397276,298028,297344,296440,294988,306804,301700,293960,283628,310140,307516,316684,338044,373924,399556,416792,425352,347012,346128,344760,342508,364104,365952,363332,356076,222180,218972,220052,225492,245596,252800,256412,256568,250856,249504,249888,252072,237152,241200,245548,250456,255149,258460
 "40000","Oklahoma",6,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",45961720,46450348,46522892,46618136,47449280,47801776,48270292,49476852,50509680,51287608,52329176,53226396,54084000,54519020,54693024,55210644,55316380,55640652,56012368,56054252,56274196,57284344,57470292,58349008,58722016,60132372,61120380,61574208,62244712,63177392,64391392,65548372,69372080,69278548,69644008,70321468,71653640,72717668,73697292,74639412,75867500,77105548,77522628,78026584,75768024,75128064,75354276,74913512,75528788,77469988,78629600,78848856,79521128,81481144,83274276,83989960,84781196,85658684,86049972,89322100,88745232,89759788,89760616,90527368,92286356,92970472,94305012,95036328,96534532,95321416,95891616,95501268,94200820,93818036,93508568,93736276,94778240,96450320,97290468,98095768,99971788,100909100,102179124,102889560,105800608,106166981
 "40000","Oklahoma",6,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",35372932,35787664,35817136,35771840,36377916,36583232,36926880,37989720,38806048,39285928,40152944,40805592,41560584,41801644,41715676,42061304,41958452,42047864,42299632,42204640,42196840,42990724,43187900,44014560,44086000,45254088,46092580,46339112,46535300,47471616,48722508,49356240,53147612,52679728,52578328,52887904,54045548,54798156,55506376,56323448,57232132,58257024,58492600,58832804,56298008,55595860,55652868,55047920,55068736,56844932,57977720,58491220,58932276,61029796,62690176,63482044,64530472,65230920,65587068,68660176,67792856,68618028,68737012,69292880,70850544,71431844,72615188,73121792,74290788,73010704,73469300,72971264,71478052,71082740,70860396,71252092,72169868,73785672,74319600,75057068,76947372,77595100,78295476,78686748,81246335,81434332
 "40000","Oklahoma",6,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",68344,69144,72076,67224,73588,74132,71808,73712,67596,69028,81736,106764,74780,78132,73276,74704,78944,79912,81028,79632,77156,83288,89176,95380,99124,102260,104040,104452,113236,97368,99864,105200,122048,114744,113836,109260,110048,113184,114712,116172,110060,109604,111208,117028,115536,118764,119112,115064,121384,120660,116232,120672,117336,116796,126100,116900,120908,126800,123192,135956,129384,136760,137240,127268,152476,144216,151244,147052,142980,154372,171916,168420,167664,171128,170632,178368,206096,165216,173516,185072,217040,194456,189488,184936,151177,183455
 "40000","Oklahoma",6,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1669812,1787548,1567060,1426224,1491956,1560784,1525976,1599176,1577972,1485360,1672884,1792780,1986532,2018064,1991640,1903828,1810084,1782804,1832232,1884512,1911968,2105056,2121116,2168976,2278324,2312076,2461916,2381852,2533892,2651764,3139880,2877332,5335008,4198844,3890356,3811320,3876376,4273604,4428808,4551496,4625156,5168156,5239148,5147316,4299040,4063540,4170748,3778748,4070876,4256316,4335936,4657056,5084768,5294080,6229240,5848148,6141984,6285912,6478680,6470044,6432700,6758136,6630972,7021776,6903100,6905644,7056864,7119928,7312136,6305616,6491480,6089420,5387400,5007484,4975456,4947464,5746576,5921952,5821552,5954232,6649424,6610684,6584124,6410280,6305685,6445842
