GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "45000","South Carolina",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",57796820,59095388,60592288,61943580,62070556,63063032,64191488,65149192,66366592,67670916,67912344,68063424,68954516,68825724,69040120,69350340,69239080,70558428,71186416,72066912,72668632,73301732,74191688,75431604,75350896,77189188,78807600,79238448,80070300,81201032,82197648,83509028,85870640,86405028,87081308,88595532,90140336,91360508,92216320,93620132,94302144,94626464,94659572,93947684,90551184,90152708,90055048,91037540,89524376,91630136,92310312,92746792,94255632,95725336,96414508,95877976,97747060,98011088,98323260,99542748,101027964,101374440,102380824,103427108,104959008,106962704,107689308,109410608,111045532,112559092,114493904,115182624,115208512,116312076,117512456,119862936,121839176,123205120,124407676,125843820,127554564,128140056,129647368,131284372,134394806,136007651
 "45000","South Carolina",5,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",47492580,48552704,49800448,50956936,51093660,51890912,52744108,53480088,54436760,55376640,55535564,55659988,56483752,56365996,56505796,56722140,56581884,57622796,58033180,58535720,58750708,59185968,59872944,60964236,60849100,62478100,63853776,64150752,64651120,65494956,66298172,67313148,69343336,69702152,70180972,71409900,72725156,73522432,73974856,74969208,75315296,75395640,75376736,74854728,71913520,71807104,71870068,72847492,71584648,73480800,74040072,74189840,74941452,75935184,76538612,76163308,78273456,78711304,78993340,80063676,80952504,80965868,81568716,82332116,83577680,85241544,85853476,87264616,88527132,89784608,91456636,92228964,92553700,93625472,94654796,96442580,97773880,98616596,99407912,100466588,101961848,102301952,103511056,104824320,107486105,108787772
 "45000","South Carolina",5,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",10304240,10542684,10791840,10986644,10976896,11172120,11447380,11669104,11929832,12294276,12376780,12403436,12470764,12459728,12534324,12628200,12657196,12935632,13153236,13531192,13917924,14115764,14318744,14467368,14501796,14711088,14953824,15087696,15419180,15706076,15899476,16195880,16527304,16702876,16900336,17185632,17415180,17838076,18241464,18650924,18986848,19230824,19282836,19092956,18637664,18345604,18184980,18190048,17939728,18149336,18270240,18556952,19314180,19790152,19875896,19714668,19473604,19299784,19329920,19479072,20075460,20408572,20812108,21094992,21381328,21721160,21835832,22145992,22518400,22774484,23037268,22953660,22654812,22686604,22857660,23420356,24065296,24588524,24999764,25377232,25592716,25838104,26136312,26460052,26908701,27219879
 "45000","South Carolina",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",6638920,6803836,6965672,7087284,7086572,7228396,7438792,7603444,7778152,8068132,8127596,8139272,8154440,8161776,8226108,8296680,8314660,8505368,8688212,9024376,9335748,9494068,9654732,9745168,9747236,9880540,10053692,10200680,10503148,10740016,10856528,11025104,11151864,11251360,11397720,11605256,11808696,12211500,12583088,12906864,13196728,13410004,13433776,13267884,13008972,12719348,12579304,12554420,12322128,12440720,12544856,12807588,13275156,13647808,13687428,13593156,13216764,13056360,13101772,13178804,13728860,14038520,14389852,14610012,14824740,15055408,15129664,15327472,15634308,15797848,15950840,15842288,15600856,15580368,15690696,16130284,16678348,17135568,17485956,17774136,17954364,18173404,18382584,18612900,18844576,19061647
 "45000","South Carolina",5,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",3665320,3738848,3826168,3899360,3890324,3943724,4008588,4065660,4151680,4226144,4249184,4264164,4316324,4297952,4308216,4331520,4342536,4430264,4465024,4506816,4582176,4621696,4664012,4722200,4754560,4830548,4900132,4887016,4916032,4966060,5042948,5170776,5375440,5451516,5502616,5580376,5606484,5626576,5658376,5744060,5790120,5820820,5849060,5825072,5628692,5626256,5605676,5635628,5617600,5708616,5725384,5749364,6039024,6142344,6188468,6121512,6256840,6243424,6228148,6300268,6346600,6370052,6422256,6484980,6556588,6665752,6706168,6818520,6884092,6976636,7086428,7111372,7053956,7106236,7166964,7290072,7386948,7452956,7513808,7603096,7638352,7664700,7753728,7847152,8064125,8158232
 "45000","South Carolina",5,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",139240,139012,136684,133396,125136,122148,121256,122404,125216,128084,133932,141692,167852,169980,171496,172416,163504,163176,162436,161236,133964,133796,134960,137440,172376,175640,177540,178148,155912,154784,153208,151152,154984,155764,159752,167092,174432,182372,187500,189544,171756,171244,171092,171352,172220,171504,169604,166360,175556,170784,166272,161836,141632,141716,145960,154472,204500,215456,222800,226576,178252,178512,178932,179296,168364,169244,168056,164736,204804,201248,200996,204000,161980,166128,169476,172124,145108,145936,145948,145128,155264,154828,155536,157616,160501,162585
 "45000","South Carolina",5,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",57657580,58956376,60455604,61810184,61945420,62940884,64070232,65026788,66241376,67542832,67778412,67921732,68786664,68655744,68868624,69177924,69075576,70395252,71023980,71905676,72534668,73167936,74056728,75294164,75178520,77013548,78630060,79060300,79914388,81046248,82044440,83357876,85715656,86249264,86921556,88428440,89965904,91178136,92028820,93430588,94130388,94455220,94488480,93776332,90378964,89981204,89885444,90871180,89348820,91459352,92144040,92584956,94114000,95583620,96268548,95723504,97542560,97795632,98100460,99316172,100849712,101195928,102201892,103247812,104790644,106793460,107521252,109245872,110840728,112357844,114292908,114978624,115046532,116145948,117342980,119690812,121694068,123059184,124261728,125698692,127399300,127985228,129491832,131126756,134234305,135845066
 "45000","South Carolina",5,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",45636640,46706508,47961480,49126860,48967152,49746096,50486244,51268556,52277168,53114196,53107888,53253940,54363268,54003860,53920208,54015432,53804276,54906616,55456708,56148356,56461708,56865884,57510632,58801320,58268612,60095728,61145508,61555520,62077844,62874756,63780440,64573156,66782164,66914876,67261064,68623708,69895164,70705576,71118076,72259732,72536916,72522404,72184648,71378936,67891872,67341264,67217216,67980636,66566308,68329320,69564172,70036040,71262824,72384124,73037812,72331020,74235664,74406036,74290480,75445632,76688500,76758108,77902496,78848740,80174348,81969160,82399876,83822880,84884000,86123572,87778264,88370360,88318832,89413936,90568108,92686300,94480844,95647768,96643240,97671316,99505020,99536432,100738112,102392432,105214272,106534805
 "45000","South Carolina",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",184328,206104,213508,211956,207364,200492,206204,206064,196112,191776,219384,283548,224980,226484,241448,233912,230040,231096,223348,216428,225172,226984,229300,249792,251028,258172,260928,264112,250312,246108,244924,249940,267116,272000,267340,280092,271184,272900,272100,264568,262244,263300,265176,257500,248620,263680,271560,262924,263092,273712,271892,273520,273416,268764,281360,289784,288316,284888,279252,288556,292272,281624,287628,299452,315248,316140,313796,342564,315560,330528,361740,335996,345328,335124,340732,338084,363320,355428,355924,366884,374404,384804,372756,374884,376733,384659
 "45000","South Carolina",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",83048,86180,89424,92304,97412,89656,91896,94496,87964,91728,87312,85840,84704,79568,78388,78520,77984,79056,77588,77696,76936,79648,81568,84164,79008,83452,88172,84540,82876,83572,85088,82740,85544,86132,86752,88088,87348,85668,83656,85032,89664,87004,87692,82084,70484,70304,72708,74376,67536,78428,76400,72876,72764,75976,78112,79460,79540,80168,78064,76872,77848,78104,76444,80640,81360,81736,81248,82732,83540,98344,94992,138832,108240,109660,125932,130320,136512,135432,148064,139220,143604,147644,149244,151712,178915,188284
