GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "46000","South Dakota",4,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",10087724,10243188,10342212,10601768,10704868,10998988,11029284,11554032,11782408,11824416,11892988,11815368,12062644,12149436,12225844,12308336,12419596,12580340,12836516,12948684,13061924,13161988,13268772,13609152,13709868,14023032,14184164,14192528,14581744,14597680,14756144,14853868,15198308,15284804,15376628,15684556,16031268,16426484,16537604,16830876,17292828,17231384,17387524,17364772,17120520,17196080,17310440,17202880,17461472,17685460,18209680,18044980,18424608,18604384,18648564,19036960,19278464,19551616,19350880,19750784,19650728,19844128,20015880,20287448,20851572,21007996,21254932,21467476,21829260,22105688,22104920,22200372,22550644,22567260,22835540,22992828,23382372,23621428,23865348,24099672,24408984,24570752,24927856,24979588,25340109,25614812
 "46000","South Dakota",4,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",8226452,8351432,8437144,8650308,8739948,8978232,8989312,9408640,9590240,9607360,9681160,9647728,9896672,9993324,10056056,10108864,10155504,10266224,10443748,10494956,10553656,10624904,10709564,10989804,11058992,11321108,11456660,11437852,11710260,11712376,11860652,11965032,12310068,12405500,12488220,12746400,13031780,13335620,13395864,13630892,14016304,13959244,14099708,14100456,13863832,13945820,14031892,13932336,14049720,14227640,14633336,14476308,14734656,14877060,14935788,15252052,15532712,15797048,15654636,16030004,15932228,16069564,16176544,16365612,16761812,16890180,17093068,17265308,17542292,17761648,17767780,17873784,18193828,18225208,18441516,18535148,18795660,18938432,19101972,19274884,19533612,19642820,19927848,19967156,20289983,20513588
 "46000","South Dakota",4,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",1861272,1891756,1905068,1951460,1964920,2020756,2039972,2145392,2192168,2217056,2211828,2167640,2165972,2156112,2169788,2199472,2264092,2314116,2392768,2453728,2508268,2537084,2559208,2619348,2650876,2701924,2727504,2754676,2871484,2885304,2895492,2888836,2888240,2879304,2888408,2938156,2999488,3090864,3141740,3199984,3276524,3272140,3287816,3264316,3256688,3250260,3278548,3270544,3411752,3457820,3576344,3568672,3689952,3727324,3712776,3784908,3745752,3754568,3696244,3720780,3718500,3774564,3839336,3921836,4089760,4117816,4161864,4202168,4286968,4344040,4337140,4326588,4356816,4342052,4394024,4457680,4586712,4682996,4763376,4824788,4875372,4927932,5000008,5012432,5050126,5101224
 "46000","South Dakota",4,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1253040,1274820,1281544,1313204,1318572,1357080,1375580,1451764,1486524,1510936,1499288,1456132,1437068,1419480,1427800,1452256,1510160,1551784,1618580,1678000,1722696,1747464,1765456,1809392,1826828,1863008,1882620,1913768,2009528,2024884,2023628,2003816,1972680,1951760,1952144,1982856,2031772,2105180,2149532,2187732,2237420,2235256,2240680,2219964,2230580,2214516,2230172,2220224,2309796,2340192,2438408,2461292,2554976,2602552,2594788,2649440,2581396,2568256,2521068,2515816,2527692,2570096,2624996,2690644,2824852,2848816,2881456,2913448,2989032,3031920,3023932,3004172,3014768,2994000,3029472,3088032,3202636,3291392,3362440,3411516,3455744,3500468,3552268,3562412,3573594,3609307
 "46000","South Dakota",4,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",608232,616936,623524,638256,646348,663676,664392,693628,705644,706120,712540,711508,728904,736632,741988,747216,753932,762332,774188,775728,785572,789620,793752,809956,824048,838916,844884,840908,861956,860420,871864,885020,915560,927544,936264,955300,967716,985684,992208,1012252,1039104,1036884,1047136,1044352,1026108,1035744,1048376,1050320,1101956,1117628,1137936,1107380,1134976,1124772,1117988,1135468,1164356,1186312,1175176,1204964,1190808,1204468,1214340,1231192,1264908,1269000,1280408,1288720,1297936,1312120,1313208,1322416,1342048,1348052,1364552,1369648,1384076,1391604,1400936,1413272,1419628,1427464,1447740,1450020,1476532,1491917
 "46000","South Dakota",4,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",121696,127044,129016,127928,123192,119072,117956,119748,124864,130404,136328,141952,149172,151532,153168,154116,142548,141908,140600,138556,112864,112136,112932,115288,161820,165960,168856,170544,169888,168992,166804,163352,160672,159788,162504,168928,232964,242656,248616,250600,272012,270060,268280,266748,198940,198204,197952,198032,207604,205568,201272,194816,214484,212400,217864,230940,311720,330520,343028,349288,285016,285552,286920,288912,296460,297244,293736,285804,188944,184892,184932,189104,200472,206404,209340,209404,247268,245680,245760,247496,240952,244704,248876,253732,258477,261832
 "46000","South Dakota",4,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",9966028,10116144,10213196,10473840,10581676,10879916,10911328,11434284,11657544,11694012,11756660,11673416,11913472,11997904,12072676,12154220,12277048,12438432,12695916,12810128,12949060,13049852,13155840,13493864,13548048,13857072,14015308,14021984,14411856,14428688,14589340,14690516,15037636,15125016,15214124,15515628,15798304,16183828,16288988,16580276,17020816,16961324,17119244,17098024,16921580,16997876,17112488,17004848,17253868,17479892,18008408,17850164,18210124,18391984,18430700,18806020,18966744,19221096,19007852,19401496,19365712,19558576,19728960,19998536,20555112,20710752,20961196,21181672,21640316,21920796,21919988,22011268,22350172,22360856,22626200,22783424,23135104,23375748,23619588,23852176,24168032,24326048,24678980,24725856,25081632,25352980
 "46000","South Dakota",4,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",7697512,7814972,7952144,8114144,8237604,8485060,8487568,8899920,9061056,9067468,9144172,9102624,9327332,9397080,9418408,9473096,9569600,9682852,9866980,9952648,10026936,10092512,10208188,10404636,10430644,10667712,10848428,10849308,11137192,11160052,11340652,11369400,11719960,11751124,11793756,12049944,12312216,12682188,12697924,12948488,13338892,13238288,13339308,13262416,13044176,13044312,13137208,13045376,13160576,13378512,13874184,13748520,14003120,14210348,14340424,14697064,14792148,15171604,14952976,15352172,15263988,15406436,15535824,15739772,16233932,16340492,16557064,16765632,17186236,17441092,17425724,17544140,17742108,17760224,17968812,18036128,18333484,18512992,18746376,18927668,19233660,19327824,19610128,19672680,20009000,20260852
 "46000","South Dakota",4,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",33656,33696,38284,36336,36336,36384,35296,37692,35632,36252,32824,46664,25528,26124,28476,26388,26412,26708,28148,27612,27220,28644,29440,32084,33880,35440,35672,36112,36936,36600,36396,36752,41468,42516,41952,39888,51584,44504,44804,47308,46404,48660,53720,52152,55248,59124,59344,53720,60932,61080,62288,64004,64616,66424,72984,76204,76396,83652,71980,74868,77084,78616,80340,82688,75208,78900,80740,81404,78776,79656,90992,89204,92008,88244,86116,88628,91704,92048,90748,93284,99836,96532,94856,96708,97520,98198
 "46000","South Dakota",4,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",96756,84248,70980,62028,54348,54544,50424,53256,50392,50072,49008,47244,56104,55028,49964,52104,48244,41116,38708,40604,40376,41048,39444,38396,34836,37832,38864,39980,37340,39088,45604,40144,41600,44540,42784,42856,43716,45608,49432,53336,55668,59624,60480,55292,49980,47232,41504,52440,44692,50940,50216,55064,51588,55448,63096,56260,54700,58104,55792,68660,60592,56292,56840,57156,58308,59380,58196,61544,66592,59392,60688,64964,59124,63228,58708,64024,64968,67984,68116,66660,70588,69044,72440,70756,70007,72107
 "46000","South Dakota",4,SQINC6N,300,"22","   Utilities","Thousands of dollars",108276,105488,105640,108472,106372,103924,104688,104620,103920,102916,107264,110164,126128,125572,131048,127496,159872,130072,140704,140432,140532,145236,142040,148540,147364,154932,144048,153348,151500,174180,173040,181608,186552,182824,180192,175836,195052,182584,187876,189348,180988,177924,179616,174876,189048,176980,181540,170044,200416,185048,188868,186324,204156,201384,196692,201096,185872,189448,184580,184028,187276,200712,192840,208592,209800,203980,202800,205484,211140,213892,215584,212504,224860,229036,226028,232912,233712,227312,224768,228112,236688,236832,239852,242040,235238,235461
 "46000","South Dakota",4,SQINC6N,400,"23","   Construction","Thousands of dollars",530436,533968,545980,560492,587572,595160,600448,634020,655672,670192,673504,648496,660184,660304,664712,665148,678152,682920,689800,703516,704288,724720,747316,753816,734420,772428,774396,789948,803096,824680,849580,845512,894656,907188,890136,901852,925628,948476,985864,1028740,1030584,1003272,991980,984352,957720,989144,1033988,927908,937780,944976,972696,974116,932696,962688,986240,1009352,1035592,1013548,960648,983640,982156,1011356,1073244,1077188,1107040,1125972,1149960,1165668,1262388,1254068,1205264,1239304,1252628,1310580,1438792,1325472,1298752,1292984,1285580,1311636,1362004,1359712,1380116,1388188,1418513,1412617
 "46000","South Dakota",4,SQINC6N,500,"31-33","   Manufacturing","Thousands of dollars",1330752,1343824,1366948,1391412,1400156,1422232,1393368,1428412,1457420,1500692,1560848,1486248,1545440,1528772,1511580,1480868,1471868,1482028,1492564,1498740,1503112,1511388,1529848,1604320,1564500,1641860,1680368,1704652,1708712,1730592,1761448,1770004,1866392,1818896,1809856,1852968,1926968,1973564,1969440,1984788,2044444,2031364,2045108,2000948,1870132,1836660,1800604,1787780,1798540,1845092,1928580,1897944,1979604,2011992,2068388,2175412,2144864,2204780,2199552,2246448,2177392,2229308,2191328,2228672,2309684,2352136,2407036,2445500,2468892,2473864,2441292,2448520,2465180,2439248,2430568,2439564,2546992,2608732,2681432,2688532,2786268,2769840,2826520,2803472,2871030,2923616
 "46000","South Dakota",4,SQINC6N,510,"321,327-339","    Durable goods manufacturing","Thousands of dollars",941928,950104,970536,984228,998240,997108,974708,1013336,1024852,1064660,1118696,1042380,1086184,1071532,1061048,1022548,1024096,1030856,1032456,1040408,1030524,1040804,1063296,1104524,1086216,1139612,1171284,1195100,1195500,1212936,1232056,1239660,1269252,1288372,1265564,1297324,1336372,1349656,1358404,1381876,1425844,1418172,1428204,1387876,1278828,1233668,1193016,1187556,1198580,1235288,1267888,1262028,1327276,1375812,1397476,1503996,1470384,1487332,1479288,1492440,1488124,1500912,1504708,1523312,1581176,1604484,1645068,1672560,1691744,1698264,1690088,1654380,1669332,1639136,1620716,1611440,1682412,1727576,1762868,1785192,1835824,1844132,1886168,1864056,1915406,1952456
 "46000","South Dakota",4,SQINC6N,530,"311-316,322-326","    Nondurable goods manufacturing","Thousands of dollars",388824,393720,396412,407184,401916,425124,418660,415076,432568,436032,442152,443868,459256,457240,450532,458320,447772,451172,460108,458332,472588,470584,466552,499796,478284,502248,509084,509552,513212,517656,529392,530344,597140,530524,544292,555644,590596,623908,611036,602912,618600,613192,616904,613072,591304,602992,607588,600224,599960,609804,660692,635916,652328,636180,670912,671416,674480,717448,720264,754008,689268,728396,686620,705360,728508,747652,761968,772940,777148,775600,751204,794140,795848,800112,809852,828124,864580,881156,918564,903340,950444,925708,940352,939416,955624,971160
 "46000","South Dakota",4,SQINC6N,600,"42","   Wholesale trade","Thousands of dollars",568816,575368,579164,582124,589336,597492,608312,598668,610100,613612,624832,640012,677200,694168,704244,692000,712632,731656,743412,707088,736444,729536,737296,759772,763940,787792,813620,817752,831844,826172,845144,861876,863744,871992,868352,887928,896884,924992,934028,950288,984180,974604,988236,985596,972152,961436,967896,976432,980620,1045796,1032148,1023140,1080136,1088372,1116472,1128232,1174296,1162876,1175816,1219360,1214884,1228336,1224272,1265020,1315396,1324844,1370868,1389464,1393412,1432708,1413780,1402980,1431096,1410492,1413080,1434912,1440592,1476740,1474932,1469576,1487732,1507036,1521668,1517964,1550401,1596654
 "46000","South Dakota",4,SQINC6N,700,"44-45","   Retail trade","Thousands of dollars",941072,955812,960344,976848,987908,999532,1012232,1044796,1067236,1071748,1079396,1068676,1037272,1032276,1036772,1053648,1058012,1075632,1094620,1095132,1138780,1120580,1147720,1155180,1163580,1162436,1186148,1193468,1220608,1234056,1203404,1200804,1230964,1234280,1236896,1252344,1276608,1294524,1297956,1326024,1331296,1323116,1330108,1326680,1299088,1316992,1323160,1329452,1351140,1378660,1399144,1369964,1448004,1423092,1445556,1462600,1503648,1502720,1490956,1519652,1539188,1533120,1544120,1569676,1586064,1596532,1649208,1668508,1694684,1714024,1727600,1704592,1758320,1756620,1729816,1765656,1771032,1779328,1770232,1766792,1793104,1802808,1795264,1811908,1808673,1827218
 "46000","South Dakota",4,SQINC6N,800,"48-49","   Transportation and warehousing","Thousands of dollars",335992,341340,349272,344844,356272,361224,361180,376884,371528,370892,376680,382504,379408,382472,378944,380148,380500,388680,392404,389200,392412,396268,402120,402312,403024,414868,425880,428716,439188,445244,450708,443484,483804,476596,471756,479000,489088,488436,496764,504720,503912,512916,513180,511700,498536,488968,488836,490052,485912,499084,509376,507936,533444,529360,539432,539564,547068,551408,542176,558272,549780,556904,559416,563964,591208,598340,608204,620980,638360,647624,650936,638880,636632,635220,634060,651552,649540,653616,654896,658088,670512,670188,687696,688476,682482,689337
