GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "51000","Virginia",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",130858568,133904052,137006524,140519420,144559676,143114752,146369068,150394252,155120480,158427136,161626400,162888996,165976972,168272172,165921524,167589560,167623088,170209060,172499564,172855884,175244752,178344816,182604740,187092236,189197092,192368840,197250712,201368972,203102092,206432676,210354596,211421524,216087092,216277868,217476776,220673552,227411212,228375244,230131124,231504888,233852188,234911000,236894020,237822616,233462344,236749136,236918052,238736932,237330720,241648972,243357528,244280776,245726928,246505244,249435780,247746688,251837464,252471332,254226172,259801628,259569872,259607956,258383156,259823040,262960848,264439956,266283568,270571316,274334268,279229940,282149708,282295856,281135060,281933944,284392992,288574696,291505284,293797728,297039608,300168616,305125536,306728004,310929416,312588540,317302726,321292845
 "51000","Virginia",5,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",108156496,110689828,113276692,116338252,119935512,118453772,121084336,124494504,128660192,131352628,134238880,135286268,138120792,140110136,137782960,138932412,138518152,140385664,141928940,141782776,143294356,145663552,149050448,152686084,153948900,156597284,160661452,163857276,164891436,167661744,171246344,172538384,177334572,177803288,178937616,181699932,187412208,187927516,189149324,190373608,192518024,193179780,194503044,194650460,189374288,191716392,191599600,193369524,191932420,196257340,198216760,199348752,200532520,201415828,204093956,202331444,206253208,206527744,207656540,212291188,211277152,210717944,209312472,210483260,213618880,214749540,216042832,219181988,221596664,225165140,227554340,228015208,227692424,228883016,231300468,234887204,237230848,238930792,241492092,244026764,248304720,249365684,252633968,254028484,258315120,261658301
 "51000","Virginia",5,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",22702072,23214224,23729832,24181168,24624164,24660980,25284732,25899748,26460288,27074508,27387520,27602728,27856180,28162036,28138564,28657148,29104936,29823396,30570624,31073108,31950396,32681264,33554292,34406152,35248192,35771556,36589260,37511696,38210656,38770932,39108252,38883140,38752520,38474580,38539160,38973620,39999004,40447728,40981800,41131280,41334164,41731220,42390976,43172156,44088056,45032744,45318452,45367408,45398300,45391632,45140768,44932024,45194408,45089416,45341824,45415244,45584256,45943588,46569632,47510440,48292720,48890012,49070684,49339780,49341968,49690416,50240736,51389328,52737604,54064800,54595368,54280648,53442636,53050928,53092524,53687492,54274436,54866936,55547516,56141852,56820816,57362320,58295448,58560056,58987606,59634544
 "51000","Virginia",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",15206780,15556252,15902116,16158576,16388696,16511428,16967316,17377948,17710024,18177060,18302416,18420680,18480948,18663228,18712240,19105572,19509344,20090596,20739520,21269076,21960512,22518312,23159628,23746972,24273812,24589728,25134168,25849524,26437344,26817440,26897960,26539400,26081708,25747368,25743284,26033356,26812768,27306704,27761716,27809920,27869120,28184636,28698400,29411900,30592932,31320812,31604816,31564504,31391168,31163688,30884124,30670940,30478532,30342436,30421308,30621968,30424860,30741432,31273080,31868976,32701872,33273176,33541296,33736896,33654032,33958360,34399036,35292332,36506948,37531372,37893080,37577504,36930324,36492908,36373708,36703096,37102036,37563836,38090824,38550528,39207788,39731640,40497140,40692036,40779267,41207200
 "51000","Virginia",5,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",7495292,7657972,7827716,8022592,8235468,8149552,8317416,8521800,8750264,8897448,9085104,9182048,9375232,9498808,9426324,9551576,9595592,9732800,9831104,9804032,9989884,10162952,10394664,10659180,10974380,11181828,11455092,11662172,11773312,11953492,12210292,12343740,12670812,12727212,12795876,12940264,13186236,13141024,13220084,13321360,13465044,13546584,13692576,13760256,13495124,13711932,13713636,13802904,14007132,14227944,14256644,14261084,14715876,14746980,14920516,14793276,15159396,15202156,15296552,15641464,15590848,15616836,15529388,15602884,15687936,15732056,15841700,16096996,16230656,16533428,16702288,16703144,16512312,16558020,16718816,16984396,17172400,17303100,17456692,17591324,17613028,17630680,17798308,17868020,18208339,18427344
 "51000","Virginia",5,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",188360,192888,196080,197688,201084,202224,201280,199024,185272,181060,182456,188832,217220,219712,221456,222452,270392,269552,267960,265444,294912,294332,297112,303244,284352,290980,295500,298000,241180,240064,237528,233604,260552,260364,265612,276524,302676,315452,323664,326952,300600,299848,299760,300488,279800,280028,279340,277504,286648,281288,274092,264956,232348,230308,236156,250016,318112,335012,343916,344888,340240,337232,337796,341604,369940,372304,370580,364552,307080,302412,301928,305620,337852,344676,349752,353424,343944,344984,344796,343456,340456,340472,342704,347592,353944,358539
 "51000","Virginia",5,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",130670208,133711164,136810444,140321732,144358592,142912528,146167788,150195228,154935208,158246076,161443944,162700164,165759752,168052460,165700068,167367108,167352696,169939508,172231604,172590440,174949840,178050484,182307628,186788992,188912740,192077860,196955212,201070972,202860912,206192612,210117068,211187920,215826540,216017504,217211164,220397028,227108536,228059792,229807460,231177936,233551588,234611152,236594260,237522128,233182544,236469108,236638712,238459428,237044072,241367684,243083436,244015820,245494580,246274936,249199624,247496672,251519352,252136320,253882256,259456740,259229632,259270724,258045360,259481436,262590908,264067652,265912988,270206764,274027188,278927528,281847780,281990236,280797208,281589268,284043240,288221272,291161340,293452744,296694812,299825160,304785080,306387532,310586712,312240948,316948782,320934306
 "51000","Virginia",5,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",97521120,100331844,102927168,106371460,110097304,108134420,110336124,113724244,117859460,120428012,123598688,124134356,127138368,129090628,126078636,126878408,126091936,127622940,128758708,128898260,130668876,132626048,136032924,139667036,140518340,142911044,147375896,150794976,151581324,154594616,158171944,158491836,162423784,161759844,162695228,164668776,170561684,170624256,171464768,172181288,173966908,174281272,175535652,175922432,170999644,173565560,173269980,175122552,171916604,175928888,177937956,178679012,179619516,180647904,183462744,181216136,185533312,185583188,186959248,191866016,191674124,191633292,190795024,191402596,193698432,194672688,196093044,199857668,202287380,206445824,208900164,208994964,206934620,207935420,210258744,213536228,216174460,217827892,220473320,223054300,227703536,228651720,230829448,232898368,237219237,240603183
 "51000","Virginia",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",162432,172724,177064,167348,183652,172136,165716,167908,150792,145196,171044,212904,152540,145132,142276,145192,144456,145444,138692,137736,141448,140908,150936,159508,167576,175668,176932,174696,164488,168024,168200,168848,182440,183172,178284,184944,183120,190676,193576,188860,184224,181032,186192,191404,185752,194476,201328,195636,188504,201968,196916,194784,191272,196872,201056,209448,210752,217272,220912,217500,222596,221672,221060,227056,231384,242712,253204,264888,261784,284220,306392,304924,307892,296980,295692,307464,314832,311204,318040,312764,320864,332608,333232,351288,302769,336136
 "51000","Virginia",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",455892,463260,470236,459988,452352,430120,433672,444996,443584,455452,463784,472268,500760,491612,518116,488356,485820,460652,447196,458228,438460,464512,464920,486368,470212,511240,507192,547772,521084,542972,575992,572896,619872,621456,653436,601536,621792,621744,600680,586860,622644,659528,684108,719456,650000,603640,623164,650412,625536,735060,709768,709224,710016,733480,787632,779068,745328,777740,748736,709432,713172,704352,648372,641824,653120,632860,609816,653444,586388,595536,568852,573392,476256,466472,485500,486836,505152,504668,546168,521084,542896,548412,556312,541680,583950,615677
