GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "00000","United States", ,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",4934756000,5021336000,5108324000,5193500000,5283404000,5340300000,5419868000,5552340000,5747472000,5789228000,5899912000,5936912000,6043664000,6034416000,6018468000,6031612000,6054504000,6122864000,6150576000,6186908000,6205332000,6297876000,6383988000,6490660000,6532172000,6659812000,6794596000,6855424000,6918688000,6997944000,7114540000,7201296000,7369784000,7417404000,7476096000,7613836000,7796632000,7836792000,7876320000,7969900000,8048412000,8046460000,8064980000,8034672000,7718420000,7748848000,7732780000,7782628000,7752136000,7895188000,7966960000,8024964000,8152932000,8188828000,8269732000,8223316000,8439028000,8487108000,8529436000,8746096000,8716436000,8803588000,8829712000,8926576000,9097968000,9156912000,9265536000,9418884000,9549916000,9653988000,9735468000,9799772000,9830008000,9886628000,9979648000,10091416000,10214108000,10320720000,10442148000,10613344000,10770444000,10859672000,10977576000,11040152000,11289113000,11418250000
 "00000","United States", ,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",4070132000,4141016000,4213416000,4285320000,4363620000,4408260000,4472112000,4583084000,4752344000,4779100000,4869836000,4893780000,4975720000,4957672000,4932664000,4934448000,4942508000,4995032000,5009028000,5023920000,5023308000,5096500000,5163824000,5251280000,5270120000,5376828000,5488424000,5531840000,5571976000,5635204000,5735212000,5811200000,5966500000,6007024000,6055656000,6176248000,6339388000,6366956000,6393680000,6471304000,6538004000,6529364000,6542980000,6514048000,6219116000,6247032000,6229276000,6270540000,6223900000,6351576000,6413760000,6464236000,6567036000,6597652000,6671172000,6627152000,6826000000,6866336000,6896356000,7083972000,7034492000,7093744000,7103744000,7187164000,7349140000,7400620000,7494692000,7626368000,7738160000,7823568000,7891656000,7946456000,7976196000,8025548000,8105584000,8200900000,8304072000,8391192000,8490372000,8634548000,8768384000,8836036000,8933132000,8980476000,9201796000,9309574000
 "00000","United States", ,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",864624000,880320000,894908000,908180000,919784000,932040000,947756000,969256000,995128000,1010128000,1030076000,1043132000,1067944000,1076744000,1085804000,1097164000,1111996000,1127832000,1141548000,1162988000,1182024000,1201376000,1220164000,1239380000,1262052000,1282984000,1306172000,1323584000,1346712000,1362740000,1379328000,1390096000,1403284000,1410380000,1420440000,1437588000,1457244000,1469836000,1482640000,1498596000,1510408000,1517096000,1522000000,1520624000,1499304000,1501816000,1503504000,1512088000,1528236000,1543612000,1553200000,1560728000,1585896000,1591176000,1598560000,1596164000,1613028000,1620772000,1633080000,1662124000,1681944000,1709844000,1725968000,1739412000,1748828000,1756292000,1770844000,1792516000,1811756000,1830420000,1843812000,1853316000,1853812000,1861080000,1874064000,1890516000,1910036000,1929528000,1951776000,1978796000,2002060000,2023636000,2044444000,2059676000,2087317000,2108676000
 "00000","United States", ,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",564684000,575936000,585860000,594528000,602060000,611852000,624228000,639284000,655068000,669176000,682496000,692820000,710676000,719304000,728920000,738964000,750924000,762400000,774616000,794560000,808716000,822292000,835840000,848668000,863932000,877552000,893032000,908104000,926332000,938840000,949104000,955180000,960356000,965832000,974156000,984944000,998252000,1010744000,1022444000,1032968000,1041392000,1047428000,1049920000,1048652000,1044064000,1043192000,1046472000,1053736000,1064956000,1074912000,1083240000,1090068000,1096028000,1100296000,1103264000,1104884000,1105904000,1111672000,1122760000,1139104000,1162464000,1184848000,1200048000,1208216000,1210256000,1215444000,1224084000,1236716000,1251296000,1263820000,1272544000,1278408000,1280604000,1284524000,1291920000,1301452000,1314440000,1328312000,1344816000,1363916000,1385528000,1404480000,1420096000,1432672000,1443646000,1457956000
 "00000","United States", ,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",299940000,304384000,309048000,313652000,317724000,320188000,323528000,329972000,340060000,340952000,347580000,350312000,357268000,357440000,356884000,358200000,361072000,365432000,366932000,368428000,373308000,379084000,384324000,390712000,398120000,405432000,413140000,415480000,420380000,423900000,430224000,434916000,442928000,444548000,446284000,452644000,458992000,459092000,460196000,465628000,469016000,469668000,472080000,471972000,455240000,458624000,457032000,458352000,463280000,468700000,469960000,470660000,489868000,490880000,495296000,491280000,507124000,509100000,510320000,523020000,519480000,524996000,525920000,531196000,538572000,540848000,546760000,555800000,560460000,566600000,571268000,574908000,573208000,576556000,582144000,589064000,595596000,601216000,606960000,614880000,616532000,619156000,624348000,627004000,643671000,650720000
 "00000","United States", ,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",17772604,18052124,18274708,18452564,18566720,18709216,18886828,19061236,19239228,19483288,19761304,20092180,20495376,20793244,20980968,21054412,21009468,20887628,20732684,20534220,20294096,20266476,20475332,20920096,21664836,22147740,22418932,22488492,22378124,22179556,21935476,21646844,21297616,21406300,21937256,22906828,24219716,25235264,25853916,26043104,25814424,25664964,25603236,25641376,25881896,25873936,25748912,25483256,25179256,24641224,24016196,23287324,22446360,22361124,23046000,24530516,26720336,28242068,29065700,29183896,28685596,28410248,28423088,28693068,29285392,29417848,29178188,28554572,27548480,27057584,27064568,27573368,28575052,29313284,29750364,29905300,29776192,29722484,29780892,29952432,30153112,30516200,30960164,31526524,32105800,32522500
 "00000","United States", ,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",4916983396,5003283876,5090049292,5175047436,5264837280,5321590784,5400981172,5533278764,5728232772,5769744712,5880150696,5916819820,6023168624,6013622756,5997487032,6010557588,6033494532,6101976372,6129843316,6166373780,6185037904,6277609524,6363512668,6469739904,6510507164,6637664260,6772177068,6832935508,6896309876,6975764444,7092604524,7179649156,7348486384,7395997700,7454158744,7590929172,7772412284,7811556736,7850466084,7943856896,8022597576,8020795036,8039376764,8009030624,7692538104,7722974064,7707031088,7757144744,7726956744,7870546776,7942943804,8001676676,8130485640,8166466876,8246686000,8198785484,8412307664,8458865932,8500370300,8716912104,8687750404,8775177752,8801288912,8897882932,9068682608,9127494152,9236357812,9390329428,9522367520,9626930416,9708403432,9772198632,9801432948,9857314716,9949897636,10061510700,10184331808,10290997516,10412367108,10583391568,10740290888,10829155800,10946615836,11008625476,11257007200,11385727500
 "00000","United States", ,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",4017501980,4092362420,4166621844,4240601756,4319716380,4361758364,4423867616,4539381640,4718759672,4740924420,4843068928,4866850980,4955709800,4926090060,4886941164,4879966976,4887053192,4939450476,4950192604,4969895728,4967684236,5044197636,5119059800,5213202328,5229871172,5339469232,5461586452,5504381144,5551414304,5618481244,5722543428,5795229024,5953326284,5983207308,6017532568,6136001840,6298314336,6322920092,6341527216,6414930356,6473162060,6455897276,6456981976,6413542688,6091442264,6106894236,6083140552,6122298948,6071019328,6196912340,6272238340,6329073992,6455421556,6483320140,6567984156,6528758148,6737230384,6786295088,6821111868,7028358660,6978180308,7055271128,7075342836,7158101728,7323176240,7370316388,7463960148,7600875224,7717898064,7806833892,7877462848,7933121196,7953703148,8000462940,8079340560,8183725352,8293685276,8388949488,8493656408,8647252828,8787528008,8855587920,8948368220,8994347852,9236305400,9349939400
 "00000","United States", ,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",11250100,11247900,11441888,11560112,11742292,11642968,11688816,11929924,10836424,10756212,12370272,15525092,12182820,12116124,11928448,12148608,12241292,12471840,12546128,12468740,12511280,12514372,12867752,13558596,14258408,14921316,14682948,14553328,14443244,14220652,14510144,15021960,15956248,15787224,16240128,16452400,15938776,16689048,16683252,16532924,16406752,16409848,16624884,16754516,16561400,16979328,17148128,17027144,17029460,17368592,17537752,17556196,17558340,17337720,18471300,18892640,19427168,19542916,19830820,20179096,20127272,20281288,20145904,20537536,21444412,21572992,22041704,22348892,22540216,22638924,24330508,24038352,24795280,24476328,24375348,24733044,24835148,25127472,25429376,25864004,26564884,26528892,26776780,27165444,27126000,27403300
 "00000","United States", ,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",35306836,34389028,34076980,33619156,33594348,33999940,32627144,33450568,34352132,33469892,35249004,35808972,38737724,38954260,39168040,37591976,36308940,35362124,35371944,35988992,35124328,36773392,37219068,39367212,39919248,40929908,42317320,42897524,45537348,44785424,49303360,49153868,54985864,56851568,57183024,58975544,59129620,62436860,63404264,65861256,68984148,72857160,74730360,74704332,67266636,63762780,63541244,64209340,66018432,67428724,69554004,73674840,77060628,78182644,82745944,83082784,88353584,90213960,90560560,92979896,91127092,94740344,93936596,94399968,97098884,100556624,102915032,103981460,99374136,93128528,89085640,85951696,79304268,73703756,72416596,72631380,74640724,75596804,77985528,79088944,83530552,84034364,85389616,83941468,90053400,94796600
