GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "10000","Delaware",2,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",850340,841136,865444,871808,894552,911692,903176,895216,947588,945992,956492,944244,931264,968308,971600,1003504,990040,1024376,1035072,1047396,1076732,1111496,1122328,1138956,1157532,1174528,1223228,1246380,1300576,1301872,1335864,1380292,1427040,1449772,1463668,1508272,1485652,1548888,1584756,1601400,1639732,1685344,1710988,1723620,1788400,1773088,1841844,1881764,1912984,1963548,1965704,1995628,2107832,2139012,2168100,2240944,2298020,2377624,2424140,2473752,2570436,2647848,2704208,2791628,2771196,2838536,2979864,2952956,3014988,2954548,3073648,3182368,3238792,3337540,3321632,3446988,3447968,3579508,3679340,3780572,3866444,3993588,4094836,4177568,4280080,4390416,4501180,4628048,4834380,4861908,4968504,5183308,5203628,5302940,5434464,5488692,5608708,5740836,5886028,5981152,6128912,6155492,6274156,6447612,6561260,6757648,6882084,7085864,7251200,7401616,7470720,7690564,7728140,7812500,7963036,8237680,8400120,8616848,8829308,9040532,9062316,9437844,9726240,10009352,10215748,10390908,10550412,10708136,10872076,11011472,11184696,11099940,11293276,11286032,11482988,11659668,11652508,11906572,12038396,11974932,12008984,12276584,12355468,12585748,12516612,12871936,12937964,13178468,13407488,13576352,13707628,13949112,14213780,14450488,14714572,15024924,15223224,15298636,15881572,16075232,16570520,16796912,16905828,17266816,17743676,17768788,17942248,18464860,18856808,18862896,19192092,19605484,19540828,19826988,20222804,20443868
 "10000","Delaware",2,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",777764,769284,792480,798040,813832,829684,820572,812984,856584,854288,863584,852728,841592,876236,880116,909656,893532,924172,933044,943756,967844,999492,1008968,1023692,1040760,1055344,1098544,1119288,1168896,1171760,1202628,1242348,1275788,1295764,1308572,1347648,1327504,1380508,1412496,1427640,1463580,1506664,1532300,1545992,1594940,1583076,1646132,1683748,1712036,1756768,1756084,1778452,1865984,1890352,1912652,1975996,2016724,2086148,2129852,2176196,2246944,2318548,2370548,2449612,2429136,2487856,2605540,2572488,2603964,2539564,2637536,2729960,2773532,2859332,2846512,2947096,2935164,3044092,3124848,3211860,3278184,3390968,3477368,3546192,3625032,3711756,3801792,3902336,4073076,4089784,4172392,4351808,4369768,4448884,4556816,4591384,4691884,4786064,4899588,4964272,5066744,5083084,5178360,5333188,5412616,5582560,5686568,5848144,5974088,6088912,6133320,6300308,6314252,6371480,6487344,6717480,6876292,7070320,7256552,7445404,7441808,7755300,7985712,8208284,8364692,8495004,8615324,8748092,8875500,9005652,9147112,9066740,9213820,9194936,9332412,9444572,9405080,9580344,9670192,9631620,9627140,9860104,9925128,10116296,10034088,10350392,10407156,10625112,10836304,10992976,11112716,11318472,11545952,11752712,11977552,12240016,12419344,12488128,12969312,13130064,13556840,13763108,13842424,14160080,14582344,14600476,14728996,15146756,15459432,15418848,15700480,16046032,15994952,16255292,16544084,16725068
 "10000","Delaware",2,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",72576,71852,72964,73768,80720,82008,82604,82232,91004,91704,92908,91516,89672,92072,91484,93848,96508,100204,102028,103640,108888,112004,113360,115264,116772,119184,124684,127092,131680,130112,133236,137944,151252,154008,155096,160624,158148,168380,172260,173760,176152,178680,178688,177628,193460,190012,195712,198016,200948,206780,209620,217176,241848,248660,255448,264948,281296,291476,294288,297556,323492,329300,333660,342016,342060,350680,374324,380468,411024,414984,436112,452408,465260,478208,475120,499892,512804,535416,554492,568712,588260,602620,617468,631376,655048,678660,699388,725712,761304,772124,796112,831500,833860,854056,877648,897308,916824,954772,986440,1016880,1062168,1072408,1095796,1114424,1148644,1175088,1195516,1237720,1277112,1312704,1337400,1390256,1413888,1441020,1475692,1520200,1523828,1546528,1572756,1595128,1620508,1682544,1740528,1801068,1851056,1895904,1935088,1960044,1996576,2005820,2037584,2033200,2079456,2091096,2150576,2215096,2247428,2326228,2368204,2343312,2381844,2416480,2430340,2469452,2482524,2521544,2530808,2553356,2571184,2583376,2594912,2630640,2667828,2697776,2737020,2784908,2803880,2810508,2912260,2945168,3013680,3033804,3063404,3106736,3161332,3168312,3213252,3318104,3397376,3444048,3491612,3559452,3545876,3571696,3678720,3718800
 "10000","Delaware",2,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",56644,55728,55968,55904,58000,57772,57676,56816,59456,60196,61284,61044,60096,62212,62120,63676,63164,65592,66884,67988,69668,71604,72956,74716,77432,80332,85172,87880,92564,91620,94352,97920,101516,103216,103104,105924,102080,108808,111580,113512,116092,119248,119940,119616,121652,119576,122692,123876,125752,129956,133516,140628,155448,161724,168404,175356,179688,187000,189192,191192,193320,196168,198320,201648,197768,203144,220124,230316,256772,265076,280880,291876,291772,301508,301660,321364,329496,347276,362436,372920,379008,385368,394672,402716,416132,432612,446976,466476,494420,504988,522744,544536,529960,544104,560148,577380,586652,615488,640236,667260,691660,703028,720784,732860,738944,756100,771764,802176,830928,857304,877088,915328,936908,959848,984208,1011212,1009568,1022880,1039016,1051180,1059724,1099388,1137628,1179628,1221584,1255880,1287388,1308028,1336784,1342508,1363724,1363816,1394684,1402708,1449568,1501352,1531840,1597216,1635116,1632028,1642440,1670596,1680384,1710056,1708300,1730108,1734960,1743152,1750528,1757728,1764976,1792584,1824240,1841784,1867756,1895628,1905596,1907484,1975084,1995488,2038500,2048412,2070280,2090136,2117504,2120820,2160064,2238404,2296628,2349728,2383628,2435776,2441196,2456032,2546840,2569952
 "10000","Delaware",2,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",15932,16124,16996,17864,22720,24236,24928,25416,31548,31508,31624,30472,29576,29860,29364,30172,33344,34612,35144,35652,39220,40400,40404,40548,39340,38852,39512,39212,39116,38492,38884,40024,49736,50792,51992,54700,56068,59572,60680,60248,60060,59432,58748,58012,71808,70436,73020,74140,75196,76824,76104,76548,86400,86936,87044,89592,101608,104476,105096,106364,130172,133132,135340,140368,144292,147536,154200,150152,154252,149908,155232,160532,173488,176700,173460,178528,183308,188140,192056,195792,209252,217252,222796,228660,238916,246048,252412,259236,266884,267136,273368,286964,303900,309952,317500,319928,330172,339284,346204,349620,370508,369380,375012,381564,409700,418988,423752,435544,446184,455400,460312,474928,476980,481172,491484,508988,514260,523648,533740,543948,560784,583156,602900,621440,629472,640024,647700,652016,659792,663312,673860,669384,684772,688388,701008,713744,715588,729012,733088,711284,739404,745884,749956,759396,774224,791436,795848,810204,820656,825648,829936,838056,843588,855992,869264,889280,898284,903024,937176,949680,975180,985392,993124,1016600,1043828,1047492,1053188,1079700,1100748,1094320,1107984,1123676,1104680,1115664,1131880,1148848
 "10000","Delaware",2,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",10352,10480,10088,9836,8452,6988,6464,6872,7420,8304,8964,9148,8740,8184,8276,8192,8608,8984,9344,9412,9496,8944,9512,8484,8380,8528,8348,8608,9252,10140,10176,9912,9412,9152,8796,8548,8480,7880,8128,8440,8904,8540,9260,9344,8920,9116,9332,9720,9928,10216,10380,10168,9908,9684,9868,9776,10008,9872,10016,10168,9520,9620,9836,10284,10516,11004,11052,10864,11080,10752,10360,10496,10844,11392,11372,11276,11548,11104,11612,12684,16312,18172,19704,20744,20252,20268,20268,20476,20908,21144,21016,20504,20620,20256,20276,20700,21368,21940,22144,21960,21292,20856,20580,20484,20436,20600,20812,21028,21072,21148,21000,20620,19968,19640,19440,19408,19296,19544,19960,20536,21180,21728,22160,22432,22324,22684,23292,24212,25688,26580,26940,26748,26176,25604,25060,24612,24112,23928,24148,24688,25776,26748,27316,27344,27040,26640,26828,27580,29164,30276,31192,31820,31876,32040,32448,33068,34044,34872,35452,35796,34352,34468,34240,33832,30580,30116,30144,30592,33100,34112,35064,35848,34636,35188,35492,35512
 "10000","Delaware",2,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",839988,830656,855356,861972,886100,904704,896712,888344,940168,937688,947528,935096,922524,960124,963324,995312,981432,1015392,1025728,1037984,1067236,1102552,1112816,1130472,1149152,1166000,1214880,1237772,1291324,1291732,1325688,1370380,1417628,1440620,1454872,1499724,1477172,1541008,1576628,1592960,1630828,1676804,1701728,1714276,1779480,1763972,1832512,1872044,1903056,1953332,1955324,1985460,2097924,2129328,2158232,2231168,2288012,2367752,2414124,2463584,2560916,2638228,2694372,2781344,2760680,2827532,2968812,2942092,3003908,2943796,3063288,3171872,3227948,3326148,3310260,3435712,3436420,3568404,3667728,3767888,3850132,3975416,4075132,4156824,4259828,4370148,4480912,4607572,4813472,4840764,4947488,5162804,5183008,5282684,5414188,5467992,5587340,5718896,5863884,5959192,6107620,6134636,6253576,6427128,6540824,6737048,6861272,7064836,7230128,7380468,7449720,7669944,7708172,7792860,7943596,8218272,8380824,8597304,8809348,9019996,9041136,9416116,9704080,9986920,10193424,10368224,10527120,10683924,10846388,10984892,11157756,11073192,11267100,11260428,11457928,11635056,11628396,11882644,12014248,11950244,11983208,12249836,12328152,12558404,12489572,12845296,12911136,13150888,13378324,13546076,13676436,13917292,14181904,14418448,14682124,14991856,15189180,15263764,15846120,16039436,16536168,16762444,16871588,17232984,17713096,17738672,17912104,18434268,18823708,18828784,19157028,19569636,19506192,19791800,20187312,20408356
 "10000","Delaware",2,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",711492,703140,727248,736748,756848,775844,764800,757592,810352,803044,809940,795416,778824,813172,817232,844892,830692,861168,871144,877340,901752,934544,939748,952528,966492,975828,1019180,1042684,1094500,1103400,1123868,1165832,1203584,1219996,1230672,1266136,1236388,1293328,1315588,1324268,1353640,1392996,1418132,1427736,1493380,1477432,1536992,1563316,1576488,1615016,1604744,1619264,1714324,1729836,1744816,1810976,1859084,1923872,1956340,1998896,2086676,2156228,2214344,2286360,2252328,2315012,2427928,2392612,2442628,2369452,2455216,2567612,2617940,2702044,2677820,2783228,2765692,2895512,2994892,3068248,3129640,3246920,3331152,3409208,3482520,3584716,3680628,3787936,3995884,3978820,4076076,4271292,4298312,4362048,4457796,4463384,4603640,4722592,4846728,4923088,5042416,5074076,5196500,5351740,5432864,5617876,5718080,5898536,6032992,6173856,6215700,6406940,6425972,6513320,6620304,6866096,6999580,7206532,7400172,7599576,7555036,7898076,8177840,8413608,8594344,8753684,8880908,9013908,9148484,9222992,9375896,9259748,9404048,9390288,9538712,9760864,9707448,9908960,10011008,9946248,9937360,10185988,10239000,10450604,10336960,10725460,10721852,10923872,11143344,11273264,11377952,11587172,11832816,12038852,12281844,12579356,12753508,12829380,13381448,13527244,13995876,14203788,14239192,14583084,14988312,15029108,15131024,15610456,15987248,15857244,16224936,16574412,16418000,16820404,16988976,17258876
 "10000","Delaware",2,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",2560,2544,2552,2528,2564,2548,2588,2176,2188,2212,2200,2212,2184,2600,2572,2564,2588,2580,2584,2580,2608,3004,3020,3020,3024,2996,2996,3008,3448,3452,3480,3916,3952,3520,3488,3920,3924,3936,3928,3908,3904,3888,3452,3464,3844,3752,3824,4184,4116,4620,4696,4688,4760,4712,4676,4620,4700,5012,5040,5480,5636,6204,6060,6480,6384,6852,6908,6880,7180,6776,7344,7060,7668,8056,8132,7872,6932,6576,7556,8140,9004,10256,11604,11476,11160,10828,11092,11320,12060,12380,12040,11728,11820,11408,11076,10804,10984,12144,12880,13896,14732,15524,15300,17036,16740,16752,17972,20576,18032,20056,21124,20992,21776,22972,23192,24700,26412,27152,27728,27392,30468,28848,30272,29940,29504,29724,31908,32120,33076,33736,33104,33800,34364,35140,33880,35476,34320,35036,35332,33428,36804,36460,37492,39028,39380,39672,40660,41336,42940,43800,43084,44540,46588,45664,48704,48576,50308,50552,51420,53160,55004,56028,59720,60692,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "10000","Delaware",2,SQINC6S,200,"B","   Mining","Thousands of dollars",472,476,448,456,460,556,460,780,444,412,364,420,440,396,376,336,356,408,420,416,444,484,400,416,440,408,432,456,452,504,472,612,652,692,708,608,764,860,756,620,436,496,628,516,532,432,496,604,592,684,856,748,664,728,828,648,1440,1680,1808,1920,2068,2168,2816,4672,4716,4860,4424,3984,5252,5628,5084,2416,4992,5108,4980,5888,6060,6168,6144,7128,7388,6136,6520,7824,6164,4452,3392,1688,1584,2176,2528,2352,1656,1664,1680,2064,2616,3328,3288,3832,4880,4456,5068,4556,4240,4312,4760,6396,4368,4416,4552,4892,4968,4056,2784,2416,2728,2272,2740,2384,3380,3292,3476,4088,4356,4940,4616,4892,5224,5380,5276,6032,6132,5892,5396,5584,5424,6308,5720,4548,2956,3180,3696,3268,4080,3024,3680,3744,3960,3820,3656,3696,3884,3840,4028,4116,4404,4676,4292,4268,4552,4236,4244,4128,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
