GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "17000","Illinois",3,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",17925352,17810468,18002320,18306724,18951436,19532780,19578272,19710712,20147800,20213068,20322692,20171356,20217968,20398728,20638092,20945756,21290420,21791628,21871768,21989256,22217404,22420032,22720484,22937652,23459980,23992412,24407516,24868280,25234012,25688544,26100080,27050560,27668604,28368800,29167304,29754732,29940948,30325456,30870024,31274396,32024856,32816760,33397836,34349208,35362668,36223884,37085616,37459644,38215440,38136040,39048180,39419300,39781352,40910780,41468504,42169440,43515568,44388720,44701400,45736312,47438064,48808456,49830228,51121104,52120944,53114944,54706044,55805772,55685868,55907224,56925240,58277664,60210588,61705380,62858092,64740796,66021804,68086700,70004260,71819292,73825808,76042900,77978520,79948628,81695720,83244196,85545800,86649212,88477484,88519084,89196288,91003984,93773820,95430728,96908104,98375096,98239204,99548232,99944292,99113864,99985324,101366080,104241108,106749408,109359116,112327092,114298236,115922928,116764652,118457496,120554168,122666860,123999340,126468152,128458528,130374108,132994820,134510924,137217512,140107852,144407128,146327748,149333296,152172240,154482772,155840324,157384820,159995284,163011892,166223276,167960388,170332764,169116152,171848792,173822580,176191176,179808936,183423656,185006680,188388148,187929356,190904528,193469960,197078808,197247008,201715180,204333304,205922824,210058404,210622948,212798380,215875472,217615992,220590012,224152140,226808128,229673624,234118468,238383720,243504788,246634816,251704228,256279392,259848808,264069508,267642708,267662752,274103964,281486524,282213348,287922300,289769824,295377824,293841012,295007572,296078860
 "17000","Illinois",3,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",16608024,16493760,16683956,16973016,17490636,18046572,18066872,18173736,18494356,18531252,18606348,18454512,18481136,18651884,18878444,19165616,19412720,19878352,19949280,20058684,20227520,20418888,20693600,20884368,21374260,21854924,22237040,22654780,23006248,23420908,23784872,24644720,25062528,25699644,26439664,26987540,27158792,27517376,28015416,28369052,29032504,29745492,30271520,31129876,31747572,32512756,33284720,33613680,34260268,34168044,34969404,35280404,35529636,36538684,37005848,37567704,38555628,39292816,39582712,40562312,41835072,43120472,44070092,45229720,46003788,46848400,48203792,49042804,48727648,48784696,49634668,50809600,52348196,53626344,54548116,56049004,56897996,58623200,60259240,61865192,63492424,65475880,67145736,68800604,70168524,71378872,73284116,74158220,75649728,75575244,76070212,77725216,79891768,81328972,82568320,83761912,83475032,84461256,84657828,83790520,84214096,85342224,87751712,89985200,91913520,94465008,96121504,97397980,97948156,99248680,100916352,102628176,103651240,105538504,107068404,108598788,110849980,112088804,114360332,116991424,120398192,122097020,124504632,126706616,128432724,129204212,130240120,132327656,134654940,137497632,138953300,140686484,139464084,141512524,142809064,144341244,146791908,149334336,150378128,153359548,152427908,155173976,157203100,160293212,159965608,163935804,166169068,167826284,171667676,172457280,174505640,177219748,178883992,181605368,184830024,187280864,190111824,194042068,197732568,202122436,204480964,208661008,212422876,215524664,219095768,222014348,221977404,227452352,234185464,234463144,239025164,239999568,243836732,241621156,241656008,241786244
 "17000","Illinois",3,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",1317328,1316708,1318364,1333708,1460800,1486208,1511400,1536976,1653444,1681816,1716344,1716844,1736832,1746844,1759648,1780140,1877700,1913276,1922488,1930572,1989884,2001144,2026884,2053284,2085720,2137488,2170476,2213500,2227764,2267636,2315208,2405840,2606076,2669156,2727640,2767192,2782156,2808080,2854608,2905344,2992352,3071268,3126316,3219332,3615096,3711128,3800896,3845964,3955172,3967996,4078776,4138896,4251716,4372096,4462656,4601736,4959940,5095904,5118688,5174000,5602992,5687984,5760136,5891384,6117156,6266544,6502252,6762968,6958220,7122528,7290572,7468064,7862392,8079036,8309976,8691792,9123808,9463500,9745020,9954100,10333384,10567020,10832784,11148024,11527196,11865324,12261684,12490992,12827756,12943840,13126076,13278768,13882052,14101756,14339784,14613184,14764172,15086976,15286464,15323344,15771228,16023856,16489396,16764208,17445596,17862084,18176732,18524948,18816496,19208816,19637816,20038684,20348100,20929648,21390124,21775320,22144840,22422120,22857180,23116428,24008936,24230728,24828664,25465624,26050048,26636112,27144700,27667628,28356952,28725644,29007088,29646280,29652068,30336268,31013516,31849932,33017028,34089320,34628552,35028600,35501448,35730552,36266860,36785596,37281400,37779376,38164236,38096540,38390728,38165668,38292740,38655724,38732000,38984644,39322116,39527264,39561800,40076400,40651152,41382352,42153852,43043220,43856516,44324144,44973740,45628360,45685348,46651612,47301060,47750204,48897136,49770256,51541092,52219856,53351564,54292616
 "17000","Illinois",3,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",944392,946708,951348,968492,1023496,1035896,1049940,1056860,1065404,1078012,1097648,1105356,1117328,1131236,1146456,1166336,1191388,1218216,1231352,1239716,1247260,1256368,1278632,1304012,1348400,1397104,1431088,1476468,1509640,1550568,1597860,1668832,1705568,1755764,1796680,1830240,1842892,1861476,1895384,1929408,1978684,2036988,2077464,2146804,2248972,2321832,2385668,2427368,2514068,2540956,2633792,2692012,2700360,2785844,2875752,2997636,3134964,3247748,3282248,3303196,3315064,3342540,3374200,3428168,3504116,3617056,3794636,4040036,4259404,4449336,4585996,4700848,4800312,4947032,5128496,5441396,5704280,5962508,6174016,6316140,6430244,6531672,6692176,6873268,7086748,7315600,7586736,7764600,8066608,8230036,8372216,8455652,8595484,8733508,8894640,9089116,9188244,9446872,9651808,9765676,9981172,10158088,10455084,10589604,10726092,10954268,11152096,11455480,11723268,12051568,12388684,12672084,12892544,13347660,13687136,13995348,14273680,14513940,14825432,14944884,15337800,15473744,15890444,16344812,16898792,17406464,17869472,18311448,18895776,19158512,19339488,19851348,19882052,20356428,20917328,21654336,22554264,23470836,23943432,24400780,24483464,24652068,25044848,25386484,25635936,25930100,26140832,25980320,26068648,25816664,25826012,26004208,26044232,26122044,26252636,26317556,26259572,26550064,26905184,27371108,28070480,28704192,29279676,29592500,30066864,30572560,30685056,31339716,31598088,32061316,32932816,33740052,35241028,36059520,37197120,38107084
 "17000","Illinois",3,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",372936,370000,367016,365216,437304,450312,461460,480116,588040,603804,618696,611488,619504,615608,613192,613804,686312,695060,691136,690856,742624,744776,748252,749272,737320,740384,739388,737032,718124,717068,717348,737008,900508,913392,930960,936952,939264,946604,959224,975936,1013668,1034280,1048852,1072528,1366124,1389296,1415228,1418596,1441104,1427040,1444984,1446884,1551356,1586252,1586904,1604100,1824976,1848156,1836440,1870804,2287928,2345444,2385936,2463216,2613040,2649488,2707616,2722932,2698816,2673192,2704576,2767216,3062080,3132004,3181480,3250396,3419528,3500992,3571004,3637960,3903140,4035348,4140608,4274756,4440448,4549724,4674948,4726392,4761148,4713804,4753860,4823116,5286568,5368248,5445144,5524068,5575928,5640104,5634656,5557668,5790056,5865768,6034312,6174604,6719504,6907816,7024636,7069468,7093228,7157248,7249132,7366600,7455556,7581988,7702988,7779972,7871160,7908180,8031748,8171544,8671136,8756984,8938220,9120812,9151256,9229648,9275228,9356180,9461176,9567132,9667600,9794932,9770016,9979840,10096188,10195596,10462764,10618484,10685120,10627820,11017984,11078484,11222012,11399112,11645464,11849276,12023404,12116220,12322080,12349004,12466728,12651516,12687768,12862600,13069480,13209708,13302228,13526336,13745968,14011244,14083372,14339028,14576840,14731644,14906876,15055800,15000292,15311896,15702972,15688888,15964320,16030204,16300064,16160336,16154444,16185532
 "17000","Illinois",3,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",83320,86448,87248,92292,90340,86636,84492,90528,88084,90332,90408,94244,95248,95280,98844,101140,104928,107988,109616,111192,111656,109140,114144,104764,102256,107416,103540,100520,98292,102884,98708,99624,97716,98552,99416,101724,101044,99784,102868,100976,100524,95456,97644,96956,101708,104488,106244,108952,109428,113168,115248,112096,109904,107276,111104,109920,114128,110380,112784,116432,124380,132788,139124,146548,147724,150408,152032,161332,177464,185984,191396,206416,223520,236200,242752,249288,280696,286824,285180,276436,246096,235304,230516,232316,245944,253956,260300,264188,264212,263704,261864,257720,248832,248336,251892,259260,270360,276840,278884,276392,268988,262672,258488,256580,255428,257044,259148,261972,261368,262380,260616,255960,247256,242808,239788,238300,234512,236556,241188,248080,256596,264228,269544,272184,274388,278740,286344,297948,319544,330640,336052,335856,326208,320112,318264,319588,333636,336140,342148,350272,364104,369748,371872,369608,345264,343292,344424,348828,329360,334672,337328,337796,309452,307524,309296,314324,318852,328416,340724,353580,373904,389980,398164,398420,388000,380352,374284,371456,368012,370780,377228,387008,406760,412320,415888,417312
 "17000","Illinois",3,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",17842032,17724020,17915072,18214432,18861096,19446144,19493780,19620184,20059716,20122736,20232284,20077112,20122720,20303448,20539248,20844616,21185492,21683640,21762152,21878064,22105748,22310892,22606340,22832888,23357724,23884996,24303976,24767760,25135720,25585660,26001372,26950936,27570888,28270248,29067888,29653008,29839904,30225672,30767156,31173420,31924332,32721304,33300192,34252252,35260960,36119396,36979372,37350692,38106012,38022872,38932932,39307204,39671448,40803504,41357400,42059520,43401440,44278340,44588616,45619880,47313684,48675668,49691104,50974556,51973220,52964536,54554012,55644440,55508404,55721240,56733844,58071248,59987068,61469180,62615340,64491508,65741108,67799876,69719080,71542856,73579712,75807596,77748004,79716312,81449776,82990240,85285500,86385024,88213272,88255380,88934424,90746264,93524988,95182392,96656212,98115836,97968844,99271392,99665408,98837472,99716336,101103408,103982620,106492828,109103688,112070048,114039088,115660956,116503284,118195116,120293552,122410900,123752084,126225344,128218740,130135808,132760308,134274368,136976324,139859772,144150532,146063520,149063752,151900056,154208384,155561584,157098476,159697336,162692348,165892636,167624336,169996908,168789944,171528680,173504316,175871588,179475300,183087516,184664532,188037876,187565252,190534780,193098088,196709200,196901744,201371888,203988880,205573996,209729044,210288276,212461052,215537676,217306540,220282488,223842844,226493804,229354772,233790052,238042996,243151208,246260912,251314248,255881228,259450388,263681508,267262356,267288468,273732508,281118512,281842568,287545072,289382816,294971064,293428692,294591684,295661548
 "17000","Illinois",3,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",15634056,15482072,15651704,15962700,16535412,17131828,17117232,17231524,17630212,17622556,17646740,17447080,17461904,17598924,17814532,18061868,18366784,18815680,18870744,18958992,19139708,19320772,19585052,19739120,20187944,20641940,21036348,21438880,21768856,22135380,22463584,23283912,23817768,24415416,25150616,25627416,25690592,26027708,26438016,26772880,27336376,27996532,28479868,29301436,30262360,30985764,31665900,31879492,32409616,32073544,32834092,33099780,33293796,34275136,34587984,35202364,36361840,37048348,37233092,38179172,39661768,40938544,41837732,43029444,43887252,44732176,46173136,46950508,46451848,46321492,47139596,48347640,50118068,51548932,52730584,54333404,55428656,57361188,59151856,60719352,62366408,64469256,66049116,67785028,69179432,70843656,72636528,73733036,75493600,74830740,75964776,76893480,79398796,80646488,81891648,83194376,82575632,83626752,83648528,82626312,83117696,84668800,87489740,89590600,91843148,94457144,96444444,97400712,98261924,99626640,101323644,103210236,104545628,106317336,108166160,109524108,112115496,113437156,115951544,118832608,122410584,123827236,126563900,129057756,131081740,132047056,133074552,135423736,137806788,140251556,142263704,143246800,141719348,144211268,145665600,147469992,150472592,152998676,154759764,157716744,156513964,159817552,161549488,165648636,165195800,169156804,171629856,172886588,176482708,177222212,178840484,181472400,183173144,185643072,188908824,190900004,193793072,197993112,202001840,206537104,209264924,213877524,217808952,221218252,224802808,227700244,227534812,232990708,240219812,240660936,245169672,246575492,250945388,248096492,247729552,247723136
 "17000","Illinois",3,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",21172,21576,21508,21116,20524,19864,19464,19868,20300,21332,21688,21772,21472,21340,21192,21428,22576,23372,23684,23796,24088,24108,24332,24528,25040,25680,25860,25988,26200,26260,26020,26436,27332,27728,28484,29280,30224,31228,32024,33112,33944,34996,35840,36880,36372,37392,38196,38596,39876,40544,41976,43792,45360,47148,49388,51508,53064,54596,57176,59948,64404,67256,70500,72880,75100,76580,77672,77148,75816,76836,79144,81844,86168,89688,92688,94852,98392,100252,104644,112096,125436,133596,150084,148264,150896,164592,174348,184104,193280,198724,200440,200592,195452,181280,174180,178476,188372,201960,205564,203352,228496,226464,228404,239000,245292,261736,273576,284772,289324,296636,301124,307320,314680,338112,346828,358024,368928,396512,401884,415324,460740,455892,439964,466292,475516,500824,531784,531912,559356,576488,597296,610832,593704,633336,603584,610776,633748,653508,654952,656284,655312,648584,675420,686916,699860,703988,703212,708580,704128,711984,706648,701284,713000,726500,768504,754796,792256,803540,831016,849864,854192,877596,897816,976964,961500,1012888,1036940,1073016,1091424,1090964,1090880,1090152,1390104,1249288,1093648,1031844
 "17000","Illinois",3,SQINC6S,200,"B","   Mining","Thousands of dollars",200356,190152,192468,192916,199760,201008,197532,204340,196460,198556,195432,193148,192620,191592,193688,194616,194164,199092,197888,196664,196412,200416,195448,199124,198024,201396,203608,211512,214920,218432,215104,222320,223816,229268,232280,228124,233052,235536,245728,238336,234372,233196,235684,225980,256252,244368,253932,266412,264848,262440,280040,290056,282848,292532,297864,250404,311592,316696,312040,329828,315476,326520,351620,382876,392196,403224,409016,368180,482916,495268,439204,520228,570780,530980,532800,593448,626944,671452,686508,622564,336220,766820,820040,844484,858448,871028,874868,922960,974348,969668,970672,992148,1054032,686604,1117368,1207764,1168100,1139560,1116724,1105712,1053888,1045192,1067592,1143052,1137996,1129612,1150600,1128564,1125232,1128904,1102960,1095868,1078052,1061144,1045056,1024216,1010632,1027728,1008856,994776,935752,945704,948464,910104,909336,938432,903384,941324,956196,943724,947008,939852,926188,918720,912976,896368,854100,844828,892320,979916,803340,827640,747500,750232,871552,806220,836956,798048,778248,778256,753544,754188,760632,773968,764572,749924,734572,737312,674004,685988,678340,651796,714956,674856,688280,696960,678412,668016,656516,631528,636988,635700,643836,657528,673100,685280
