GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "20000","Kansas",4,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",2567812,2602600,2616224,2667988,2715644,2763440,2720948,2749228,2756048,2779256,2837032,2853836,2912292,2899448,2975048,2981812,3054176,3106532,3120220,3137232,3162492,3179452,3194944,3229864,3293752,3355500,3432196,3478508,3495788,3528296,3544600,3605616,3689036,3863236,3966376,4064532,4070824,4102332,4163428,4279460,4421192,4523816,4633376,4732576,4834472,4924888,5019208,5138356,5249896,5242016,5303852,5317032,5475152,5658352,5742628,5784604,6102052,6188632,6253604,6386944,6652868,6909752,7155332,7386604,7506256,7730212,8020852,8233544,8396196,8557096,8901564,9141256,9529096,9686232,9858300,10243820,10513772,10798288,11095300,11380432,11781252,12204928,12639548,13119868,13498788,13922248,14375528,14866744,15208328,15454296,15736620,16272028,16723332,17097956,17407360,17888476,18015532,18054708,18083448,18042068,18294660,18680588,19085240,19415972,20026264,20358008,20730028,21059180,21172784,21464912,21787720,21951012,22483296,22483112,22791408,23384708,23340916,23723192,24037928,24538228,24667448,25355372,25617768,26153036,26379140,26639176,26918636,27625356,27949208,28551196,29121320,29207500,29297716,29719208,30442488,31076476,31883576,32398444,32494160,33117236,33308388,33711396,34142180,34399664,34784136,35651220,35822944,36427800,36983972,37173824,37642960,37909324,38514900,39005328,39763484,40261148,41009952,41895868,42564800,43466096,44360880,45173416,45824580,46416188,47084580,47529220,47777668,49625144,49890480,50764780,51810504,50828704,52163404,52705152,53090460,53206644
 "20000","Kansas",4,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",2338204,2369708,2382904,2431396,2464352,2514864,2474620,2501840,2501688,2522824,2574544,2586908,2634424,2622604,2692384,2698700,2758232,2808116,2821204,2836440,2851240,2865604,2879444,2909728,2967912,3020428,3086432,3122352,3134992,3168468,3188704,3252632,3315152,3462808,3549404,3635580,3641472,3672072,3719064,3815588,3938116,4029056,4121128,4203856,4281032,4361396,4450788,4556864,4648180,4635156,4687272,4692420,4819280,4975980,5040936,5070468,5327588,5396156,5456080,5584512,5780736,6019608,6244888,6446952,6529708,6721168,6962732,7124932,7225800,7345568,7637760,7849328,8170684,8308256,8453468,8772080,8961728,9194568,9442768,9688168,10006220,10382520,10753392,11160052,11467544,11821280,12205376,12616244,12907304,13104660,13329260,13794248,14149880,14445312,14693396,15049984,15157712,15166976,15170852,15113564,15258036,15576004,15921428,16229336,16692864,16990564,17302228,17561664,17629968,17850548,18102060,18225752,18642408,18614288,18852080,19336768,19333816,19642068,19901280,20333740,20387652,20972444,21179124,21603196,21771048,21931852,22124272,22677056,22888332,23390964,23832340,23864748,23913888,24209580,24718784,25165664,25741940,26114148,26156700,26669828,26702864,27063248,27404084,27667080,27951940,28728576,28902788,29433452,29917972,30100196,30523912,30804800,31367796,31842220,32503404,32933496,33575828,34307960,34851080,35595696,36437652,37087720,37624424,38121480,38692384,39042388,39227304,40791776,41017640,41707936,42617996,41723940,42808020,43216668,43485792,43568456
 "20000","Kansas",4,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",229608,232892,233320,236592,251292,248576,246328,247388,254360,256432,262488,266928,277868,276844,282664,283112,295944,298416,299016,300792,311252,313848,315500,320136,325840,335072,345764,356156,360796,359828,355896,352984,373884,400428,416972,428952,429352,430260,444364,463872,483076,494760,512248,528720,553440,563492,568420,581492,601716,606860,616580,624612,655872,682372,701692,714136,774464,792476,797524,802432,872132,890144,910444,939652,976548,1009044,1058120,1108612,1170396,1211528,1263804,1291928,1358412,1377976,1404832,1471740,1552044,1603720,1652532,1692264,1775032,1822408,1886156,1959816,2031244,2100968,2170152,2250500,2301024,2349636,2407360,2477780,2573452,2652644,2713964,2838492,2857820,2887732,2912596,2928504,3036624,3104584,3163812,3186636,3333400,3367444,3427800,3497516,3542816,3614364,3685660,3725260,3840888,3868824,3939328,4047940,4007100,4081124,4136648,4204488,4279796,4382928,4438644,4549840,4608092,4707324,4794364,4948300,5060876,5160232,5288980,5342752,5383828,5509628,5723704,5910812,6141636,6284296,6337460,6447408,6605524,6648148,6738096,6732584,6832196,6922644,6920156,6994348,7066000,7073628,7119048,7104524,7147104,7163108,7260080,7327652,7434124,7587908,7713720,7870400,7923228,8085696,8200156,8294708,8392196,8486832,8550364,8833368,8872840,9056844,9192508,9104764,9355384,9488484,9604668,9638188
 "20000","Kansas",4,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",168824,171376,172640,176020,180008,177328,177048,178556,176536,178852,183248,188152,195892,196328,201512,203208,206468,208468,208768,209668,211684,212972,213876,217052,223708,231600,240148,248956,254412,251300,246276,241036,236696,258344,271528,279360,275480,273024,283992,298356,308588,317720,332264,346484,354392,362008,363132,371740,387024,392792,401336,410044,420576,439924,458448,470828,491736,508020,515048,517316,524052,531356,540240,554672,566620,587180,620676,662352,714656,751416,787616,805228,818056,832084,852604,901344,946384,985492,1022648,1052088,1084080,1106872,1144168,1184728,1217272,1257476,1298372,1352820,1399584,1445436,1489972,1531908,1537340,1595360,1639356,1737224,1729136,1757772,1787048,1814192,1868436,1920700,1960420,1964168,1997104,2009632,2048528,2104936,2151604,2211364,2267340,2299992,2379184,2409476,2460508,2534652,2515396,2573024,2612932,2651240,2665120,2725780,2769220,2849936,2924012,3006292,3066772,3159964,3218180,3259652,3338452,3381324,3422312,3520828,3684560,3839776,3995844,4110192,4166508,4288108,4350808,4396872,4457044,4445544,4462452,4504892,4492128,4535212,4594764,4602852,4623504,4594692,4613324,4592340,4638440,4665472,4734220,4840256,4927792,5031108,5039428,5154636,5232672,5305928,5365976,5446292,5504120,5679388,5702836,5840212,5906872,5883304,6054692,6158684,6257736,6284768
 "20000","Kansas",4,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",60784,61516,60680,60572,71284,71248,69280,68832,77824,77580,79240,78776,81976,80516,81152,79904,89476,89948,90248,91124,99568,100876,101624,103084,102132,103472,105616,107200,106384,108528,109620,111948,137188,142084,145444,149592,153872,157236,160372,165516,174488,177040,179984,182236,199048,201484,205288,209752,214692,214068,215244,214568,235296,242448,243244,243308,282728,284456,282476,285116,348080,358788,370204,384980,409928,421864,437444,446260,455740,460112,476188,486700,540356,545892,552228,570396,605660,618228,629884,640176,690952,715536,741988,775088,813972,843492,871780,897680,901440,904200,917388,945872,1036112,1057284,1074608,1101268,1128684,1129960,1125548,1114312,1168188,1183884,1203392,1222468,1336296,1357812,1379272,1392580,1391212,1403000,1418320,1425268,1461704,1459348,1478820,1513288,1491704,1508100,1523716,1553248,1614676,1657148,1669424,1699904,1684080,1701032,1727592,1788336,1842696,1900580,1950528,1961428,1961516,1988800,2039144,2071036,2145792,2174104,2170952,2159300,2254716,2251276,2281052,2287040,2369744,2417752,2428028,2459136,2471236,2470776,2495544,2509832,2533780,2570768,2621640,2662180,2699904,2747652,2785928,2839292,2883800,2931060,2967484,2988780,3026220,3040540,3046244,3153980,3170004,3216632,3285636,3221460,3300692,3329800,3346932,3353420
 "20000","Kansas",4,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",37964,40052,40832,43408,42212,39872,39040,42496,42612,44944,45552,47416,47208,46360,47244,48152,49816,51552,52572,54144,54352,53304,57720,55112,56160,62280,62356,62148,61268,64308,61896,63504,64032,65736,66560,67732,66564,64212,64956,62080,60940,57096,57640,56912,60456,62116,63044,64412,64136,66276,68584,67864,68584,69136,74632,73388,74052,69132,70112,73356,81260,88412,94664,101384,104652,107632,106636,107424,113520,112184,109832,114320,124208,131332,133892,136068,146544,147708,148996,149508,158456,158556,159984,163332,168880,172736,175888,178192,180248,180228,178960,176164,174592,173668,175284,179660,189008,193428,195068,193880,190628,187888,186592,186616,189252,190552,192116,193980,196524,197248,196012,192808,188252,184848,183364,183740,186288,189200,192836,196808,199716,203248,205844,207336,201912,203840,208376,215568,221192,228588,230564,227460,215272,207952,202492,199524,196840,199588,203876,209024,210056,213384,219992,227472,243688,255284,262040,263700,263880,257720,254740,256424,265372,273708,282136,289800,296944,301272,308248,317288,333488,345564,348340,343196,328892,316424,311408,314044,325696,338520,351860,364316,377216,383096,387072,389104
 "20000","Kansas",4,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",2529848,2562548,2575392,2624580,2673432,2723568,2681908,2706732,2713436,2734312,2791480,2806420,2865084,2853088,2927804,2933660,3004360,3054980,3067648,3083088,3108140,3126148,3137224,3174752,3237592,3293220,3369840,3416360,3434520,3463988,3482704,3542112,3625004,3797500,3899816,3996800,4004260,4038120,4098472,4217380,4360252,4466720,4575736,4675664,4774016,4862772,4956164,5073944,5185760,5175740,5235268,5249168,5406568,5589216,5667996,5711216,6028000,6119500,6183492,6313588,6571608,6821340,7060668,7285220,7401604,7622580,7914216,8126120,8282676,8444912,8791732,9026936,9404888,9554900,9724408,10107752,10367228,10650580,10946304,11230924,11622796,12046372,12479564,12956536,13329908,13749512,14199640,14688552,15028080,15274068,15557660,16095864,16548740,16924288,17232076,17708816,17826524,17861280,17888380,17848188,18104032,18492700,18898648,19229356,19837012,20167456,20537912,20865200,20976260,21267664,21591708,21758204,22295044,22298264,22608044,23200968,23154628,23533992,23845092,24341420,24467732,25152124,25411924,25945700,26177228,26435336,26710260,27409788,27728016,28322608,28890756,28980040,29082444,29511256,30239996,30876952,31686736,32198856,32290284,32908212,33098332,33498012,33922188,34172192,34540448,35395936,35560904,36164100,36720092,36916104,37388220,37652900,38249528,38731620,39481348,39971348,40713008,41594596,42256552,43148808,44027392,44827852,45476240,46072992,46755688,47212796,47466260,49311100,49564784,50426260,51458644,50464388,51786188,52322056,52703388,52817540
 "20000","Kansas",4,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",1917332,1933108,1934856,1980992,2026716,2082728,2039728,2058260,2052304,2060904,2106132,2112248,2152944,2135080,2194632,2184160,2245320,2290452,2301164,2313864,2327100,2344412,2348852,2372580,2415352,2444708,2496788,2516516,2526000,2566068,2596744,2665816,2762176,2861808,2914400,2984880,3001024,3054152,3097864,3169116,3277548,3357480,3425860,3471104,3510104,3573360,3679884,3755404,3809448,3761008,3800600,3797656,3916328,4038412,4054392,4099972,4393284,4449552,4483596,4601184,4824736,5067008,5292084,5482260,5546104,5739164,5991800,6168564,6256616,6371260,6680612,6868608,7212004,7292272,7457560,7787948,8009272,8243332,8489676,8749476,9086144,9499828,9872292,10238760,10581680,10971552,11353040,11760044,12072768,12168972,12357116,12786528,13283236,13549104,13741548,13903736,14139412,14129980,14128288,13997172,14201432,14548100,14935196,15242064,15773264,16033020,16323292,16484212,16547092,16760704,16979588,17077276,17531392,17500008,17775320,18291704,18233240,18583792,18807972,19287332,19240888,19795752,20016980,20436896,20571984,20721076,20955012,21494096,21711448,22211568,22672008,22794036,22959648,23182256,23568440,24036048,24679460,25064680,25154816,25715356,25714884,26144488,26452020,26693880,26896624,27655548,27800460,28303316,28795592,28964996,29391588,29677092,30200344,30707824,31459644,31895124,32692436,33415292,34010188,34781856,35693636,36312072,36887396,37323812,37996736,38187512,38474776,39938752,40104584,40848828,41891096,40929444,42070432,42406700,42546224,42532448
 "20000","Kansas",4,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",4004,3976,3976,4368,4368,4328,4800,4796,5200,5216,5676,5732,6152,6192,6648,6636,7168,7156,7156,7556,8040,7960,8408,8864,8948,9384,9364,9784,10200,10576,10584,11004,11588,11520,11488,11888,11860,11868,12276,12680,13544,13956,14832,15772,15860,16132,16572,17144,18148,18964,20040,20772,21240,21368,22016,22116,22028,22048,22600,23520,24828,25544,25972,25428,24744,23720,22576,21476,18956,19328,20084,20608,21748,21976,23024,23808,25180,25352,27056,29628,31392,33840,35900,37528,37188,38908,40356,40956,43944,46108,45780,47580,47800,46684,46852,47692,42684,45476,47588,49212,51700,52280,53720,56052,58516,63068,65940,69300,68808,73560,71484,75552,77456,81892,81600,84772,91512,90608,92744,90444,98668,98248,95580,100960,101572,102960,106556,109436,110672,112284,115724,114916,120216,123108,120984,122900,121204,121628,123848,124580,131620,136684,139376,138624,140056,145420,147296,148756,149808,153084,151920,159596,155128,157200,162900,167992,172372,169708,173636,180948,177468,185628,190776,201584,205324,212808,220064,223080,227088,231204,234800,232068,290056,265376,236416,221924
 "20000","Kansas",4,SQINC6S,200,"B","   Mining","Thousands of dollars",90200,88400,88328,90328,92364,93484,89392,90032,83828,88476,84800,85232,86756,84692,85908,85712,86156,84564,84416,84376,84312,84348,82612,83708,83604,84044,84040,82876,81456,81772,80192,79672,80688,78668,77424,77148,76840,79052,81252,80036,81696,80056,84200,83124,86280,88324,89336,93504,92152,90456,90300,90004,89120,88228,87400,86848,90796,87120,86500,86864,88004,91620,96376,101968,108772,115968,119644,116632,124280,129980,136020,144148,155452,144252,156668,159480,168920,179324,185284,193816,191964,227652,240852,248128,243180,250312,267092,287104,304632,356108,356788,402956,429396,458996,496672,521344,532940,504292,469244,450144,456244,456464,468860,486492,485216,493024,517836,517432,498236,487788,480032,474564,436912,343936,303736,296300,305492,319660,326828,330184,327600,317668,294916,273004,277352,283324,291412,297756,299692,312284,321688,343500,335836,328976,325412,312136,323640,318664,307492,353716,300224,330568,323216,313576,304584,305776,298580,305792,305628,298784,300336,298708,293868,302148,303220,303492,314044,333260,308168,312904,316192,295916,286260,267876,267168,250700,247868,254980,281352,297904,310576,324564,325792,336528,340676,341992
