GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "22000","Louisiana",5,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",3669164,3633676,3611568,3699176,3755160,3766764,3784996,3808740,3839796,3882212,3862360,3846812,3876544,3931192,3955124,4072072,4151912,4199272,4271220,4282708,4354580,4451280,4565752,4652684,4721672,4863336,4933292,5038768,5153200,5278444,5430084,5650332,5809680,5971664,6209504,6335504,6544800,6643768,6653592,6878984,7237136,7291784,7406540,7468948,7555052,7770060,8009488,8141700,8202504,8283380,8374232,8481780,8781192,8912812,9019240,9163280,9448700,9767100,9998764,10229920,10445604,10699968,11081456,11432684,11763060,12150760,12548648,12794204,13271532,13676604,14149880,14686932,15380352,15729164,16147964,16631608,17128992,17820628,18230168,18767992,19617184,20558608,21430640,22082028,22662740,23272328,24215396,25017796,26114592,26888084,28049084,29105172,30227800,31244088,32289388,33231096,33482192,33649500,33397024,33018528,33354980,32870408,33281488,33871636,34210072,35049644,35467812,35499296,35581548,35841184,35931968,35783084,35647472,34735392,34417592,34178080,34241568,34421280,35002164,35697988,35584520,36640548,37418472,37854280,37805756,38334268,38784020,39676980,40758776,41599020,42373484,43186448,43590824,44196364,44781312,45963776,46498332,47423972,47300784,47787688,48363976,49021912,49136288,49549760,51432420,51097564,52411744,52788032,53445684,54069216,55456260,55254828,55639920,56537220,57333260,57887676,58915280,59607216,60373256,62072988,63079384,64161820,64534236,64721740,64959020,65266328,65486820,66713984,67960824,68331084,68355220,68657808,70806472,71714840,72805152,73201856
 "22000","Louisiana",5,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",3344384,3311724,3293676,3375288,3412704,3433000,3450372,3473376,3494004,3530816,3508520,3492632,3514148,3563940,3586776,3685944,3744608,3790792,3858832,3873824,3929076,4014868,4114276,4192176,4257668,4388568,4452876,4548420,4654400,4764400,4895908,5097196,5211436,5359484,5576248,5693748,5882700,5969540,5972896,6169884,6479108,6537936,6646412,6708828,6767884,6955172,7164820,7278724,7328812,7387860,7460892,7547136,7790800,7904772,8002452,8120760,8336580,8620580,8819576,9033324,9179404,9418152,9756392,10064084,10327112,10663576,11005132,11186692,11554860,11865488,12285316,12766012,13342916,13653004,14005584,14401388,14774508,15366636,15714860,16180340,16879708,17714492,18463284,19015292,19479504,19971256,20778976,21459404,22416436,23064840,24038268,24995532,25891784,26759284,27657612,28433452,28629556,28739328,28473628,28072712,28237260,27797060,28150172,28681400,28904944,29640800,29991076,29985340,29998276,30156312,30180812,30007436,29831936,28997716,28672064,28446880,28517220,28652948,29137924,29766888,29629856,30539300,31177012,31498972,31403720,31756248,32055232,32756256,33586784,34314260,34947948,35581916,35874548,36341432,36748332,37583336,37862932,38503572,38330068,38782468,39149344,39753688,39861244,40246168,41693636,41523508,42613940,43009608,43622728,44178812,45312400,45156420,45460800,46242944,46954500,47491108,48492216,49152072,49832664,51291048,52303320,53175800,53416920,53524176,53636248,53814192,53889348,54883472,55963908,56115824,56106928,56217412,57856280,58454980,59214492,59470184
 "22000","Louisiana",5,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",324780,321952,317892,323888,342456,333764,334624,335364,345792,351396,353840,354180,362396,367252,368348,386128,407304,408480,412388,408884,425504,436412,451476,460508,464004,474768,480416,490348,498800,514044,534176,553136,598244,612180,633256,641756,662100,674228,680696,709100,758028,753848,760128,760120,787168,814888,844668,862976,873692,895520,913340,934644,990392,1008040,1016788,1042520,1112120,1146520,1179188,1196596,1266200,1281816,1325064,1368600,1435948,1487184,1543516,1607512,1716672,1811116,1864564,1920920,2037436,2076160,2142380,2230220,2354484,2453992,2515308,2587652,2737476,2844116,2967356,3066736,3183236,3301072,3436420,3558392,3698156,3823244,4010816,4109640,4336016,4484804,4631776,4797644,4852636,4910172,4923396,4945816,5117720,5073348,5131316,5190236,5305128,5408844,5476736,5513956,5583272,5684872,5751156,5775648,5815536,5737676,5745528,5731200,5724348,5768332,5864240,5931100,5954664,6101248,6241460,6355308,6402036,6578020,6728788,6920724,7171992,7284760,7425536,7604532,7716276,7854932,8032980,8380440,8635400,8920400,8970716,9005220,9214632,9268224,9275044,9303592,9738784,9574056,9797804,9778424,9822956,9890404,10143860,10098408,10179120,10294276,10378760,10396568,10423064,10455144,10540592,10781940,10776064,10986020,11117316,11197564,11322772,11452136,11597472,11830512,11996916,12215260,12248292,12440396,12950192,13259860,13590660,13731672
 "22000","Louisiana",5,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",246840,245172,243784,250156,257208,249808,250404,250532,246656,251056,253596,255480,261868,266544,268524,285056,294008,294516,295724,290680,295260,302128,313960,319536,325540,332476,336404,343284,350216,361884,377516,389928,397852,408420,423976,431608,446064,456872,464940,482596,515940,505516,507764,506576,512340,534608,556524,572160,582164,601808,619428,639000,663300,678748,689288,712448,737588,762684,791792,804048,795200,803604,832728,858368,891816,927656,969440,1027820,1112360,1191964,1228704,1264408,1304568,1332228,1382656,1456516,1531280,1604572,1655160,1708132,1778232,1839836,1921336,1981800,2044812,2127988,2218712,2299340,2410224,2505548,2644924,2701748,2778564,2883632,2971484,3092076,3102380,3159756,3190860,3247772,3352480,3343572,3399944,3415332,3408000,3461272,3523792,3568364,3647324,3745816,3821164,3858004,3913040,3903760,3926132,3937456,3952520,3991488,4060928,4088992,4047528,4124080,4224436,4308192,4386892,4534840,4648160,4782308,4947484,4999392,5080860,5208564,5296124,5396740,5537392,5835200,6037164,6289064,6357280,6433564,6508216,6578012,6575076,6594472,6859136,6716220,6876376,6824344,6854488,6886348,7073916,7002568,7054344,7102548,7128388,7115288,7104232,7098472,7145824,7290272,7219448,7366432,7492164,7569732,7693796,7812488,7966584,8134720,8222672,8450300,8456264,8651492,9040932,9311460,9593840,9715824
 "22000","Louisiana",5,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",77940,76780,74108,73732,85248,83956,84220,84832,99136,100340,100244,98700,100528,100708,99824,101072,113296,113964,116664,118204,130244,134284,137516,140972,138464,142292,144012,147064,148584,152160,156660,163208,200392,203760,209280,210148,216036,217356,215756,226504,242088,248332,252364,253544,274828,280280,288144,290816,291528,293712,293912,295644,327092,329292,327500,330072,374532,383836,387396,392548,471000,478212,492336,510232,544132,559528,574076,579692,604312,619152,635860,656512,732868,743932,759724,773704,823204,849420,860148,879520,959244,1004280,1046020,1084936,1138424,1173084,1217708,1259052,1287932,1317696,1365892,1407892,1557452,1601172,1660292,1705568,1750256,1750416,1732536,1698044,1765240,1729776,1731372,1774904,1897128,1947572,1952944,1945592,1935948,1939056,1929992,1917644,1902496,1833916,1819396,1793744,1771828,1776844,1803312,1842108,1907136,1977168,2017024,2047116,2015144,2043180,2080628,2138416,2224508,2285368,2344676,2395968,2420152,2458192,2495588,2545240,2598236,2631336,2613436,2571656,2706416,2690212,2699968,2709120,2879648,2857836,2921428,2954080,2968468,3004056,3069944,3095840,3124776,3191728,3250372,3281280,3318832,3356672,3394768,3491668,3556616,3619588,3625152,3627832,3628976,3639648,3630888,3695792,3774244,3764960,3792028,3788904,3909260,3948400,3996820,4015848
 "22000","Louisiana",5,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",40192,41492,42264,45332,45792,44920,44012,46128,42480,41532,41016,43184,45928,48360,50924,51384,50976,50220,50388,52356,55056,56836,61880,58956,58340,62392,61620,61464,62636,67956,65464,64660,61084,58996,57628,58600,59536,60156,64096,65404,67272,66080,69932,71496,66924,69144,70328,72080,65580,66720,67324,65800,63284,62208,64244,64604,68720,68684,70552,72512,73024,74900,76716,79128,78952,80724,79896,78692,78740,76748,74692,76324,82612,87816,89064,88976,88512,84876,86528,91512,109804,118824,125832,130088,127788,127224,126660,126904,127448,128224,126964,123460,119084,116484,116648,119488,125792,129492,130928,129996,126052,122648,120644,120096,119532,121048,122284,123304,122372,121840,120360,117824,113700,111440,109620,108344,105896,106796,109508,114116,120772,126036,130100,132556,133508,137692,144244,153312,164736,171296,176284,179068,176636,177280,175636,172096,161816,161980,164168,167840,182544,186604,187872,185820,164192,163656,165256,169048,146780,149044,150888,152272,162104,164176,167212,170524,173764,178108,182492,186456,184348,187804,190612,192928,196916,199252,200000,199440,196832,195740,196956,200952,211996,214820,216540,217112
 "22000","Louisiana",5,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",3628972,3592184,3569304,3653844,3709368,3721844,3740984,3762612,3797316,3840680,3821344,3803628,3830616,3882832,3904200,4020688,4100936,4149052,4220832,4230352,4299524,4394444,4503872,4593728,4663332,4800944,4871672,4977304,5090564,5210488,5364620,5585672,5748596,5912668,6151876,6276904,6485264,6583612,6589496,6813580,7169864,7225704,7336608,7397452,7488128,7700916,7939160,8069620,8136924,8216660,8306908,8415980,8717908,8850604,8954996,9098676,9379980,9698416,9928212,10157408,10372580,10625068,11004740,11353556,11684108,12070036,12468752,12715512,13192792,13599856,14075188,14610608,15297740,15641348,16058900,16542632,17040480,17735752,18143640,18676480,19507380,20439784,21304808,21951940,22534952,23145104,24088736,24890892,25987144,26759860,27922120,28981712,30108716,31127604,32172740,33111608,33356400,33520008,33266096,32888532,33228928,32747760,33160844,33751540,34090540,34928596,35345528,35375992,35459176,35719344,35811608,35665260,35533772,34623952,34307972,34069736,34135672,34314484,34892656,35583872,35463748,36514512,37288372,37721724,37672248,38196576,38639776,39523668,40594040,41427724,42197200,43007380,43414188,44019084,44605676,45791680,46336516,47261992,47136616,47619848,48181432,48835308,48948416,49363940,51268228,50933908,52246488,52618984,53298904,53920172,55305372,55102556,55477816,56373044,57166048,57717152,58741516,59429108,60190764,61886532,62895036,63974016,64343624,64528812,64762104,65067076,65286820,66514544,67763992,68135344,68158264,68456856,70594476,71500020,72588612,72984744
 "22000","Louisiana",5,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",2882188,2841468,2815480,2892300,2948620,2986648,3007176,3019968,3053408,3078120,3045576,3022716,3035660,3073852,3088256,3135396,3173728,3212188,3291180,3327636,3376620,3461964,3521800,3612644,3669336,3807916,3881516,3978400,4065476,4153200,4258780,4456844,4592660,4718264,4894848,4977172,5140324,5185464,5131152,5329604,5495028,5685096,5795992,5867688,5872988,6025916,6195884,6286516,6326796,6353692,6409316,6481904,6712944,6792428,6891864,6984792,7201248,7488288,7626164,7809912,8021592,8254052,8551056,8868992,9115456,9461160,9811792,9990284,10347936,10600616,11068324,11539816,12160960,12503920,12905152,13222860,13657252,14259564,14614100,15096364,15866444,16675760,17355072,17930660,18474708,18984868,19705540,20557652,21306748,22029108,22961980,23790620,24958708,25659936,26590992,27110768,27460852,27316572,27055728,26575804,26748568,26396336,26484904,27302952,27419572,28236464,28380556,28444376,28382560,28547372,28526300,28406940,28250348,27221876,27026440,26727212,26724436,26954260,27400180,28005284,27836208,28896164,29428696,29832900,29740608,30011716,30411776,31088816,31915744,32540556,33197544,33727628,33899896,34358444,34930812,35639108,36108416,36645640,36545880,36979744,37659668,37928548,38087672,38440364,39956996,39934324,40729860,41370060,41759460,42345192,43021200,43385680,43644308,44447488,45198024,45552988,46468812,47088048,47728800,49305660,49987912,51118460,51103420,51295080,51323932,51634232,51452776,52595272,53757176,53412704,54042796,53947524,55945296,56543172,57163336,57157728
 "22000","Louisiana",5,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",15648,15624,15660,15516,15196,15172,14792,13824,13212,12728,12616,12668,12960,12968,13364,14196,14788,15216,15620,15512,15944,15784,15812,15364,15036,14560,14988,15372,16256,17476,18324,18656,18812,18196,18124,18104,18144,18676,18624,18952,19296,19160,19484,19932,21848,22832,22996,23884,23792,24328,24604,26212,27824,29296,30528,30964,31208,30872,32244,33244,35588,37136,38552,39996,40964,41256,40960,41192,40628,41048,41416,43388,45664,47684,48240,48020,44592,45420,47868,51352,61836,68592,67228,70836,77720,77932,86736,95928,86688,87568,97280,94084,93068,99564,98436,98180,107836,110608,103272,104320,102156,98852,103756,107560,106760,114968,115988,127932,124652,123804,123532,115496,120928,120444,126848,106340,116796,118012,121012,120532,124292,129524,130764,129516,132412,134104,136148,141716,141740,145572,151588,148776,153572,152536,147760,173964,163636,161524,166072,174696,169512,173124,176500,175720,179008,177572,180284,177480,181744,189444,186828,187396,190032,190336,193008,203948,193972,195896,203872,225516,204172,215948,213332,216536,256908,241968,249768,251440,262760,251496,249664,244812,310116,284692,257816,242204
 "22000","Louisiana",5,SQINC6S,200,"B","   Mining","Thousands of dollars",295188,274400,268096,280532,295072,300708,297536,300476,293308,299684,287076,291664,290316,297492,303860,313260,317740,312912,316640,311988,314344,320520,323736,329808,337932,347592,352752,366992,372368,378508,377228,399252,408784,417000,421292,425780,435396,447016,464020,459316,469420,482708,481400,493332,504060,508900,535676,548552,541732,543628,532584,536548,563760,563176,578068,579176,609012,610484,618500,628244,625416,650684,668780,710368,741592,781076,823496,780220,884080,911904,967068,1025604,1065052,1049428,1094988,1136624,1190840,1287248,1349796,1334072,1364140,1567308,1650488,1718104,1697380,1759596,1840184,1966228,2052496,2281016,2438728,2621772,2709752,2842596,3028488,3217188,3294848,3182620,3093884,2907756,2820860,2723484,2729124,2819036,2804836,2880020,2894724,2955348,3013200,3028460,3044772,2940508,2799692,2424676,2252748,2126988,2101740,2110820,2168440,2266888,2280360,2335028,2318588,2346560,2254716,2224872,2268620,2288660,2372360,2388216,2452640,2510512,2535432,2571392,2550828,2423324,2370804,2309492,2227952,2248140,2251640,2319340,2322780,2358252,2342212,2325836,2367116,2401108,2363136,2362440,2454980,2463732,2517144,2661744,2661276,2661228,2885740,2925008,2932124,3091876,3336668,3184116,3037072,2948260,2797636,2643944,2680968,2684420,2736496,2789404,2844192,2962632,3291772,3336288,3318320,3268584
