GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "27000","Minnesota",4,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",4178572,4167588,4258784,4378224,4515124,4620784,4589136,4668608,4818160,4867640,4945076,4954660,4976816,5056456,5136292,5246568,5373784,5511020,5565500,5629668,5667432,5719824,5801808,5876904,5968420,6105548,6189180,6328672,6417516,6607552,6730760,6928608,7102564,7287188,7529684,7652360,7789684,7959556,8181668,8289528,8581880,8794876,9099692,9342932,9611104,9925356,10211968,10507432,10765012,10738524,10899852,10906220,11189616,11481212,11763268,11843716,12310540,12390636,12448812,12926084,13287692,13824280,14235312,14512308,14928408,15252388,15671356,15872324,16207696,16407168,16970436,17484632,17927172,18383560,18876080,19278624,19814560,20472804,21000312,21463224,22557952,23143416,23921068,24928436,25803928,26552324,27426268,28303492,29006848,29087380,29721652,30488136,31462468,31927720,32420920,32953988,33517008,33635620,33808268,34227244,34447016,35611476,36600092,37460556,38819748,39739676,40773120,41770196,42166716,43059604,43720764,44327872,45123012,45627732,46545220,47086292,48814052,48927656,49904876,50818500,52533720,53177752,53980828,54877276,55870948,56765248,57747236,58825512,59664648,61256620,61939656,62063936,62637564,63647140,64573816,65288384,67790568,68553828,69763944,70807408,71273592,71979148,72671816,73616364,74310132,76164132,77622068,78219924,79541872,80423176,81216052,82765620,84149304,85658156,87244104,88101476,89198632,91040452,92878452,94454132,98066224,99413492,100595464,102579676,104374664,105871660,106691400,110046472,113022948,114342100,116776180,118136196,120612200,120219748,119207728,120260428
 "27000","Minnesota",4,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",3878152,3865968,3953160,4063788,4167620,4269508,4239160,4314128,4441404,4487576,4555872,4563144,4578500,4651440,4726960,4829064,4931808,5059976,5109640,5168840,5190816,5238000,5312464,5378412,5466044,5591108,5667140,5793620,5878956,6050720,6158044,6333216,6444348,6607572,6826732,6939800,7063552,7214604,7413648,7504084,7757724,7948120,8219756,8439540,8661528,8944400,9200764,9463152,9683432,9651536,9793788,9789024,10017020,10278828,10521824,10573888,10928944,10985424,11038732,11479928,11731676,12225968,12601928,12852616,13189268,13465508,13814952,13948832,14164128,14292788,14769000,15219824,15571872,15967320,16376588,16697224,17086716,17632824,18075564,18467592,19339228,19848148,20505212,21358572,22079268,22698788,23431528,24166740,24776432,24823212,25344980,26024616,26766020,27150860,27575500,28008608,28448408,28527288,28642656,28952776,29023340,30003928,30853900,31637664,32700776,33510516,34378640,35190460,35461876,36153596,36656072,37117864,37718488,38056244,38762700,39190552,40667528,40770076,41612420,42466088,43840840,44450284,45098976,45761312,46494020,47086516,47796056,48652836,49289140,50665068,51215188,51253192,51634716,52391364,53056708,53536848,55454628,56003484,56907376,57826904,57965404,58639948,59164936,59988052,60405080,62031164,63235564,63855488,65058928,65859952,66630736,67997888,69288424,70686452,72129096,72955208,74028384,75645048,77225716,78620808,81264104,82395012,83382840,85090848,86685896,87905020,88512916,91276320,93774636,94706420,96675804,97659844,99603900,99129816,98167940,99021760
 "27000","Minnesota",4,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",300420,301620,305624,314436,347504,351276,349976,354480,376756,380064,389204,391516,398316,405016,409332,417504,441976,451044,455860,460828,476616,481824,489344,498492,502376,514440,522040,535052,538560,556832,572716,595392,658216,679616,702952,712560,726132,744952,768020,785444,824156,846756,879936,903392,949576,980956,1011204,1044280,1081580,1086988,1106064,1117196,1172596,1202384,1241444,1269828,1381596,1405212,1410080,1446156,1556016,1598312,1633384,1659692,1739140,1786880,1856404,1923492,2043568,2114380,2201436,2264808,2355300,2416240,2499492,2581400,2727844,2839980,2924748,2995632,3218724,3295268,3415856,3569864,3724660,3853536,3994740,4136752,4230416,4264168,4376672,4463520,4696448,4776860,4845420,4945380,5068600,5108332,5165612,5274468,5423676,5607548,5746192,5822892,6118972,6229160,6394480,6579736,6704840,6906008,7064692,7210008,7404524,7571488,7782520,7895740,8146524,8157580,8292456,8352412,8692880,8727468,8881852,9115964,9376928,9678732,9951180,10172676,10375508,10591552,10724468,10810744,11002848,11255776,11517108,11751536,12335940,12550344,12856568,12980504,13308188,13339200,13506880,13628312,13905052,14132968,14386504,14364436,14482944,14563224,14585316,14767732,14860880,14971704,15115008,15146268,15170248,15395404,15652736,15833324,16802120,17018480,17212624,17488828,17688768,17966640,18178484,18770152,19248312,19635680,20100376,20476352,21008300,21089932,21039788,21238668
 "27000","Minnesota",4,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",213612,214684,216808,222956,235516,236364,236772,240452,245044,249320,257420,261932,266180,272556,276020,281912,287316,292652,296132,299360,303768,308204,313964,321564,328800,338608,345580,356096,360820,372424,381560,393672,403432,414484,426776,431828,438892,450620,464920,475556,495716,511316,534588,550684,574164,596468,617488,641556,670040,680048,696136,709996,728716,750668,783732,812912,857584,883296,894772,912092,908520,927148,945180,954836,986108,1020052,1074300,1141312,1247724,1319432,1381096,1420204,1429148,1468716,1531176,1600556,1688624,1771868,1838832,1894284,2006168,2048388,2124620,2214240,2294772,2373312,2461644,2554316,2630436,2670940,2751716,2796536,2867628,2927996,2967640,3038504,3100124,3135876,3192376,3287220,3346520,3467236,3550612,3580016,3657100,3709792,3816816,3955172,4074864,4231684,4347896,4440924,4562956,4680316,4822780,4899028,5075664,5096540,5184332,5200044,5318244,5321576,5429076,5606772,5854704,6098092,6310160,6466216,6601484,6717780,6796676,6863080,7010760,7189480,7387912,7594152,7991824,8173812,8418000,8588212,8717468,8769368,8896632,8981692,9115704,9246920,9405316,9337828,9398772,9429612,9406208,9501900,9541952,9558844,9601988,9572420,9544844,9659592,9807536,9893304,10697236,10843068,10965864,11130444,11215712,11410952,11582964,11984636,12291412,12622232,12940768,13240468,13638208,13763756,13786556,13927772
 "27000","Minnesota",4,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",86808,86936,88816,91480,111988,114912,113204,114028,131712,130744,131784,129584,132136,132460,133312,135592,154660,158392,159728,161468,172848,173620,175380,176928,173576,175832,176460,178956,177740,184408,191156,201720,254784,265132,276176,280732,287240,294332,303100,309888,328440,335440,345348,352708,375412,384488,393716,402724,411540,406940,409928,407200,443880,451716,457712,456916,524012,521916,515308,534064,647496,671164,688204,704856,753032,766828,782104,782180,795844,794948,820340,844604,926152,947524,968316,980844,1039220,1068112,1085916,1101348,1212556,1246880,1291236,1355624,1429888,1480224,1533096,1582436,1599980,1593228,1624956,1666984,1828820,1848864,1877780,1906876,1968476,1972456,1973236,1987248,2077156,2140312,2195580,2242876,2461872,2519368,2577664,2624564,2629976,2674324,2716796,2769084,2841568,2891172,2959740,2996712,3070860,3061040,3108124,3152368,3374636,3405892,3452776,3509192,3522224,3580640,3641020,3706460,3774024,3873772,3927792,3947664,3992088,4066296,4129196,4157384,4344116,4376532,4438568,4392292,4590720,4569832,4610248,4646620,4789348,4886048,4981188,5026608,5084172,5133612,5179108,5265832,5318928,5412860,5513020,5573848,5625404,5735812,5845200,5940020,6104884,6175412,6246760,6358384,6473056,6555688,6595520,6785516,6956900,7013448,7159608,7235884,7370092,7326176,7253232,7310896
 "27000","Minnesota",4,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",47080,50088,51680,55668,55960,54736,54416,58472,57192,58524,58536,60228,59952,59264,61880,64728,69356,73960,76552,78344,77420,74796,78392,73236,72928,78480,78236,78584,80636,87200,83184,80604,73712,68932,65608,65424,65388,64616,68736,70456,72860,71944,76100,76872,68940,72272,73948,76328,74712,77424,80920,80168,83492,84920,93820,92488,92848,84832,87068,92400,104100,115128,125816,139084,139060,144128,147836,157476,174348,182472,185100,194164,206456,213048,209992,205156,208832,203300,198280,194504,203284,200912,201392,204672,213336,219728,225800,230544,232556,233572,233228,230268,224688,223852,227300,235076,245780,252176,254084,251568,243572,238084,234548,232992,231284,232908,234780,237312,237632,237876,235984,231432,223364,218684,214892,212092,207512,209208,214608,223944,238272,249120,256432,259824,265796,272968,285404,303716,328864,342712,351896,355856,353208,349952,349720,350640,362428,368088,373756,378688,386660,384124,381256,378432,388968,390376,389548,387376,393744,391556,392488,397148,403052,412000,421884,431324,440484,449960,463644,480060,493884,512960,519716,515868,494592,477884,478140,493176,533556,569876,592680,600352,559172,566828,570408,569780
 "27000","Minnesota",4,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",4131492,4117500,4207104,4322556,4459164,4566048,4534720,4610136,4760968,4809116,4886540,4894432,4916864,4997192,5074412,5181840,5304428,5437060,5488948,5551324,5590012,5645028,5723416,5803668,5895492,6027068,6110944,6250088,6336880,6520352,6647576,6848004,7028852,7218256,7464076,7586936,7724296,7894940,8112932,8219072,8509020,8722932,9023592,9266060,9542164,9853084,10138020,10431104,10690300,10661100,10818932,10826052,11106124,11396292,11669448,11751228,12217692,12305804,12361744,12833684,13183592,13709152,14109496,14373224,14789348,15108260,15523520,15714848,16033348,16224696,16785336,17290468,17720716,18170512,18666088,19073468,19605728,20269504,20802032,21268720,22354668,22942504,23719676,24723764,25590592,26332596,27200468,28072948,28774292,28853808,29488424,30257868,31237780,31703868,32193620,32718912,33271228,33383444,33554184,33975676,34203444,35373392,36365544,37227564,38588464,39506768,40538340,41532884,41929084,42821728,43484780,44096440,44899648,45409048,46330328,46874200,48606540,48718448,49690268,50594556,52295448,52928632,53724396,54617452,55605152,56492280,57461832,58521796,59335784,60913908,61587760,61708080,62284356,63297188,64224096,64937744,67428140,68185740,69390188,70428720,70886932,71595024,72290560,73237932,73921164,75773756,77232520,77832548,79148128,80031620,80823564,82368472,83746252,85246156,86822220,87670152,88758148,90590492,92414808,93974072,97572340,98900532,100075748,102063808,103880072,105393776,106213260,109553296,112489392,113772224,116183500,117535844,120053028,119652920,118637320,119690648
 "27000","Minnesota",4,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",3460972,3434664,3521924,3631128,3741060,3846428,3800880,3867500,4007896,4046140,4095660,4093384,4099924,4155032,4223504,4310720,4421192,4549600,4595504,4647240,4655748,4694384,4762768,4814276,4886436,5001432,5063672,5176212,5259052,5423784,5540100,5708028,5857336,6016416,6230676,6341268,6447032,6580064,6743712,6850656,7085964,7259244,7477884,7680064,7918436,8176256,8391280,8639868,8830504,8741472,8835440,8804120,8990304,9226872,9419068,9437444,9852672,9868432,9859844,10306468,10574972,11067504,11444984,11672080,11987592,12243776,12618952,12748472,12933776,13037972,13531336,13922200,14352864,14754904,15192180,15548712,16012220,16602628,17050152,17432416,18430456,18990160,19609632,20525120,21273420,22054244,22727820,23563480,24160980,24030240,24522876,25224744,26087084,26358784,26876228,27151048,27578252,27691832,27805476,28008740,28340584,29292296,30142736,30965320,32047900,32962852,33795084,34660500,34879788,35660200,36117956,36750856,37343512,37860128,38577580,39017276,40542288,40705020,41445052,42159688,43728140,44143440,44912332,45476068,46468148,47146944,47999732,48748644,49307200,50550396,51013056,51320420,51680468,52309456,53225504,53573932,55763612,56514720,57572612,58332016,58640168,59479048,59789848,60965968,61208596,63022348,63890464,64988448,65899640,66601376,67524788,68714424,69960240,71334912,72755944,73558008,74629844,76237188,77824804,79702776,82709436,84192152,84952092,86791316,88669444,89731816,90387712,93273880,96079072,96913628,99359632,100269004,102656216,101882940,100711768,101632936
 "27000","Minnesota",4,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",9896,10312,10332,9796,9392,8492,8568,8152,8540,9028,9044,9560,9544,10056,10048,10500,10588,10576,10588,11000,11100,11492,11500,11892,12328,12656,12592,13008,13056,13524,14020,14464,15068,15404,15760,16132,16496,16956,16896,17744,18164,18568,19472,20000,20168,21208,21740,22220,22060,22524,22776,23956,25360,26728,27760,27272,26300,25356,25516,26944,29712,32208,34904,36936,38856,40000,40184,40564,38008,38908,40256,42508,44440,45952,47776,49864,53472,54436,58076,63480,68212,74232,79088,81920,83960,86460,89272,94352,98296,104416,101580,106392,100084,100924,102408,103004,105356,107032,109336,109668,111960,110664,111080,119972,121724,127932,130260,135900,138476,140268,143672,143852,148084,154304,154216,162392,164932,172920,173048,170760,182048,182124,174220,180668,182984,190928,201112,197904,208212,212812,215964,218260,217924,218180,220660,224184,228420,230720,227380,230512,241988,232156,234852,235700,235392,248660,249188,257112,250496,252880,249792,253560,262676,258812,275524,265884,273076,270692,282016,289224,(D),(D),(D),(D),340676,355816,363496,373976,377304,383940,381104,380004,485504,423176,386036,361896
 "27000","Minnesota",4,SQINC6S,200,"B","   Mining","Thousands of dollars",116072,95692,103016,110476,117396,131208,69728,84168,131020,138552,134156,122780,111752,107596,109280,115396,111460,114516,111320,109540,91764,103488,106232,112024,104196,108216,110064,110572,115456,115960,115840,122120,125244,126564,131148,123964,126904,123316,125492,125144,134664,140500,143312,137620,139164,140088,146156,150388,151804,151400,153256,152940,150796,155132,158404,159500,168460,160232,153184,173620,173232,182800,184812,197804,202848,213544,219572,183000,237336,234092,250648,289548,256840,259464,311300,322672,329652,315564,237692,153932,315560,381784,443076,456664,457224,439504,487440,522560,481832,434456,453872,523916,500584,522776,574524,561620,522336,420548,295712,243808,282840,306168,330824,288732,337776,350684,353816,337204,266580,349668,325168,329880,262876,287644,269692,235012,224556,235796,268716,300812,304308,289552,314184,318200,321468,343660,359240,374472,380348,393864,393176,402868,401188,392844,385688,392272,395728,386908,375704,413788,353640,389692,400256,381372,408420,398976,427288,441444,446272,445072,454416,448132,465300,484380,464812,475064,478584,493852,484300,500360,(D),(D),(D),(D),537844,527724,521668,527064,569112,568312,571000,558312,577744,530776,509960,502172
