GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "28000","Mississippi",5,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",1488136,1520476,1581884,1648556,1684440,1698688,1718056,1744004,1763992,1783744,1783672,1794304,1818588,1851720,1883180,1922028,1957568,1996288,2033564,2065244,2106456,2141508,2164708,2187640,2235188,2283204,2314968,2344972,2400800,2507668,2604640,2724540,2742660,2836976,2918560,2974588,3031992,3032584,3095452,3152092,3284716,3397568,3485384,3570036,3687788,3769912,3852060,3928600,3970708,4031080,4086488,4151044,4265600,4368744,4478252,4560784,4881268,4985240,5111616,5263284,5508868,5625964,5809100,6024768,6145336,6354484,6523308,6439216,6525824,6599608,6835392,7128800,7433664,7565296,7690236,7892272,8159036,8478792,8761732,8998164,9212568,9595260,9926948,10177292,10451756,10679948,11007380,11269732,11466988,11586068,11838628,12184020,12524612,12853820,13075644,13379984,13324160,13554548,13511128,13535040,13642152,13861704,14191220,14560880,14859100,15076212,15206556,15390640,15508708,15803496,16218844,16512252,16690860,16683508,16846868,17003192,17245936,17350808,17735120,18209804,18120044,18833068,19320396,19626868,19948520,20139724,20295224,20681684,20973600,21477900,21792300,22040952,22117828,22411088,22754928,23280448,23909560,24290968,24527044,24634160,25557032,25826568,26391156,26977984,27726612,28273524,28863060,29075236,29326292,29566000,29921716,30349720,30484076,30906268,31306444,31324148,31977272,32484180,32724616,33651348,34285232,34768560,35275204,35850876,35940748,36256852,36892936,37437232,37938440,38149912,38020656,37990672,38331368,38775440,38674220,39037984
 "28000","Mississippi",5,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",1357088,1385348,1441612,1501432,1525576,1539472,1555524,1580764,1594704,1612440,1609820,1617440,1635100,1664972,1694312,1731416,1760328,1797000,1829612,1856204,1888544,1919508,1940756,1960944,2006628,2052180,2080824,2107784,2157420,2252796,2337000,2444632,2445148,2531888,2606852,2656628,2703616,2700412,2757628,2809952,2927728,3026664,3102240,3175440,3265932,3341780,3416196,3482884,3519948,3568216,3616316,3667648,3757352,3843028,3933744,4000060,4264496,4351356,4460504,4599724,4785932,4894196,5059432,5248160,5343960,5525152,5661400,5568288,5611564,5660676,5863772,6119092,6371976,6491304,6600504,6763644,6961908,7228836,7469528,7675848,7838968,8178484,8461816,8680244,8905404,9091044,9362728,9580940,9746192,9832436,10037824,10330936,10598956,10867048,11044528,11274492,11217256,11392988,11336932,11331412,11381264,11560184,11832372,12148152,12348348,12527668,12632552,12782588,12869276,13104352,13436232,13663468,13784552,13748248,13866360,13997616,14233844,14328752,14656596,15072144,14960288,15560468,15949760,16181668,16417528,16523736,16610264,16904444,17110280,17535432,17784052,17955668,17991004,18203748,18442800,18809752,19240232,19498476,19658276,19782648,20469620,20749648,21215568,21724380,22311980,22817776,23323100,23540728,23789836,24009004,24327804,24696664,24834748,25219484,25575364,25610508,26190804,26626240,26822416,27600084,28139556,28529540,28938776,29426516,29500812,29745704,30223048,30655776,31072220,31174572,31051696,30981700,31237328,31547408,31403080,31664056
 "28000","Mississippi",5,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",131048,135128,140272,147124,158864,159216,162532,163240,169288,171304,173852,176864,183488,186748,188868,190612,197240,199288,203952,209040,217912,222000,223952,226696,228560,231024,234144,237188,243380,254872,267640,279908,297512,305088,311708,317960,328376,332172,337824,342140,356988,370904,383144,394596,421856,428132,435864,445716,450760,462864,470172,483396,508248,525716,544508,560724,616772,633884,651112,663560,722936,731768,749668,776608,801376,829332,861908,870928,914260,938932,971620,1009708,1061688,1073992,1089732,1128628,1197128,1249956,1292204,1322316,1373600,1416776,1465132,1497048,1546352,1588904,1644652,1688792,1720796,1753632,1800804,1853084,1925656,1986772,2031116,2105492,2106904,2161560,2174196,2203628,2260888,2301520,2358848,2412728,2510752,2548544,2574004,2608052,2639432,2699144,2782612,2848784,2906308,2935260,2980508,3005576,3012092,3022056,3078524,3137660,3159756,3272600,3370636,3445200,3530992,3615988,3684960,3777240,3863320,3942468,4008248,4085284,4126824,4207340,4312128,4470696,4669328,4792492,4868768,4851512,5087412,5076920,5175588,5253604,5414632,5455748,5539960,5534508,5536456,5556996,5593912,5653056,5649328,5686784,5731080,5713640,5786468,5857940,5902200,6051264,6145676,6239020,6336428,6424360,6439936,6511148,6669888,6781456,6866220,6975340,6968960,7008972,7094040,7228032,7271140,7373928
 "28000","Mississippi",5,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",93964,97188,101064,106820,110744,111596,114864,115692,115328,117632,120688,123888,128808,131588,133736,135340,135888,137380,140776,144256,145616,147360,147736,149312,152020,153116,155376,157448,163232,172336,184228,195344,199096,205920,210856,215624,221676,224520,227304,228864,237236,248432,258516,268180,281500,285356,289956,297400,300612,310272,316288,327584,337256,351384,367972,382348,407000,422112,438024,447136,457820,464344,475932,491572,499252,517908,543580,558908,595876,617524,639756,663908,676948,684580,696744,727828,768868,807856,839248,861468,881704,905164,936332,951232,975580,1004324,1042040,1074876,1106800,1139296,1173812,1208028,1220136,1263348,1296396,1356748,1355780,1399304,1418196,1449280,1470028,1499832,1540432,1575300,1605800,1632552,1652064,1678716,1705504,1750740,1811196,1859556,1905532,1935196,1969396,1986324,1986240,1994184,2029908,2061724,2052188,2123296,2193664,2254404,2344604,2418744,2471816,2527436,2571432,2605688,2638700,2693576,2730280,2791744,2877016,3005340,3153592,3256344,3320880,3331508,3446964,3441612,3506652,3559604,3640260,3660204,3709660,3694584,3688884,3699044,3716084,3751384,3749320,3762460,3780844,3760812,3800436,3840724,3871632,3965424,4007424,4073680,4142260,4197392,4209148,4265360,4389576,4472660,4528264,4633876,4632156,4684132,4754144,4866104,4917412,4993224
 "28000","Mississippi",5,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",37084,37940,39208,40304,48120,47620,47668,47548,53960,53672,53164,52976,54680,55160,55132,55272,61352,61908,63176,64784,72296,74640,76216,77384,76540,77908,78768,79740,80148,82536,83412,84564,98416,99168,100852,102336,106700,107652,110520,113276,119752,122472,124628,126416,140356,142776,145908,148316,150148,152592,153884,155812,170992,174332,176536,178376,209772,211772,213088,216424,265116,267424,273736,285036,302124,311424,318328,312020,318384,321408,331864,345800,384740,389412,392988,400800,428260,442100,452956,460848,491896,511612,528800,545816,570772,584580,602612,613916,613996,614336,626992,645056,705520,723424,734720,748744,751124,762256,756000,754348,790860,801688,818416,837428,904952,915992,921940,929336,933928,948404,971416,989228,1000776,1000064,1011112,1019252,1025852,1027872,1048616,1075936,1107568,1149304,1176972,1190796,1186388,1197244,1213144,1249804,1291888,1336780,1369548,1391708,1396544,1415596,1435112,1465356,1515736,1536148,1547888,1520004,1640448,1635308,1668936,1694000,1774372,1795544,1830300,1839924,1847572,1857952,1877828,1901672,1900008,1924324,1950236,1952828,1986032,2017216,2030568,2085840,2138252,2165340,2194168,2226968,2230788,2245788,2280312,2308796,2337956,2341464,2336804,2324840,2339896,2361928,2353728,2380704
 "28000","Mississippi",5,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",49504,51320,52920,57824,59412,59700,58880,61548,56532,54948,53396,55856,59376,61576,65460,66648,67592,68088,68156,68976,69660,69132,74472,70768,71252,77520,77756,78980,80676,87300,84040,82628,77224,73672,70324,69400,68152,66164,69900,71948,76360,76804,82736,84800,78496,82268,85352,90412,90932,95296,97840,95552,96156,93124,95376,92492,93092,89032,89312,90940,94164,97208,103212,112972,124568,135840,139516,140348,133072,126952,122788,126732,138044,145668,149296,151424,162496,162344,161464,159880,142680,142048,142888,145356,145584,149296,152488,154892,150676,151176,150652,148748,140408,138768,140380,144808,155608,160052,161704,160400,153180,148832,146124,145208,142336,143948,145308,146588,142760,142300,140548,137364,130216,127600,125688,124580,120104,121152,124356,129684,136396,142788,147936,151248,151788,156464,163844,174068,185964,193336,198808,201576,197508,197512,195596,192256,181144,181440,183564,186968,199104,202688,202944,199616,178120,176060,175252,176300,150396,153760,155892,156868,166064,166972,169032,171948,175452,179816,184148,187992,186864,190000,192104,193304,195616,196716,196752,196132,193928,193064,194460,198348,208200,210952,212756,213644
 "28000","Mississippi",5,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",1438632,1469156,1528964,1590732,1625028,1638988,1659176,1682456,1707460,1728796,1730276,1738448,1759212,1790144,1817720,1855380,1889976,1928200,1965408,1996268,2036796,2072376,2090236,2116872,2163936,2205684,2237212,2265992,2320124,2420368,2520600,2641912,2665436,2763304,2848236,2905188,2963840,2966420,3025552,3080144,3208356,3320764,3402648,3485236,3609292,3687644,3766708,3838188,3879776,3935784,3988648,4055492,4169444,4275620,4382876,4468292,4788176,4896208,5022304,5172344,5414704,5528756,5705888,5911796,6020768,6218644,6383792,6298868,6392752,6472656,6712604,7002068,7295620,7419628,7540940,7740848,7996540,8316448,8600268,8838284,9069888,9453212,9784060,10031936,10306172,10530652,10854892,11114840,11316312,11434892,11687976,12035272,12384204,12715052,12935264,13235176,13168552,13394496,13349424,13374640,13488972,13712872,14045096,14415672,14716764,14932264,15061248,15244052,15365948,15661196,16078296,16374888,16560644,16555908,16721180,16878612,17125832,17229656,17610764,18080120,17983648,18690280,19172460,19475620,19796732,19983260,20131380,20507616,20787636,21284564,21593492,21839376,21920320,22213576,22559332,23088192,23728416,24109528,24343480,24447192,25357928,25623880,26188212,26778368,27548492,28097464,28687808,28898936,29175896,29412240,29765824,30192852,30318012,30739296,31137412,31152200,31801820,32304364,32540468,33463356,34098368,34578560,35083100,35657572,35745132,36060136,36696184,37241100,37744512,37956848,37826196,37792324,38123168,38564488,38461464,38824340
 "28000","Mississippi",5,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",1061308,1081496,1131328,1174496,1203892,1206564,1215216,1235344,1252520,1265956,1252348,1254064,1258412,1281688,1300904,1329168,1357968,1392548,1419732,1436996,1477884,1507776,1525632,1545576,1577352,1617932,1644804,1677420,1715580,1790800,1857808,1949632,1951240,2027968,2096044,2137488,2186244,2175336,2217540,2266800,2360544,2434736,2481888,2529920,2609724,2682656,2747804,2790100,2825692,2852032,2909376,2955636,3034280,3101308,3167324,3213944,3490436,3556556,3625096,3740532,3935932,4014464,4162500,4323284,4400300,4554904,4668940,4565568,4612340,4688072,4896536,5138060,5387984,5497432,5603048,5768336,5954632,6211488,6454428,6651916,6871688,7150784,7331508,7540508,7802224,7977280,8209168,8412720,8562320,8557960,8748700,8989752,9316336,9545924,9695904,9843468,9816608,10016480,9998832,9987404,10058028,10231280,10485792,10759404,11026336,11154628,11279052,11409212,11466592,11667160,11937292,12172164,12323900,12301728,12442948,12574592,12804304,12890876,13151692,13573008,13379008,13980996,14398576,14602184,14796900,14861344,14962028,15285580,15518220,15867404,16141456,16303200,16329956,16512632,16877484,17322468,17821412,18084996,18278476,18350044,19127756,19407776,19770184,20338932,20972148,21439148,21876456,22004864,22239476,22326316,22574560,22915936,23016268,23422580,23799828,23761576,24330200,24746908,24855624,25679044,26175180,26574952,26946380,27470588,27432044,27668928,27989184,28432312,28847848,28767100,28882324,28635476,28907932,29203684,29030780,29255972
 "28000","Mississippi",5,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",9528,9516,9560,9096,8772,8812,8428,7944,7788,7740,7692,7752,8148,8224,8688,9128,9264,9724,10160,10068,10496,10780,10760,11172,11296,11740,11740,11716,11684,11596,11140,11100,11204,11140,11540,11532,11560,11648,11612,11544,11872,11748,11676,11668,12020,11840,11552,11672,12024,12712,12440,13264,13824,14068,14352,14952,15076,15612,16032,16680,17152,17684,17680,18980,18788,19232,20740,23084,26056,29908,33300,34944,35044,34284,33652,32552,31244,32644,34668,37880,37644,42988,45004,46264,46428,46648,46372,55224,53140,54004,53332,50104,51564,51232,49040,48472,46852,50756,57240,61488,46560,52412,59420,60100,63124,63876,62644,71356,64600,67716,74484,68084,75200,75680,81452,64724,79332,80796,83384,82112,82812,84048,85916,84700,90712,92856,92300,101148,98536,103188,112500,99720,105184,107604,113816,119548,112604,115908,117612,128620,121644,116100,115844,116684,123648,128176,130492,136016,135420,137172,141816,133680,149756,155916,159128,158692,159316,156512,156868,180776,174632,182220,175112,176828,198188,207148,217052,205768,211000,199964,204720,189848,273412,236908,210096,196816
 "28000","Mississippi",5,SQINC6S,200,"B","   Mining","Thousands of dollars",29996,28680,29424,32356,34752,37680,38356,40452,40580,38472,37300,38076,36424,38100,39140,38588,39276,39184,39336,40016,40264,42060,41588,41852,42136,40932,40884,40304,38532,39836,39072,38588,39052,39792,39520,40656,41944,42560,44104,43004,44076,45844,46808,49808,48856,49092,51800,54112,56044,56976,57592,60228,59616,59916,59900,61036,61536,62392,62188,60704,60920,60392,61460,63036,68472,70860,75184,70656,76460,77616,81012,87980,91988,90584,98972,101760,104364,116188,121500,123736,127320,149736,155440,159816,160752,167408,178248,204912,207880,224680,236924,253144,279168,294380,321300,342660,352524,318668,299340,271060,242112,231012,234884,247308,249828,249804,250576,260976,256304,251844,255956,251204,241608,191820,178712,167528,164220,168876,171888,180516,179740,188252,185104,178980,176284,176672,184260,182280,183476,188624,192440,197168,193516,180308,180208,180324,185056,184952,171968,173316,175576,181460,184572,189068,183748,185844,188520,190220,185088,178216,180736,180788,190772,202004,212916,206192,223616,245776,241740,253104,264124,267832,268052,264504,256072,228696,223240,216284,191472,197188,200872,211164,256360,277768,268648,260896
