GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "35000","New Mexico",6,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",1183700,1218708,1243972,1291616,1325068,1342720,1345184,1358868,1374188,1395244,1384080,1396520,1402064,1412920,1423840,1430580,1471936,1492144,1504228,1505032,1511124,1517588,1550140,1589840,1606196,1648048,1663352,1687340,1696208,1720956,1761760,1790676,1780600,1811988,1822420,1837164,1846568,1892092,1911840,1910332,1961920,2002896,2042516,2094308,2169428,2212204,2243260,2289952,2364884,2386324,2410376,2454984,2524960,2624204,2685372,2775592,2840416,2928496,3028176,3136716,3213272,3257964,3362796,3479252,3571880,3685472,3783476,3858228,4007940,4113832,4249844,4383836,4564668,4691112,4822648,4969564,5122532,5320220,5458324,5641272,5845208,6071532,6300288,6479012,6667872,6892284,7124312,7335980,7482492,7684120,7819456,8129256,8385116,8650348,8943220,9262308,9361956,9420924,9443000,9601884,9640912,9889788,10118572,10316152,10499104,10765180,11019584,11117524,11382424,11547608,11722752,11872188,12033692,11945028,11997980,12115624,12214168,12359752,12526316,12840424,12815776,13228020,13302100,13610976,13699836,13949576,14087444,14424200,14735004,15004808,15365508,15620080,15844740,16045992,16227460,16582192,16983872,17430424,17632648,17506396,18395628,18411032,18661360,19084512,19495460,19737612,20254240,20602012,21021308,21186036,21487140,21555668,21780776,21885656,22027036,22188992,22662328,22936572,23190916,23465128,24000016,24060808,24373160,24820592,24552740,24975448,25187216,25855924,26308820,26830116,27020796,27446080,27935040,28263568,28918568,28816588
 "35000","New Mexico",6,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",1065368,1095256,1120276,1164556,1190428,1208212,1210080,1223408,1235280,1254496,1243304,1252820,1255280,1265572,1276220,1284940,1321600,1341600,1351140,1350736,1353320,1358640,1387752,1422728,1438404,1475296,1488608,1509388,1516884,1537804,1573428,1599996,1583180,1611904,1621240,1633796,1640188,1681780,1698912,1697440,1743712,1780048,1814960,1859720,1913112,1950792,1977612,2017384,2080412,2095608,2113080,2145896,2199164,2279980,2330276,2407440,2453148,2527996,2616844,2715960,2767428,2808096,2900428,3001108,3072916,3171292,3252004,3308844,3424876,3510396,3629820,3748148,3897076,4008560,4120648,4242332,4360116,4528040,4648160,4808148,4972340,5173700,5367152,5515904,5663704,5845464,6040572,6217848,6346800,6509504,6619824,6888424,7096116,7310732,7546176,7789476,7882584,7921172,7925992,8042728,8043316,8248228,8439204,8612116,8732040,8956224,9165000,9236176,9439292,9566792,9701584,9817628,9941576,9852156,9892076,10000748,10115084,10241088,10377336,10636064,10564512,10892588,10934904,11164392,11222888,11391008,11470920,11727404,11941380,12164480,12446620,12647356,12825860,12979704,13096092,13335264,13586444,13899072,14038132,13958740,14650244,14706716,14922648,15275240,15573596,15804724,16230412,16541960,16919328,17076252,17333188,17406560,17605280,17719148,17851884,18001516,18422748,18664840,18873572,19112340,19566964,19618372,19875472,20254556,20053736,20398680,20555848,21076504,21466856,21854824,22040752,22409800,22866688,23136496,23634756,23517172
 "35000","New Mexico",6,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",118332,123452,123696,127060,134640,134508,135104,135460,138908,140748,140776,143700,146784,147348,147620,145640,150336,150544,153088,154296,157804,158948,162388,167112,167792,172752,174744,177952,179324,183152,188332,190680,197420,200084,201180,203368,206380,210312,212928,212892,218208,222848,227556,234588,256316,261412,265648,272568,284472,290716,297296,309088,325796,344224,355096,368152,387268,400500,411332,420756,445844,449868,462368,478144,498964,514180,531472,549384,583064,603436,620024,635688,667592,682552,702000,727232,762416,792180,810164,833124,872868,897832,933136,963108,1004168,1046820,1083740,1118132,1135692,1174616,1199632,1240832,1289000,1339616,1397044,1472832,1479372,1499752,1517008,1559156,1597596,1641560,1679368,1704036,1767064,1808956,1854584,1881348,1943132,1980816,2021168,2054560,2092116,2092872,2105904,2114876,2099084,2118664,2148980,2204360,2251264,2335432,2367196,2446584,2476948,2558568,2616524,2696796,2793624,2840328,2918888,2972724,3018880,3066288,3131368,3246928,3397428,3531352,3594516,3547656,3745384,3704316,3738712,3809272,3921864,3932888,4023828,4060052,4101980,4109784,4153952,4149108,4175496,4166508,4175152,4187476,4239580,4271732,4317344,4352788,4433052,4442436,4497688,4566036,4499004,4576768,4631368,4779420,4841964,4975292,4980044,5036280,5068352,5127072,5283812,5299416
 "35000","New Mexico",6,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",94392,98884,99044,101952,104824,104972,106064,106904,106584,108476,108920,111936,114196,114792,115492,113988,115104,115452,118088,119220,119596,120460,122956,126588,127992,132180,133956,136604,138472,141512,145760,147452,146464,148036,148144,148908,149032,150072,151920,151916,155928,160688,164984,171500,180956,184776,187972,193404,202540,207988,213884,224480,232912,247716,257900,268252,275068,286376,295652,302484,303640,307144,315372,325160,335196,345552,358584,373520,398716,414552,425864,437248,448912,460768,476328,496300,515696,537348,551448,567980,586880,601092,625380,644968,668964,697756,721436,745660,761860,794180,812208,838792,848180,885772,928196,988108,981148,999216,1018588,1055624,1073696,1106612,1133328,1146700,1165856,1191956,1224540,1249864,1298604,1328528,1361468,1385016,1412452,1417272,1427276,1429968,1419636,1431924,1453120,1490616,1514872,1573436,1598876,1662192,1699452,1764688,1807012,1855124,1914072,1932292,1981664,2015116,2045512,2081324,2135816,2232596,2349040,2457480,2511416,2499056,2602384,2577024,2595348,2647712,2709388,2712264,2771208,2787476,2810072,2809484,2836212,2822860,2840180,2820488,2819496,2817596,2847584,2864848,2899352,2920164,2967544,2973644,3010548,3054428,2999184,3052988,3099504,3217440,3258288,3369096,3356204,3380220,3373876,3408428,3526032,3543548
 "35000","New Mexico",6,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",23940,24568,24652,25108,29816,29536,29040,28556,32324,32272,31856,31764,32588,32556,32128,31652,35232,35092,35000,35076,38208,38488,39432,40524,39800,40572,40788,41348,40852,41640,42572,43228,50956,52048,53036,54460,57348,60240,61008,60976,62280,62160,62572,63088,75360,76636,77676,79164,81932,82728,83412,84608,92884,96508,97196,99900,112200,114124,115680,118272,142204,142724,146996,152984,163768,168628,172888,175864,184348,188884,194160,198440,218680,221784,225672,230932,246720,254832,258716,265144,285988,296740,307756,318140,335204,349064,362304,372472,373832,380436,387424,402040,440820,453844,468848,484724,498224,500536,498420,503532,523900,534948,546040,557336,601208,617000,630044,631484,644528,652288,659700,669544,679664,675600,678628,684908,679448,686740,695860,713744,736392,761996,768320,784392,777496,793880,809512,841672,879552,908036,937224,957608,973368,984964,995552,1014332,1048388,1073872,1083100,1048600,1143000,1127292,1143364,1161560,1212476,1220624,1252620,1272576,1291908,1300300,1317740,1326248,1335316,1346020,1355656,1369880,1391996,1406884,1417992,1432624,1465508,1468792,1487140,1511608,1499820,1523780,1531864,1561980,1583676,1606196,1623840,1656060,1694476,1718644,1757780,1755868
 "35000","New Mexico",6,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",30620,30988,30988,32636,32088,30936,29912,31904,30732,31200,30364,31068,30568,30076,30376,29748,29920,29916,29744,30348,30468,30308,32560,30836,30560,33144,32964,32448,32800,34872,33168,32748,31128,30272,29624,30152,30252,30384,31792,31840,31704,30556,31776,32092,33444,34184,34348,34520,33624,33664,33580,32656,32548,32320,33248,33040,33264,32348,33052,34468,36940,39752,41860,43660,42620,42364,41476,41452,44976,45056,44608,46068,50188,52728,52476,51468,51300,48872,49016,50972,59276,63420,66940,69568,69408,69944,70456,71172,72240,72720,72176,70568,70820,69840,69680,70584,72888,74448,75056,74700,75048,73868,73304,73284,75908,76460,77044,77704,80716,80756,80212,78988,78800,77456,76788,76728,79128,80436,82152,84300,87752,89352,90400,90892,91392,92680,94760,97888,105236,108636,108784,106236,107452,102916,100100,99084,97260,99360,103016,107676,110372,113184,118364,124364,139712,148644,155532,159720,163512,162364,159664,157084,154484,152860,154400,158752,173872,181968,186812,188052,182420,179832,177464,176568,175940,176012,178020,181024,187720,192840,197188,200544,194600,198108,199752,199520
 "35000","New Mexico",6,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",1153080,1187720,1212984,1258980,1292980,1311784,1315272,1326964,1343456,1364044,1353716,1365452,1371496,1382844,1393464,1400832,1442016,1462228,1474484,1474684,1480656,1487280,1517580,1559004,1575636,1614904,1630388,1654892,1663408,1686084,1728592,1757928,1749472,1781716,1792796,1807012,1816316,1861708,1880048,1878492,1930216,1972340,2010740,2062216,2135984,2178020,2208912,2255432,2331260,2352660,2376796,2422328,2492412,2591884,2652124,2742552,2807152,2896148,2995124,3102248,3176332,3218212,3320936,3435592,3529260,3643108,3742000,3816776,3962964,4068776,4205236,4337768,4514480,4638384,4770172,4918096,5071232,5271348,5409308,5590300,5785932,6008112,6233348,6409444,6598464,6822340,7053856,7264808,7410252,7611400,7747280,8058688,8314296,8580508,8873540,9191724,9289068,9346476,9367944,9527184,9565864,9815920,10045268,10242868,10423196,10688720,10942540,11039820,11301708,11466852,11642540,11793200,11954892,11867572,11921192,12038896,12135040,12279316,12444164,12756124,12728024,13138668,13211700,13520084,13608444,13856896,13992684,14326312,14629768,14896172,15256724,15513844,15737288,15943076,16127360,16483108,16886612,17331064,17529632,17398720,18285256,18297848,18542996,18960148,19355748,19588968,20098708,20442292,20857796,21023672,21327476,21398584,21626292,21732796,21872636,22030240,22488456,22754604,23004104,23277076,23817596,23880976,24195696,24644024,24376800,24799436,25009196,25674900,26121100,26637276,26823608,27245536,27740440,28065460,28718816,28617068
 "35000","New Mexico",6,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",746788,758680,779408,815964,853152,863712,862460,870864,874424,893628,885180,887976,886892,895556,898524,907880,941468,953844,953144,948532,950272,948084,969024,994756,1006148,1029156,1033892,1050336,1045128,1055864,1077144,1103248,1081540,1106976,1119908,1122492,1129300,1172812,1165588,1166584,1190520,1216808,1246044,1266064,1323716,1350732,1368780,1389252,1422904,1421152,1437064,1460948,1500884,1554264,1579312,1656668,1691724,1744684,1808644,1880928,1944360,1967188,2039208,2117916,2182848,2267100,2334740,2370764,2443800,2527604,2645668,2724292,2836372,2915196,3013640,3134064,3258256,3419168,3529876,3685284,3824984,4010040,4161460,4285712,4439716,4616028,4816128,4966704,5060556,5181360,5272740,5506100,5758496,5900488,6066004,6169452,6373288,6397100,6336544,6371876,6427112,6557016,6730848,6944040,7042264,7269200,7440116,7480776,7643724,7781652,7857472,8001244,8085140,8023208,8007340,8101020,8051984,8227036,8359788,8596036,8478700,8841384,9014132,9106308,9170136,9245720,9344292,9639456,9806900,10001344,10124788,10318932,10484960,10571708,10669356,10924004,11217456,11498156,11675508,11471772,12255760,12239504,12482452,12772048,13071356,13290828,13621480,13881512,14141764,14287296,14436396,14572488,14723412,14868864,14940184,15054380,15438800,15673980,15778624,16036644,16383704,16507864,16698356,16928976,16829144,17113080,17272428,17546732,18038380,18311100,18648596,18916276,19384592,19444968,19523176,19523668
 "35000","New Mexico",6,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",2300,2308,2296,2208,2608,2540,2508,2488,2472,2480,2504,2560,2576,2632,3116,3128,3180,3176,3620,3608,3632,4012,4008,3980,4436,4392,4368,4360,4400,4400,4852,4844,5312,5276,5664,5608,6004,6016,6000,6416,6456,6892,6940,7424,7284,7644,7692,7472,8304,8048,8156,8120,8280,8168,8088,8796,9208,8964,9384,9888,10524,10796,11420,11848,12080,12100,12196,12112,10588,11580,12012,12144,13008,13288,13844,14552,14884,14796,16312,18684,17996,20864,22384,23200,25240,23340,23684,25224,25684,26324,27112,26104,28292,25916,26608,28900,28740,29968,29376,31052,33400,35068,34752,35780,37020,41860,44036,39484,44668,47616,46168,47988,50100,51016,52948,53752,58508,57340,56116,56212,63064,62580,61616,62396,62784,62304,62372,65548,66024,68084,67264,67720,71748,72268,79880,73684,75188,80060,81684,86460,86696,86484,90828,84332,82944,84812,94128,96440,94700,99408,96656,94368,98840,99884,99964,104364,104928,105520,109588,115424,113100,108092,109964,115752,127576,119320,126892,126944,129332,132480,133632,130768,164068,149552,129572,121396
 "35000","New Mexico",6,SQINC6S,200,"B","   Mining","Thousands of dollars",121432,117056,111692,117008,123072,127436,130192,130064,134620,141104,142332,141224,140284,138856,139676,140252,145768,136608,132028,135620,130536,128084,126124,127720,126312,129752,125740,128996,128944,130488,130840,128204,129452,127424,127460,127736,132240,134064,136088,132912,130072,140580,144152,147884,155204,155836,159608,160868,158772,160384,165464,164948,170912,166536,165220,165232,170036,169112,170596,179184,175412,183480,186628,207096,224696,243784,254232,240196,282136,288276,299504,321608,334056,337196,365720,381164,407736,435936,448332,447060,442488,509416,537044,561648,574440,613536,655192,703292,729116,774404,770960,823788,847944,887280,949172,946752,933468,873256,760236,700560,682120,645248,642656,690184,693324,700900,714844,718292,719224,726084,707432,694716,674872,585380,530380,522592,507112,543616,536372,560840,552028,562936,546088,535704,522548,540016,569504,584500,601176,620052,634004,675088,680860,678316,664168,648372,659140,628284,638692,666960,652004,690528,710204,703416,723164,700456,692696,719964,714956,748168,732348,719744,724960,738384,763488,746800,783200,804224,798844,802744,803304,768944,747920,742104,704324,728432,720256,729760,777868,805868,813156,868180,897572,912712,901460,891048
