GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "32000","Nevada",8,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",513584,525432,550884,570608,578016,594320,600432,621552,641536,654480,676264,686388,691848,709628,729852,800312,858980,887060,911484,946264,993236,1025476,1046536,1076084,1096068,1105588,1142696,1155752,1178280,1193504,1202256,1209500,1259692,1270312,1259136,1266176,1272156,1307020,1367928,1385992,1451580,1485664,1547912,1610300,1653448,1731100,1803004,1874696,1923172,1944824,1946892,2033860,2081768,2144864,2208656,2281744,2211992,2365228,2470748,2611104,2612908,2713496,2808884,2922452,2964580,3020724,3044100,3113100,3192852,3295212,3400120,3512992,3618140,3749284,3855724,3987192,4190536,4366912,4524864,4762092,5029468,5306316,5605308,5846792,6045684,6257068,6506304,6720824,7029668,7139592,7398764,7697000,7969072,8221928,8413876,8513704,8564156,8545736,8628912,8654368,8780304,9015316,9072680,9393972,9558260,9727136,9891916,10076516,10343612,10490012,10724760,10929444,11112920,11360728,11607420,11978812,12195996,12482236,12824024,13274180,13499564,14285052,14702540,15114576,15495080,15991888,16419268,17124644,17679132,18135060,18604908,18722384,18762104,19097752,19415984,19747500,20488024,20826232,21236644,21658688,22568496,22540516,22905284,23293580,24546624,25082648,25416004,25992380,26664188,27140416,28033276,28517312,29358588,30116080,30946544,31554604,32317808,32868264,33305540,34138808,35043356,35801024,36940720,38151108,39378856,39717572,40039084,41284772,42298444,43099484,43463076,43306096,44468220,45558972,45602052,44664196
 "32000","Nevada",8,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",464124,474708,499536,518004,522600,538868,544896,565428,582364,594408,613560,621172,623888,639984,659628,727116,780332,806948,828648,859804,898732,927240,945660,972292,992180,1000080,1034004,1046176,1067556,1081792,1089556,1096400,1135428,1146768,1137916,1145212,1150704,1182584,1238696,1252760,1309144,1337212,1391964,1448020,1476424,1546824,1611524,1676140,1718164,1735904,1735488,1810240,1844848,1895516,1953564,2015408,1936864,2073036,2170824,2304416,2288180,2382780,2467064,2568364,2596804,2648528,2665212,2718568,2774884,2858396,2950096,3048428,3133684,3247508,3339092,3452220,3613584,3765308,3902524,4110376,4328716,4574480,4834488,5040744,5202000,5375756,5585016,5767092,6036208,6125040,6341784,6601956,6814652,7025008,7184076,7250220,7287264,7260588,7315904,7312852,7375316,7560560,7600616,7877840,7984812,8125288,8264792,8416112,8628956,8745900,8929520,9089812,9220204,9405624,9596400,9904340,10109484,10356852,10649184,11041900,11199416,11863200,12198080,12526740,12821388,13191516,13512220,14062552,14481700,14852504,15224792,15300564,15314856,15578700,15814020,16032696,16550360,16782304,17082912,17460200,18128552,18127336,18411140,18740012,19738900,20200936,20475000,20980648,21577312,21993132,22762952,23187328,23909032,24575020,25283820,25787964,26443716,26899356,27250956,27947748,28571148,29164528,30050872,31001008,31942768,32169924,32411036,33463128,34405256,35063288,35447216,35351776,36371564,37261132,37280372,36496184
 "32000","Nevada",8,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",49460,50724,51348,52604,55416,55452,55536,56124,59172,60072,62704,65216,67960,69644,70224,73196,78648,80112,82836,86460,94504,98236,100876,103792,103888,105508,108692,109576,110724,111712,112700,113100,124264,123544,121220,120964,121452,124436,129232,133232,142436,148452,155948,162280,177024,184276,191480,198556,205008,208920,211404,223620,236920,249348,255092,266336,275128,292192,299924,306688,324728,330716,341820,354088,367776,372196,378888,394532,417968,436816,450024,464564,484456,501776,516632,534972,576952,601604,622340,651716,700752,731836,770820,806048,843684,881312,921288,953732,993460,1014552,1056980,1095044,1154420,1196920,1229800,1263484,1276892,1285148,1313008,1341516,1404988,1454756,1472064,1516132,1573448,1601848,1627124,1660404,1714656,1744112,1795240,1839632,1892716,1955104,2011020,2074472,2086512,2125384,2174840,2232280,2300148,2421852,2504460,2587836,2673692,2800372,2907048,3062092,3197432,3282556,3380116,3421820,3447248,3519052,3601964,3714804,3937664,4043928,4153732,4198488,4439944,4413180,4494144,4553568,4807724,4881712,4941004,5011732,5086876,5147284,5270324,5329984,5449556,5541060,5662724,5766640,5874092,5968908,6054584,6191060,6472208,6636496,6889848,7150100,7436088,7547648,7628048,7821644,7893188,8036196,8015860,7954320,8096656,8297840,8321680,8168012
 "32000","Nevada",8,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",32480,33500,33588,34672,34840,34916,35180,35592,35704,36636,38568,41000,42820,43976,44204,45236,46264,47100,48912,50496,53060,55032,56684,58484,59596,61788,64240,65664,67516,69220,71428,72772,75496,75384,74344,74388,73984,75144,76760,79360,84092,88668,93376,97148,103628,107512,111396,115132,119544,122900,126540,135180,141324,151308,155492,163776,166816,176432,180472,180596,177836,178796,186216,191716,198300,200156,207792,220680,238896,252496,259820,268764,269448,279880,289264,300968,322156,337124,350140,366368,386112,397164,416036,433260,449860,471572,492984,510824,536216,552408,578328,597204,606596,636624,662644,700580,711996,724740,750072,774280,798296,825356,835184,853672,862408,879204,893344,913756,951116,968488,1004616,1030272,1064696,1104116,1135008,1167084,1163456,1180840,1206624,1236988,1262732,1332576,1385620,1440392,1515376,1599916,1667180,1757248,1825352,1863624,1913280,1941300,1961956,2002276,2057032,2143436,2293092,2372964,2451112,2498380,2599072,2602204,2660024,2703140,2817672,2864328,2899104,2920392,2940592,2963716,3021208,3058744,3144760,3201556,3276616,3348224,3420552,3487176,3550860,3631496,3911556,4030076,4215308,4402284,4616440,4768184,4916712,5157388,5321512,5541716,5550880,5514108,5538432,5652292,5652524,5540268
 "32000","Nevada",8,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",16980,17224,17760,17932,20576,20536,20356,20532,23468,23436,24136,24216,25140,25668,26020,27960,32384,33012,33924,35964,41444,43204,44192,45308,44292,43720,44452,43912,43208,42492,41272,40328,48768,48160,46876,46576,47468,49292,52472,53872,58344,59784,62572,65132,73396,76764,80084,83424,85464,86020,84864,88440,95596,98040,99600,102560,108312,115760,119452,126092,146892,151920,155604,162372,169476,172040,171096,173852,179072,184320,190204,195800,215008,221896,227368,234004,254796,264480,272200,285348,314640,334672,354784,372788,393824,409740,428304,442908,457244,462144,478652,497840,547824,560296,567156,562904,564896,560408,562936,567236,606692,629400,636880,662460,711040,722644,733780,746648,763540,775624,790624,809360,828020,850988,876012,907388,923056,944544,968216,995292,1037416,1089276,1118840,1147444,1158316,1200456,1239868,1304844,1372080,1418932,1466836,1480520,1485292,1516776,1544932,1571368,1644572,1670964,1702620,1700108,1840872,1810976,1834120,1850428,1990052,2017384,2041900,2091340,2146284,2183568,2249116,2271240,2304796,2339504,2386108,2418416,2453540,2481732,2503724,2559564,2560652,2606420,2674540,2747816,2819648,2779464,2711336,2664256,2571676,2494480,2464980,2440212,2558224,2645548,2669156,2627744
 "32000","Nevada",8,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",7272,7776,7768,8188,8508,8196,8028,8532,8596,8688,8540,8328,7460,6536,6600,6568,7044,7888,8260,8728,8792,8628,9128,8896,9160,10180,10392,10652,11340,12384,11972,11764,10004,8916,8532,9512,11024,12340,14368,14640,14424,13948,14136,14312,11220,11592,11804,12140,12828,13220,13532,13400,13760,13732,14408,14316,14196,13608,13804,14216,15320,16132,16896,17932,18488,19048,19192,19664,20464,20656,20580,21360,22288,22972,23276,23616,25504,25940,25932,25480,24344,23704,23484,23732,24280,24916,25444,25836,25276,25312,25184,24812,23752,23584,23860,24556,23696,24520,25052,25260,26220,26040,25928,25860,27040,27124,27304,27560,28936,29024,28864,28396,28524,28036,27808,27844,28932,29448,29996,30548,30844,31340,31760,32076,30868,31532,32628,34184,34568,35928,36460,36164,34256,33024,32128,31700,29960,30388,31412,32756,33752,35160,37268,39340,43488,46180,48408,50004,51352,51248,50652,50084,49644,49340,50168,51984,57516,60568,62384,62852,60144,59304,58656,58612,58660,58544,58476,58088,58176,58208,58612,59380,57932,59332,59976,59824
 "32000","Nevada",8,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",506312,517656,543116,562420,569508,586124,592404,613020,632940,645792,667724,678060,684388,703092,723252,793744,851936,879172,903224,937536,984444,1016848,1037408,1067188,1086908,1095408,1132304,1145100,1166940,1181120,1190284,1197736,1249688,1261396,1250604,1256664,1261132,1294680,1353560,1371352,1437156,1471716,1533776,1595988,1642228,1719508,1791200,1862556,1910344,1931604,1933360,2020460,2068008,2131132,2194248,2267428,2197796,2351620,2456944,2596888,2597588,2697364,2791988,2904520,2946092,3001676,3024908,3093436,3172388,3274556,3379540,3491632,3595852,3726312,3832448,3963576,4165032,4340972,4498932,4736612,5005124,5282612,5581824,5823060,6021404,6232152,6480860,6694988,7004392,7114280,7373580,7672188,7945320,8198344,8390016,8489148,8540460,8521216,8603860,8629108,8754084,8989276,9046752,9368112,9531220,9700012,9864612,10048956,10314676,10460988,10695896,10901048,11084396,11332692,11579612,11950968,12167064,12452788,12794028,13243632,13468720,14253712,14670780,15082500,15464212,15960356,16386640,17090460,17644564,18099132,18568448,18686220,18727848,19064728,19383856,19715800,20458064,20795844,21205232,21625932,22534744,22505356,22868016,23254240,24503136,25036468,25367596,25942376,26612836,27089168,27982624,28467228,29308944,30066740,30896376,31502620,32260292,32807696,33243156,34075956,34983212,35741720,36882064,38092496,39320196,39659028,39980608,41226684,42240268,43041276,43404464,43246716,44410288,45499640,45542076,44604372
 "32000","Nevada",8,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",374480,381628,407024,423652,432884,447700,453768,471584,490056,500032,516012,518056,519784,534236,554796,624236,679164,703520,720796,751956,790540,818344,833896,856684,873764,872384,901008,911016,930176,939720,941104,944308,989800,1001240,986588,983988,980032,1001700,1053624,1055932,1102928,1122260,1170152,1222908,1253600,1320260,1380020,1442448,1473940,1481148,1471152,1536884,1561980,1594872,1655616,1711912,1627860,1762796,1862664,2008812,1997184,2094052,2157640,2253064,2275584,2338188,2340828,2388968,2436560,2513716,2607852,2687852,2783404,2885180,2976756,3098084,3266632,3426504,3566492,3778008,4004000,4270796,4535988,4747988,4927568,5099912,5318056,5505492,5757992,5831944,6061020,6316804,6591728,6761092,6880568,6865948,6929796,6905936,6923880,6900892,6994892,7190624,7242268,7566772,7708132,7844388,8012612,8189492,8350832,8509016,8653760,8864528,9040876,9255312,9464784,9743984,9948876,10200996,10507048,10905636,11099148,11793336,12185608,12539616,12809888,13216256,13593788,14177912,14695092,15053876,15408020,15419540,15351140,15613036,15868680,16088484,16627876,16870348,17241896,17746132,18508580,18450512,18682704,19059660,20264112,20710692,20902416,21397404,22014616,22403444,23246324,23620588,24382576,25043424,25817768,26312512,26986804,27493876,27810412,28551948,29302136,29970984,30886944,32004564,33175748,33367060,33672788,34716188,35701424,36244796,36747684,36437912,37488836,38312588,38042372,37123152
 "32000","Nevada",8,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",520,520,520,516,544,544,532,964,840,736,696,716,808,892,948,972,956,920,1356,1348,1376,1376,1372,1796,1748,1684,1660,1684,1724,1756,1808,1848,1904,1908,1916,1896,1852,1824,1800,2204,2228,2232,2248,2256,2460,2412,2460,2436,2520,3024,3048,3052,3628,3568,3956,3880,4300,4208,4656,5120,5388,5932,6224,6204,6136,6196,6276,6220,6464,6144,6628,6652,7320,7720,8252,8828,10096,9980,10500,11416,12636,14176,14744,14752,18228,17444,18744,19824,22244,24776,25540,24836,21448,23464,21848,24028,22188,22340,23564,23124,26708,26692,27880,28124,34912,29496,30136,30432,31124,33616,35672,36020,34624,38384,37728,40844,44252,42748,44104,41372,50812,53520,53428,51836,54796,59024,62544,80128,74164,78132,78360,82048,81212,81248,78256,78092,78076,77780,79916,79444,79724,83824,86776,92900,96812,99332,103460,99676,109640,112608,118500,123096,136552,143384,147188,146052,149844,149060,156456,168592,169804,182152,188888,203288,214328,208100,210212,209736,215912,225064,222092,214872,271596,255724,238824,224068
 "32000","Nevada",8,SQINC6S,200,"B","   Mining","Thousands of dollars",20672,17708,17572,19848,20484,21296,18492,16452,21208,22604,23628,23404,22860,21728,22368,22288,22028,22512,22676,22560,22420,22380,23284,23508,24208,25128,23980,27788,29044,29052,30500,33596,33524,34780,33652,33280,34388,33816,30704,25876,24492,32560,34572,36496,37208,38496,39004,40744,42356,41972,42096,39496,39728,38312,37696,40544,39772,37944,40252,40240,40656,43548,48272,48976,54104,59204,61504,59900,67608,66180,67804,72804,62712,58848,62856,67100,73780,83076,82656,81224,84340,86236,80052,79224,83136,93144,107824,114428,120752,139116,166060,196204,212760,223132,234356,242976,232444,221700,205076,188780,183864,193400,205240,217432,222956,226776,229896,230296,232736,220792,212884,219680,223268,239084,249904,256564,290844,306832,340424,380848,396536,448388,488208,525732,550656,587704,634208,658192,651356,705508,695396,693932,685036,667276,659036,653904,697504,687576,681380,690704,699288,709292,700500,719100,716716,720108,750096,751652,771824,786436,819248,823412,898644,906608,935676,960312,961992,1000004,973992,959008,1034024,1008732,1016544,1018456,1002708,1044652,1012000,1037436,1014940,1024984,1032712,984720,999156,990796,969896,974092
