GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "36000","New York",2,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",32132316,32182560,32714108,33295600,34020892,34572924,34855100,35260532,36415200,36497912,36674940,36733796,36950288,37498676,37944976,38813756,39438308,39996204,40320068,40312372,40722448,41171180,41478392,42031912,42774216,43429708,44204328,44516628,45111116,45683624,46655256,47415724,48933668,49904128,50691356,51170756,52153348,52860196,53737600,55144628,56393388,57821832,59399556,60890428,62044012,63325016,64731248,66224296,67469436,68584200,69412044,68947384,71835112,72093536,72627400,73721668,74678616,77092060,79085552,81406224,83263660,83526416,83767352,85133888,86362568,88522196,90182440,91541196,91646852,92996336,94140880,95054316,96639272,97466356,99431408,99738468,102214624,103906136,106214704,108583344,110682496,113872884,116168020,119642544,121773924,124514328,128396932,131311500,133778760,137417180,139844568,145121844,148521276,152559860,155869024,158899420,162609032,164274104,168354684,171566588,173281380,177195252,179923060,185916024,190101840,195302576,199037588,204418844,207147896,210933148,215935984,220612676,225253228,228001220,232948848,237656828,240858576,246081640,250257484,256036164,270396616,266156240,267013736,273250544,276567028,282856292,286800020,286184924,294838876,298491896,301275940,296721436,294658776,299770812,302395876,303378344,312957716,313048748,319157216,330073192,312118020,324225248,328860512,336422464,323518544,335908428,333640384,339596044,343120796,343915584,347658316,349263280,357980560,360674184,362076396,370250476,372722308,376861648,385822152,396045656,400872756,413445096,415655704,417351832,434189296,431659444,441040152,439838056,466285164,470937976,478812140,494887908,504046932,491762888,483381968,482049396
 "36000","New York",2,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",29505628,29528996,30046004,30591144,31089108,31643188,31895948,32272120,33225264,33291448,33416416,33425688,33546772,34029960,34433376,35235192,35656756,36176128,36459964,36454344,36713152,37122052,37408320,37917592,38664280,39282408,39983308,40226768,40735380,41207304,42046348,42714136,43733344,44625384,45370276,45860152,46787520,47432508,48229208,49443648,50489096,51742736,53121560,54462620,55252932,56389156,57624156,58932416,59961116,60862016,61528056,60996820,63380436,63517516,63892784,64748592,65096688,67201872,69030224,71255716,72426744,72787520,73081816,74316236,75229768,77094584,78418620,79269480,78854556,79715576,80653532,81535524,82766732,83530712,85167648,85306672,87005232,88344404,90234604,92221960,93714364,96505752,98375108,101216084,102798396,104936120,108101692,110451600,112573276,115522940,117446540,122008536,124366232,127659892,130441804,132762000,135608884,136804780,140019372,142516152,143496300,146796148,149223308,154468584,157486584,161949988,165108416,169511900,171614804,174637168,178664204,182614936,186333340,188373500,192422744,196377328,199555964,204036360,207755052,212890128,224789856,221082836,221422772,226214360,228522628,233152912,236093212,235522608,242681356,246246740,248531920,244111824,241591316,245204016,246633892,246643468,253845392,253286716,257853136,267833772,251403860,262270144,265989104,272675248,260632496,271554340,269619452,274578288,278006460,279027388,282716956,284205260,292001312,294848896,296700632,303978620,306546356,309816744,317432284,326271740,329872628,340495672,342328556,343569476,358757448,355847452,363801672,362303792,385452988,388924936,395480500,409463096,417707616,406366644,398679088,396332396
 "36000","New York",2,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",2626688,2653564,2668104,2704456,2931784,2929736,2959152,2988412,3189936,3206464,3258524,3308108,3403516,3468716,3511600,3578564,3781552,3820076,3860104,3858028,4009296,4049128,4070072,4114320,4109936,4147300,4221020,4289860,4375736,4476320,4608908,4701588,5200324,5278744,5321080,5310604,5365828,5427688,5508392,5700980,5904292,6079096,6277996,6427808,6791080,6935860,7107092,7291880,7508320,7722184,7883988,7950564,8454676,8576020,8734616,8973076,9581928,9890188,10055328,10150508,10836916,10738896,10685536,10817652,11132800,11427612,11763820,12271716,12792296,13280760,13487348,13518792,13872540,13935644,14263760,14431796,15209392,15561732,15980100,16361384,16968132,17367132,17792912,18426460,18975528,19578208,20295240,20859900,21205484,21894240,22398028,23113308,24155044,24899968,25427220,26137420,27000148,27469324,28335312,29050436,29785080,30399104,30699752,31447440,32615256,33352588,33929172,34906944,35533092,36295980,37271780,37997740,38919888,39627720,40526104,41279500,41302612,42045280,42502432,43146036,45606760,45073404,45590964,47036184,48044400,49703380,50706808,50662316,52157520,52245156,52744020,52609612,53067460,54566796,55761984,56734876,59112324,59762032,61304080,62239420,60714160,61955104,62871408,63747216,62886048,64354088,64020932,65017756,65114336,64888196,64941360,65058020,65979248,65825288,65375764,66271856,66175952,67044904,68389868,69773916,71000128,72949424,73327148,73782356,75431848,75811992,77238480,77534264,80832176,82013040,83331640,85424812,86339316,85396244,84702880,85717000
 "36000","New York",2,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1775992,1801144,1813372,1849176,1916380,1911820,1939076,1967820,1994940,2015568,2050988,2088124,2124188,2156544,2175368,2202076,2221720,2239596,2274292,2285584,2329424,2377276,2418528,2475864,2532432,2581912,2644956,2703284,2765584,2830312,2921804,2995076,3120232,3192636,3234852,3236348,3250316,3301392,3352988,3488344,3599704,3725236,3872496,3978800,4023656,4132096,4254740,4394532,4570676,4756940,4918092,5028448,5225580,5356292,5531600,5747868,5979404,6205524,6333104,6342384,6249796,6165908,6125960,6171468,6247016,6454920,6747672,7246536,7763684,8221492,8394872,8382292,8283804,8321932,8568420,8765340,9219612,9525108,9865332,10152708,10356104,10542124,10824016,11209760,11502992,11902472,12354436,12727728,12996460,13489432,13859800,14284764,14591820,15123720,15471660,16021504,16510568,16899788,17568348,18162000,18482024,18934056,19134952,19545192,19727708,20144120,20517776,21213128,21722840,22292500,22963496,23340068,23890016,24365416,24894380,25359072,25338440,25835840,26093092,26473828,27525832,27293944,27753316,28783040,29799248,31107456,32027456,32262164,33469324,33589552,33985588,34051480,34461168,35510912,36500684,37450304,39176152,39904076,41204420,42126324,40771180,41653072,42306868,42890880,42162208,43000240,42753828,43395396,43433708,43224112,43143160,43242188,43827832,43601856,43142860,43660672,43591556,44255264,45189932,46048788,47372008,48714472,49029708,49373576,50458372,50963512,52044152,52382060,54364352,55344508,56106248,57341568,57691216,57039876,56625408,57466460
 "36000","New York",2,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",850696,852420,854732,855280,1015404,1017916,1020076,1020592,1194996,1190896,1207536,1219984,1279328,1312172,1336232,1376488,1559832,1580480,1585812,1572444,1679872,1671852,1651544,1638456,1577504,1565388,1576064,1586576,1610152,1646008,1687104,1706512,2080092,2086108,2086228,2074256,2115512,2126296,2155404,2212636,2304588,2353860,2405500,2449008,2767424,2803764,2852352,2897348,2937644,2965244,2965896,2922116,3229096,3219728,3203016,3225208,3602524,3684664,3722224,3808124,4587120,4572988,4559576,4646184,4885784,4972692,5016148,5025180,5028612,5059268,5092476,5136500,5588736,5613712,5695340,5666456,5989780,6036624,6114768,6208676,6612028,6825008,6968896,7216700,7472536,7675736,7940804,8132172,8209024,8404808,8538228,8828544,9563224,9776248,9955560,10115916,10489580,10569536,10766964,10888436,11303056,11465048,11564800,11902248,12887548,13208468,13411396,13693816,13810252,14003480,14308284,14657672,15029872,15262304,15631724,15920428,15964172,16209440,16409340,16672208,18080928,17779460,17837648,18253144,18245152,18595924,18679352,18400152,18688196,18655604,18758432,18558132,18606292,19055884,19261300,19284572,19936172,19857956,20099660,20113096,19942980,20302032,20564540,20856336,20723840,21353848,21267104,21622360,21680628,21664084,21798200,21815832,22151416,22223432,22232904,22611184,22584396,22789640,23199936,23725128,23628120,24234952,24297440,24408780,24973476,24848480,25194328,25152204,26467824,26668532,27225392,28083244,28648100,28356368,28077472,28250540
 "36000","New York",2,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",113324,115596,115500,121200,117812,112560,109344,116460,112080,113724,113460,117380,118812,118456,121416,120988,121880,121916,120896,121248,120472,117372,123788,115468,114560,122828,120756,118592,117976,123788,117028,115184,108612,105372,103356,104964,105152,104640,109996,110056,111684,108204,112148,112888,115632,118808,119844,121120,119256,120744,122728,121064,123688,124576,132092,130372,130284,122228,123968,129172,140336,150268,160044,171592,175444,180428,182492,188440,201924,206888,204908,207124,208856,206504,203100,204116,225040,232228,234632,231864,233232,224420,220856,223172,234604,245684,254908,261020,263072,262276,260840,257440,250428,250520,255684,265952,281352,289872,293360,291900,285848,280608,276668,274132,272996,273404,274704,277336,277272,278084,275928,270548,261004,255848,252492,251012,247760,250584,256260,264600,275408,284376,291404,295864,297224,304100,315396,331512,354576,368704,376908,378688,372368,368828,364480,360024,356592,354924,358220,365240,384832,394292,398056,395128,390872,382644,382872,390716,413080,427296,437612,442568,438472,437072,438388,442264,447920,455540,460884,464168,464332,465768,461540,454608,428732,419264,420776,431048,465716,487424,506676,521448,513128,521712,524984,522720
 "36000","New York",2,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",32018992,32066964,32598608,33174400,33903080,34460364,34745756,35144072,36303120,36384188,36561480,36616416,36831476,37380220,37823560,38692768,39316428,39874288,40199172,40191124,40601976,41053808,41354604,41916444,42659656,43306880,44083572,44398036,44993140,45559836,46538228,47300540,48825056,49798756,50588000,51065792,52048196,52755556,53627604,55034572,56281704,57713628,59287408,60777540,61928380,63206208,64611404,66103176,67350180,68463456,69289316,68826320,71711424,71968960,72495308,73591296,74548332,76969832,78961584,81277052,83123324,83376148,83607308,84962296,86187124,88341768,89999948,91352756,91444928,92789448,93935972,94847192,96430416,97259852,99228308,99534352,101989584,103673908,105980072,108351480,110449264,113648464,115947164,119419372,121539320,124268644,128142024,131050480,133515688,137154904,139583728,144864404,148270848,152309340,155613340,158633468,162327680,163984232,168061324,171274688,172995532,176914644,179646392,185641892,189828844,195029172,198762884,204141508,206870624,210655064,215660056,220342128,224992224,227745372,232696356,237405816,240610816,245831056,250001224,255771564,270121208,265871864,266722332,272954680,276269804,282552192,286484624,285853412,294484300,298123192,300899032,296342748,294286408,299401984,302031396,303018320,312601124,312693824,318798996,329707952,311733188,323830956,328462456,336027336,323127672,335525784,333257512,339205328,342707716,343488288,347220704,348820712,357542088,360237112,361638008,369808212,372274388,376406108,385361268,395581488,400408424,412979328,415194164,416897224,433760564,431240180,440619376,439407008,465819448,470450552,478305464,494366460,503533804,491241176,482856984,481526676
 "36000","New York",2,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",27393116,27334832,27799960,28355280,29011488,29555636,29774832,30104088,31136240,31161028,31249800,31231576,31371744,31786192,32136384,32883880,33395380,33895980,34130096,34119944,34412072,34793140,35013308,35376360,35995008,36562816,37270340,37384384,37909272,38364876,39222176,39835180,41053236,41779136,42339852,42691044,43702188,44108804,44824608,45817316,46580748,47737168,48938432,50348132,51118756,52168024,53262660,54425400,55265600,55781804,56175644,55411812,57739200,57681132,57841712,58692116,59254932,61374780,63081088,65176284,66651968,66606292,66607296,67495320,68309256,70134104,71460336,72197856,72000300,72748184,73732020,74989056,76560140,77411536,79131552,79686804,81926448,83256264,84882424,86981676,88940552,91735084,93431796,96509452,98570692,101256188,104115216,106553424,108653512,111349140,114028376,118338144,120884000,124194660,126963572,128519884,132231796,133360336,136534868,139608324,140413908,143810992,145988900,150957264,154610416,158621660,161753816,166060600,168214836,171420852,175181496,180136080,183600780,185437836,189563060,192782564,195978968,199983512,204158536,207922932,221565820,216537100,216403148,220990828,223351784,228368848,230778328,229147832,236210580,238341980,240717804,236113624,233902704,238210896,240159996,240707328,248967684,248417552,252903696,263745756,245741584,257599168,260735816,268678200,254653960,267357360,264872316,268288144,272095280,273129396,277845276,278012716,285946960,288322304,291068448,298617764,301029784,302615308,310440720,320160232,324895792,336326576,337940804,338432388,354656740,349739476,358453452,356493648,381360568,385214000,392110416,407043464,417002508,404043212,396580768,393188832
 "36000","New York",2,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",37248,37572,37776,37428,37412,37228,37712,38160,38796,39716,40656,42516,43460,44792,46104,47116,48428,48976,49788,50516,51356,52048,53356,54784,56792,58724,60268,61692,63336,64408,66232,67552,70336,71832,73144,74832,76452,78392,80112,82584,85532,88296,91248,94196,93448,95444,96200,96876,98388,99596,101196,104264,107920,111232,114020,115868,117140,119240,121972,125136,130536,133300,135908,138464,141080,141724,142092,141340,142096,141784,142444,144828,148792,150680,152560,154352,150912,148848,165028,194244,173152,201452,215624,232580,226140,225388,229140,231336,244936,259100,263904,263316,262100,261064,264808,260900,279776,299532,303672,312468,319940,320796,328184,338564,344396,364712,378048,390624,395548,419064,421964,442460,452412,465688,488960,498208,505332,517400,532164,545688,579360,576260,583672,585692,601460,610908,622428,631632,644488,665004,657476,662936,674844,669648,647816,668112,640532,634176,644220,646460,643980,644140,660288,644256,642828,653208,660568,663344,667316,684308,678876,681680,693988,704012,715184,732288,716556,730036,746644,762344,766552,788092,808324,829924,852540,887080,896024,937856,958268,946012,957588,983912,1215056,1119216,994864,929308
 "36000","New York",2,SQINC6S,200,"B","   Mining","Thousands of dollars",68636,65852,67592,71108,71928,75540,65396,73540,74060,73920,70976,68312,67008,67000,70696,72216,74192,74632,74744,71136,75276,77104,75380,74552,77820,81628,83000,87004,86032,87980,90128,87880,93404,96096,94608,95256,97340,95360,98952,99824,97688,96172,96900,94020,100004,99160,100200,106280,105848,105984,107160,105220,100136,102872,106272,98800,125248,126576,128848,129292,139364,145540,153572,161632,160924,165268,166988,154932,177412,174312,169600,177292,169168,165728,173592,173596,184336,196320,198960,179164,186132,205760,204524,211664,196636,202752,223088,234448,214752,239420,236676,248876,271020,275432,295348,293448,302196,292432,292904,310548,316152,323520,319120,307588,320756,311012,317760,307256,333740,337528,323536,310676,289624,291872,302172,300952,302804,311968,314136,296620,338460,330804,385328,313840,333392,336224,327316,354764,323672,326028,326728,328856,270540,258496,246508,241084,260552,260520,248224,248688,259540,266940,265692,267216,272624,279020,285760,296132,282112,278016,272704,256232,259916,263164,265840,309568,275032,264708,310480,276064,272996,272560,265464,280708,260860,279772,290204,288120,341844,291448,295248,280632,293396,312720,292076,308648
