GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "40000","Oklahoma",6,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",2613852,2632132,2680940,2723900,2774880,2820276,2807116,2840424,2848404,2904944,2914152,2932356,2950216,2983912,3027048,3085104,3178704,3197136,3235340,3251900,3282996,3322488,3391380,3441476,3498596,3576248,3598300,3638540,3693904,3737992,3809288,3921508,4014872,4132736,4193368,4298052,4419916,4496808,4630124,4728900,4837688,4982088,5114820,5247012,5303604,5449068,5616944,5737436,5880176,5967216,6063196,6129948,6267260,6392820,6492272,6612992,6931764,7004144,7121216,7274812,7507160,7758748,7985752,8265180,8509088,8789916,9090548,9213784,9480344,9671652,9964988,10232696,10711956,10842092,11111260,11489844,11917920,12267920,12660608,13065392,13326556,14265792,14680796,15237224,15628892,16194924,16833400,17544992,18336696,18946520,19929552,20614540,21349032,22207072,23427888,24457476,25389748,25559784,25348552,24978308,24897112,25027124,24843004,25499904,26001020,26491860,26656892,26889300,26966048,27083844,27390612,27491356,27646204,26967404,26528312,26559960,26618092,26752296,27084624,27175408,27348884,28032188,28500860,28722384,29027484,29429288,29888092,30398364,30854652,31512416,32024672,32432948,32662344,33045324,33478396,34047788,34782568,35278004,35580112,35472532,36428152,36399728,36605828,37155292,37275856,37997196,38165932,38791768,38793300,39230528,39535844,40061660,40484208,41270400,41837404,42157848,43086004,43223372,43683888,44819800,46150936,46635576,46708352,46807432,47651720,48013444,48487236,49694520,50718780,51491456,52532720,53434744,54312968,54751368,54928572,55449200
 "40000","Oklahoma",6,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",2369364,2382200,2427824,2468596,2505432,2549976,2535820,2567700,2570516,2624288,2631076,2644644,2655424,2685896,2725824,2778040,2852112,2868892,2903116,2918684,2939752,2974696,3035028,3079264,3133784,3202708,3221840,3256640,3309560,3351112,3415024,3515952,3576336,3678456,3731096,3822144,3921628,3983208,4100768,4186892,4280484,4410656,4530336,4647980,4700456,4829072,4975384,5079096,5200960,5273588,5352620,5399332,5506032,5609928,5687764,5786192,6046312,6104732,6208336,6351100,6519496,6755208,6964008,7208032,7405860,7648540,7909788,7993212,8193780,8340820,8595952,8838252,9235232,9349416,9576808,9895340,10231804,10530436,10864780,11216704,11416412,12248112,12601204,13075244,13387980,13855172,14396716,14997412,15681384,16190816,17029352,17641484,18254772,18985756,20019192,20853764,21658116,21767980,21552760,21179860,21022624,21117048,20951200,21537568,21879960,22309728,22450360,22639852,22681084,22753312,22968844,23008040,23063988,22428740,22019468,22036184,22132964,22247400,22531904,22640832,22737276,23322856,23691000,23835476,24042564,24300208,24627212,25032844,25371624,25948964,26360352,26657592,26804904,27075148,27362628,27739332,28231492,28565904,28745816,28691732,29356244,29379720,29544172,29995544,29998248,30615456,30767872,31322164,31386336,31772860,32041684,32480868,32831248,33504960,34005316,34321352,35174904,35348332,35744412,36709440,37821200,38220668,38298768,38425632,39192940,39493480,39831356,40764808,41538660,42029896,42835532,43541672,44273644,44588408,44650104,44978136
 "40000","Oklahoma",6,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",244488,249932,253116,255304,269448,270300,271296,272724,277888,280656,283076,287712,294792,298016,301224,307064,326592,328244,332224,333216,343244,347792,356352,362212,364812,373540,376460,381900,384344,386880,394264,405556,438536,454280,462272,475908,498288,513600,529356,542008,557204,571432,584484,599032,603148,619996,641560,658340,679216,693628,710576,730616,761228,782892,804508,826800,885452,899412,912880,923712,987664,1003540,1021744,1057148,1103228,1141376,1180760,1220572,1286564,1330832,1369036,1394444,1476724,1492676,1534452,1594504,1686116,1737484,1795828,1848688,1910144,2017680,2079592,2161980,2240912,2339752,2436684,2547580,2655312,2755704,2900200,2973056,3094260,3221316,3408696,3603712,3731632,3791804,3795792,3798448,3874488,3910076,3891804,3962336,4121060,4182132,4206532,4249448,4284964,4330532,4421768,4483316,4582216,4538664,4508844,4523776,4485128,4504896,4552720,4534576,4611608,4709332,4809860,4886908,4984920,5129080,5260880,5365520,5483028,5563452,5664320,5775356,5857440,5970176,6115768,6308456,6551076,6712100,6834296,6780800,7071908,7020008,7061656,7159748,7277608,7381740,7398060,7469604,7406964,7457668,7494160,7580792,7652960,7765440,7832088,7836496,7911100,7875040,7939476,8110360,8329736,8414908,8409584,8381800,8458780,8519964,8655880,8929712,9180120,9461560,9697188,9893072,10039324,10162960,10278468,10471064
 "40000","Oklahoma",6,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",187644,192804,195936,198264,202004,202844,204528,205632,201080,202268,204052,208692,213544,216164,218884,223768,231768,233164,235268,234256,233988,236312,243180,248764,255708,265092,269128,274136,276316,277072,282296,290936,298708,312076,318636,328992,345636,356904,366640,373536,379636,388384,396344,406828,421484,434364,450388,463760,480396,491704,506844,525396,536660,554384,574876,594472,616728,630832,643704,651504,657064,663760,673040,694248,714012,740092,766888,802352,854076,889760,916356,930792,959200,972296,1005872,1053104,1107124,1147724,1193620,1232128,1253680,1314180,1354280,1405100,1449468,1515708,1576672,1651236,1727296,1804620,1899792,1943192,1965292,2050408,2175320,2315364,2369072,2418420,2436060,2466968,2504180,2541316,2541588,2582536,2632692,2671004,2693036,2730496,2767800,2809212,2879792,2925184,2998224,2984300,2969620,2976940,2944116,2955540,2979404,2952624,2956492,3008932,3077244,3137572,3240168,3353416,3447592,3508952,3575196,3601848,3657252,3733308,3797248,3880572,4001680,4168532,4355468,4491404,4593992,4585444,4705424,4673036,4693272,4769876,4834004,4906504,4905272,4924252,4854672,4869804,4886360,4946724,5020596,5097196,5140236,5132604,5173776,5141532,5186424,5290568,5464488,5529960,5530324,5513192,5557376,5615792,5738848,5953408,6147372,6387124,6547496,6669116,6739580,6813700,6900128,7042288
 "40000","Oklahoma",6,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",56844,57128,57180,57040,67444,67456,66768,67092,76808,78388,79024,79020,81248,81852,82340,83296,94824,95080,96956,98960,109256,111480,113172,113448,109104,108448,107332,107764,108028,109808,111968,114620,139828,142204,143636,146916,152652,156696,162716,168472,177568,183048,188140,192204,181664,185632,191172,194580,198820,201924,203732,205220,224568,228508,229632,232328,268724,268580,269176,272208,330600,339780,348704,362900,389216,401284,413872,418220,432488,441072,452680,463652,517524,520380,528580,541400,578992,589760,602208,616560,656464,703500,725312,756880,791444,824044,860012,896344,928016,951084,1000408,1029864,1128968,1170908,1233376,1288348,1362560,1373384,1359732,1331480,1370308,1368760,1350216,1379800,1488368,1511128,1513496,1518952,1517164,1521320,1541976,1558132,1583992,1554364,1539224,1546836,1541012,1549356,1573316,1581952,1655116,1700400,1732616,1749336,1744752,1775664,1813288,1856568,1907832,1961604,2007068,2042048,2060192,2089604,2114088,2139924,2195608,2220696,2240304,2195356,2366484,2346972,2368384,2389872,2443604,2475236,2492788,2545352,2552292,2587864,2607800,2634068,2632364,2668244,2691852,2703892,2737324,2733508,2753052,2819792,2865248,2884948,2879260,2868608,2901404,2904172,2917032,2976304,3032748,3074436,3149692,3223956,3299744,3349260,3378340,3428776
 "40000","Oklahoma",6,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",37528,38400,38372,39984,38904,37116,36344,38744,37308,37836,38528,41108,43084,44828,46556,46288,45844,45100,43632,43044,43552,42656,43856,38960,35876,36336,34420,33876,34972,38824,38588,40296,39880,40428,41076,43044,43828,44456,47120,47412,48704,47364,50092,51444,46548,49136,50988,53960,54152,56928,58252,56252,54228,51640,53592,53880,58232,58712,60656,61808,63056,63636,64888,68272,74076,78668,79992,81956,81656,80768,80200,84428,92076,97004,100192,103404,123612,125576,125300,122748,95884,93612,93032,94332,99548,102352,104672,106252,107412,107500,106944,105424,102132,103452,106188,110240,116024,118844,119764,118876,116548,114624,113552,113284,114060,114760,115536,116480,117056,117128,116092,113888,110564,108464,107260,106976,107040,108460,110872,114216,118480,121736,124384,126152,125892,128484,132744,138772,147140,152252,154832,154736,151412,149700,146824,143476,137324,134476,135000,138476,148104,154984,158128,156964,150508,144776,144696,149548,163152,173268,179284,180540,178848,175084,174000,176076,181872,188368,192060,193084,189216,185228,185460,189296,202440,211668,216944,217668,209100,203848,203544,208348,228968,232348,235548,238556
 "40000","Oklahoma",6,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",2576324,2593732,2642568,2683916,2735976,2783160,2770772,2801680,2811096,2867108,2875624,2891248,2907132,2939084,2980492,3038816,3132860,3152036,3191708,3208856,3239444,3279832,3347524,3402516,3462720,3539912,3563880,3604664,3658932,3699168,3770700,3881212,3974992,4092308,4152292,4255008,4376088,4452352,4583004,4681488,4788984,4934724,5064728,5195568,5257056,5399932,5565956,5683476,5826024,5910288,6004944,6073696,6213032,6341180,6438680,6559112,6873532,6945432,7060560,7213004,7444104,7695112,7920864,8196908,8435012,8711248,9010556,9131828,9398688,9590884,9884788,10148268,10619880,10745088,11011068,11386440,11794308,12142344,12535308,12942644,13230672,14172180,14587764,15142892,15529344,16092572,16728728,17438740,18229284,18839020,19822608,20509116,21246900,22103620,23321700,24347236,25273724,25440940,25228788,24859432,24780564,24912500,24729452,25386620,25886960,26377100,26541356,26772820,26848992,26966716,27274520,27377468,27535640,26858940,26421052,26452984,26511052,26643836,26973752,27061192,27230404,27910452,28376476,28596232,28901592,29300804,29755348,30259592,30707512,31360164,31869840,32278212,32510932,32895624,33331572,33904312,34645244,35143528,35445112,35334056,36280048,36244744,36447700,36998328,37125348,37852420,38021236,38642220,38630148,39057260,39356560,39881120,40305360,41095316,41663404,41981772,42904132,43035004,43491828,44626716,45961720,46450348,46522892,46618136,47449280,47801776,48270292,49476852,50509680,51287608,52329176,53226396,54084000,54519020,54693024,55210644
 "40000","Oklahoma",6,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",1874272,1864320,1894876,1936700,2007364,2040844,2020120,2047604,2049648,2102032,2104452,2103300,2102408,2132656,2163104,2202688,2267256,2278168,2310032,2325640,2349492,2379584,2416352,2466116,2513388,2557896,2576708,2610160,2651096,2681452,2728048,2791196,2854904,2934112,2981076,3042328,3093784,3125544,3210860,3281296,3361628,3477240,3589064,3689168,3716476,3831360,3949484,3999948,4089688,4126528,4203356,4246364,4348636,4434884,4469068,4570772,4841480,4889520,4965936,5077456,5270208,5495388,5691936,5916664,6107680,6336056,6618512,6665820,6860076,7007892,7249168,7461180,7856940,7925680,8150328,8451484,8790372,9101132,9438808,9774364,9974080,10856524,11165308,11648532,11934944,12437440,12982580,13601276,14298480,14725224,15589592,16156696,16875716,17590568,18492312,19134132,20091320,20173152,19779392,19251456,19051380,19091128,19068700,19609624,19971476,20339604,20542820,20648628,20602580,20617880,20701256,20720024,20838048,20118624,19734868,19705640,19749732,19865888,20120600,20280336,20262572,20892480,21284844,21483352,21631436,21837784,22173856,22608472,22945984,23485028,23841908,24094268,24240180,24540896,24751168,25130988,25718124,26056780,26162416,26024764,26845304,26813708,27152648,27707808,27693944,28232120,28520364,28974900,28841964,29144392,29445112,29910400,30288252,30997012,31462572,31764500,32614056,32797140,33069812,34115636,35372932,35787664,35817136,35771840,36377916,36583232,36926880,37989720,38806048,39285928,40152944,40805592,41560584,41801644,41715676,42061304
 "40000","Oklahoma",6,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",5284,5272,5256,5200,5608,5576,5608,6060,6488,6552,7004,7080,7044,7060,7044,7460,7500,7468,7452,7868,7920,7884,8320,8272,8256,8164,8532,8924,10240,11088,11956,11484,11152,10180,9680,10068,10480,11360,12180,12992,13412,13376,13800,14268,14868,15040,15584,16292,16916,17732,18832,19132,19008,19116,19352,19460,19672,20136,21428,23000,23824,25380,26596,28416,30084,31620,31412,29812,23020,22992,23824,24224,25404,26056,26740,27412,28176,28340,30812,35084,31988,37844,41224,43360,47284,44804,45796,54272,52420,55676,59428,50024,54464,55556,54608,57688,61680,61172,62168,63784,65568,67632,67944,67520,69376,73804,73484,75888,75736,81368,81584,82936,87096,87808,88332,85604,97184,91328,94388,92336,96668,93848,93484,94812,94676,95172,95752,95692,97044,102512,104504,110312,110120,111356,113532,114532,119648,118380,120108,121260,124992,128864,132324,138320,135548,141380,140196,140980,137156,139796,142032,145236,148092,145588,147692,146288,154132,145664,153320,157832,156848,160676,162588,165788,181744,184032,186604,194716,195456,196640,200936,200320,249712,234544,207912,193988
 "40000","Oklahoma",6,SQINC6S,200,"B","   Mining","Thousands of dollars",292048,281660,280948,285416,293604,297972,286232,293444,281428,288720,276968,280924,285232,287636,300632,299996,301076,296876,297552,295336,295796,298084,296412,300864,299868,306052,307740,312920,315924,317920,320028,322960,333996,336468,333056,336964,337432,342512,346708,349420,355088,365588,378116,377260,389244,389440,398880,402788,396208,393884,388452,387300,398452,395800,396332,393856,420728,400100,407836,412044,411412,434616,449196,475416,516960,549668,594592,554284,629784,632156,655960,718796,771752,758872,801568,830984,870532,959724,996092,1004176,1003604,1193048,1260440,1305988,1313624,1421000,1438620,1618960,1711952,1877380,2042256,2254980,2470512,2693460,3147912,3404704,3607692,3610292,3378636,2925640,2779128,2656000,2549380,2573532,2587248,2604776,2597500,2552648,2473664,2518692,2425516,2348224,2309328,2032980,1904372,1899820,1796860,1872616,1902800,1941716,1847680,1835892,1826068,1785804,1783980,1769612,1820556,1859548,1842500,1893280,1954800,2002992,1906432,2006820,1937708,1945056,1857188,1954632,1837744,1834752,1787480,1789092,1831400,1801256,1778384,1749236,1811712,1774468,1682340,1599408,1587612,1619240,1613096,1682180,1578108,1600528,1664708,1668700,1636924,1605976,1642032,1635548,1590364,1553740,1533516,1632208,1495744,1612340,1639232,1670044,1766008,1883324,1949400,1923080,1902700,1890712
