GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "41000","Oregon",8,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",2356916,2380448,2442400,2563120,2622420,2677148,2721344,2760532,2846164,2839996,2842980,2815836,2827432,2919856,2929760,2965416,3014888,3084972,3143680,3236664,3274552,3291108,3380160,3467720,3524092,3598816,3700812,3696272,3886148,3916840,3971440,4062176,4200876,4325236,4326188,4389264,4403356,4498780,4556784,4685900,4809036,4931840,5066116,5205004,5299160,5463460,5594036,5664000,5780236,5801448,5905372,5981828,6173164,6325148,6460636,6680108,6938060,7169952,7307160,7548560,7942436,8133168,8209660,8508408,8738044,8986452,9284896,9374924,9349120,9685564,10133160,10318100,10749632,11075312,11442124,11814372,12270268,12645612,13041004,13662496,14316220,14773524,15123840,15690508,16199896,16815784,17342988,17823292,18108840,18014296,18300480,18795532,19308520,19346056,19298012,19037868,19283776,19223096,19297776,19388484,19664748,20136976,20239220,20868784,21456284,21773892,22148956,22467144,22712852,22949664,23300672,23660612,24041476,24333384,24752328,25165492,25533216,25926516,26618584,27099180,27605168,28646596,29430468,30112892,30532664,31263328,31711424,32790820,33438636,34465920,34917404,35301056,35585368,36055732,36680364,37256128,38397952,39073476,39773132,39684660,41177272,41411768,41690408,42491216,43518576,44438000,45275284,46028472,46732196,47509784,48510520,49777672,50354664,51585080,52884016,54005140,55080328,55584900,56747432,57608992,58825488,59296904,59756624,60656972,61726304,62397628,63213388,65149812,67540128,68395720,69726856,69328096,70782792,70179776,69864196,69359876
 "41000","Oregon",8,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",2148036,2167052,2226448,2338528,2375292,2427988,2467656,2503536,2570864,2565796,2564136,2535584,2538672,2622728,2634920,2672868,2707940,2775672,2828504,2911728,2932516,2945868,3025056,3103188,3158688,3228048,3320620,3316956,3492512,3521796,3572656,3657312,3754292,3869188,3872728,3930524,3939480,4020456,4067860,4176552,4277164,4383004,4498860,4621828,4684776,4832084,4947180,5007524,5103116,5115548,5204824,5261268,5408492,5537732,5650928,5834840,6022560,6221240,6345916,6567956,6858312,7034856,7107072,7368300,7544928,7753016,8002920,8059456,7997084,8266492,8647420,8813064,9156988,9437960,9745704,10046940,10385840,10699252,11025344,11547980,12059624,12459292,12753572,13228804,13638108,14138136,14574912,14968800,15211120,15111108,15331532,15766044,16114408,16134820,16098860,15869652,16014456,15927968,15956300,15989096,16145528,16531680,16624012,17160228,17571048,17832972,18135504,18372756,18538444,18700576,18952720,19225796,19517664,19722084,20044880,20374520,20708444,21031876,21588100,22013736,22351000,23208780,23836840,24344664,24656460,25174776,25483688,26318016,26784008,27626856,27966220,28238540,28423848,28759956,29190676,29547308,30326016,30775968,31268804,31256812,32337352,32620752,32862388,33550596,34276172,35081884,35796248,36479848,37166108,37836892,38675548,39684468,40134816,41151656,42230300,43201140,44199192,44678308,45654400,46370416,47230392,47618200,48013136,48843392,49808604,50400176,51035336,52558140,54459476,54948552,55942980,55471644,56530344,55885632,55477380,55019776
 "41000","Oregon",8,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",208880,213396,215952,224592,247128,249160,253688,256996,275300,274200,278844,280252,288760,297128,294840,292548,306948,309300,315176,324936,342036,345240,355104,364532,365404,370768,380192,379316,393636,395044,398784,404864,446584,456048,453460,458740,463876,478324,488924,509348,531872,548836,567256,583176,614384,631376,646856,656476,677120,685900,700548,720560,764672,787416,809708,845268,915500,948712,961244,980604,1084124,1098312,1102588,1140108,1193116,1233436,1281976,1315468,1352036,1419072,1485740,1505036,1592644,1637352,1696420,1767432,1884428,1946360,2015660,2114516,2256596,2314232,2370268,2461704,2561788,2677648,2768076,2854492,2897720,2903188,2968948,3029488,3194112,3211236,3199152,3168216,3269320,3295128,3341476,3399388,3519220,3605296,3615208,3708556,3885236,3940920,4013452,4094388,4174408,4249088,4347952,4434816,4523812,4611300,4707448,4790972,4824772,4894640,5030484,5085444,5254168,5437816,5593628,5768228,5876204,6088552,6227736,6472804,6654628,6839064,6951184,7062516,7161520,7295776,7489688,7708820,8071936,8297508,8504328,8427848,8839920,8791016,8828020,8940620,9242404,9356116,9479036,9548624,9566088,9672892,9834972,10093204,10219848,10433424,10653716,10804000,10881136,10906592,11093032,11238576,11595096,11678704,11743488,11813580,11917700,11997452,12178052,12591672,13080652,13447168,13783876,13856452,14252448,14294144,14386816,14340100
 "41000","Oregon",8,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",115892,119564,120560,125452,129200,130608,134404,138896,139276,140880,146180,149848,153952,158008,157464,156060,157152,158944,163780,169632,173640,176632,183012,189332,195484,200768,208880,211752,221956,225548,230688,237020,243288,250600,250372,253940,255260,263252,269516,281200,291728,303092,315348,325508,353732,364448,374068,382368,398472,407568,420052,438988,454716,471408,491284,517912,541016,564896,576488,585776,595820,602912,607540,624856,644296,672532,708020,744916,788436,840552,883588,894740,912516,938936,978476,1032144,1096724,1141848,1193744,1258808,1318016,1343444,1377708,1426012,1473288,1542188,1593452,1646900,1683440,1705560,1749812,1780000,1835760,1856744,1853588,1849576,1915852,1951832,1995620,2050412,2109592,2162220,2164984,2212600,2243008,2278116,2329452,2399648,2470968,2542892,2627232,2692484,2759448,2829912,2900904,2963744,2996444,3049320,3140764,3169224,3233816,3344744,3448872,3586868,3711984,3879024,3986772,4142680,4247500,4342700,4407364,4487152,4572188,4673668,4824088,5007400,5258540,5438136,5598644,5596372,5786764,5759488,5774776,5842864,6012508,6079196,6145300,6167800,6161260,6207372,6269332,6388484,6419196,6500020,6606128,6676968,6730324,6756132,6883864,6985524,7187044,7253204,7307532,7342836,7408580,7460368,7587680,7856456,8137104,8447676,8696940,8833620,9193344,9335816,9483384,9467092
 "41000","Oregon",8,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",92988,93832,95392,99140,117928,118552,119284,118100,136024,133320,132664,130404,134808,139120,137376,136488,149796,150356,151396,155304,168396,168608,172092,175200,169920,170000,171312,167564,171680,169496,168096,167844,203296,205448,203088,204800,208616,215072,219408,228148,240144,245744,251908,257668,260652,266928,272788,274108,278648,278332,280496,281572,309956,316008,318424,327356,374484,383816,384756,394828,488304,495400,495048,515252,548820,560904,573956,570552,563600,578520,602152,610296,680128,698416,717944,735288,787704,804512,821916,855708,938580,970788,992560,1035692,1088500,1135460,1174624,1207592,1214280,1197628,1219136,1249488,1358352,1354492,1345564,1318640,1353468,1343296,1345856,1348976,1409628,1443076,1450224,1495956,1642228,1662804,1684000,1694740,1703440,1706196,1720720,1742332,1764364,1781388,1806544,1827228,1828328,1845320,1889720,1916220,2020352,2093072,2144756,2181360,2164220,2209528,2240964,2330124,2407128,2496364,2543820,2575364,2589332,2622108,2665600,2701420,2813396,2859372,2905684,2831476,3053156,3031528,3053244,3097756,3229896,3276920,3333736,3380824,3404828,3465520,3565640,3704720,3800652,3933404,4047588,4127032,4150812,4150460,4209168,4253052,4408052,4425500,4435956,4470744,4509120,4537084,4590372,4735216,4943548,4999492,5086936,5022832,5059104,4958328,4903432,4873008
 "41000","Oregon",8,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",51540,54196,55784,59604,59128,57408,56264,60448,60004,61768,61352,63176,62152,60648,62484,64076,67892,71616,74144,76304,76772,75800,81604,78256,80184,88776,88328,86468,84068,86596,81260,80144,77596,76860,75996,77292,76848,75536,78760,78728,79896,77436,80908,81700,84200,86248,87280,88796,88872,90844,91768,89396,88636,87392,88836,86692,84256,79472,80768,84880,94464,103844,110176,114464,110372,107892,106656,111448,127600,136328,138564,143028,143200,141700,141024,145260,168272,179032,183932,181748,182724,172492,167344,168300,178296,187072,194036,198280,200460,198964,197100,194092,190060,190316,193460,199788,211912,216824,218572,217292,214708,212240,210952,210440,213948,214712,215840,217568,224548,224816,224052,221632,219076,215064,212232,210384,212852,216208,222292,231608,248244,257300,263560,267216,273696,283000,297456,317564,345104,360276,369592,372704,376540,372308,367680,362520,357232,357364,362096,370884,386644,397652,403636,403376,409152,411416,421820,439996,469712,488620,506512,521680,543776,560328,574064,584812,592344,597624,604676,616084,613124,622728,638848,659136,693968,719288,736484,743440,740948,740072,736512,735644,726768,737640,745616,750620
 "41000","Oregon",8,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",2305376,2326252,2386616,2503516,2563292,2619740,2665080,2700084,2786160,2778228,2781628,2752660,2765280,2859208,2867276,2901340,2946996,3013356,3069536,3160360,3197780,3215308,3298556,3389464,3443908,3510040,3612484,3609804,3802080,3830244,3890180,3982032,4123280,4248376,4250192,4311972,4326508,4423244,4478024,4607172,4729140,4854404,4985208,5123304,5214960,5377212,5506756,5575204,5691364,5710604,5813604,5892432,6084528,6237756,6371800,6593416,6853804,7090480,7226392,7463680,7847972,8029324,8099484,8393944,8627672,8878560,9178240,9263476,9221520,9549236,9994596,10175072,10606432,10933612,11301100,11669112,12101996,12466580,12857072,13480748,14133496,14601032,14956496,15522208,16021600,16628712,17148952,17625012,17908380,17815332,18103380,18601440,19118460,19155740,19104552,18838080,19071864,19006272,19079204,19171192,19450040,19924736,20028268,20658344,21242336,21559180,21933116,22249576,22488304,22724848,23076620,23438980,23822400,24118320,24540096,24955108,25320364,25710308,26396292,26867572,27356924,28389296,29166908,29845676,30258968,30980328,31413968,32473256,33093532,34105644,34547812,34928352,35208828,35683424,36312684,36893608,38040720,38716112,39411036,39313776,40790628,41014116,41286772,42087840,43109424,44026584,44853464,45588476,46262484,47021164,48004008,49255992,49810888,51024752,52309952,53420328,54487984,54987276,56142756,56992908,58212364,58674176,59117776,59997836,61032336,61678340,62476904,64406372,66799180,67655648,68990344,68592452,70056024,69442136,69118580,68609256
 "41000","Oregon",8,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",1846008,1852096,1907684,2014596,2074964,2122300,2160776,2178184,2261572,2248344,2225592,2184008,2182412,2268972,2275452,2311204,2339676,2396248,2434248,2508436,2531144,2544084,2615528,2697452,2737508,2797728,2881664,2863980,3044892,3055656,3108848,3174896,3298684,3397104,3388008,3422332,3417800,3490984,3522852,3630224,3727820,3828752,3927496,4043968,4121144,4258920,4360564,4392172,4449784,4426536,4498256,4520788,4676096,4795424,4887868,5068476,5277972,5473580,5570068,5794632,6127344,6264968,6290312,6545460,6727604,6923108,7150392,7199012,7051168,7323544,7713596,7820584,8194336,8477200,8807152,9107528,9493756,9807604,10129608,10660540,11236380,11667436,11916196,12408260,12835876,13363340,13809892,14215328,14498324,14221808,14523812,14922196,15250192,15200012,15143184,14788664,14964872,14806472,14876268,14939592,15108656,15571384,15689312,16200380,16765076,16973920,17282624,17490132,17709952,17844788,18056296,18381164,18717236,18978412,19300280,19602552,19906420,20239952,20795564,21194648,21512800,22447876,23200560,23659124,23969712,24543304,24881576,25773024,26273188,27009080,27319864,27592636,27710176,28023268,28486408,28867944,29779788,30237828,30739120,30566924,31829688,32014444,32314324,33166932,33921372,34719856,35493880,36117648,36751036,37382532,38288300,39356276,39838028,40893892,41965904,42965772,43995092,44371220,45383356,45953292,47163328,47525428,47718512,48429584,49079800,49685848,50391556,52033832,54205572,54697824,55896056,55359816,56341324,55343080,54656016,54057712
 "41000","Oregon",8,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",8284,8288,8292,8200,8276,7824,7876,7868,7816,7836,7816,7888,8236,8688,8704,9200,9412,9460,9972,9940,10420,10744,10748,11192,11304,11300,11732,12104,12512,13280,13700,14516,15632,16448,17316,17344,17388,17472,17036,17012,17016,16964,17424,17488,19332,19948,20464,20972,21180,22080,22352,22708,23180,23752,23956,24408,25216,25932,26344,27988,29180,30400,32008,33500,34928,36584,38140,39516,40916,43280,44984,47392,49328,51184,52104,53112,54820,56152,59952,65832,76424,84688,88820,94112,98968,100348,102668,105128,120248,108720,112544,113300,113588,116012,113936,109584,106692,112452,116392,113288,118588,117956,122052,133848,133672,131176,140100,140916,142408,148488,152372,161564,171112,171648,178844,191716,190896,217388,218564,213940,238304,229688,235056,237160,243216,267828,259648,269108,272364,298280,293036,289684,288728,279892,291320,298740,309624,305936,295396,296872,294920,310684,321360,338408,335588,347684,363776,362952,390984,373248,377204,387900,403776,410984,431364,426720,427976,440612,440400,462392,462740,459404,460436,480640,511320,537520,527224,541012,543544,558592,570904,546064,698592,613040,552088,500416
 "41000","Oregon",8,SQINC6S,200,"B","   Mining","Thousands of dollars",7248,7568,8412,9392,6832,7776,7976,8224,6752,7300,7588,7596,8004,7468,7512,7476,8836,8408,8872,8368,9148,9092,9080,10924,10864,11156,11512,11184,13348,13108,12968,13680,14748,14804,14144,13324,13700,14724,14892,15528,13696,14276,13852,13676,12820,14000,14044,13772,13308,13364,13880,13712,14792,14980,16228,17168,16872,17608,18088,18684,22652,21504,19980,21028,22540,26292,27760,25392,25568,26436,26056,24084,23816,23916,25268,28324,28948,30868,35236,35196,39292,44908,47392,53804,46336,54304,56380,57032,54060,55024,51492,57620,56888,55376,59024,57020,59952,50516,47292,48332,42772,46032,46348,47320,42764,42804,46264,44804,46952,45824,43396,43396,41892,46156,42620,41452,43892,43084,41944,44684,42040,41328,42188,47896,41132,46844,49828,53000,58976,60168,57284,57564,67396,58152,62424,59188,61492,66020,73496,74744,75484,81644,74312,79764,73868,66176,67552,65668,70444,75376,76684,80172,79268,85648,84528,83092,84896,87004,85284,87616,87832,88156,92040,89896,89024,89284,89348,91308,96656,95808,95412,97328,95184,89852,88068,84896
 "41000","Oregon",8,SQINC6S,300,"C","   Construction","Thousands of dollars",137072,134704,136496,163188,163616,162344,166940,169176,171240,180536,185140,172164,175996,187240,168652,170144,172216,180056,187532,208664,217328,213216,234540,235068,232104,230832,239704,244408,281520,287424,284012,283948,298568,316280,299408,297700,280716,284248,284544,292412,299568,302172,303808,312812,316260,351100,343692,325056,321936,312872,328744,327248,334104,346236,362360,376208,388572,424556,452436,440956,493176,481660,435576,496676,525896,542028,549644,548516,524652,539776,578960,563644,543772,601604,641792,679004,705640,734332,770168,817896,890060,927248,951868,994200,1057652,1143876,1182984,1214824,1229612,1154928,1066692,1077160,1043464,976368,908356,835896,776384,756528,708812,660548,652644,645608,670652,703068,708268,722372,793276,790212,838532,842724,876132,915268,923712,972188,921460,942100,910360,953088,988224,1034876,1035836,1128096,1257368,1262864,1316840,1403120,1438904,1541956,1658564,1774276,1750244,1776664,1819368,1764476,1804540,1853524,1810756,1848136,1976788,1877936,1908708,1963576,2056544,2086004,2180236,2286988,2369852,2457892,2528404,2635328,2830072,3029936,3228952,3252564,3290664,3402452,3493636,3632020,3649928,3682112,3687992,3626536,3630444,3609524,3691360,3734936,3792852,3854040,4037140,4049432,4122804,4240544,4322724,4028712,3877848,3683872
 "41000","Oregon",8,SQINC6S,400,"D","   Manufacturing","Thousands of dollars",702428,698860,740624,791508,822320,846236,852196,856028,896584,863724,834616,813096,798972,853236,862016,870700,877772,892136,903464,918948,932968,924748,953844,998772,1015692,1042724,1080448,1042492,1118556,1108888,1135120,1162756,1225952,1269624,1239152,1244104,1236188,1273488,1272588,1330728,1380988,1415540,1463064,1522492,1550240,1581348,1633180,1629724,1651076,1625920,1618972,1615156,1692540,1740008,1769336,1826980,1914780,1976672,1971084,2099284,2230516,2284912,2276640,2363452,2422212,2481612,2573168,2533352,2366900,2501616,2668240,2704284,2883420,2937800,3054928,3187628,3369604,3435024,3522832,3720372,3922076,4052192,4048948,4209964,4360016,4590996,4733140,4801484,4901304,4555976,4822356,4957100,5030260,4979592,4936736,4760332,4837920,4728988,4772708,4831104,4877264,5060840,5058748,5230204,5497364,5588220,5566564,5651120,5714976,5611668,5661720,5734240,5839012,5853820,5936660,5964564,6118780,6101608,6369632,6354400,6639560,6801216,6889472,7035220,6975644,7175000,7206496,7430208,7424520,7531716,7509124,7530264,7489572,7570224,7740956,7706708,7870496,7912044,8002972,8165476,8121288,8272188,8334492,8826868,8662740,9006616,9123664,9326136,9239648,9440536,9760512,9916516,9931328,10180136,10435212,10574608,11155896,10870732,11242932,11466876,11726856,11824684,11643616,11662476,11766088,11978284,12478076,12826404,13750076,13925048,13852544,13334532,13452500,13061968,12904776,12972256
 "41000","Oregon",8,SQINC6S,410,"...","    Durable goods manufacturing","Thousands of dollars",505440,499280,538280,586656,605832,626600,629716,631996,667456,634600,609612,583496,573080,617988,621892,633424,636324,650596,656040,673336,684200,675896,701484,739828,759260,784168,818228,776112,840728,831780,855968,877100,932948,961368,931644,930380,922136,946888,931680,990972,1033036,1061956,1100364,1152228,1168260,1186700,1228860,1221456,1233056,1205836,1208500,1186900,1261508,1301316,1326116,1371144,1446620,1496160,1486352,1609476,1724584,1762108,1740564,1809156,1848852,1901784,1957672,1918936,1771404,1899564,2018832,2030524,2193416,2245764,2348036,2427132,2596520,2641284,2709980,2882484,3061088,3180248,3176148,3338992,3429220,3595480,3709744,3744184,3839820,3485944,3715620,3824084,3860708,3799628,3750100,3567500,3615348,3522472,3558744,3599084,3634768,3802296,3792524,3953564,4152632,4255512,4231952,4292780,4319024,4219672,4272640,4319676,4412024,4410824,4447724,4457096,4547032,4537220,4778740,4759928,5006148,5158328,5168704,5299464,5251832,5432636,5449528,5603012,5586388,5637264,5587568,5596000,5505256,5604024,5723948,5668804,5814712,5832844,5905384,6026552,6018168,6083112,6140324,6510280,6438720,6674652,6774580,6965384,6870964,7071328,7356444,7531224,7512424,7765144,7978816,8097816,8677804,8357952,8695652,8912820,9143756,9251040,9035940,9033384,9070516,9285456,9819116,10143688,11003864,11175084,11107824,10621732,10697256,10320896,10165840,10259244
 "41000","Oregon",8,SQINC6S,450,"...","    Nondurable goods manufacturing","Thousands of dollars",196988,199580,202344,204852,216488,219636,222480,224032,229128,229124,225004,229600,225892,235248,240124,237276,241448,241540,247424,245612,248768,248852,252360,258944,256432,258556,262220,266380,277828,277108,279152,285656,293004,308256,307508,313724,314052,326600,340908,339756,347952,353584,362700,370264,381980,394648,404320,408268,418020,420084,410472,428256,431032,438692,443220,455836,468160,480512,484732,489808,505932,522804,536076,554296,573360,579828,615496,614416,595496,602052,649408,673760,690004,692036,706892,760496,773084,793740,812852,837888,860988,871944,872800,870972,930796,995516,1023396,1057300,1061484,1070032,1106736,1133016,1169552,1179964,1186636,1192832,1222572,1206516,1213964,1232020,1242496,1258544,1266224,1276640,1344732,1332708,1334612,1358340,1395952,1391996,1389080,1414564,1426988,1442996,1488936,1507468,1571748,1564388,1590892,1594472,1633412,1642888,1720768,1735756,1723812,1742364,1756968,1827196,1838132,1894452,1921556,1934264,1984316,1966200,2017008,2037904,2055784,2079200,2097588,2138924,2103120,2189076,2194168,2316588,2224020,2331964,2349084,2360752,2368684,2369208,2404068,2385292,2418904,2414992,2456396,2476792,2478092,2512780,2547280,2554056,2583100,2573644,2607676,2629092,2695572,2692828,2658960,2682716,2746212,2749964,2744720,2712800,2755244,2741072,2738936,2713012
