GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "94000","Plains",4,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",17928948,18118872,18428952,18948000,19460344,19888080,19869652,20194480,20431012,20687960,21002216,21101872,21219312,21389880,21660244,21974500,22431988,22891932,23120640,23310832,23654280,23907496,24259496,24553228,25009448,25446812,25888484,26280024,26613432,27180516,27569316,28397916,29082988,29970468,30743276,31299364,31814256,32189372,32855648,33431932,34573492,35435496,36216620,37088996,37889472,38801956,39887896,40839380,41734176,41911020,42746340,43017496,43999920,45196136,45918440,46362280,48391148,49051448,49239664,50539696,52341672,54080012,55872864,57186176,58583092,59933616,61590044,62741356,63644892,64517208,66656244,68637612,71239600,72634440,74163212,76191520,78304308,80700744,83015044,84951520,87914724,90640416,93501032,96731652,99663096,102269136,105423408,107908844,110595020,111016644,112894188,116036032,119585044,121306124,123247904,125460228,126270092,127228288,127879672,129321580,130150036,133400684,136620800,139372424,143421024,146230876,149181008,151687876,153299496,155885440,158043440,159874768,162617780,163706380,166157452,168667740,172426964,173900880,176479116,180444388,182643128,187343332,190555540,193899504,196319308,198813168,201807004,205663268,208658424,213599376,216374292,217453552,218957468,221383132,225116320,228407704,235200144,238837332,241597132,243862736,246743540,249457648,251902092,256140700,258665484,264946004,268996248,272634876,276393464,279047180,282005912,285645868,289341096,293937900,298430496,302071976,307435720,311810480,316476436,322739700,330636948,335007296,340651204,345132844,350405964,354910932,357843736,368652396,375948540,379831736,385836796,385592656,392958664,394542208,394822208,397450412
 "94000","Plains",4,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",16557420,16720344,17019028,17500056,17887508,18308760,18287476,18588816,18761672,18997780,19273744,19347444,19423036,19574732,19822960,20116140,20479720,20916072,21124596,21296432,21551948,21775196,22088872,22344216,22768880,23158092,23553056,23899832,24211852,24722172,25064324,25815892,26273676,27062800,27756584,28258488,28710500,29039340,29618724,30102172,31097572,31866332,32570192,33362848,33989248,34806952,35777864,36627344,37392324,37502872,38227564,38414992,39169804,40218836,40816876,41128856,42733328,43254256,43415640,44633288,45966736,47593332,49235584,50411944,51511200,52663240,54043336,54884812,55377060,55974764,57799528,59543396,61694508,62912248,64195740,65860820,67396280,69402144,71353972,73023260,75371952,77787020,80230972,82978152,85375868,87523316,90181368,92253064,94548492,94800236,96316300,99095128,101852176,103233828,104844088,106507092,107064964,107729056,108126856,109140176,109404844,112099144,114841944,117325204,120388188,122851156,125319752,127324640,128448560,130428168,132057748,133434512,135507572,136137336,138000396,140042104,143387884,144606356,146793332,150314968,151827580,155889980,158449892,161004124,162761012,164357160,166480468,169484064,171626680,175822616,178031628,178659980,179630984,181362432,183992884,186140200,190999848,193522180,195420116,197507456,199118372,201701920,203626716,207270996,208865528,214386100,217830036,221244508,224769404,227278440,230047504,233333040,236758760,240992080,245072312,248416372,253349476,257250856,261258280,266642956,272703120,276233116,280900072,284673432,289177152,292680076,294726284,303549724,309545788,312271428,317195948,316740240,322766492,323814280,323565476,325423236
 "94000","Plains",4,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",1371528,1398528,1409924,1447944,1572836,1579320,1582176,1605664,1669340,1690180,1728472,1754428,1796276,1815148,1837284,1858360,1952268,1975860,1996044,2014400,2102332,2132300,2170624,2209012,2240568,2288720,2335428,2380192,2401580,2458344,2504992,2582024,2809312,2907668,2986692,3040876,3103756,3150032,3236924,3329760,3475920,3569164,3646428,3726148,3900224,3995004,4110032,4212036,4341852,4408148,4518776,4602504,4830116,4977300,5101564,5233424,5657820,5797192,5824024,5906408,6374936,6486680,6637280,6774232,7071892,7270376,7546708,7856544,8267832,8542444,8856716,9094216,9545092,9722192,9967472,10330700,10908028,11298600,11661072,11928260,12542772,12853396,13270060,13753500,14287228,14745820,15242040,15655780,16046528,16216408,16577888,16940904,17732868,18072296,18403816,18953136,19205128,19499232,19752816,20181404,20745192,21301540,21778856,22047220,23032836,23379720,23861256,24363236,24850936,25457272,25985692,26440256,27110208,27569044,28157056,28625636,29039080,29294524,29685784,30129420,30815548,31453352,32105648,32895380,33558296,34456008,35326536,36179204,37031744,37776760,38342664,38793572,39326484,40020700,41123436,42267504,44200296,45315152,46177016,46355280,47625168,47755728,48275376,48869704,49799956,50559904,51166212,51390368,51624060,51768740,51958408,52312828,52582336,52945820,53358184,53655604,54086244,54559624,55218156,56096744,57933828,58774180,59751132,60459412,61228812,62230856,63117452,65102672,66402752,67560308,68640848,68852416,70192172,70727928,71256732,72027176
 "94000","Plains",4,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",971384,993664,1002872,1034572,1077284,1078344,1085900,1110020,1105936,1127156,1155788,1183036,1205920,1223780,1246520,1267628,1293032,1311080,1328060,1339848,1366108,1385648,1412724,1440368,1481156,1521280,1559424,1596020,1623372,1662288,1693300,1739392,1766020,1831512,1881068,1916280,1946556,1970936,2028140,2090216,2162580,2228736,2280748,2334312,2424348,2494972,2572680,2645648,2744852,2812020,2903248,2987808,3073888,3181976,3301396,3429900,3578964,3708236,3759444,3804184,3812608,3854764,3929088,3986452,4095332,4231592,4439876,4719548,5087196,5348232,5569660,5717528,5801444,5921776,6108792,6395128,6731724,7022564,7300836,7505032,7757796,7911176,8164476,8435832,8700700,8988240,9291628,9580412,9915496,10120252,10394932,10590572,10774536,11027500,11257804,11694436,11800388,12053480,12300908,12685656,12930788,13325884,13627088,13750956,13975540,14165724,14490492,14894292,15332512,15819492,16223896,16536748,16982564,17337804,17752588,18080472,18384644,18609392,18874732,19110680,19273856,19638728,20104892,20697652,21399180,22129336,22786132,23346688,23872900,24245516,24566508,24904040,25348332,25870128,26734736,27739680,29132040,30075472,30814644,31219956,31708652,31880612,32249092,32673264,33099752,33543748,33883476,33862852,33937532,33933720,33946548,34075496,34228888,34293832,34410852,34447612,34596604,34820244,35202840,35709348,37125320,37729056,38369492,38868428,39319632,40098092,40864532,42249612,43133136,44134512,44847200,45085528,46006648,46495624,47066516,47701700
 "94000","Plains",4,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",400144,404864,407052,413372,495552,500976,496276,495644,563404,563024,572684,571392,590356,591368,590764,590732,659236,664780,667984,674552,736224,746652,757900,768644,759412,767440,776004,784172,778208,796056,811692,842632,1043292,1076156,1105624,1124596,1157200,1179096,1208784,1239544,1313340,1340428,1365680,1391836,1475876,1500032,1537352,1566388,1597000,1596128,1615528,1614696,1756228,1795324,1800168,1803524,2078856,2088956,2064580,2102224,2562328,2631916,2708192,2787780,2976560,3038784,3106832,3136996,3180636,3194212,3287056,3376688,3743648,3800416,3858680,3935572,4176304,4276036,4360236,4423228,4784976,4942220,5105584,5317668,5586528,5757580,5950412,6075368,6131032,6096156,6182956,6350332,6958332,7044796,7146012,7258700,7404740,7445752,7451908,7495748,7814404,7975656,8151768,8296264,9057296,9213996,9370764,9468944,9518424,9637780,9761796,9903508,10127644,10231240,10404468,10545164,10654436,10685132,10811052,11018740,11541692,11814624,12000756,12197728,12159116,12326672,12540404,12832516,13158844,13531244,13776156,13889532,13978152,14150572,14388700,14527824,15068256,15239680,15362372,15135324,15916516,15875116,16026284,16196440,16700204,17016156,17282736,17527516,17686528,17835020,18011860,18237332,18353448,18651988,18947332,19207992,19489640,19739380,20015316,20387396,20808508,21045124,21381640,21590984,21909180,22132764,22252920,22853060,23269616,23425796,23793648,23766888,24185524,24232304,24190216,24325476
 "94000","Plains",4,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",294816,306996,311264,330140,325080,312844,306816,329456,322692,333292,332536,342480,339796,334104,343964,353844,374740,392864,401808,407420,402900,389308,406776,378504,376528,405716,401432,399360,398300,423244,410800,419972,418412,426848,431240,440852,437468,427220,438776,429304,427776,407040,417952,418260,419324,435720,444664,457940,452908,469216,487480,482668,494148,499416,540272,532632,539156,504576,512340,535144,592512,640596,685348,737232,754548,778972,780184,795640,833132,833912,825556,861528,927696,978060,988840,990848,1034632,1024028,1020572,1019516,1097692,1103568,1118476,1142360,1172480,1198688,1223488,1244536,1256676,1260900,1256808,1239956,1223308,1218780,1234736,1271584,1305180,1339020,1350636,1340012,1294728,1271048,1257140,1252640,1243636,1251516,1261416,1274164,1266868,1271048,1261928,1239044,1192224,1169816,1156168,1151456,1138336,1151788,1175888,1208856,1232012,1268804,1295824,1311112,1290260,1311232,1349472,1406628,1467636,1519104,1541248,1534688,1466684,1432600,1413356,1407748,1425056,1443432,1470240,1500336,1530652,1543660,1561468,1576528,1610648,1640864,1657584,1662036,1656720,1640752,1631620,1636128,1640956,1666272,1699840,1737360,1775192,1812020,1867308,1933892,2031576,2113560,2143284,2125756,2046584,1982652,1961212,1982804,2055284,2136312,2211256,2273620,2310796,2344508,2366528,2376660
 "94000","Plains",4,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",17634132,17811876,18117688,18617860,19135264,19575236,19562836,19865024,20108320,20354668,20669680,20759392,20879516,21055776,21316280,21620656,22057248,22499068,22718832,22903412,23251380,23518188,23852720,24174724,24632920,25041096,25487052,25880664,26215132,26757272,27158516,27977944,28664576,29543620,30312036,30858512,31376788,31762152,32416872,33002628,34145716,35028456,35798668,36670736,37470148,38366236,39443232,40381440,41281268,41441804,42258860,42534828,43505772,44696720,45378168,45829648,47851992,48546872,48727324,50004552,51749160,53439416,55187516,56448944,57828544,59154644,60809860,61945716,62811760,63683296,65830688,67776084,70311904,71656380,73174372,75200672,77269676,79676716,81994472,83932004,86817032,89536848,92382556,95589292,98490616,101070448,104199920,106664308,109338344,109755744,111637380,114796076,118361736,120087344,122013168,124188644,124964912,125889268,126529036,127981568,128855308,132129636,135363660,138119784,142177388,144979360,147919592,150413712,152032628,154614392,156781512,158635724,161425556,162536564,165001284,167516284,171288628,172749092,175303228,179235532,181411116,186074528,189259716,192588392,195029048,197501936,200457532,204256640,207190788,212080272,214833044,215918864,217490784,219950532,223702964,226999956,233775088,237393900,240126892,242362400,245212888,247913988,250340624,254564172,257054836,263305140,267338664,270972840,274736744,277406428,280374292,284009740,287700140,292271628,296730656,300334616,305660528,309998460,314609128,320805808,328605372,332893736,338507920,343007088,348359380,352928280,355882524,366669592,373893256,377695424,383625540,383319036,390647868,392197700,392455680,395073752
 "94000","Plains",4,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",14357244,14426656,14702892,15143508,15606132,16043924,16015204,16226572,16432724,16612844,16860900,16864916,16918000,17023264,17195616,17416344,17776828,18192452,18364812,18504116,18729428,18940040,19199744,19447092,19790892,20097276,20427248,20752288,21047628,21471740,21805876,22507648,23091916,23761312,24387768,24821556,25266936,25620724,26097092,26486516,27418820,28093484,28687616,29418104,29931580,30621028,31469588,32186400,32762948,32599572,33223460,33296440,33947192,34918296,35292920,35533044,37436340,37820992,37728340,38850036,40379052,41947740,43580092,44660940,45681332,46756336,48110936,49048728,49355084,49913328,51757988,53301884,55633288,56700624,58101256,59800812,61499884,63654380,65660728,67295496,69872628,72445236,74771960,77528600,80129260,82440948,85113172,87275376,89610236,89159352,90547688,93236036,96566412,97672768,99104708,100040964,100992404,101666492,102077300,102841948,103561904,106239104,109271712,111651952,115120440,117553676,119889904,121818944,122795300,124816728,126298340,128039148,130408216,131401072,133324136,135258996,138594004,139851408,141958848,145150108,146687556,150746620,153570928,156029340,158157408,159862136,162379124,165329304,167426172,171128184,173386748,174281428,175073044,176798712,179899492,182180580,188173420,191096956,193333308,195208304,197390400,200265856,201838888,206114388,207551064,213305932,216584600,220276220,223239368,225471636,228185068,231206020,234318332,238561200,242564376,245822224,250828528,254449848,258539660,264760548,271678764,275606776,280408220,284147684,289134324,292549120,294444716,303642152,310200420,312973376,318677572,317664100,324295244,324683476,323489816,325483668
 "94000","Plains",4,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",37432,38664,39108,38692,38804,37352,38092,38588,39676,39868,41620,42836,43484,45448,46328,47300,49316,49468,50020,51548,52956,53240,54600,55832,58068,59744,60972,62120,63196,65072,65944,67908,70548,72408,74376,75160,76880,78088,78748,79776,81636,81768,83960,85620,89104,91384,93592,96192,98168,101152,104052,107700,112504,115984,119100,119752,118140,117436,120136,126524,135688,143092,150704,157216,163964,167716,167212,164696,149448,150792,154448,160916,168184,174884,177956,182288,183460,185804,199016,219192,230860,257380,276212,284856,293404,302720,310644,324452,338704,356160,353104,362492,351764,347636,351428,346796,348076,359400,369108,376588,395368,395860,399556,425232,436696,455096,470260,491388,486732,509868,519904,522020,542868,570484,574904,597036,617128,631984,637960,627992,680992,679016,647012,678968,679896,699340,711780,730492,758312,763436,791316,787248,809944,825996,835412,836740,838408,850460,860612,871852,891044,889784,909140,924340,933920,961652,971100,975604,965832,980052,971760,1002092,1014572,1019340,1063520,1064156,1077916,1084784,1117648,1145488,(D),(D),(D),(D),1329404,1373264,1415232,1430688,1458500,1453316,1462216,1457552,1847788,1657180,1492752,1398640
 "94000","Plains",4,SQINC6S,200,"B","   Mining","Thousands of dollars",308612,283616,288036,301304,311424,329152,256620,274440,308836,324132,319784,308868,299824,291652,296724,301004,299420,301640,294692,291892,271224,291000,291664,300176,295896,299424,305088,305484,310976,317308,314756,327572,332912,332640,336336,328580,334484,332752,343652,340088,364488,364712,373704,369664,381960,386472,395188,408528,409808,400980,413268,415232,409732,416616,424352,421232,438856,428308,411856,436560,442904,465972,483396,513504,535060,561976,577540,525276,618972,617844,649460,713492,700892,680072,756116,775532,801728,819548,751904,678212,806756,986656,1088472,1127140,1120460,1144652,1240864,1327172,1310552,1322388,1359728,1517692,1576480,1615584,1775192,1819056,1808280,1595380,1400352,1306532,1327888,1340968,1393064,1382956,1456108,1457764,1528432,1508092,1415480,1496440,1440880,1433844,1314176,1208024,1131392,1070848,1080820,1134872,1181488,1221664,1177004,1196784,1203372,1177908,1158080,1202084,1235868,1270096,1284492,1302344,1324272,1371720,1341864,1328460,1321744,1307252,1359916,1323484,1296268,1353716,1380100,1295604,1312700,1316948,1300808,1329752,1370364,1366044,1393604,1374380,1410080,1403952,1421864,1457464,1442624,1457792,1472852,1530152,1492704,1515796,(D),(D),(D),(D),1461964,1491376,1472088,1545268,1603672,1616752,1605988,1592780,1671896,1670444,1619396,1599540
