GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "44000","Rhode Island",1,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",1318524,1320864,1357724,1392896,1409392,1417416,1450948,1470576,1480084,1481872,1459324,1465928,1490480,1507616,1527232,1550292,1588012,1640260,1653172,1636572,1660576,1666536,1680712,1727292,1731128,1774492,1818724,1860136,1875944,1910316,1991060,1993064,2077360,2117820,2188048,2214968,2248708,2266808,2335368,2385388,2449040,2517876,2528764,2571376,2634444,2713848,2728796,2798800,2906736,2866100,2997560,2950104,2994100,2971992,3138996,3203900,3347004,3385396,3355272,3491344,3580888,3667392,3615884,3567492,3612652,3654888,3707212,3707656,3681036,3748364,3845836,3972920,4112276,4188372,4344996,4358720,4499896,4576780,4699644,4838756,4890304,5158796,5272132,5433340,5644804,5687676,5840588,5903532,6145384,6243284,6292508,6495532,6770164,6853868,6914240,6876232,7050528,7103888,7377812,7308404,7503344,7683296,7783504,8028552,8268656,8491024,8677008,8892348,9004264,9121432,9275584,9544500,9745372,9938368,10110292,10397896,10553212,10741116,11091176,11343088,11504056,11863744,12037624,12376620,12478052,12585836,12625692,12832536,13079352,13164460,13105104,12884544,12870332,12657832,12759028,12870200,13203352,13531464,13718820,13851276,13908368,13980956,14284712,14148612,14292804,14455216,14468756,14724800,14882060,15136684,15287372,15240156,15288144,15520904,15636756,15876708,16127696,16402248,16387120,16931444,17103532,17323376,17659852,17956432,17930440,18299688,18692396,18970268,19565716,19615920,20003680,20100512,20455012,20602632,20675668,20821492
 "44000","Rhode Island",1,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",1176648,1177012,1210956,1242388,1251604,1264708,1294088,1312632,1319752,1324108,1306940,1310880,1329128,1345404,1364360,1387644,1415560,1459324,1470244,1457824,1474660,1482568,1494696,1533288,1542508,1581428,1617200,1651476,1662788,1691004,1763648,1764388,1830344,1868364,1933328,1960352,1988232,2002628,2060736,2098460,2153920,2212980,2225840,2265352,2310132,2379956,2389552,2449492,2536884,2503372,2605632,2566660,2597376,2582252,2718552,2763424,2879132,2911180,2896708,3009248,3074380,3146948,3119780,3091288,3127424,3166412,3210624,3200740,3158044,3206692,3283080,3395920,3502848,3568448,3699872,3703568,3804856,3867036,3966988,4083104,4110988,4337004,4429736,4563568,4736676,4764672,4888528,4941128,5139876,5217180,5248748,5418512,5602196,5667992,5723612,5701700,5816828,5853936,6071484,6005496,6140752,6289016,6374712,6585336,6758860,6948104,7102304,7275928,7362168,7454540,7576484,7797348,7953984,8100524,8237380,8474904,8620872,8780940,9069336,9290712,9398868,9702692,9838000,10107704,10183076,10242144,10252780,10409804,10589552,10667848,10619428,10431376,10410960,10234104,10289328,10337424,10542844,10770652,10901888,11033188,11059632,11147628,11394000,11290300,11388932,11532980,11556468,11787804,11953096,12173248,12301868,12273288,12318676,12521332,12627472,12841964,13082092,13320376,13323456,13775148,13943160,14117808,14398340,14640436,14622304,14915664,15221996,15446640,15940540,15966492,16285264,16356356,16647696,16751400,16778108,16876948
 "44000","Rhode Island",1,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",141876,143852,146768,150508,157788,152708,156860,157944,160332,157764,152384,155048,161352,162212,162872,162648,172452,180936,182928,178748,185916,183968,186016,194004,188620,193064,201524,208660,213156,219312,227412,228676,247016,249456,254720,254616,260476,264180,274632,286928,295120,304896,302924,306024,324312,333892,339244,349308,369852,362728,391928,383444,396724,389740,420444,440476,467872,474216,458564,482096,506508,520444,496104,476204,485228,488476,496588,506916,522992,541672,562756,577000,609428,619924,645124,655152,695040,709744,732656,755652,779316,821792,842396,869772,908128,923004,952060,962404,1005508,1026104,1043760,1077020,1167968,1185876,1190628,1174532,1233700,1249952,1306328,1302908,1362592,1394280,1408792,1443216,1509796,1542920,1574704,1616420,1642096,1666892,1699100,1747152,1791388,1837844,1872912,1922992,1932340,1960176,2021840,2052376,2105188,2161052,2199624,2268916,2294976,2343692,2372912,2422732,2489800,2496612,2485676,2453168,2459372,2423728,2469700,2532776,2660508,2760812,2816932,2818088,2848736,2833328,2890712,2858312,2903872,2922236,2912288,2936996,2928964,2963436,2985504,2966868,2969468,2999572,3009284,3034744,3045604,3081872,3063664,3156296,3160372,3205568,3261512,3315996,3308136,3384024,3470400,3523628,3625176,3649428,3718416,3744156,3807316,3851232,3897560,3944544
 "44000","Rhode Island",1,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",97440,99776,102708,106776,107336,103104,107388,109136,105012,103256,98580,101820,106316,106836,107504,107020,110256,118260,120572,117388,119776,117828,120020,126908,123200,126364,133304,138372,141968,146824,152960,156632,161116,165172,169528,169676,173460,176048,183232,192504,195128,201696,198956,200432,204440,211016,216216,223196,238936,233704,257856,252312,254800,249996,274088,292268,297784,303476,292124,311096,300176,311152,289328,269376,265852,266680,273528,286272,305252,322240,339188,346236,353944,360940,377116,388932,411140,423556,441380,457132,464320,486956,500260,515376,534420,544640,563908,568924,601432,617384,632852,653068,700052,713564,715384,704248,748980,764840,804304,809156,837648,857892,865356,883004,895424,912276,933420,962620,984672,1006188,1032876,1061612,1093320,1127224,1150816,1183536,1191660,1212080,1252452,1271652,1289996,1326044,1358028,1410052,1451196,1496292,1523060,1553024,1588984,1582664,1568904,1550172,1557876,1533468,1574172,1630680,1726256,1806532,1851708,1866328,1854664,1844004,1876796,1857144,1871348,1878476,1866088,1876100,1864680,1885468,1899624,1886732,1892532,1907240,1911656,1921072,1922204,1945608,1928260,1986632,1984012,2017432,2052496,2092812,2092912,2149116,2211564,2253036,2316768,2340376,2386584,2407376,2448604,2493000,2545880,2590936
 "44000","Rhode Island",1,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",44436,44076,44060,43732,50452,49604,49472,48808,55320,54508,53804,53228,55036,55376,55368,55628,62196,62676,62356,61360,66140,66140,65996,67096,65420,66700,68220,70288,71188,72488,74452,72044,85900,84284,85192,84940,87016,88132,91400,94424,99992,103200,103968,105592,119872,122876,123028,126112,130916,129024,134072,131132,141924,139744,146356,148208,170088,170740,166440,171000,206332,209292,206776,206828,219376,221796,223060,220644,217740,219432,223568,230764,255484,258984,268008,266220,283900,286188,291276,298520,314996,334836,342136,354396,373708,378364,388152,393480,404076,408720,410908,423952,467916,472312,475244,470284,484720,485112,502024,493752,524944,536388,543436,560212,614372,630644,641284,653800,657424,660704,666224,685540,698068,710620,722096,739456,740680,748096,769388,780724,815192,835008,841596,858864,843780,847400,849852,869708,900816,913948,916772,902996,901496,890260,895528,902096,934252,954280,965224,951760,994072,989324,1013916,1001168,1032524,1043760,1046200,1060896,1064284,1077968,1085880,1080136,1076936,1092332,1097628,1113672,1123400,1136264,1135404,1169664,1176360,1188136,1209016,1223184,1215224,1234908,1258836,1270592,1308408,1309052,1331832,1336780,1358712,1358232,1351680,1353608
 "44000","Rhode Island",1,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",2824,2876,3264,3424,3372,3220,3524,3736,3572,3612,3556,3660,3712,3688,3332,3300,3272,2840,2808,2832,2892,3284,3504,3288,3252,3488,3400,3764,3680,3836,3704,3736,3708,4168,4200,4256,4188,4096,4612,4516,4508,4308,4440,4460,3732,3548,3440,3272,3360,3332,3316,3328,3384,3332,3476,3444,3444,3468,3524,3564,3500,3512,3504,3556,3668,3780,3788,3808,3992,3976,3904,3964,4044,4136,4172,4268,4704,4824,4956,5016,5328,5320,5352,5440,5636,5796,5884,5944,6096,6064,5984,5852,5808,5776,5840,6012,6516,6684,6776,6788,7008,6948,6904,6920,7372,7416,7472,7536,8068,8092,8040,7924,8120,7984,7924,7908,8304,8432,8596,8784,9072,9180,9260,9304,9244,9360,9612,9992,10420,10764,10908,10812,10300,10096,9888,9740,9284,9212,9276,9448,9876,10264,10508,10532,10352,10176,10216,10456,11012,11424,11752,11956,11968,11992,12080,12244,12552,12816,13004,13100,13244,13224,13056,12768,12104,11768,11792,12100,13060,13744,14328,14740,14508,14744,14856,14844
 "44000","Rhode Island",1,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",1315700,1317988,1354460,1389472,1406020,1414196,1447424,1466840,1476512,1478260,1455768,1462268,1486768,1503928,1523900,1546992,1584740,1637420,1650364,1633740,1657684,1663252,1677208,1724004,1727876,1771004,1815324,1856372,1872264,1906480,1987356,1989328,2073652,2113652,2183848,2210712,2244520,2262712,2330756,2380872,2444532,2513568,2524324,2566916,2630712,2710300,2725356,2795528,2903376,2862768,2994244,2946776,2990716,2968660,3135520,3200456,3343560,3381928,3351748,3487780,3577388,3663880,3612380,3563936,3608984,3651108,3703424,3703848,3677044,3744388,3841932,3968956,4108232,4184236,4340824,4354452,4495192,4571956,4694688,4833740,4884976,5153476,5266780,5427900,5639168,5681880,5834704,5897588,6139288,6237220,6286524,6489680,6764356,6848092,6908400,6870220,7044012,7097204,7371036,7301616,7496336,7676348,7776600,8021632,8261284,8483608,8669536,8884812,8996196,9113340,9267544,9536576,9737252,9930384,10102368,10389988,10544908,10732684,11082580,11334304,11494984,11854564,12028364,12367316,12468808,12576476,12616080,12822544,13068932,13153696,13094196,12873732,12860032,12647736,12749140,12860460,13194068,13522252,13709544,13841828,13898492,13970692,14274204,14138080,14282452,14445040,14458540,14714344,14871048,15125260,15275620,15228200,15276176,15508912,15624676,15864464,16115144,16389432,16374116,16918344,17090288,17310152,17646796,17943664,17918336,18287920,18680604,18958168,19552656,19602176,19989352,20085772,20440504,20587888,20660812,20806648
 "44000","Rhode Island",1,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",993220,989920,1009900,1039660,1063416,1085288,1105448,1116716,1137456,1141932,1138228,1129232,1139076,1156344,1171792,1200220,1225920,1248524,1254640,1247100,1262684,1275908,1280496,1302180,1321420,1355620,1380576,1413544,1429060,1451256,1515108,1507288,1570352,1596732,1654140,1680324,1713556,1728644,1775896,1792104,1838896,1883584,1899900,1942816,1983056,2051156,2046264,2102368,2161156,2142464,2198416,2183760,2214580,2212548,2313240,2313548,2457796,2486596,2500496,2548224,2680660,2714540,2747336,2779312,2852448,2915396,2959020,2972664,2901948,2961628,3019932,3157968,3274032,3342344,3496608,3492176,3616448,3675012,3775764,3892536,3937784,4184456,4265248,4392776,4537904,4603668,4694768,4807660,4979256,5042612,5071384,5249128,5392252,5470736,5563564,5584560,5628592,5667252,5904920,5819612,5999880,6158560,6272176,6464720,6692136,6862300,6969604,7165044,7251536,7353400,7434000,7744668,7899068,8069044,8253268,8464136,8603076,8764180,9096260,9275980,9384228,9685936,9836320,10158476,10208332,10275288,10246272,10439520,10606424,10653092,10583420,10330692,10243992,10189120,10223700,10310920,10577004,10785740,10952744,11039736,11105080,11185784,11455560,11317272,11464176,11645352,11692528,11829820,11977468,12124096,12199644,12192360,12236064,12474084,12531324,12743444,12970820,13119392,13192892,13658092,13797752,14010692,14345896,14533960,14480788,14764700,15123304,15304052,15754744,15823668,16133820,16201368,16599328,16619700,16562164,16768840
 "44000","Rhode Island",1,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",3532,3516,3532,3516,3564,3156,3192,3200,3188,3184,3160,3152,3532,3500,3484,3472,3544,3564,4064,4040,4080,4032,4028,4000,4004,4412,4380,4360,4364,4364,4380,4380,4460,4440,4864,4836,4788,4792,4768,4768,5220,5224,5688,5732,6088,5936,6484,6388,6744,7352,7444,7832,8408,8268,8588,8480,8852,9076,9512,9588,10232,10412,11024,11016,11396,11004,11100,11456,12480,12280,12676,13376,13952,14232,14796,14600,14820,15060,15148,15732,18372,18456,19348,19756,19412,21000,22156,21244,23660,23032,23204,24840,23376,25184,25024,26068,27684,27588,29712,31100,30596,32796,31904,32788,40180,36840,39752,39032,37768,37588,38848,41412,42660,43224,47912,52584,53396,52284,52100,48296,58216,56916,56912,55776,61128,61772,62004,61564,60860,64540,62360,63448,60740,61684,62444,65696,65844,64704,65352,63552,64240,63144,64756,64992,67220,66652,65448,65376,66068,68528,68404,67880,69492,70848,71116,69912,70304,69292,72540,74620,74348,75800,77972,78016,78156,87352,87500,88748,90096,90808,91172,91720,109520,103780,94800,89480
 "44000","Rhode Island",1,SQINC6S,200,"B","   Mining","Thousands of dollars",808,740,828,708,712,816,728,856,748,680,656,700,696,700,712,732,796,816,884,860,864,912,908,980,952,936,1000,1028,1048,1104,1176,1008,1668,1512,1480,1544,1776,1600,1644,1612,1528,1800,1708,1552,1472,1340,1324,1436,1516,1540,1520,1512,1356,1476,1540,1576,1692,1784,1856,2004,1888,1664,1616,1596,1900,1360,1264,1112,1320,1952,1856,2052,2004,1992,1816,2020,2064,2168,2396,2328,2712,3656,3932,4904,5272,4024,3816,3840,3632,3512,3728,3628,3844,4308,4256,4828,6020,5520,5768,4104,3332,3408,3628,3584,3912,3492,3836,4288,4052,4704,4820,4596,4304,4520,4352,5428,5272,5192,5768,6012,6096,6356,6460,6124,5452,4876,5192,4964,5292,5648,5276,5308,4628,4020,3868,3732,6896,6752,6860,7356,6552,6636,7048,6348,7000,7708,7560,7752,7548,6472,6512,6684,6696,7148,7140,6836,7256,7872,8276,8296,8320,8620,8788,10096,10464,10408,10220,10056,11088,10912,10608,10604,10600,12648,12952,13920
