GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "97000","Rocky Mountain",7,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",5494898,5515074,5615074,5770426,5895124,6019672,5985616,6152856,6341756,6456024,6526592,6590444,6762560,6860608,6998352,7087880,7278312,7346616,7376908,7431608,7551236,7650176,7806036,7923948,8041712,8103304,8172808,8241884,8337108,8430884,8655720,8850616,9027068,9228352,9355552,9488672,9644684,9809600,9948760,10161484,10395228,10724892,10970244,11235276,11513480,11811412,12146180,12440616,12830188,13041904,13414804,13745216,14166684,14668508,14921236,15411272,16050764,16450456,16975856,17623580,18217860,18836024,19430760,19987912,20566384,21177504,21792428,22230412,22769084,23265172,24103312,24738744,25738904,26327956,27034852,27877576,28757944,29806592,30726952,31921848,33099844,34619724,35795652,37107068,38254852,39627940,41278896,42436092,43527080,44703196,45678992,47803432,49482844,50544044,52555584,53982692,54730664,55251140,55449452,55809956,56273544,57129024,58165636,59761608,60826628,62246100,63511344,64473856,65090256,66152308,66771572,67540112,68411072,67955888,67905088,68217092,68824996,69567660,70062048,71459544,71482216,73863464,75156988,76307520,77273396,78487144,79843072,81286728,82949940,85169400,86849644,88050176,89635920,91181156,92917732,94820128,97795028,99868916,101625000,101573876,105837672,106768660,108094492,110379536,112132932,115385924,116705300,118796072,120908668,122122056,124288280,126766624,127964192,130802104,133359332,135363504,137775804,140325972,143972312,146471960,149613164,152192884,157320304,158617228,161927068,165158092,166736628,173665152,178680292,183407576,187177400,189200920,192421576,192387704,191748804,191720956
 "97000","Rocky Mountain",7,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",5013144,5028560,5128316,5275392,5370424,5492492,5458908,5613140,5769432,5872884,5930876,5982856,6124688,6212324,6339064,6425432,6582256,6650600,6674608,6718224,6803924,6886764,7021228,7118984,7227852,7279924,7339696,7400176,7494016,7579916,7783260,7958744,8062608,8246280,8362324,8478080,8608188,8747228,8870856,9054056,9254160,9541896,9754896,9992140,10228780,10497008,10794708,11052484,11383760,11554184,11867568,12135032,12463352,12890100,13082916,13495028,13992000,14332276,14806324,15404032,15841960,16411564,16940936,17433540,17884820,18412860,18928336,19270032,19648852,20045192,20784596,21351404,22177104,22695004,23304944,24008880,24678304,25580188,26372332,27416516,28367952,29721040,30732860,31862032,32810932,33959736,35368684,36349324,37307008,38270672,39073572,40932048,42267316,43141692,44835364,45950604,46583372,46962444,47033484,47226764,47405368,48094648,48959636,50364784,51107812,52320840,53361924,54114088,54527596,55343192,55789536,56385376,57038904,56559060,56450264,56683876,57235676,57829204,58239232,59469620,59336052,61346208,62364500,63188776,63884880,64660492,65596872,66703584,67940704,69826092,71186972,72071804,73259524,74440784,75690608,77020568,79100588,80570100,81819044,81872748,84995708,85930364,86994176,88950284,90216356,93081780,94241696,96135500,98106992,99239384,101171028,103301408,104435916,106952248,109205204,110975564,113156180,115356748,118416836,120550284,123626912,125725812,130040640,131147136,133972400,136624120,137881864,143702976,147989760,151787904,154934432,156336188,158795824,158530640,157660204,157470216
 "97000","Rocky Mountain",7,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",481754,486514,486758,495034,524700,527180,526708,539716,572324,583140,595716,607588,637872,648284,659288,662448,696056,696016,702300,713384,747312,763412,784808,804964,813860,823380,833112,841708,843092,850968,872460,891872,964460,982072,993228,1010592,1036496,1062372,1077904,1107428,1141068,1182996,1215348,1243136,1284700,1314404,1351472,1388132,1446428,1487720,1547236,1610184,1703332,1778408,1838320,1916244,2058764,2118180,2169532,2219548,2375900,2424460,2489824,2554372,2681564,2764644,2864092,2960380,3120232,3219980,3318716,3387340,3561800,3632952,3729908,3868696,4079640,4226404,4354620,4505332,4731892,4898684,5062792,5245036,5443920,5668204,5910212,6086768,6220072,6432524,6605420,6871384,7215528,7402352,7720220,8032088,8147292,8288696,8415968,8583192,8868176,9034376,9206000,9396824,9718816,9925260,10149420,10359768,10562660,10809116,10982036,11154736,11372168,11396828,11454824,11533216,11589320,11738456,11822816,11989924,12146164,12517256,12792488,13118744,13388516,13826652,14246200,14583144,15009236,15343308,15662672,15978372,16376396,16740372,17227124,17799560,18694440,19298816,19805956,19701128,20841964,20838296,21100316,21429252,21916576,22304144,22463604,22660572,22801676,22882672,23117252,23465216,23528276,23849856,24154128,24387940,24619624,24969224,25555476,25921676,25986252,26467072,27279664,27470092,27954668,28533972,28854764,29962176,30690532,31619672,32242968,32864732,33625752,33857064,34088600,34250740
 "97000","Rocky Mountain",7,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",342910,348026,348362,356858,363416,367056,370276,382448,387720,395696,404496,413340,430480,437524,447436,452916,464596,468256,475720,484396,493864,503780,517696,532084,545252,554604,563996,571168,574708,580632,596816,612088,627084,641048,649980,666040,682700,701552,710700,729556,745492,776776,800464,821348,851960,873356,897908,925564,969240,1002552,1051808,1106168,1150948,1210648,1270496,1331656,1385600,1434020,1476824,1507376,1510388,1535724,1577792,1611292,1671128,1727348,1800908,1883412,2016316,2098160,2158832,2202632,2247180,2296004,2365016,2472932,2589812,2691796,2786940,2889344,2984376,3069056,3173936,3275888,3369920,3504696,3646740,3754656,3852216,4015844,4133816,4285520,4373792,4507176,4716216,4957196,4988004,5099780,5227988,5385196,5528048,5657264,5777676,5884496,5930464,6059192,6214144,6378192,6552068,6742244,6883496,7003452,7148224,7202740,7261796,7326460,7380944,7492524,7541124,7620636,7622288,7830648,8006196,8241776,8508256,8842192,9146820,9356200,9611192,9765408,9934240,10135620,10404156,10646120,11007580,11477808,12131952,12613208,13009976,13044152,13565208,13564132,13725428,13944768,14168188,14394232,14464556,14527296,14560868,14581808,14695664,14907588,14985504,15161636,15339700,15467456,15614752,15833872,16213308,16442360,16745584,17094156,17622068,17775936,18104884,18539708,18805584,19553788,19990432,20689404,21101116,21592488,22172092,22369276,22562416,22580068
 "97000","Rocky Mountain",7,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",138844,138488,138396,138176,161284,160124,156432,157268,184604,187444,191220,194248,207392,210760,211852,209532,231460,227760,226580,228988,253448,259632,267112,272880,268608,268776,269116,270540,268384,270336,275644,279784,337376,341024,343248,344552,353796,360820,367204,377872,395576,406220,414884,421788,432740,441048,453564,462568,477188,485168,495428,504016,552384,567760,567824,584588,673164,684160,692708,712172,865512,888736,912032,943080,1010436,1037296,1063184,1076968,1103916,1121820,1159884,1184708,1314620,1336948,1364892,1395764,1489828,1534608,1567680,1615988,1747516,1829628,1888856,1969148,2074000,2163508,2263472,2332112,2367856,2416680,2471604,2585864,2841736,2895176,3004004,3074892,3159288,3188916,3187980,3197996,3340128,3377112,3428324,3512328,3788352,3866068,3935276,3981576,4010592,4066872,4098540,4151284,4223944,4194088,4193028,4206756,4208376,4245932,4281692,4369288,4523876,4686608,4786292,4876968,4880260,4984460,5099380,5226944,5398044,5577900,5728432,5842752,5972240,6094252,6219544,6321752,6562488,6685608,6795980,6656976,7276756,7274164,7374888,7484484,7748388,7909912,7999048,8133276,8240808,8300864,8421588,8557628,8542772,8688220,8814428,8920484,9004872,9135352,9342168,9479316,9240668,9372916,9657596,9694156,9849784,9994264,10049180,10408388,10700100,10930268,11141852,11272244,11453660,11487788,11526184,11670672
 "97000","Rocky Mountain",7,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",153396,159752,161276,170184,165572,157544,154308,165848,165368,172112,173548,179584,179800,177960,180068,179956,182844,185340,185276,188632,191844,190908,203204,191008,190560,204664,201548,198248,196240,207024,202636,209776,211168,219904,225860,234088,236184,235328,242336,235244,231484,216148,219104,217344,232268,241188,245280,250980,247292,253000,256604,249720,244604,240608,254680,254152,264436,257340,265332,276908,297000,314004,331160,353016,362544,376256,377508,381680,390876,386132,379064,390824,416912,435356,438536,438552,451724,447960,449800,454652,474324,487116,501104,515264,524404,533612,542572,551620,560112,563412,561320,551916,545416,542256,549356,566704,568060,582996,588168,583724,560584,549224,541828,538476,527892,530676,534244,539080,528720,529780,525368,515148,489088,480048,474448,472456,459144,464496,475108,490536,504900,521288,533732,541088,539948,549904,565368,587480,630760,653144,656664,644032,651356,624404,607388,600236,591408,603356,624700,652276,672396,685956,711824,741376,832712,878120,912124,931560,951160,944124,926920,909428,885000,873540,878940,899960,979040,1021456,1048380,1057760,1023940,1014528,1007724,1009428,1014544,1020272,1037752,1060576,1103804,1138152,1167936,1191736,1168304,1188368,1195956,1190728
 "97000","Rocky Mountain",7,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",5341502,5355322,5453798,5600242,5729552,5862128,5831308,5987008,6176388,6283912,6353044,6410860,6582760,6682648,6818284,6907924,7095468,7161276,7191632,7242976,7359392,7459268,7602832,7732940,7851152,7898640,7971260,8043636,8140868,8223860,8453084,8640840,8815900,9008448,9129692,9254584,9408500,9574272,9706424,9926240,10163744,10508744,10751140,11017932,11281212,11570224,11900900,12189636,12582896,12788904,13158200,13495496,13922080,14427900,14666556,15157120,15786328,16193116,16710524,17346672,17920860,18522020,19099600,19634896,20203840,20801248,21414920,21848732,22378208,22879040,23724248,24347920,25321992,25892600,26596316,27439024,28306220,29358632,30277152,31467196,32625520,34132608,35294548,36591804,37730448,39094328,40736324,41884472,42966968,44139784,45117672,47251516,48937428,50001788,52006228,53415988,54162604,54668144,54861284,55226232,55712960,56579800,57623808,59223132,60298736,61715424,62977100,63934776,64561536,65622528,66246204,67024964,67921984,67475840,67430640,67744636,68365852,69103164,69586940,70969008,70977316,73342176,74623256,75766432,76733448,77937240,79277704,80699248,82319180,84516256,86192980,87406144,88984564,90556752,92310344,94219892,97203620,99265560,101000300,100921600,105165276,106082704,107382668,109638160,111300220,114507804,115793176,117864512,119957508,121177932,123361360,125857196,127079192,129928564,132480392,134463544,136796764,139304516,142923932,145414200,148589224,151178356,156312580,157607800,160912524,164137820,165698876,172604576,177576488,182269424,186009464,188009184,191253272,191199336,190552848,190530228
 "97000","Rocky Mountain",7,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",3959618,3946010,4043546,4169702,4313528,4409064,4358756,4453252,4616684,4696424,4735248,4779404,4900368,4981636,5070980,5135860,5264388,5302028,5299896,5304656,5378784,5437092,5539016,5619556,5692664,5699752,5713736,5779164,5859100,5905968,6057040,6206220,6293156,6432744,6510444,6554456,6648588,6725728,6801972,6948040,7117356,7370008,7561440,7742208,7946412,8167592,8423520,8617656,8870196,8954192,9191992,9411396,9690964,10057316,10116924,10535084,11070308,11381796,11753392,12265012,12720716,13221828,13697376,14145276,14526632,14996852,15454268,15744752,15943452,16319752,17068544,17465544,18259808,18719932,19335504,20020164,20676360,21635156,22343188,23429792,24321096,25747976,26602900,27680512,28709592,29871160,31288644,32226272,33213032,33828244,34684876,36406488,38035044,38811316,40256212,41069968,41922444,42384276,42160000,42412168,42558316,43215284,44170620,45440396,46428756,47484860,48421696,49083596,49465368,50242448,50492492,51056904,51753612,51215736,51127012,51109000,51539208,52107572,52614416,53811124,53376980,55364784,56683172,57441756,58303924,59083500,60087524,61252476,62501508,64225516,65611004,66490512,67522936,68710956,70082348,71523524,73832308,75361732,76612044,76495104,80320148,81273940,82253172,84426428,85619712,88618012,89662328,91324192,93277612,94146848,96248116,98361544,99456956,102071188,104399368,106102060,108099092,110312436,113511536,115683992,118698236,120806744,125606988,126545048,129277156,131889560,133417164,139264100,143702200,147846452,151186544,152646012,155372980,154484540,152766416,152196128
 "97000","Rocky Mountain",7,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",6614,7046,7486,7926,8868,8852,9420,10400,10516,10672,11160,11172,12264,12116,13260,13236,13912,14028,14536,15296,15712,15796,15788,15756,16032,16148,16600,17416,18504,19092,20324,21176,22032,22904,23300,24068,25604,25976,26208,26504,27788,27764,28660,29632,31796,32004,32760,32984,34400,36844,38104,40036,41568,43540,44436,46736,48936,50120,51428,53620,56708,58992,61172,63400,66288,68024,69396,68752,66244,65392,67440,70980,74956,77824,81596,82800,80036,78948,90100,108528,99660,114732,123072,131940,136488,134988,146052,142868,152148,167688,172672,173072,170536,171492,170988,181804,190960,194720,195372,200784,209788,217700,232544,250788,244124,258280,265032,279536,287608,298380,303748,315948,319748,319864,326192,330712,341956,350996,349144,337920,379572,360848,355764,357740,364424,374632,376060,391324,392944,415680,423052,423496,434828,439896,445228,457828,468780,485212,484396,493704,496628,531280,539488,540732,561280,575508,578932,586872,592192,589304,602464,625820,639220,647848,663940,681808,687616,698624,721476,744016,(D),(D),(D),(D),857320,873992,909924,935192,968616,986896,998220,1006396,1283884,1168324,1061540,997928
 "97000","Rocky Mountain",7,SQINC6S,200,"B","   Mining","Thousands of dollars",319944,299856,291312,313252,327284,330200,299972,278940,303764,322580,330292,326500,328580,321396,330452,335788,326712,318240,311760,303284,315040,319672,319936,322528,321184,323896,311420,343680,336140,336316,344356,352728,362696,365908,371600,373340,383780,378256,346132,338332,337452,400656,434148,434508,453488,455936,481680,495192,500840,500448,519360,520428,515968,520296,495696,509600,546504,550488,566324,581060,591988,609272,648680,704460,749368,804988,857912,823032,981812,998348,1039828,1088072,1134160,1116072,1216848,1294568,1369616,1497332,1548296,1584608,1594452,1930840,2048928,2144120,2165964,2288620,2458548,2587908,2748064,2963744,3031540,3400672,3556836,3689776,4021948,4139460,4139000,4009680,3776252,3575616,3395076,3236916,3387924,3445528,3415436,3408248,3422028,3319064,3230436,3255640,3128792,3042980,3015092,2724480,2492132,2387408,2316248,2404568,2439764,2416964,2567756,2548904,2426568,2449040,2444196,2457232,2577808,2606400,2581904,2652496,2705180,2710788,2735608,2732672,2698308,2516024,2666484,2580936,2561484,2585232,2582448,2627164,2682264,2763588,2582772,2703048,2662868,2740412,2711100,2678500,2678064,2634436,2638400,2667036,2681060,2717300,2901572,2905312,2874700,2876596,(D),(D),(D),(D),2933896,2954612,2791716,3212308,3016404,3095260,3075936,3520124,3614444,3535448,3982680,3522976
