GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "45000","South Carolina",5,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",2187192,2216028,2263024,2321112,2398868,2440764,2494776,2536720,2562696,2653452,2645800,2615752,2613116,2648920,2744952,2830360,2879460,2914248,2931848,2990068,3052412,3103772,3124104,3207932,3278536,3349188,3394324,3492956,3562720,3660548,3856780,3961508,4138248,4293964,4416792,4429088,4542124,4576152,4706708,4852572,5007996,5203904,5342832,5454172,5551420,5720116,5873052,6023888,6169400,6220996,6271348,6421028,6589008,6788084,6900388,6982680,7385684,7528344,7781720,7992784,8321772,8581624,8823668,9152664,9508708,9723160,9957628,9951340,9678048,10032092,10441296,10905716,11258256,11483924,11895904,11952680,12269376,12723260,13058328,13462800,13963364,14320080,14741840,15205436,15629196,16060032,16569332,17121604,17524376,17862556,18193496,18788116,19512536,19938056,20266516,20501656,20594908,20836892,21061156,21395320,21854300,22576024,23126456,23812072,24689840,25241008,25768152,26115632,26506236,26873752,27389100,27936664,28519704,28847868,29292184,29996552,30398992,31083084,31717620,32656736,32697572,34120628,35065772,35547896,36515708,36534168,37146744,38266916,38888712,39970304,40408804,40522788,40624212,40759576,41160640,41905392,42685880,43475648,43964032,44160400,44968752,45480268,45939108,45986960,46819852,47549292,48241608,48752596,49398084,50001928,50281732,50925532,50974060,52012428,52766332,53248144,54579364,55123608,55787436,56983236,57796820,59095388,60592288,61943580,62070556,63063032,64191488,65149192,66366592,67670916,67912344,68063424,68954516,68825724,69040120,69350340
 "45000","South Carolina",5,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",1983988,2006932,2051840,2105048,2164900,2205596,2253272,2293048,2315248,2397320,2388116,2359488,2355056,2390912,2474560,2550820,2594296,2632424,2647544,2696208,2738492,2781472,2803012,2873144,2938832,3004092,3046544,3132664,3190412,3269796,3436824,3529044,3667212,3805472,3919088,3928684,4020512,4042408,4147300,4271668,4414456,4586280,4711740,4817708,4908720,5058076,5198008,5326980,5450792,5496080,5532828,5653528,5782376,5945632,6054068,6117240,6444872,6560936,6786780,6990028,7245304,7491388,7708564,7998244,8285840,8473868,8665896,8615516,8316620,8592264,8933936,9342092,9631160,9820284,10161696,10221204,10456588,10851780,11143984,11489548,11900656,12220780,12582580,12981068,13311620,13654520,14082420,14535372,14885024,15159568,15416048,15946736,16472424,16821060,17107756,17292440,17315852,17495944,17657460,17897640,18219708,18829224,19303684,19906216,20588328,21055892,21501676,21782016,22084528,22369612,22784708,23230072,23692804,23923860,24268508,24845932,25213848,25774744,26292784,27098576,27054972,28256608,29014804,29381608,30159776,30095144,30545536,31453076,31922760,32848172,33213608,33264984,33292524,33378044,33648280,34153648,34667316,35228028,35571264,35789600,36330152,36835824,37211216,37284252,37878488,38553692,39155420,39670524,40297264,40861612,41155692,41726172,41799944,42703936,43356744,43779448,44942416,45406124,45949536,46947636,47492580,48552704,49800448,50956936,51093660,51890912,52744108,53480088,54436760,55376640,55535564,55659988,56483752,56365996,56505796,56722140
 "45000","South Carolina",5,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",203204,209096,211184,216064,233968,235168,241504,243672,247448,256132,257684,256264,258060,258008,270392,279540,285164,281824,284304,293860,313920,322300,321092,334788,339704,345096,347780,360292,372308,390752,419956,432464,471036,488492,497704,500404,521612,533744,559408,580904,593540,617624,631092,636464,642700,662040,675044,696908,718608,724916,738520,767500,806632,842452,846320,865440,940812,967408,994940,1002756,1076468,1090236,1115104,1154420,1222868,1249292,1291732,1335824,1361428,1439828,1507360,1563624,1627096,1663640,1734208,1731476,1812788,1871480,1914344,1973252,2062708,2099300,2159260,2224368,2317576,2405512,2486912,2586232,2639352,2702988,2777448,2841380,3040112,3116996,3158760,3209216,3279056,3340948,3403696,3497680,3634592,3746800,3822772,3905856,4101512,4185116,4266476,4333616,4421708,4504140,4604392,4706592,4826900,4924008,5023676,5150620,5185144,5308340,5424836,5558160,5642600,5864020,6050968,6166288,6355932,6439024,6601208,6813840,6965952,7122132,7195196,7257804,7331688,7381532,7512360,7751744,8018564,8247620,8392768,8370800,8638600,8644444,8727892,8702708,8941364,8995600,9086188,9082072,9100820,9140316,9126040,9199360,9174116,9308492,9409588,9468696,9636948,9717484,9837900,10035600,10304240,10542684,10791840,10986644,10976896,11172120,11447380,11669104,11929832,12294276,12376780,12403436,12470764,12459728,12534324,12628200
 "45000","South Carolina",5,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",152616,158092,160192,165164,173856,175492,181132,182936,177292,183832,185520,185412,185464,185156,196892,206044,204504,201156,202580,208596,217040,220964,216980,227664,233972,237588,238664,247688,258076,274092,298772,311364,324120,339124,343996,344272,355912,362612,381908,395460,398820,417052,425980,428452,435984,450264,457448,474180,489916,494076,507012,530404,546260,574732,578460,596828,627760,652884,676948,681884,686760,692528,709564,730916,763560,780672,815360,864912,902920,965264,1013712,1047648,1057672,1085540,1137812,1140476,1188420,1231324,1265200,1310796,1347496,1365356,1404008,1441396,1499140,1560704,1614752,1683348,1725976,1776124,1835760,1867924,1967080,2024328,2052524,2100444,2159176,2215008,2268864,2345700,2401988,2469220,2513120,2558308,2621592,2677352,2734020,2789012,2861572,2928116,2994972,3054420,3125268,3192364,3256424,3341712,3371484,3462008,3543920,3627060,3641232,3775708,3905876,3991720,4154220,4233948,4350740,4481992,4566376,4641984,4670312,4715820,4782596,4819120,4926664,5125148,5322504,5507044,5624740,5647680,5740232,5748660,5799988,5796928,5928476,5961188,6006312,5963396,5944236,5942088,5912888,5952128,5950184,6024692,6081612,6109044,6201812,6250544,6328684,6457984,6638920,6803836,6965672,7087284,7086572,7228396,7438792,7603444,7778152,8068132,8127596,8139272,8154440,8161776,8226108,8296680
 "45000","South Carolina",5,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",50588,51004,50992,50900,60112,59676,60372,60736,70156,72300,72164,70852,72596,72852,73500,73496,80660,80668,81724,85264,96880,101336,104112,107124,105732,107508,109116,112604,114232,116660,121184,121100,146916,149368,153708,156132,165700,171132,177500,185444,194720,200572,205112,208012,206716,211776,217596,222728,228692,230840,231508,237096,260372,267720,267860,268612,313052,314524,317992,320872,389708,397708,405540,423504,459308,468620,476372,470912,458508,474564,493648,515976,569424,578100,596396,591000,624368,640156,649144,662456,715212,733944,755252,782972,818436,844808,872160,902884,913376,926864,941688,973456,1073032,1092668,1106236,1108772,1119880,1125940,1134832,1151980,1232604,1277580,1309652,1347548,1479920,1507764,1532456,1544604,1560136,1576024,1609420,1652172,1701632,1731644,1767252,1808908,1813660,1846332,1880916,1931100,2001368,2088312,2145092,2174568,2201712,2205076,2250468,2331848,2399576,2480148,2524884,2541984,2549092,2562412,2585696,2626596,2696060,2740576,2768028,2723120,2898368,2895784,2927904,2905780,3012888,3034412,3079876,3118676,3156584,3198228,3213152,3247232,3223932,3283800,3327976,3359652,3435136,3466940,3509216,3577616,3665320,3738848,3826168,3899360,3890324,3943724,4008588,4065660,4151680,4226144,4249184,4264164,4316324,4297952,4308216,4331520
 "45000","South Carolina",5,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",37824,39496,40288,42844,42124,40612,39804,43340,42216,43720,44784,47912,49820,51392,53148,53596,53984,53616,52548,52516,51960,50624,53212,50116,49616,53108,52956,53344,55028,59492,56824,54992,49424,45896,43620,44360,45520,46108,49660,50308,50748,48912,50836,50912,50740,52716,53976,55964,55872,57900,58952,57268,56588,55028,56780,55844,57060,54872,56160,58432,61820,64640,68356,73508,75772,79216,81144,83644,90352,91580,90084,90024,83180,82628,80728,79676,81512,81348,81576,81872,89968,89804,90604,92428,92496,94392,95884,96788,94452,94616,94016,92528,86256,85792,86940,89712,89620,92160,93116,92480,89676,87908,86928,86764,86488,87564,88504,89232,88688,88552,87452,85476,82260,80596,79636,79420,78832,79856,81492,83604,85380,87448,89292,90672,89856,91388,93720,96924,102844,106316,107360,106116,103392,100248,97412,95400,92004,91268,93076,96796,103524,108656,111912,112516,111700,109924,109504,110580,115928,118580,119736,119612,117780,116472,117380,120284,126224,131204,134476,135760,139240,139012,136684,133396,125136,122148,121256,122404,125216,128084,133932,141692,167852,169980,171496,172416
 "45000","South Carolina",5,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",2149368,2176532,2222736,2278268,2356744,2400152,2454972,2493380,2520480,2609732,2601016,2567840,2563296,2597528,2691804,2776764,2825476,2860632,2879300,2937552,3000452,3053148,3070892,3157816,3228920,3296080,3341368,3439612,3507692,3601056,3799956,3906516,4088824,4248068,4373172,4384728,4496604,4530044,4657048,4802264,4957248,5154992,5291996,5403260,5500680,5667400,5819076,5967924,6113528,6163096,6212396,6363760,6532420,6733056,6843608,6926836,7328624,7473472,7725560,7934352,8259952,8516984,8755312,9079156,9432936,9643944,9876484,9867696,9587696,9940512,10351212,10815692,11175076,11401296,11815176,11873004,12187864,12641912,12976752,13380928,13873396,14230276,14651236,15113008,15536700,15965640,16473448,17024816,17429924,17767940,18099480,18695588,19426280,19852264,20179576,20411944,20505288,20744732,20968040,21302840,21764624,22488116,23039528,23725308,24603352,25153444,25679648,26026400,26417548,26785200,27301648,27851188,28437444,28767272,29212548,29917132,30320160,31003228,31636128,32573132,32612192,34033180,34976480,35457224,36425852,36442780,37053024,38169992,38785868,39863988,40301444,40416672,40520820,40659328,41063228,41809992,42593876,43384380,43870956,44063604,44865228,45371612,45827196,45874444,46708152,47439368,48132104,48642016,49282156,49883348,50161996,50805920,50856280,51895956,52648952,53127860,54453140,54992404,55652960,56847476,57657580,58956376,60455604,61810184,61945420,62940884,64070232,65026788,66241376,67542832,67778412,67921732,68786664,68655744,68868624,69177924
 "45000","South Carolina",5,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",1544564,1556720,1596368,1639564,1706784,1739864,1776156,1807228,1844000,1906236,1893496,1865112,1865968,1903432,1952292,2004408,2061344,2112280,2130584,2163704,2195704,2238692,2276244,2323560,2379680,2448476,2507124,2591864,2641704,2691736,2826628,2879820,3011240,3116760,3228348,3241144,3312276,3328364,3372484,3482500,3618068,3754236,3873576,3982892,4047972,4174888,4308712,4383088,4469548,4500132,4505088,4609848,4719288,4827692,4956616,4988852,5317600,5370552,5540436,5729984,6032740,6283740,6437428,6703200,6935220,7110328,7238948,7122020,6780008,7056852,7396412,7803416,8154504,8291048,8616032,8724412,8952100,9348916,9643504,9922756,10326060,10638572,10965732,11374660,11675368,12043332,12396480,12859496,13175412,13387436,13521548,14124092,14510548,14860544,15188988,15266324,15253912,15375052,15538600,15727544,16096444,16762668,17282364,17874704,18639488,19010156,19382260,19592268,19898348,20078928,20490424,20944016,21388212,21579924,21977124,22469464,22817920,23408388,24022796,24815304,24617240,25889908,26760084,27036768,27863672,27685476,28041668,29083556,29614976,30433736,30860492,30820452,30508932,30647452,31042204,31686868,32273048,32844472,33273736,33476460,34179296,34742584,35219972,35242456,36023760,36708840,37310060,38007304,38526812,39122064,39400216,40056412,40018996,40918588,41583404,41917008,43091940,43517796,44011940,44937428,45636640,46706508,47961480,49126860,48967152,49746096,50486244,51268556,52277168,53114196,53107888,53253940,54363268,54003860,53920208,54015432
 "45000","South Carolina",5,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",7860,7840,7904,7540,7288,6940,6640,6680,6648,7124,7104,7096,7444,7412,7824,7816,8432,8488,8556,9004,9048,8952,8968,8948,9468,9888,10344,10360,10832,11268,11732,12104,12620,12920,13312,13352,13024,13200,13212,13640,14452,14776,15600,16068,17460,17572,18132,18772,18896,18880,19116,19472,20684,21260,21916,22404,22396,22780,23652,24376,26468,27420,28560,29948,30424,31112,31344,31484,31108,31532,31960,33180,34184,34712,35040,35332,37728,38060,40408,43388,49640,51348,53748,56668,56888,59828,60764,64552,68364,72244,72836,71368,71536,73060,72900,72784,77924,81364,82016,83700,83060,83260,89448,92756,92376,98516,101564,103996,106576,111944,109324,112644,115856,119228,126348,130408,133592,135920,138040,140260,152628,150212,154984,157532,152964,153480,160968,171052,177612,182376,177452,176192,179056,180692,176204,180136,180508,180572,189360,189048,191196,196144,196644,196464,198348,200420,204784,205936,222716,227828,232828,235028,239128,235148,242496,253168,253856,258132,261964,271884,272832,300140,306940,310272,313464,320380,337608,336528,342980,344780,331264,346260,429876,376708,358252,319564
 "45000","South Carolina",5,SQINC6S,200,"B","   Mining","Thousands of dollars",5784,6144,6068,6060,6508,6880,6640,6856,6376,6964,6884,6956,6516,6472,6528,6944,6544,6968,6576,6976,6928,6916,7768,7800,7268,7820,7772,8308,8392,8336,8280,8564,8796,8704,8524,9036,9548,9776,9964,9848,9764,10296,11180,11028,11028,11328,11344,11928,11448,11920,12428,12324,12528,12816,13196,12812,14220,14500,14512,14640,15548,16600,16812,18120,19332,20060,20956,18916,20432,19944,19992,19524,20136,19220,20120,20408,21516,23504,24184,23512,23196,26460,27004,28380,28664,29736,30364,31532,32000,32180,32024,34092,33916,34168,35760,34976,33528,35168,37208,35668,36036,37264,38780,41400,41780,41184,42928,42628,43752,41556,42224,41840,41904,41948,42732,44384,48536,50028,53552,58300,56428,60180,62072,64368,63956,64432,64892,65760,67692,68380,69516,66972,64704,61376,62300,64956,62792,62672,62236,68428,66048,67468,68984,67960,68928,74136,72044,71932,79376,77056,76428,77792,80004,82000,83596,82828,85948,87424,88124,87544,86944,89524,91496,95520,94640,95136,97868,95664,98228,98556,91348,87884,91128,82780,82584,85192
