GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "95000","Southeast",5,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",39875524,39885532,40674148,41816988,43054904,43802248,44132136,44659792,45203072,46117224,45993048,46021776,46260236,46882232,47873872,48971484,49979692,51043268,51592440,52334108,53338112,54489464,55669548,56752764,57951464,59333756,60499840,61869820,63322696,64556376,66361856,68329368,70466016,72691848,74845772,76165752,77814388,78738476,80251792,82457848,85290600,87949372,90589588,92795756,95565384,98268000,101150536,103193720,105135352,107002716,108550852,110458332,113648132,116580296,119399836,121613424,127887492,130672664,133474920,138237056,143395120,147625672,152479208,157281764,161382936,165419980,169135288,169624524,170535260,174159308,179340608,184804556,192259180,195395624,199320100,204856044,210420460,218582956,225261076,231721076,237575472,248946628,256927676,265213336,272944324,279022184,287428904,295964072,304022940,310847432,317431928,328898128,341889492,346722216,355820248,359228372,365324948,370290712,374311388,378543392,385097952,394479300,403737572,415106484,427361580,438526540,448578376,456267816,463977464,474480296,483312036,493530128,502788520,507669288,516557532,527966928,537739796,546971840,558666612,574951776,576546456,594912236,608393232,620332556,628330412,635115204,642902628,658306012,671012896,683338032,691556728,693019760,696443084,705433368,715747264,728887276,746994252,761527740,771758204,782122140,793539932,803029916,811007648,821624068,834226380,853042272,864282200,876824588,887423096,896889788,907024864,920301176,927452660,945917336,960812704,971667208,991676168,1003088072,1017754192,1041299024,1058812100,1080146616,1101329528,1120721220,1136203020,1147904552,1165546584,1188187260,1222906624,1232434424,1249556308,1256886336,1278819368,1289014296,1291035224,1295498428
 "95000","Southeast",5,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",36209396,36204484,36967304,38010080,38940024,39676572,39972428,40482148,40898692,41740156,41587916,41593448,41721264,42290740,43206412,44219364,45010288,46014556,46501116,47153212,47916740,48930032,49971400,50925976,52070636,53326212,54359208,55563572,56854248,57918916,59507864,61308024,62863752,64871912,66786016,67916408,69282716,70018036,71302796,73210036,75701900,78108180,80487740,82486544,84833064,87207940,89753448,91550768,93226164,94764080,96059804,97547004,100036284,102517320,104919232,106729260,111771804,114181188,116693136,121102268,124971692,128938496,133324452,137596876,140842176,144234100,147259792,147125988,147069428,149725796,154116424,158949040,165031208,167770204,171045960,175577164,179644092,186590256,192239048,197804416,202428864,212285400,219084720,226099468,232342072,237218828,244272452,251412128,258363028,263846576,269149856,279203380,289035476,293087408,300743020,303488152,307812572,311596928,314577592,317483424,321819964,329654508,337589876,347616704,357022116,366637916,375091012,381361388,387409960,395731936,402667916,410810440,417889784,421169748,428102548,437640084,446686156,454477268,464381052,478600432,478737236,494338372,505029376,514151356,519987396,524097064,529461296,541718488,551400448,562244724,569058012,569636576,571604620,578279640,585434620,594399056,607107584,617625956,624929160,634434708,641842904,651002232,657531052,666632988,675164660,691717920,701483468,713288216,723710300,732611812,741787848,753240228,759322400,775389148,788363204,798154112,816217140,826414944,838969548,858905992,873890548,891300948,908643664,924904880,938026352,947059904,960788648,980025220,1010562260,1017049264,1031486512,1036314920,1053679192,1060441568,1059764296,1061793780
 "95000","Southeast",5,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",3666128,3681048,3706844,3806908,4114880,4125676,4159708,4177644,4304380,4377068,4405132,4428328,4538972,4591492,4667460,4752120,4969404,5028712,5091324,5180896,5421372,5559432,5698148,5826788,5880828,6007544,6140632,6306248,6468448,6637460,6853992,7021344,7602264,7819936,8059756,8249344,8531672,8720440,8948996,9247812,9588700,9841192,10101848,10309212,10732320,11060060,11397088,11642952,11909188,12238636,12491048,12911328,13611848,14062976,14480604,14884164,16115688,16491476,16781784,17134788,18423428,18687176,19154756,19684888,20540760,21185880,21875496,22498536,23465832,24433512,25224184,25855516,27227972,27625420,28274140,29278880,30776368,31992700,33022028,33916660,35146608,36661228,37842956,39113868,40602252,41803356,43156452,44551944,45659912,47000856,48282072,49694748,52854016,53634808,55077228,55740220,57512376,58693784,59733796,61059968,63277988,64824792,66147696,67489780,70339464,71888624,73487364,74906428,76567504,78748360,80644120,82719688,84898736,86499540,88454984,90326844,91053640,92494572,94285560,96351344,97809220,100573864,103363856,106181200,108343016,111018140,113441332,116587524,119612448,121093308,122498716,123383184,124838464,127153728,130312644,134488220,139886668,143901784,146829044,147687432,151697028,152027684,153476596,154991080,159061720,161324352,162798732,163536372,163712796,164277976,165237016,167060948,168130260,170528188,172449500,173513096,175459028,176673128,178784644,182393032,184921552,188845668,192685864,195816340,198176668,200844648,204757936,208162040,212344364,215385160,218069796,220571416,225140176,228572728,231270928,233704648
 "95000","Southeast",5,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2746440,2760540,2775428,2857960,2969716,2971568,3004484,3026004,2990512,3055284,3093660,3127528,3203500,3248624,3313208,3387676,3446604,3489824,3541604,3607352,3691472,3784556,3890000,3989848,4077928,4183048,4295448,4423260,4567272,4704192,4881468,5010476,5152832,5323020,5500384,5643968,5812560,5935280,6091216,6288484,6469508,6638452,6817400,6965788,7249964,7498920,7729256,7907164,8093732,8366000,8583068,8946412,9255652,9617116,9988824,10351604,10862204,11181084,11453720,11683996,11789720,11923320,12207992,12486756,12855924,13330940,13885644,14554740,15434924,16269768,16851100,17246404,17662128,17965732,18487144,19308900,20211244,21110400,21925496,22607352,23078404,23985004,24762936,25519504,26342772,27161168,28048800,29002628,29888892,30970832,31939532,32781936,34163528,34751496,35713724,36258384,37490200,38470052,39368584,40536324,41612356,42676936,43547216,44303436,45058264,46002688,47121208,48244880,49595216,51256516,52644140,54002320,55483440,56687608,58015088,59254080,59775572,60836944,62048344,63261368,63490984,65165964,67160452,69225768,71425840,73677792,75588536,77769160,79790924,80467740,81228904,81901516,83066368,84720464,87232920,90703668,94626692,97898892,100331680,101667692,103114848,103563912,104575956,105822572,108147944,109629828,110416136,110366976,110063692,110061912,110436388,111439616,112326696,113596764,114593332,114981268,115994908,116547988,117833064,120145936,121451060,124229548,126909428,128973764,130539192,132574696,135598048,137821916,140124536,142872544,144472044,146455556,149607160,152558156,155182280,157379136
 "95000","Southeast",5,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",919688,920508,931416,948948,1145164,1154108,1155224,1151640,1313868,1321784,1311472,1300800,1335472,1342868,1354252,1364444,1522800,1538888,1549720,1573544,1729900,1774876,1808148,1836940,1802900,1824496,1845184,1882988,1901176,1933268,1972524,2010868,2449432,2496916,2559372,2605376,2719112,2785160,2857780,2959328,3119192,3202740,3284448,3343424,3482356,3561140,3667832,3735788,3815456,3872636,3907980,3964916,4356196,4445860,4491780,4532560,5253484,5310392,5328064,5450792,6633708,6763856,6946764,7198132,7684836,7854940,7989852,7943796,8030908,8163744,8373084,8609112,9565844,9659688,9786996,9969980,10565124,10882300,11096532,11309308,12068204,12676224,13080020,13594364,14259480,14642188,15107652,15549316,15771020,16030024,16342540,16912812,18690488,18883312,19363504,19481836,20022176,20223732,20365212,20523644,21665632,22147856,22600480,23186344,25281200,25885936,26366156,26661548,26972288,27491844,27999980,28717368,29415296,29811932,30439896,31072764,31278068,31657628,32237216,33089976,34318236,35407900,36203404,36955432,36917176,37340348,37852796,38818364,39821524,40625568,41269812,41481668,41772096,42433264,43079724,43784552,45259976,46002892,46497364,46019740,48582180,48463772,48900640,49168508,50913776,51694524,52382596,53169396,53649104,54216064,54800628,55621332,55803564,56931424,57856168,58531828,59464120,60125140,60951580,62247096,63470492,64616120,65776436,66842576,67637476,68269952,69159888,70340124,72219828,72512616,73597752,74115860,75533016,76014572,76088648,76325512
 "95000","Southeast",5,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",615336,636484,647864,691316,691464,676360,664432,705432,674920,680908,672840,694836,711488,715476,732808,732048,732908,731056,731988,751456,776892,785364,849352,803088,794184,850264,838652,833540,839048,898252,870044,878068,856532,859308,857952,871760,865448,848320,884580,886344,907776,889244,936568,954968,951668,986968,1004160,1028616,986844,1006312,1015028,988052,973932,955140,983504,970964,986288,957316,976308,1010100,1059928,1117824,1178812,1253676,1281252,1331932,1333768,1336048,1353296,1323440,1291960,1331076,1435796,1519056,1542272,1548424,1609344,1581712,1594800,1630572,1785720,1856560,1921368,1976480,1988140,2010128,2027508,2046460,2060532,2069280,2053976,2009508,1956256,1930376,1947760,2008504,2128600,2198464,2227856,2214568,2163560,2116900,2089916,2082400,2102692,2120972,2139392,2159420,2182752,2182996,2164828,2126272,2075396,2037028,2012488,2001676,2000624,2025068,2069480,2133040,2219912,2282492,2331152,2362284,2364304,2412876,2494800,2612176,2778116,2879532,2930400,2928256,2853876,2812688,2766448,2724796,2643812,2635372,2667760,2729428,2890884,2955656,2987740,2976576,2848976,2814252,2810240,2839068,2842316,2904568,2930628,2923980,2878608,2853552,2865892,2912928,2963460,3046636,3120220,3176080,3233664,3273800,3284724,3276108,3215044,3203216,3195116,3194732,3137420,3141544,3215800,3347696,3855740,3903144,3932264,3942504
 "95000","Southeast",5,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",39260188,39249048,40026284,41125672,42363440,43125888,43467704,43954360,44528152,45436316,45320208,45326940,45548748,46166756,47141064,48239436,49246784,50312212,50860452,51582652,52561220,53704100,54820196,55949676,57157280,58483492,59661188,61036280,62483648,63658124,65491812,67451300,69609484,71832540,73987820,75293992,76948940,77890156,79367212,81571504,84382824,87060128,89653020,91840788,94613716,97281032,100146376,102165104,104148508,105996404,107535824,109470280,112674200,115625156,118416332,120642460,126901204,129715348,132498612,137226956,142335192,146507848,151300396,156028088,160101684,164088048,167801520,168288476,169181964,172835868,178048648,183473480,190823384,193876568,197777828,203307620,208811116,217001244,223666276,230090504,235789752,247090068,255006308,263236856,270956184,277012056,285401396,293917612,301962408,308778152,315377952,326888620,339933236,344791840,353872488,357219868,363196348,368092248,372083532,376328824,382934392,392362400,401647656,413024084,425258888,436405568,446438984,454108396,461794712,472297300,481147208,491403856,500713124,505632260,514545044,525965252,535739172,544946772,556597132,572818736,574326544,592629744,606062080,617970272,625966108,632702328,640407828,655693836,668234780,680458500,688626328,690091504,693589208,702620680,712980816,726162480,744350440,758892368,769090444,779392712,790649048,800074260,808019908,818647492,831377404,850228020,861471960,873985520,884580780,893985220,904094236,917377196,924574052,943063784,957946812,968754280,988712708,1000041436,1014633972,1038122944,1055578436,1076872816,1098044804,1117445112,1132987976,1144701336,1162351468,1184992528,1219769204,1229292880,1246340508,1253538640,1274963628,1285111152,1287102960,1291555924
 "95000","Southeast",5,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",29457288,29320844,30062360,30978724,32090848,32776376,33007840,33410188,33967112,34680480,34375996,34314404,34246572,34676632,35414128,36196696,36950316,37861904,38250956,38734132,39469324,40370668,41152052,41972684,42888132,43981172,44927336,46148280,47310948,48158924,49484208,51132184,52627540,54258524,55799348,56655424,57869632,58464300,59346416,60843472,62869152,65083204,67096012,68853896,70583408,72643820,74877824,76364984,77848712,78678420,79923872,81197824,83367180,85399548,87423380,88893844,94283300,96451852,98339760,102250772,106627736,110328500,114242820,118279200,121161032,123951848,126653272,125808888,125560720,127899152,132216256,136976936,143183144,145607612,148745652,153274892,157471744,164629968,169838992,174977148,179384864,189282448,195317840,202324296,208806208,214122872,220642776,227698676,234216612,238072304,243078996,252732060,262095756,265351100,273569332,276256432,279089824,282283024,285316520,288066628,293040776,301401884,309536512,319910656,330341808,339323972,346889232,352719716,358525380,366483984,373289988,382284712,389842716,393666856,400853816,410307444,418378472,426424236,435743356,449613408,448205660,465009312,475678676,484859488,491031896,494733516,499988128,512049992,521411616,529740344,536527440,536921324,536871296,543278424,550943184,560738416,575954992,587593316,595339472,604453460,614128332,623288468,629925364,639372564,648823848,665042348,675258892,687023756,695662276,703683524,712270220,725121732,730378916,747104316,760280072,769685072,786520832,797281276,810220260,830286580,845954836,864942236,881862512,899162976,912636660,922284536,933416520,954221504,985663760,989020164,1005926684,1008780936,1028919576,1033967940,1030883392,1031249672
 "95000","Southeast",5,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",131720,134104,135376,134256,132704,132264,132544,132720,134940,138904,141628,144752,147128,150172,154236,157660,164332,168504,172560,174872,177880,178684,181872,185536,191280,196192,200016,204348,210568,215768,219428,222352,227124,227948,231768,236376,241968,248776,256708,264152,272084,279204,287016,294692,312144,321628,329576,338784,347056,355844,363952,375540,388328,397884,408512,417000,424616,436160,452472,470416,498532,517648,534724,552872,566388,576400,586740,599896,626768,637652,657584,687328,727620,757064,774496,782380,785516,802664,833204,881472,965504,1042804,1097788,1145884,1183628,1200744,1232348,1291320,1332388,1392676,1391172,1396044,1417588,1399428,1432644,1431020,1440964,1490916,1518216,1585968,1520716,1670424,1684260,1743744,1772808,1864492,1944180,2034840,2052648,2124328,2199068,2227776,2294148,2362636,2415628,2475932,2542236,2620804,2672168,2677364,2844112,2870988,2878212,2880724,2948756,3001460,3096440,3155248,3261008,3245248,3376016,3406304,3452324,3484352,3497776,3605628,3540116,3570768,3677232,3825380,3876720,3912100,3927996,3955080,4104532,4200500,4259164,4372324,4396528,4401092,4425836,4571296,4641216,4746920,4827336,4912720,4992032,4974248,5149368,5265504,5243948,5463440,5561640,5699888,5972276,6150280,6282792,6305728,6486000,6513624,6534104,6530376,8228268,7315340,6736696,6218424
 "95000","Southeast",5,SQINC6S,200,"B","   Mining","Thousands of dollars",1252656,1134932,1130596,1177584,1219524,1245476,1129196,1208180,1226648,1229804,1147116,1113940,1083096,1094568,1142792,1158776,1168672,1149680,1132588,1117684,1134520,1182212,1188928,1195000,1205628,1218628,1248936,1301684,1297100,1315236,1331212,1360104,1394108,1364588,1464388,1468540,1502200,1521080,1548636,1518316,1545676,1565260,1593200,1568048,1636464,1683548,1749084,1846456,1854868,1911084,1918448,2129548,2141924,2151980,2194500,1891892,2394096,2303232,2389120,2402304,2402108,2431656,2601768,2753388,2919740,3109184,3341708,3000780,3929820,3945460,3934344,4311692,4561836,4372988,4366504,4790852,4894308,5171740,5237704,5215156,3785268,6422104,6531496,6728124,6614400,6770208,6864152,7094112,7432952,7876728,8019228,8548156,8866500,7111900,10029628,10485052,10500420,9982364,9493492,8832784,8389072,8129780,8393884,8697496,8869504,9120772,9359288,8689348,8811728,9148692,8998644,8981072,8738700,8100812,7968776,7764068,7794172,7907452,7943224,8277032,7900956,7872612,7839844,7833484,7797136,7819016,7782536,8193676,8303184,8463380,8554380,8483420,8453176,8295728,8228520,7971424,7831808,7730684,7626112,8028468,7362988,7805452,7548204,7577172,7863596,7868976,7956388,8018236,8037260,7955612,8021644,7987180,8059020,8335512,8330492,8521420,8668252,8906424,8825600,8972580,9197520,8970524,8875836,8769036,8562784,8135936,8180764,8090468,8800240,8296072,8355708,8435680,8958612,9168408,9322840,9360388
