GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "96000","Southwest",6,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",17180832,17271924,17481884,17935516,18419980,18668576,18670920,18937140,19089020,19496796,19543064,19656660,19859236,20144412,20495356,20793696,21270392,21546124,21725240,21876468,22178264,22439384,22863832,23183848,23626240,24219676,24528664,24950532,25335964,25719820,26104716,26842480,27667924,28535076,29232540,30110764,30718512,31416472,32142544,32824136,33749848,34882092,36119888,37048932,38072780,39159820,40456792,41341936,42228584,42953360,43460396,44229164,45438424,46369020,47039308,48270900,50281608,51156168,52467792,54020892,55760180,57815804,59775376,61707148,63547088,65785808,67812448,69125760,70990880,72579236,75212216,77790068,81227640,83070456,85255880,87772932,90762292,94300144,97311524,100905200,104111384,109629548,114163176,118540956,122632380,126765812,131817608,137327872,142136404,146972132,152186620,158542324,164940572,170555824,177998980,185576572,189035212,190382520,190133924,190537040,192245056,194999812,197820616,203293976,207546900,213728504,217970272,221339572,224922276,228816612,232392072,235566500,236875992,234333792,233550348,233511960,236489612,238174684,241589860,245895424,247348036,254334112,258144156,262028476,265138108,268604312,272503684,277814824,282716120,289876648,296303016,298249620,301949692,307041872,311083432,316690276,322574084,328286424,331847420,335858844,340874624,345238700,348266432,354613036,357412248,365057536,370658236,378455604,381253252,387776096,394028992,400249232,406184788,413401576,421113964,428197868,437716936,447397192,458073416,469383156,483267008,490996652,501694372,508747360,515431952,522440348,528692988,544795348,564528488,570230516,581746904,586688656,604040428,601223732,603262596,603032864
 "96000","Southwest",6,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",15584740,15649720,15857288,16280348,16648288,16905956,16900296,17150048,17254124,17626936,17650036,17739020,17890788,18152680,18485516,18777196,19160028,19417928,19573520,19707896,19943764,20182428,20561384,20839156,21253004,21787280,22060744,22424848,22777468,23115508,23452156,24111644,24704800,25472476,26092804,26873768,27379372,27981324,28631748,29239784,30068244,31094508,32199484,33026248,33830024,34798644,35952452,36726232,37486332,38087872,38503732,39098796,40040832,40828220,41355824,42380356,43970020,44708328,45866380,47306692,48561748,50458476,52237000,53955228,55425512,57349836,59052032,59998880,61304060,62501152,64767512,67038192,69912576,71542540,73396740,75472360,77741280,80748024,83332564,86446004,89043340,93945696,97848316,101596000,104930732,108340052,112626964,117303720,121474412,125529176,129915532,135532036,140802244,145534524,151847200,157975824,160921656,161843444,161448036,161443176,162301260,164569876,166979780,171844380,174935996,180314816,183941428,186773980,189685672,192825684,195604748,197998288,198619332,196002872,195049848,194939348,197798760,199197696,202030104,205855360,206548688,212406908,215278644,218049540,220133720,222274160,225034852,229282764,233107936,239333608,244563016,245740096,248249236,252065140,254949944,259154252,263571520,268044160,270756808,274575660,277749820,281837840,284308884,289600504,291166016,297963672,302793988,309906448,313058208,318994136,324546716,329978572,335056100,341468012,348230848,354562452,363250776,371746616,380889988,390576844,402535340,408875696,417904448,424065868,429934572,435762676,440830144,454389636,471493312,475457208,484899352,488292868,502189980,498934104,499494412,498453184
 "96000","Southwest",6,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",1596092,1622204,1624596,1655168,1771692,1762620,1770624,1787092,1834896,1869860,1893028,1917640,1968448,1991732,2009840,2016500,2110364,2128196,2151720,2168572,2234500,2256956,2302448,2344692,2373236,2432396,2467920,2525684,2558496,2604312,2652560,2730836,2963124,3062600,3139736,3236996,3339140,3435148,3510796,3584352,3681604,3787584,3920404,4022684,4242756,4361176,4504340,4615704,4742252,4865488,4956664,5130368,5397592,5540800,5683484,5890544,6311588,6447840,6601412,6714200,7198432,7357328,7538376,7751920,8121576,8435972,8760416,9126880,9686820,10078084,10444704,10751876,11315064,11527916,11859140,12300572,13021012,13552120,13978960,14459196,15068044,15683852,16314860,16944956,17701648,18425760,19190644,20024152,20661992,21442956,22271088,23010288,24138328,25021300,26151780,27600748,28113556,28539076,28685888,29093864,29943796,30429936,30840836,31449596,32610904,33413688,34028844,34565592,35236604,35990928,36787324,37568212,38256660,38330920,38500500,38572612,38690852,38976988,39559756,40040064,40799348,41927204,42865512,43978936,45004388,46330152,47468832,48532060,49608184,50543040,51740000,52509524,53700456,54976732,56133488,57536024,59002564,60242264,61090612,61283184,63124804,63400860,63957548,65012532,66246232,67093864,67864248,68549156,68195044,68781960,69482276,70270660,71128688,71933564,72883116,73635416,74466160,75650576,77183428,78806312,80731668,82120956,83789924,84681492,85497380,86677672,87862844,90405712,93035176,94773308,96847552,98395788,101850448,102289628,103768184,104579680
 "96000","Southwest",6,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1234600,1258284,1260996,1287108,1330956,1321248,1331240,1344888,1326244,1353048,1373736,1398876,1433096,1453380,1470580,1479260,1511816,1531724,1556276,1570768,1581592,1595408,1629020,1661700,1699244,1746324,1775568,1822916,1855040,1889452,1927148,1987424,2049504,2127496,2182944,2250116,2315720,2378528,2428584,2476448,2526176,2604340,2702720,2783308,2873648,2960972,3058560,3143176,3239856,3337356,3421952,3575408,3690556,3807932,3946484,4118520,4275772,4397300,4532680,4608524,4647904,4734364,4840612,4954616,5125184,5344392,5588888,5914712,6368616,6702500,6966360,7166444,7326168,7477764,7735428,8093656,8524736,8920184,9242712,9589356,9828272,10163564,10558060,10931352,11351080,11824724,12302888,12850652,13327584,13904044,14472508,14907652,15190364,15784264,16519808,17563152,17723972,18080096,18288080,18735024,19169728,19570328,19877084,20215248,20449032,20907120,21321272,21738984,22253932,22847708,23467296,24090152,24680096,24917348,25123176,25200308,25321728,25564088,25970676,26225536,26415520,27123936,27812672,28671820,29700092,30801176,31715620,32501660,33286080,33839280,34633432,35235476,36143096,37050224,37935280,39037944,40001200,40949324,41652428,42070140,42821420,43117356,43469500,44253112,44829596,45345800,45807008,46100240,45790316,46072704,46418324,46766948,47233292,47520656,47969752,48279036,48731900,49427056,50403376,51429760,52684700,53676612,54762428,55303492,55783088,56644356,57589184,59383156,61008776,62557540,63928988,65098904,67450068,67993424,69367240,70203632
 "96000","Southwest",6,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",361492,363920,363600,368060,440736,441372,439384,442204,508652,516812,519292,518764,535352,538352,539260,537240,598548,596472,595444,597804,652908,661548,673428,682992,673992,686072,692352,702768,703456,714860,725412,743412,913620,935104,956792,986880,1023420,1056620,1082212,1107904,1155428,1183244,1217684,1239376,1369108,1400204,1445780,1472528,1502396,1528132,1534712,1554960,1707036,1732868,1737000,1772024,2035816,2050540,2068732,2105676,2550528,2622964,2697764,2797304,2996392,3091580,3171528,3212168,3318204,3375584,3478344,3585432,3988896,4050152,4123712,4206916,4496276,4631936,4736248,4869840,5239772,5520288,5756800,6013604,6350568,6601036,6887756,7173500,7334408,7538912,7798580,8102636,8947964,9237036,9631972,10037596,10389584,10458980,10397808,10358840,10774068,10859608,10963752,11234348,12161872,12506568,12707572,12826608,12982672,13143220,13320028,13478060,13576564,13413572,13377324,13372304,13369124,13412900,13589080,13814528,14383828,14803268,15052840,15307116,15304296,15528976,15753212,16030400,16322104,16703760,17106568,17274048,17557360,17926508,18198208,18498080,19001364,19292940,19438184,19213044,20303384,20283504,20488048,20759420,21416636,21748064,22057240,22448916,22404728,22709256,23063952,23503712,23895396,24412908,24913364,25356380,25734260,26223520,26780052,27376552,28046968,28444344,29027496,29378000,29714292,30033316,30273660,31022556,32026400,32215768,32918564,33296884,34400380,34296204,34400944,34376048
 "96000","Southwest",6,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",359436,368296,370960,392592,387624,374780,367856,393240,379856,386700,384800,399420,405864,406500,414684,412576,416560,416412,408096,401928,394356,378336,393380,364272,363200,392296,385792,377896,369688,385612,370736,377384,378084,387260,391620,397924,387116,375264,388640,390252,403872,398184,421836,430264,430160,443372,449668,458612,445944,453800,456356,444772,441008,432160,440148,440828,459244,460340,469296,478116,486748,496416,505156,517768,533044,546620,544148,543036,561104,552532,539948,552676,580548,605024,614044,625172,687652,694884,712000,730276,772896,796296,818904,840828,852276,863664,871828,879060,889892,891388,882148,861696,851756,838864,841140,859232,904524,930596,942164,937888,922800,905116,895312,893044,905688,912676,920728,930092,946552,948564,942544,927752,907720,891060,881968,880208,891032,903736,922932,947936,978980,1002528,1020700,1032160,1021756,1041396,1075716,1125592,1178104,1219704,1239884,1237820,1202548,1180948,1157848,1137444,1081448,1073772,1085980,1114664,1171324,1207400,1236276,1250564,1234976,1231568,1248068,1279168,1363768,1408356,1427784,1424168,1396336,1370304,1366880,1387248,1447332,1500876,1532236,1540804,1501428,1476584,1471160,1486240,1558124,1600016,1630404,1643756,1611556,1604072,1616888,1649368,1729680,1755728,1775800,1789728
 "96000","Southwest",6,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",16821396,16903628,17110924,17542924,18032356,18293796,18303064,18543900,18709164,19110096,19158264,19257240,19453372,19737912,20080672,20381120,20853832,21129712,21317144,21474540,21783908,22061048,22470452,22819576,23263040,23827380,24142872,24572636,24966276,25334208,25733980,26465096,27289840,28147816,28840920,29712840,30331396,31041208,31753904,32433884,33345976,34483908,35698052,36618668,37642620,38716448,40007124,40883324,41782640,42499560,43004040,43784392,44997416,45936860,46599160,47830072,49822364,50695828,51998496,53542776,55273432,57319388,59270220,61189380,63014044,65239188,67268300,68582724,70429776,72026704,74672268,77237392,80647092,82465432,84641836,87147760,90074640,93605260,96599524,100174924,103338488,108833252,113344272,117700128,121780104,125902148,130945780,136448812,141246512,146080744,151304472,157680628,164088816,169716960,177157840,184717340,188130688,189451924,189191760,189599152,191322256,194094696,196925304,202400932,206641212,212815828,217049544,220409480,223975724,227868048,231449528,234638748,235968272,233442732,232668380,232631752,235598580,237270948,240666928,244947488,246369056,253331584,257123456,260996316,264116352,267562916,271427968,276689232,281538016,288656944,295063132,297011800,300747144,305860924,309925584,315552832,321492636,327212652,330761440,334744180,339703300,344031300,347030156,353362472,356177272,363825968,369410168,377176436,379889484,386367740,392601208,398825064,404788452,412031272,419747084,426810620,436269604,445896316,456541180,467842352,481765580,489520068,500223212,507261120,513873828,520840332,527062584,543151592,562916932,568626444,580130016,585039288,602310748,599468004,601486796,601243136
 "96000","Southwest",6,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",12670300,12612796,12773308,13165400,13623956,13883352,13851484,14024284,14148964,14462788,14430152,14474024,14570688,14786692,15083372,15350524,15695024,15884064,15983500,16046888,16304384,16518332,16814140,17089752,17432108,17863860,18124188,18453484,18736492,18999724,19326492,19826956,20395864,20995504,21543912,22154524,22550996,23110848,23550776,24090684,24800208,25716776,26653840,27333428,28149692,29054740,30104640,30703112,31232832,31592612,31940204,32412508,33176156,33832272,34114496,35122700,36843472,37429148,38266996,39474592,40841580,42613152,44295808,45964088,47364884,49215800,50905604,51887536,53173724,54386996,56593652,58568504,61479436,62829092,64602356,66755552,69266904,72322932,75166656,78097452,80786912,85873648,89622120,93430260,96812300,100593428,105049412,109920904,114034300,117832632,122361324,127779524,134055992,138505232,144310904,149133356,153348152,153872824,152777916,152187432,153133528,155195700,157694360,162603012,166030768,171514540,174881776,177145212,179702444,182497048,185322584,187266328,188337760,185314100,184375944,184686316,186201048,187520216,190373260,193822036,194092032,200293856,203654968,206252320,208296804,210601108,213584056,217985348,221819104,227279568,232644460,234349728,237476120,241033008,243986800,248201388,252509964,256888492,259497200,262809496,266568852,270144800,273274640,278728888,280319276,287131824,291506676,298558004,300513248,306256300,311157500,316996624,322450428,328994112,335598324,342216600,350630108,359443412,368856720,379013832,391935800,398499320,407965460,414101584,419567072,425180776,429390204,442985884,461607636,464790748,475830888,478759552,494776228,489293576,487703980,485214204
 "96000","Southwest",6,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",32696,32584,33576,33864,35420,35580,37044,37760,38524,39752,41476,42744,43360,44892,46668,49320,51416,52792,55488,57604,59028,61428,63800,66804,70396,73144,75704,78348,81148,83304,85436,86900,88780,88980,90708,94524,99500,104304,109412,113572,116560,119564,121988,126260,134328,138432,142616,146280,151432,155952,161156,165016,170068,174456,177668,181588,186580,192256,199340,207196,216816,224460,233172,241716,251028,258776,264820,268456,262624,273988,285420,297580,316020,327560,335920,343472,348592,353968,382548,429816,408192,476396,529484,562960,582932,582496,593220,673584,667920,671032,722936,679444,675532,676608,672776,747896,755072,751992,726832,723492,758456,789472,793508,815128,796164,900948,907804,919544,974448,1003456,1023488,1033324,1049156,1052588,1081920,1048756,1115660,1115552,1112876,1128424,1194504,1153592,1181288,1181908,1184224,1181644,1191956,1213716,1227208,1276188,1313816,1349532,1387800,1419856,1422868,1417992,1496084,1453648,1459560,1496320,1547120,1576060,1607568,1635360,1642880,1677080,1716608,1706104,1749872,1773240,1813460,1850980,1865776,1863428,1890136,1953448,1980552,1991220,2080556,2160864,2171344,2243424,2253568,2321792,2499488,2598912,2685428,2704132,2731020,2731812,2805396,2737956,3447176,3153820,2809960,2598204
 "96000","Southwest",6,SQINC6S,200,"B","   Mining","Thousands of dollars",1305028,1240212,1230020,1282352,1331140,1354212,1300328,1300760,1312496,1357164,1330580,1342312,1351212,1346868,1397704,1399284,1419632,1400428,1391912,1373572,1379132,1381520,1382120,1400988,1387168,1423652,1413944,1456924,1448592,1445808,1442800,1451168,1497472,1505840,1503392,1528872,1535288,1558748,1527668,1503628,1495164,1626772,1682124,1679280,1759340,1760792,1808420,1847464,1850748,1880712,1899944,1959884,1965388,1970444,1946784,2010292,2128412,2065656,2132144,2173008,2193732,2322760,2440312,2613516,2796008,3018348,3166248,3096472,3515060,3533240,3617996,3868660,3990156,3942544,4242700,4384900,4577260,4996880,5109952,5103960,5268000,6190840,6566876,6858024,6887284,7354040,7693944,8427144,8885504,9709652,10191816,11385892,12356108,13078616,14609916,15741700,16030144,15704232,14939768,13960892,13500376,13278396,13270812,13617240,13656356,14125556,14129164,14206668,13991952,14179248,14023720,13663736,13320316,11964048,11310520,10808968,10875540,10604432,11005548,11040276,11271664,11333924,11161616,11106952,10980432,11083544,11405092,11451152,11562640,11803304,12263568,12559804,12807236,13121060,12963108,12934324,12982756,13000764,13071468,13252760,12909592,13135760,13050196,13284248,13197832,12973788,13092808,13140892,12751728,12939688,13032600,12957152,13318780,13425828,13530604,13677440,14386440,14424460,14815700,15106272,15530088,15172456,14873140,15037948,14446080,14863060,13987928,14285368,15181472,15313692,16257516,16375280,17530784,17076968,16913792,17056624
