GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "48000","Texas",6,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",11838420,11833028,11926048,12204752,12557792,12705912,12748132,12902252,12936212,13216736,13238664,13315236,13444496,13647596,13881036,14106648,14401436,14546252,14669728,14767868,14983244,15183044,15466096,15644832,15981872,16400252,16646232,16951216,17256088,17539152,17775336,18274496,18893976,19530868,20064808,20747720,21192364,21690160,22250244,22783428,23428464,24182300,25085676,25731604,26518144,27257924,28177748,28704560,29209144,29730228,30087204,30575336,31375716,31848416,32174128,32921876,34239044,34857356,35728116,36801408,37943736,39326812,40665772,41952952,43307432,44958472,46479652,47609456,49043328,50296344,52200880,54175448,56698840,58053800,59635836,61289008,63324108,65856224,68050512,70578780,72825696,76533772,79746068,82790316,85495768,88413684,91919872,95910048,99289604,102846660,106821240,111190616,116163972,120097976,125419032,131039084,133736996,134571332,134626720,134925556,136127296,137700748,139693060,143600016,146326068,151017584,153948108,156456180,158642792,161667564,163923204,166126332,166129684,163944680,163029612,161735472,164303080,165013148,167613556,170175908,171514568,176372396,178879264,181585004,184019616,186502944,189370820,193017732,196889016,202283656,207098148,208077884,210970632,214941136,218264668,222049880,225705012,229431008,232252796,235555780,237753416,241208840,243272168,247496468,248212124,253508364,256834996,262841388,264255028,269353008,273192960,277661752,281012016,286334216,292036176,297799912,303959004,312235908,320710760,328582732,338816248,344318844,352379192,356687056,363076908,366833108,371304052,383594464,397990032,401607948,410048336,412474956,427089852,423218368,423104164,422881500
 "48000","Texas",6,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",10749300,10732156,10826764,11086912,11356524,11514980,11547656,11689812,11697052,11950540,11955004,12016144,12113100,12299972,12522984,12742916,12977760,13112676,13221740,13310328,13486368,13672752,13928072,14082816,14396048,14774952,14993460,15258412,15536268,15784120,15988560,16429836,16886664,17449524,17927528,18541064,18921624,19358892,19865496,20348200,20934816,21624460,22432800,23008368,23584424,24240664,25062860,25523888,25957008,26394116,26692804,27066104,27683396,28089812,28333908,28951912,29989412,30511112,31277124,32272708,33088208,34364564,35584004,36737416,37826676,39245916,40523764,41368964,42387236,43336900,44971264,46703652,48829000,50030184,51370552,52726460,54251764,56403356,58284812,60471364,62301048,65603112,68377296,70987340,73187408,75597432,78579452,81978172,84920688,87930040,91260448,95141496,99252420,102571352,107104140,111677972,113955792,114509476,114441536,114452648,115060636,116349276,118060872,121531872,123497784,127581976,130105044,132239288,134044036,136511572,138254536,139905764,139541612,137346976,136352456,135183040,137571916,138149764,140290560,142589672,143371932,147444340,149306388,151224060,152853844,154398296,156467528,159421412,162547316,167269752,171218260,171699908,173659208,176657804,179134544,182088376,185008912,188065568,190322648,193464936,194631552,197816808,199490536,203021648,203129972,207846744,210719276,216123704,217799056,222366064,225850020,229798272,232813344,237591216,242628196,247732000,253368836,260533976,267776528,274511960,283350760,287832928,294612688,298346392,303809300,306873476,310509076,320868008,333337632,335838948,342715548,344199572,355902640,352023708,351159172,350403772
 "48000","Texas",6,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",1089120,1100872,1099284,1117840,1201268,1190932,1200476,1212440,1239160,1266196,1283660,1299092,1331396,1347624,1358052,1363732,1423676,1433576,1447988,1457540,1496876,1510292,1538024,1562016,1585824,1625300,1652772,1692804,1719820,1755032,1786776,1844660,2007312,2081344,2137280,2206656,2270740,2331268,2384748,2435228,2493648,2557840,2652876,2723236,2933720,3017260,3114888,3180672,3252136,3336112,3394400,3509232,3692320,3758604,3840220,3969964,4249632,4346244,4450992,4528700,4855528,4962248,5081768,5215536,5480756,5712556,5955888,6240492,6656092,6959444,7229616,7471796,7869840,8023616,8265284,8562548,9072344,9452868,9765700,10107416,10524648,10930660,11368772,11802976,12308360,12816252,13340420,13931876,14368916,14916620,15560792,16049120,16911552,17526624,18314892,19361112,19781204,20061856,20185184,20472908,21066660,21351472,21632188,22068144,22828284,23435608,23843064,24216892,24598756,25155992,25668668,26220568,26588072,26597704,26677156,26552432,26731164,26863384,27322996,27586236,28142636,28928056,29572876,30360944,31165772,32104648,32903292,33596320,34341700,35013904,35879888,36377976,37311424,38283332,39130124,39961504,40696100,41365440,41930148,42090844,43121864,43392032,43781632,44474820,45082152,45661620,46115720,46717684,46455972,46986944,47342940,47863480,48198672,48743000,49407980,50067912,50590168,51701932,52934232,54070772,55465488,56485916,57766504,58340664,59267608,59959632,60794976,62726456,64652400,65769000,67332788,68275384,71187212,71194660,71944992,72477728
 "48000","Texas",6,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",856372,867840,867088,882584,917356,905504,913744,924048,909388,930668,946608,961704,983140,997240,1007680,1014664,1036816,1051604,1068092,1078744,1085040,1093164,1113284,1130968,1156432,1185316,1206604,1239340,1265296,1293028,1317452,1363400,1411936,1469996,1510288,1558844,1600336,1641092,1678616,1713036,1743932,1794520,1868016,1924972,1974428,2037440,2102684,2153424,2208320,2274276,2328332,2431356,2510892,2567036,2650636,2759936,2860976,2945424,3038360,3089840,3114928,3173412,3242168,3309412,3434436,3596016,3779716,4028280,4365064,4624604,4820932,4977776,5084332,5189196,5374356,5619180,5930072,6213088,6448600,6696520,6855060,7071160,7340856,7595224,7874092,8205708,8532360,8919032,9247080,9641032,10096816,10375220,10616288,11027616,11529436,12271876,12426492,12666404,12822208,13141404,13456340,13708664,13919264,14160496,14275936,14616688,14887000,15174500,15472604,15910936,16323476,16787440,17159136,17325684,17464396,17425472,17594128,17733636,18066932,18207352,18363112,18865552,19351028,19963912,20750980,21545264,22213492,22769404,23356592,23795740,24400924,24822872,25545332,26236044,26858360,27490752,27909704,28397964,28847968,29134364,29520176,29788444,30048820,30576472,30828216,31169528,31414960,31650996,31360936,31599424,31732928,31986812,32187976,32428208,32759896,33061356,33307280,33953828,34716780,35439348,36340904,37079944,37918728,38277552,38859600,39395824,40059084,41430188,42650908,43672104,44747160,45501432,47513908,47726780,48526296,49124248
 "48000","Texas",6,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",232748,233032,232196,235256,283912,285428,286732,288392,329772,335528,337052,337388,348256,350384,350372,349068,386860,381972,379896,378796,411836,417128,424740,431048,429392,439984,446168,453464,454524,462004,469324,481260,595376,611348,626992,647812,670404,690176,706132,722192,749716,763320,784860,798264,959292,979820,1012204,1027248,1043816,1061836,1066068,1077876,1181428,1191568,1189584,1210028,1388656,1400820,1412632,1438860,1740600,1788836,1839600,1906124,2046320,2116540,2176172,2212212,2291028,2334840,2408684,2494020,2785508,2834420,2890928,2943368,3142272,3239780,3317100,3410896,3669588,3859500,4027916,4207752,4434268,4610544,4808060,5012844,5121836,5275588,5463976,5673900,6295264,6499008,6785456,7089236,7354712,7395452,7362976,7331504,7610320,7642808,7712924,7907648,8552348,8818920,8956064,9042392,9126152,9245056,9345192,9433128,9428936,9272020,9212760,9126960,9137036,9129748,9256064,9378884,9779524,10062504,10221848,10397032,10414792,10559384,10689800,10826916,10985108,11218164,11478964,11555104,11766092,12047288,12271764,12470752,12786396,12967476,13082180,12956480,13601688,13603588,13732812,13898348,14253936,14492092,14700760,15066688,15095036,15387520,15610012,15876668,16010696,16314792,16648084,17006556,17282888,17748104,18217452,18631424,19124584,19405972,19847776,20063112,20408008,20563808,20735892,21296268,22001492,22096896,22585628,22773952,23673304,23467880,23418696,23353480
 "48000","Texas",6,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",225588,229956,232680,249124,249500,244848,242988,260484,248964,251344,250476,262012,269368,272724,281632,283300,287556,288544,282964,277288,268424,254016,262148,242436,243252,263360,258800,252112,242880,249956,238532,242356,244116,251108,253388,254744,242508,229852,236084,237392,247892,246624,262160,266876,267300,273816,276964,281376,275628,279884,280920,274136,272260,267060,270364,271116,281624,283320,288288,292852,298780,303880,307388,311760,318516,324224,321100,319032,331232,325772,317616,323748,338712,352420,358360,366572,401224,409044,421964,434380,474808,487032,498784,510860,517964,524616,528828,532016,537208,537048,530588,518160,512132,502464,502664,512864,541252,558240,566132,563740,553484,541992,535808,534764,542824,548012,553348,559036,569032,569532,565900,557400,545068,535132,529552,528144,534092,541644,553732,570132,593968,608912,620588,628160,627920,640436,662524,694512,732300,758096,772324,773668,752812,743848,731184,717644,680516,671572,674204,687012,726140,744068,752200,748780,700008,676932,673056,685648,744484,780332,800072,801648,780772,763012,755868,761116,771840,794740,807936,811620,791336,778260,779424,792852,850900,882296,900436,903216,860376,842416,842972,861776,937748,951092,963404,974640
 "48000","Texas",6,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",11612832,11603072,11693368,11955628,12308292,12461064,12505144,12641768,12687248,12965392,12988188,13053224,13175128,13374872,13599404,13823348,14113880,14257708,14386764,14490580,14714820,14929028,15203948,15402396,15738620,16136892,16387432,16699104,17013208,17289196,17536804,18032140,18649860,19279760,19811420,20492976,20949856,21460308,22014160,22546036,23180572,23935676,24823516,25464728,26250844,26984108,27900784,28423184,28933516,29450344,29806284,30301200,31103456,31581356,31903764,32650760,33957420,34574036,35439828,36508556,37644956,39022932,40358384,41641192,42988916,44634248,46158552,47290424,48712096,49970572,51883264,53851700,56360128,57701380,59277476,60922436,62922884,65447180,67628548,70144400,72350888,76046740,79247284,82279456,84977804,87889068,91391044,95378032,98752396,102309612,106290652,110672456,115651840,119595512,124916368,130526220,133195744,134013092,134060588,134361816,135573812,137158756,139157252,143065252,145783244,150469572,153394760,155897144,158073760,161098032,163357304,165568932,165584616,163409548,162500060,161207328,163768988,164471504,167059824,169605776,170920600,175763484,178258676,180956844,183391696,185862508,188708296,192323220,196156716,201525560,206325824,207304216,210217820,214197288,217533484,221332236,225024496,228759436,231578592,234868768,237027276,240464772,242519968,246747688,247512116,252831432,256161940,262155740,263510544,268572676,272392888,276860104,280231244,285571204,291280308,297038796,303187164,311441168,319902824,327771112,338024912,343540584,351599768,355894204,362226008,365950812,370403616,382691248,397129656,400765532,409205364,411613180,426152104,422267276,422140760,421906860
 "48000","Texas",6,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",8978336,8890584,8962464,9211872,9508844,9696828,9711476,9802840,9829592,10029492,9981936,10021860,10088244,10239556,10443760,10654352,10864328,10947680,11028080,11057316,11257444,11439292,11652356,11817216,12085312,12415504,12624824,12870728,13115140,13326344,13571704,13884304,14323876,14747628,15165520,15657024,15989496,16424960,16795808,17243004,17764828,18370228,19052728,19531364,20181680,20792256,21571936,21938852,22232128,22517108,22767164,23045936,23529748,23891840,23995804,24591316,25754348,26168580,26714916,27561504,28454380,29661424,30857788,32043992,33096712,34493444,35795208,36735264,37811624,38796228,40431848,42001412,44203040,45239168,46504700,47962604,49734568,51914668,54061312,56133412,58064788,61527532,64286104,66951916,69235588,71901964,75052152,78617556,81543352,84517072,88012912,91839712,96689940,99907884,104160908,108003532,111186208,111596468,110982848,110708340,111340296,112510452,114238896,117632004,119920940,124111240,126422032,128058008,129678128,131806508,133809364,134977748,135074144,132460368,131554652,130918068,132219468,132727164,134876180,137052596,137548404,141785324,144005572,145875932,147575944,149303308,151566956,154618276,157782040,161948804,166249976,167291384,169905944,172762916,175298060,178153708,180708036,183641480,185612324,188618300,189918632,192846472,194773160,198522676,198460580,203362136,205882992,211432760,212347864,216728200,220004460,223901156,227328948,232022944,236998324,242518420,248080476,255573728,263297920,270235740,280108560,284565144,291873488,295876892,301017972,304126764,307295300,317619904,331155028,333399824,341341724,342815028,356585308,350979820,348668796,346835508
 "48000","Texas",6,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",20268,20200,20708,21052,21640,21724,22444,22492,22284,22760,23228,24036,24500,25696,26812,28300,29588,30992,32532,33484,34576,35876,37600,39884,42944,45184,47336,48792,49468,50020,50620,51728,53704,54828,56652,59484,62536,65936,68828,70764,72784,74172,75660,77828,82816,85284,88132,90648,94108,97172,100652,103580,107440,110528,112884,115284,118416,122376,126336,130848,136900,141644,146464,151400,157024,161992,166476,170624,173872,180900,188568,198372,211096,220468,227004,231856,231696,236508,255980,287640,278572,325416,360532,387900,398432,398876,408628,473888,466568,460384,500716,467104,456840,464808,460108,521000,535252,525772,505200,491616,519260,542496,546408,566452,536056,620788,610744,618400,668812,679304,701644,707212,695396,697544,704656,666072,717268,722940,717524,730632,789244,737388,752092,756212,767384,753080,756356,761128,773912,814016,840676,861588,881128,907644,902696,891144,942828,908888,909672,927428,960320,980400,1009644,1028024,1026496,1052400,1070912,1074216,1084696,1129712,1137328,1153388,1153860,1154520,1167556,1215616,1233280,1245880,1318436,1368220,1374556,1417104,1411192,1458952,1574824,1654104,1727020,1740724,1771348,1744340,1801884,1736400,2200952,2027480,1790924,1658176
 "48000","Texas",6,SQINC6S,200,"B","   Mining","Thousands of dollars",792172,751952,749164,774912,803112,817952,796080,816104,796936,815728,787292,796716,806844,809260,826772,832416,847280,838488,840308,819848,827656,829336,832572,836952,826072,848592,846436,861472,859396,855072,844988,845216,880876,888180,883948,894184,904040,915756,941448,937216,924280,949760,972608,967320,1020108,1026004,1048020,1069684,1073492,1096440,1105484,1155268,1146428,1155920,1164328,1172340,1241396,1220680,1249860,1274276,1298844,1371832,1446568,1560676,1657792,1802104,1929396,1877992,2176600,2205736,2262392,2403980,2456784,2418740,2609148,2678032,2824164,3088256,3235464,3244964,3426208,4037740,4292456,4494500,4492448,4778332,5010140,5471768,5778168,6371228,6938404,7639380,8261484,8717412,9665652,10497976,10735928,10557940,10240056,9820576,9550308,9465068,9554688,9829392,9874576,10340684,10326184,10465424,10328496,10485968,10465304,10194600,9907992,8920892,8479500,7977640,8171520,7780344,8129108,8072844,8359356,8388752,8270084,8223136,8181104,8260828,8475216,8454212,8562824,8725276,9089404,9287384,9625228,9825220,9755352,9729180,9798108,9788568,9961616,10055260,9838772,9999096,9868292,10145204,10070876,9893436,9935496,10003564,9684348,9908008,9922956,9883016,9831116,10168624,10411416,10579384,11146288,11078988,11543664,11864032,12268204,11915192,11693368,11933536,11353968,11659236,10894008,11079424,12053752,12134808,12972248,12909448,13927260,13511584,13385804,13576684
