GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "49000","Utah",7,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",1160596,1163800,1185584,1233284,1267144,1287024,1267852,1283544,1349068,1372480,1394784,1404736,1437124,1467480,1496004,1540476,1567548,1606444,1636960,1647172,1682204,1689240,1727332,1738580,1754388,1791736,1756808,1792240,1826072,1825876,1860920,1896392,1952696,1982420,2015272,2060340,2074616,2103640,2124216,2133448,2149604,2266860,2335224,2382904,2400312,2451600,2514764,2572724,2679132,2699868,2771220,2834080,2924028,3012636,3077256,3194296,3309304,3357712,3421084,3538300,3654564,3748932,3880444,3951536,4068288,4229860,4367924,4463360,4568976,4625840,4807100,4901688,5102680,5270876,5432432,5611748,5826068,6030640,6159548,6430168,6658540,6977968,7212684,7473960,7657496,7885684,8226976,8452196,8626680,8915208,8965888,9381308,9812384,9913760,10368516,10572992,10707388,10763844,10977160,11059400,11018312,11362036,11638688,12109716,12337984,12657068,12994948,13193720,13408132,13619900,13834804,13999924,14323856,14252840,14241300,14356168,14548612,14852328,14909640,15214536,15288508,15746228,16153568,16456636,16643852,17037388,17308516,17754340,18062036,18611012,19072560,19347480,19698868,20159576,20470968,20820200,21586700,21918184,22440696,22445092,23284856,23452788,23758668,24208752,24841360,25549560,25957412,26509764,27126988,27512144,28011304,29070072,29239960,29974024,30618024,30972240,31874876,32272104,33094736,33332596,34050668,34695632,35335104,36058500,36285268,36971128,37643804,38325932,39405676,40014924,40285820,40757368,41588440,41804616,42086716,42264972
 "49000","Utah",7,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",1052888,1055228,1077272,1120892,1147660,1167124,1149400,1164124,1219556,1241224,1259848,1268040,1294768,1323224,1350060,1392860,1414952,1451656,1479024,1484936,1510840,1515116,1548020,1555700,1570936,1603572,1573412,1605944,1638172,1638948,1669864,1701384,1738436,1764264,1792392,1830912,1840972,1863776,1880652,1887492,1900504,2004552,2065312,2107944,2121948,2169136,2224840,2274824,2366124,2380512,2439344,2485928,2551444,2619884,2670164,2769880,2861528,2904812,2964356,3074204,3159900,3246704,3358120,3423420,3511816,3649284,3764100,3838720,3911472,3954076,4114484,4199840,4365048,4514020,4651200,4800532,4969116,5144488,5255204,5491468,5675004,5956144,6154912,6378576,6528448,6716620,7008968,7197080,7347220,7579864,7616156,7974432,8320340,8401140,8781784,8939168,9042532,9076896,9231928,9279196,9204476,9485680,9718172,10129920,10291748,10564560,10842016,10990924,11146404,11302188,11463120,11599232,11849532,11779168,11765044,11857592,12024936,12271812,12327976,12602852,12632040,13030604,13359800,13581040,13704268,13971948,14141036,14480692,14697080,15151800,15522024,15718340,15978712,16341520,16557448,16797920,17343608,17564976,17945024,17971748,18573980,18753776,18994756,19389232,19876816,20510592,20862440,21343316,21897988,22243792,22687552,23571620,23751608,24407648,24980580,25317996,26123952,26479152,27165108,27388608,28026064,28531624,29063380,29636816,29818092,30332424,30914120,31464852,32431032,32911996,33099256,33457008,34070296,34196588,34346944,34452364
 "49000","Utah",7,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",107708,108572,108312,112392,119484,119900,118452,119420,129512,131256,134936,136696,142356,144256,145944,147616,152596,154788,157936,162236,171364,174124,179312,182880,183452,188164,183396,186296,187900,186928,191056,195008,214260,218156,222880,229428,233644,239864,243564,245956,249100,262308,269912,274960,278364,282464,289924,297900,313008,319356,331876,348152,372584,392752,407092,424416,447776,452900,456728,464096,494664,502228,522324,528116,556472,580576,603824,624640,657504,671764,692616,701848,737632,756856,781232,811216,856952,886152,904344,938700,983536,1021824,1057772,1095384,1129048,1169064,1218008,1255116,1279460,1335344,1349732,1406876,1492044,1512620,1586732,1633824,1664856,1686948,1745232,1780204,1813836,1876356,1920516,1979796,2046236,2092508,2152932,2202796,2261728,2317712,2371684,2400692,2474324,2473672,2476256,2498576,2523676,2580516,2581664,2611684,2656468,2715624,2793768,2875596,2939584,3065440,3167480,3273648,3364956,3459212,3550536,3629140,3720156,3818056,3913520,4022280,4243092,4353208,4495672,4473344,4710876,4699012,4763912,4819520,4964544,5038968,5094972,5166448,5229000,5268352,5323752,5498452,5488352,5566376,5637444,5654244,5750924,5792952,5929628,5943988,6024604,6164008,6271724,6421684,6467176,6638704,6729684,6861080,6974644,7102928,7186564,7300360,7518144,7608028,7739772,7812608
 "49000","Utah",7,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",76880,77732,77424,81280,82760,83728,83600,84916,88560,90004,93088,94848,98612,99996,101908,103548,104476,106360,108228,111428,113548,114956,118232,121496,124260,128664,125468,126756,127932,126412,129392,132364,137936,141028,144648,149884,151616,156096,158804,160008,160968,169972,174912,178872,192468,194964,200244,206780,218276,223912,234548,249304,264212,282160,295892,309228,315224,319452,322716,326352,326536,330448,344480,345996,360680,377280,394796,412152,438420,450804,463328,469048,479808,492196,510404,534004,559308,580840,595800,619288,638536,660512,684076,705528,721136,745496,773844,797236,816808,859424,870368,906120,935636,951960,1001900,1038764,1056296,1077480,1123600,1153080,1170700,1216240,1245536,1279804,1292852,1321344,1362468,1403636,1450360,1495616,1537952,1558620,1601960,1611264,1618256,1636816,1652804,1692936,1688464,1699464,1705520,1732184,1780220,1839136,1904124,2000064,2077004,2145748,2201420,2250508,2301116,2353324,2418200,2482504,2557672,2649256,2810284,2902784,3016588,3025616,3144364,3138660,3179636,3214156,3281000,3316908,3341584,3373472,3398064,3414008,3441692,3553036,3556780,3601120,3641220,3642788,3691032,3714296,3801740,3804372,3822120,3928376,4001956,4121532,4165872,4309632,4363356,4464380,4510776,4598640,4660972,4735988,4893636,4961300,5073380,5131184
 "49000","Utah",7,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",30828,30840,30888,31112,36724,36172,34852,34504,40952,41252,41848,41848,43744,44260,44036,44068,48120,48428,49708,50808,57816,59168,61080,61384,59192,59500,57928,59540,59968,60516,61664,62644,76324,77128,78232,79544,82028,83768,84760,85948,88132,92336,95000,96088,85896,87500,89680,91120,94732,95444,97328,98848,108372,110592,111200,115188,132552,133448,134012,137744,168128,171780,177844,182120,195792,203296,209028,212488,219084,220960,229288,232800,257824,264660,270828,277212,297644,305312,308544,319412,345000,361312,373696,389856,407912,423568,444164,457880,462652,475920,479364,500756,556408,560660,584832,595060,608560,609468,621632,627124,643136,660116,674980,699992,753384,771164,790464,799160,811368,822096,833732,842072,872364,862408,858000,861760,870872,887580,893200,912220,950948,983440,1013548,1036460,1035460,1065376,1090476,1127900,1163536,1208704,1249420,1275816,1301956,1335552,1355848,1373024,1432808,1450424,1479084,1447728,1566512,1560352,1584276,1605364,1683544,1722060,1753388,1792976,1830936,1854344,1882060,1945416,1931572,1965256,1996224,2011456,2059892,2078656,2127888,2139616,2202484,2235632,2269768,2300152,2301304,2329072,2366328,2396700,2463868,2504288,2525592,2564372,2624508,2646728,2666392,2681424
 "49000","Utah",7,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",14868,15460,15444,15824,15136,14192,13884,14780,15044,15640,15856,16256,16324,16140,16316,16136,16516,16380,16236,16760,16980,17180,18720,17876,18380,19988,19964,19640,19440,20496,19764,19576,18496,18276,17952,18284,18120,17756,18776,18556,18684,17980,18648,18380,19856,20460,20760,21212,20000,20256,20356,19876,19716,19516,19816,19304,18496,17476,17576,18256,19612,21364,22936,24428,24756,25332,25068,24996,26912,26472,25640,26276,28596,30080,30040,29816,31140,30392,31124,32768,38540,41344,43540,44988,44848,45108,45708,46936,48932,50092,50224,49064,48260,47484,48044,49924,53080,55124,56040,55724,53652,52280,51248,50628,49608,49732,49992,50436,49508,49600,49168,48148,45800,44920,44344,44036,42744,43100,44112,45728,47676,49668,51200,52132,52552,53832,55708,58308,63484,65860,66376,65260,66772,64036,62492,62016,61856,63424,65876,68864,71080,72116,74460,77272,87156,91760,95064,96704,98580,97484,95460,93552,91424,90156,90508,92408,100184,104308,106924,107872,105592,104744,104156,104416,105248,105876,107824,110400,114992,118828,122252,125076,123560,125788,126628,126052
 "49000","Utah",7,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",1145728,1148340,1170140,1217460,1252008,1272832,1253968,1268764,1334024,1356840,1378928,1388480,1420800,1451340,1479688,1524340,1551032,1590064,1620724,1630412,1665224,1672060,1708612,1720704,1736008,1771748,1736844,1772600,1806632,1805380,1841156,1876816,1934200,1964144,1997320,2042056,2056496,2085884,2105440,2114892,2130920,2248880,2316576,2364524,2380456,2431140,2494004,2551512,2659132,2679612,2750864,2814204,2904312,2993120,3057440,3174992,3290808,3340236,3403508,3520044,3634952,3727568,3857508,3927108,4043532,4204528,4342856,4438364,4542064,4599368,4781460,4875412,5074084,5240796,5402392,5581932,5794928,6000248,6128424,6397400,6620000,6936624,7169144,7428972,7612648,7840576,8181268,8405260,8577748,8865116,8915664,9332244,9764124,9866276,10320472,10523068,10654308,10708720,10921120,11003676,10964660,11309756,11587440,12059088,12288376,12607336,12944956,13143284,13358624,13570300,13785636,13951776,14278056,14207920,14196956,14312132,14505868,14809228,14865528,15168808,15240832,15696560,16102368,16404504,16591300,16983556,17252808,17696032,17998552,18545152,19006184,19282220,19632096,20095540,20408476,20758184,21524844,21854760,22374820,22376228,23213776,23380672,23684208,24131480,24754204,25457800,25862348,26413060,27028408,27414660,27915844,28976520,29148536,29883868,30527516,30879832,31774692,32167796,32987812,33224724,33945076,34590888,35230948,35954084,36180020,36865252,37535980,38215532,39290684,39896096,40163568,40632292,41464880,41678828,41960088,42138920
 "49000","Utah",7,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",840128,836980,860956,892460,936748,946980,923124,925292,982580,1002496,1017220,1024944,1041896,1070748,1089560,1127312,1145280,1172808,1200292,1193068,1221360,1219572,1249980,1249580,1258064,1273968,1235532,1278284,1290516,1287016,1292956,1315880,1337576,1359324,1375400,1385496,1391816,1388192,1379608,1390184,1394536,1489892,1550588,1577444,1581192,1629808,1669264,1696032,1763252,1763672,1822324,1850272,1892888,1930912,1960776,2068384,2175652,2225128,2277928,2377812,2483060,2560224,2657224,2727008,2804576,2933212,3031808,3112244,3153708,3186204,3348592,3412852,3571596,3707460,3836600,3968564,4119092,4298296,4393520,4616916,4784348,5062316,5230400,5438328,5623464,5805616,6109668,6282528,6435736,6587484,6623928,6929564,7321112,7382452,7722760,7865020,7952396,8015540,8054588,8149108,8066256,8324428,8575548,8999788,9194104,9439992,9688096,9774144,9939460,10052796,10155932,10297036,10540344,10455676,10449144,10503804,10689912,10923040,11063380,11321956,11238116,11683128,12078200,12285740,12459216,12712604,12866144,13237696,13464628,13887884,14293852,14506340,14714976,15095828,15320616,15610772,16189080,16451872,16827924,16881980,17602024,17848964,18077212,18526880,19043644,19718112,20056028,20423284,20997388,21320136,21812184,22682424,22867524,23531360,24137052,24483652,25232712,25534936,26151860,26441180,27123324,27538544,28225304,28673236,28957368,29330760,30086336,30474608,31378548,31978320,31979036,32405752,33156676,33201548,33139608,33195084
 "49000","Utah",7,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",448,448,888,896,896,888,876,1292,1236,1216,1220,1248,1292,1364,1388,1436,1420,1416,1392,1796,1768,1716,1712,1716,2236,2292,2312,2284,2220,2124,2096,2088,2188,2228,2228,2640,2592,2552,2508,2492,2928,2940,2964,3404,3372,3300,3356,3308,3372,3864,3904,3868,4348,4268,4192,4556,4756,4652,5084,5116,5572,5704,6012,6000,6472,6528,7032,6996,7116,6808,7260,7760,7956,8364,8892,9436,9220,9060,9912,11020,11444,12968,13940,14776,14112,14856,15580,15812,18140,18128,18192,17320,17144,18124,18432,19232,20396,20100,19476,19956,21644,23360,25900,27676,28076,30040,31848,34164,34980,37200,37336,41632,31428,33936,35004,36668,37640,38068,35468,32636,36636,35172,35164,35812,36128,36532,37724,37276,39452,42004,41396,42176,43644,42504,46456,50040,49408,51444,52732,53788,55636,57984,59772,59268,64312,67012,66944,64608,73592,72560,77212,80956,87928,87500,89548,98744,95328,97340,97812,104092,102596,102436,109056,110224,112668,117376,123748,123768,134592,145136,142312,140288,188576,164188,148108,137480
 "49000","Utah",7,SQINC6S,200,"B","   Mining","Thousands of dollars",93372,84904,83924,92992,96400,96920,78724,64572,85512,90328,101444,96200,96348,94480,94656,100408,96472,93828,94700,91292,88584,89052,86720,91336,88496,89856,69092,94852,93664,92396,94720,98076,95856,96072,102540,99964,106200,100820,80356,73232,65368,102496,117956,113792,118900,113712,124684,124568,129908,121856,135020,136988,131340,129136,128908,134772,137004,143424,140432,148640,151472,154936,158992,170604,174976,189948,202040,193640,216748,206300,215356,223448,233680,238524,246600,273352,282964,301248,301596,300996,274596,359188,383912,387108,410612,420996,455652,456416,480120,515288,458228,572196,610644,570608,676384,706748,671832,674336,630232,564552,495520,466552,529876,518456,520024,504292,439792,410612,396976,370664,349860,349652,340996,314032,292832,316392,301212,327736,338212,338708,336488,348536,323520,326488,328704,327236,356940,368540,353040,398064,389332,384376,400476,379040,385384,370572,410228,399568,398500,422156,400368,410568,435808,425776,415372,408224,425112,434028,430060,436068,424356,427736,430152,435376,433904,455456,475680,490380,474280,479880,498668,490436,469504,475136,478180,498564,450580,489620,515616,525032,545864,524236,547652,544976,573304,555144
