GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "54000","West Virginia",5,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",2260688,2140012,2180636,2250052,2307280,2337384,2266976,2316636,2394944,2414452,2344208,2278288,2272384,2306628,2393804,2402144,2445964,2447992,2445208,2447464,2488600,2560828,2591136,2611972,2660536,2698452,2724932,2804416,2828696,2885916,2935992,2956536,3070088,3087768,3194684,3243552,3285636,3273120,3331876,3351952,3405816,3484356,3545500,3568488,3624900,3739864,3813864,3921124,4032456,4056224,4142344,4336852,4429060,4527892,4635996,4432560,4932304,4889780,5012080,5057140,5225936,5264616,5462132,5569532,5697016,5883560,6079388,6002624,6484676,6435376,6535144,6897676,7314484,7367508,7393592,7799708,8019812,8423792,8431840,8614080,7878100,9527228,9832924,10104276,10099880,10231028,10491844,10734160,11013328,11144576,11079180,11478060,11884060,10733228,12335408,12512996,12560356,12335752,12092952,11992808,11850608,11917880,12051392,12359036,12715608,12917024,13204388,12739792,13053588,13391336,13500256,13664056,13692632,13639816,13824000,13980116,13943148,14161360,14199716,14548548,14297640,14724220,14918036,15053892,15348552,15164692,15228904,15586648,16021888,16374108,16576724,16670680,16777528,16913780,17076044,17364328,17758568,18037124,18298352,18401800,18691776,18959176,18785352,18915192,19433920,19777564,19986156,20118712,20276188,20336012,20364188,20606204,20843216,20914676,21251544,21301108,21525848,21723464,21784892,22017444,22385752,22443184,22722624,22782328,22933232,23166056,23449592,23856068,24306460,24551408,24517124,24745264,25084612,25257008,25468296,25730992
 "54000","West Virginia",5,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",2052504,1943020,1981276,2044184,2082376,2110204,2048080,2090324,2147776,2165172,2101560,2043100,2036064,2068128,2146600,2153696,2182076,2184720,2181084,2181704,2211124,2276320,2305408,2327288,2377360,2414244,2438120,2507524,2529392,2579364,2622724,2641200,2722020,2741144,2831600,2874664,2908516,2895100,2945876,2962980,3008256,3080432,3134096,3158084,3198916,3297348,3363356,3457132,3554584,3573024,3651600,3813156,3883772,3972148,4065220,3894580,4297400,4261720,4368224,4413976,4529180,4570832,4744428,4833888,4922792,5081328,5251168,5196344,5601944,5564384,5665656,5985748,6327952,6379532,6401128,6739452,6901708,7245912,7252428,7409420,6782300,8167996,8428064,8658360,8643928,8749000,8965188,9164140,9395552,9491948,9421072,9762460,10055040,9120932,10427656,10578428,10610896,10415628,10186352,10065196,9876088,9911024,10009088,10270680,10525792,10702072,10940980,10556072,10788012,11041072,11106256,11214360,11218200,11134772,11244556,11341820,11302240,11459224,11499416,11820496,11634908,12021384,12186064,12276088,12476040,12287436,12311228,12595932,12934976,13239596,13399276,13450488,13504580,13583768,13675856,13861092,14121368,14297580,14456620,14534120,14668536,14884136,14750664,14876044,15249560,15569112,15755184,15891136,16049680,16112916,16142252,16329216,16513100,16570784,16836364,16876112,17073844,17225180,17280888,17469816,17746600,17787092,18009104,18063584,18190708,18356200,18533264,18813820,19121844,19252944,19216344,19405968,19716200,19882748,20057688,20278880
 "54000","West Virginia",5,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",208184,196992,199360,205868,224904,227180,218896,226312,247168,249280,242648,235188,236320,238500,247204,248448,263888,263272,264124,265760,277476,284508,285728,284684,283176,284208,286812,296892,299304,306552,313268,315336,348068,346624,363084,368888,377120,378020,386000,388972,397560,403924,411404,410404,425984,442516,450508,463992,477872,483200,490744,523696,545288,555744,570776,537980,634904,628060,643856,643164,696756,693784,717704,735644,774224,802232,828220,806280,882732,870992,869488,911928,986532,987976,992464,1060256,1118104,1177880,1179412,1204660,1095800,1359232,1404860,1445916,1455952,1482028,1526656,1570020,1617776,1652628,1658108,1715600,1829020,1612296,1907752,1934568,1949460,1920124,1906600,1927612,1974520,2006856,2042304,2088356,2189816,2214952,2263408,2183720,2265576,2350264,2394000,2449696,2474432,2505044,2579444,2638296,2640908,2702136,2700300,2728052,2662732,2702836,2731972,2777804,2872512,2877256,2917676,2990716,3086912,3134512,3177448,3220192,3272948,3330012,3400188,3503236,3637200,3739544,3841732,3867680,4023240,4075040,4034688,4039148,4184360,4208452,4230972,4227576,4226508,4223096,4221936,4276988,4330116,4343892,4415180,4424996,4452004,4498284,4504004,4547628,4639152,4656092,4713520,4718744,4742524,4809856,4916328,5042248,5184616,5298464,5300780,5339296,5368412,5374260,5410608,5452112
 "54000","West Virginia",5,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",138328,131176,132852,137780,142904,144384,138232,143552,148868,150324,146528,143112,143416,145320,151380,152784,155992,155792,157184,158936,160732,165600,168772,171708,178840,183780,188228,195996,196280,199364,203224,204088,211176,210316,222664,226348,230648,230416,234460,234116,235312,238012,242468,241356,251000,263292,268424,277912,286792,292600,296280,321252,324644,330980,344816,324436,377036,374980,387864,386468,382028,377604,390776,400444,416696,433472,448656,433624,480604,476240,472376,496124,518484,521344,526484,574712,603944,637644,641392,657884,568480,721080,747428,766852,768720,786008,810236,833876,865108,889808,898616,931240,969864,832736,1019320,1029208,1021520,1005464,1008544,1036576,1070564,1099668,1126544,1155180,1167052,1179140,1211228,1178924,1236736,1294576,1328452,1364544,1385956,1410504,1461368,1503748,1523272,1566024,1555224,1551712,1460724,1456584,1465932,1496628,1582024,1599368,1630820,1671512,1720256,1736836,1750256,1772088,1800744,1833540,1884376,1964676,2051796,2127268,2189780,2216112,2240372,2267156,2246760,2266768,2351132,2375432,2385812,2363280,2333708,2309460,2293676,2320764,2359188,2362012,2401080,2408616,2425996,2458660,2462780,2488444,2463280,2483956,2528700,2548176,2586232,2632996,2685240,2721328,2740884,2794340,2799844,2856616,2934692,3004092,3083132,3141404
 "54000","West Virginia",5,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",69856,65816,66508,68088,82000,82796,80664,82760,98300,98956,96120,92076,92904,93180,95824,95664,107896,107480,106940,106824,116744,118908,116956,112976,104336,100428,98584,100896,103024,107188,110044,111248,136892,136308,140420,142540,146472,147604,151540,154856,162248,165912,168936,169048,174984,179224,182084,186080,191080,190600,194464,202444,220644,224764,225960,213544,257868,253080,255992,256696,314728,316180,326928,335200,357528,368760,379564,372656,402128,394752,397112,415804,468048,466632,465980,485544,514160,540236,538020,546776,527320,638152,657432,679064,687232,696020,716420,736144,752668,762820,759492,784360,859156,779560,888432,905360,927940,914660,898056,891036,903956,907188,915760,933176,1022764,1035812,1052180,1004796,1028840,1055688,1065548,1085152,1088476,1094540,1118076,1134548,1117636,1136112,1145076,1176340,1202008,1246252,1266040,1281176,1290488,1277888,1286856,1319204,1366656,1397676,1427192,1448104,1472204,1496472,1515812,1538560,1585404,1612276,1651952,1651568,1782868,1807884,1787928,1772380,1833228,1833020,1845160,1864296,1892800,1913636,1928260,1956224,1970928,1981880,2014100,2016380,2026008,2039624,2041224,2059184,2175872,2172136,2184820,2170568,2156292,2176860,2231088,2320920,2443732,2504124,2500936,2482680,2433720,2370168,2327476,2310708
 "54000","West Virginia",5,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",10412,10548,10936,11528,11380,11404,11180,11900,11452,11592,11844,12536,12952,13172,13300,13196,12824,12784,12272,12332,12416,12180,12916,12080,11956,12800,12576,12408,12260,12912,12452,12200,11656,11376,11428,11576,11856,11972,12772,12608,12316,11888,11940,12056,11764,12140,12340,12644,12532,12784,12968,12720,12776,12720,13024,12764,11304,10948,11180,11540,14060,14784,15564,16644,13600,14224,14424,14788,10632,10308,10088,10428,13656,14788,15184,15148,14012,12688,12636,13424,16880,19288,21184,22336,21960,21680,21544,21704,22276,22672,22632,22120,22100,21704,21796,22404,23488,24300,24828,25048,24732,24504,24360,24288,24068,24180,24344,24528,24168,24232,24024,23592,22604,22252,22064,22044,21688,21952,22400,22976,23472,24092,24724,25248,25132,25724,26712,28072,29528,30744,31336,31264,29880,29448,29208,29212,28324,28644,29092,29476,29348,29372,29292,28972,27644,27052,26840,26992,27656,28272,28628,28716,26000,25884,26132,26752,25812,26608,27448,28208,29300,30092,30788,31308,32312,32992,33620,34236,32768,32736,33264,34172,38720,38240,37476,36496
 "54000","West Virginia",5,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",2250276,2129464,2169700,2238524,2295900,2325980,2255796,2304736,2383492,2402860,2332364,2265752,2259432,2293456,2380504,2388948,2433140,2435208,2432936,2435132,2476184,2548648,2578220,2599892,2648580,2685652,2712356,2792008,2816436,2873004,2923540,2944336,3058432,3076392,3183256,3231976,3273780,3261148,3319104,3339344,3393500,3472468,3533560,3556432,3613136,3727724,3801524,3908480,4019924,4043440,4129376,4324132,4416284,4515172,4622972,4419796,4921000,4878832,5000900,5045600,5211876,5249832,5446568,5552888,5683416,5869336,6064964,5987836,6474044,6425068,6525056,6887248,7300828,7352720,7378408,7784560,8005800,8411104,8419204,8600656,7861220,9507940,9811740,10081940,10077920,10209348,10470300,10712456,10991052,11121904,11056548,11455940,11861960,10711524,12313612,12490592,12536868,12311452,12068124,11967760,11825876,11893376,12027032,12334748,12691540,12892844,13180044,12715264,13029420,13367104,13476232,13640464,13670028,13617564,13801936,13958072,13921460,14139408,14177316,14525572,14274168,14700128,14893312,15028644,15323420,15138968,15202192,15558576,15992360,16343364,16545388,16639416,16747648,16884332,17046836,17335116,17730244,18008480,18269260,18372324,18662428,18929804,18756060,18886220,19406276,19750512,19959316,20091720,20248532,20307740,20335560,20577488,20817216,20888792,21225412,21274356,21500036,21696856,21757444,21989236,22356452,22413092,22691836,22751020,22900920,23133064,23415972,23821832,24273692,24518672,24483860,24711092,25045892,25218768,25430820,25694496
 "54000","West Virginia",5,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",1975860,1853532,1884224,1949520,2008184,2035588,1963536,2010504,2081352,2098308,2020052,1944604,1935852,1955788,2039756,2050384,2089736,2084612,2073188,2066588,2108608,2182244,2208848,2219160,2244268,2283012,2310048,2374268,2395680,2433904,2470500,2502276,2592808,2585288,2679232,2735716,2785320,2775324,2808032,2830656,2863052,2927288,2978324,2987892,3048232,3154916,3211788,3296936,3383072,3380160,3461452,3631520,3705348,3794992,3857316,3653388,4124060,4060636,4144040,4166156,4313968,4333928,4531092,4630248,4731440,4893252,5088676,4985224,5429092,5346748,5399916,5740528,6125364,6104840,6149852,6494080,6648752,7032004,7025460,7171560,6409348,8009992,8230036,8457912,8456392,8555540,8749468,8933008,9180404,9244832,9162904,9520608,9848116,8662024,10217756,10367376,10357868,10112348,9905400,9753628,9561032,9578304,9775752,10010112,10357884,10503876,10704244,10149624,10436212,10729256,10767576,10919124,10908288,10839584,10995756,11103820,11015932,11205420,11294740,11601576,11295656,11710376,11845036,11949916,12249940,12051764,12054224,12419704,12777340,12998300,13150936,13161748,13217532,13266700,13438616,13593320,13912836,14113172,14341552,14363488,14551672,14800068,14640204,14742832,15149464,15455524,15582472,15692872,15819396,15819284,15815960,16006780,16203080,16253044,16514236,16492916,16685852,16834016,16922768,17096876,17450240,17485756,17675688,17705964,17710248,17891208,18040976,18408064,18753984,18883176,18869764,19015560,19378096,19488632,19586464,19815860
 "54000","West Virginia",5,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1712,1700,1700,1696,1720,1708,1724,1712,1704,1712,1724,1748,1756,1780,2252,2280,2292,2756,2788,2792,2388,1896,1908,1892,1884,2332,2316,2312,2788,2808,2800,2796,2800,2752,2704,2688,3112,3100,3564,3620,3240,3292,3360,3424,3672,4004,4096,4472,4108,4228,3828,4672,4484,4392,4748,5096,4896,4396,4388,4872,5020,5088,4964,5396,5640,5640,6108,6052,5988,5680,6448,6676,7280,7648,8128,8300,8272,8256,8960,10216,10740,12060,12404,12756,13068,13908,14436,15048,15860,16700,17700,17172,17696,16800,16856,17816,18688,20048,20020,20744,19564,19488,20356,21676,22868,23380,23328,23900,22008,23032,24244,24988,26980,26432,24964,23232,28928,30424,29372,28868,28888,30280,32364,35184,35336,33408,35088,36160,35528,42188,46392,45032,44136,45540,43240,45592,47576,47136,47844,48128,49816,50248,49864,53068,56052,52960,53724,54484,55164,56500,56864,55408,52596,57040,57504,55920,57504,57096,59584,65364,70188,63920,66044,67116,67156,72056,73244,71588,75564,74296,74712,76464,88292,80756,73124,69340
 "54000","West Virginia",5,SQINC6S,200,"B","   Mining","Thousands of dollars",427044,373284,375504,393068,399908,413716,345112,373276,402660,385988,344904,318428,305968,309208,334468,337848,345044,333448,318076,316736,326056,348036,352192,352744,347872,352248,368584,387688,388004,390556,397908,399828,409200,379004,440292,441300,448404,439896,444956,424976,428628,425352,437928,404756,428592,470040,490588,531200,538536,548564,527624,652324,637332,632576,657856,452460,737564,676952,722648,706912,701676,683380,750900,776224,789080,843928,909320,721908,1108188,1077952,1043620,1211500,1320068,1220036,1147988,1367808,1361024,1392632,1295056,1334508,614236,1656660,1715424,1716736,1617468,1608352,1623292,1607636,1771644,1791888,1820880,1937140,2017628,953588,2303404,2463484,2415140,2224240,2122228,1920592,1788480,1703164,1806764,1920140,1996076,2042968,2092724,1649724,1752036,1860284,1831324,1865360,1861848,1756788,1773020,1720952,1714008,1738988,1713996,1809576,1601704,1584036,1598236,1600424,1631604,1652356,1529336,1746516,1727804,1807004,1846864,1792688,1802888,1754060,1774140,1718844,1695996,1684460,1678080,1804480,1510844,1634656,1418172,1390724,1631604,1616168,1655068,1680980,1671528,1663472,1657996,1657172,1628736,1651476,1638688,1616508,1612932,1670408,1613952,1630196,1567072,1567284,1564480,1502868,1513444,1428288,1390156,1399476,1403388,1410332,1442400,1464192,1493296,1568208,1607352,1656848
