GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "02000","Alaska *",8,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),260340,273248,292064,313572,345592,387240,407872,479496,398344,476656,450148,447936,446096,463076,458576,453380,455344,425428,418572,425280,422784,438080,448940,455556,468136,480560,496064,498992,469808,484980,479992,450132
 "02000","Alaska *",8,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),264,272,276,284,292,300,308,316,324,328,336,344,352,360,364,372,380,388,396,404,412,416,424,432,440,448,452,460,468,472,484,492
 "02000","Alaska *",8,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),260076,272976,291788,313288,345300,386940,407564,479180,398020,476328,449812,447592,445744,462716,458212,453008,454964,425040,418176,424876,422372,437664,448516,455124,467696,480112,495612,498532,469340,484508,479508,449640
 "02000","Alaska *",8,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),115712,118996,128244,140292,163612,196572,207892,270040,179656,249044,214476,205536,197216,208920,202312,197292,201728,174452,168252,173200,165820,176644,184300,189408,203524,217336,232788,234828,204384,218944,214444,186560
 "02000","Alaska *",8,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3420,3568,3788,4068,4388,4712,4996,5220,5448,5612,5540,5312,4804,4376,4340,4620,5332,6016,6368,6316,5768,5268,4992,4944,5180,5408,5540,5548,5404,5248,5108,4972
 "02000","Alaska *",8,SQINC7H,200,"B","   Mining","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10068,9732,9344,9256,8784,8660,8940,9616,10024,10112,9880,12384,11420,10440,10152,8788,7396,8816,8840,8148,7476,8576,7816,7732,7592,7800,8088,8120,8584,8708,9872,9236
 "02000","Alaska *",8,SQINC7H,300,"C","   Construction","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42908,45112,52556,59824,77232,102880,107756,154132,75856,138324,96256,89164,80912,95472,95776,94640,98560,76820,74628,63592,64924,68084,75068,76724,89656,99128,106496,109920,84076,87284,78208,56832
 "02000","Alaska *",8,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),22800,23484,23708,24808,25624,25576,25936,28864,28500,29640,31992,29068,29360,29144,23892,23604,23932,16204,14856,33008,23744,24512,26348,27796,27128,29568,35152,28952,26344,32996,31052,28008
 "02000","Alaska *",8,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10464,10944,11404,12788,14620,15028,16872,18280,18764,19736,19820,20880,20976,21080,22644,21300,21328,22344,21452,20076,22184,22796,23776,23644,24808,25976,25400,27416,25756,26524,29732,30388
 "02000","Alaska *",8,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),16492,16140,17572,18596,19972,23484,23392,31952,26176,26880,27656,28488,29732,29152,28148,28168,27740,27680,27268,26512,25848,27332,27984,29636,29708,30164,31872,33056,32640,34748,36108,33704
 "02000","Alaska *",8,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1220,1640,1604,1536,2164,2032,1952,2252,2632,2700,3120,3548,3588,4352,4764,3696,3696,4076,4100,4128,3808,4624,4224,4544,4400,4280,4252,4668,5192,5352,5884,5572
 "02000","Alaska *",8,SQINC7H,800,"I","   Services","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),8340,8376,8268,9416,10828,14200,18048,19724,12256,16040,20212,16692,16424,14904,12596,12476,13744,12496,10740,11420,12068,15452,14092,14388,15052,15012,15988,17148,16388,18084,18480,17848
 "02000","Alaska *",8,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),144364,153980,163544,172996,181688,190368,199672,209140,218364,227284,235336,242056,248528,253796,255900,255716,253236,250588,249924,251676,256552,261020,264216,265716,264172,262776,262824,263704,264956,265564,265064,263080
 "02000","Alaska *",8,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),60768,63144,65068,66628,67696,68748,70256,72236,74456,76780,79392,81992,84984,87576,88596,88256,86252,84368,83772,84588,87176,89656,91452,92316,91920,91496,91320,91432,91860,92216,92420,92396
 "02000","Alaska *",8,SQINC7H,920,"...","   Military","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),73412,80428,87552,94712,101308,107916,115008,122180,129388,136160,141488,145160,147596,149256,149708,149624,149424,148896,148688,149040,150396,151296,151316,150464,147624,145036,144304,144780,145932,146592,146156,144060
 "02000","Alaska *",8,SQINC7H,930,"...","   State and local","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10184,10408,10924,11656,12684,13704,14408,14724,14520,14344,14456,14904,15948,16964,17596,17836,17560,17324,17464,18048,18980,20068,21448,22936,24628,26244,27200,27492,27164,26756,26488,26624
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
