GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "01000","Alabama",5,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",1512400,1526496,1585012,1597456,1539016,1520528,1505152,1494472,1559176,1633236,1722688,1803044,1951076,2023384,2060948,2103764,2160980,2176292,2221708,2302864,2310908,2341448,2341872,2324704,2261592,2255500,2260440,2306256,2400048,2461880,2515076,2572612,2706252,2755952,2785116,2847420,2921652,2939704,2966720,2958044
 "01000","Alabama",5,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",34312,33588,37216,39588,33708,32888,33804,34916,32388,31884,32340,31796,35520,36264,36656,35916,37172,37228,36864,34456,38276,38340,38224,36280,36280,35152,33800,33592,37020,36556,37368,37420,36132,36924,36756,36416,32568,31984,32820,33216
 "01000","Alabama",5,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",1478088,1492908,1547796,1557868,1505308,1487640,1471348,1459556,1526788,1601352,1690348,1771248,1915556,1987120,2024292,2067848,2123808,2139064,2184844,2268408,2272632,2303108,2303648,2288424,2225312,2220348,2226640,2272664,2363028,2425324,2477708,2535192,2670120,2719028,2748360,2811004,2889084,2907720,2933900,2924828
 "01000","Alabama",5,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",1239172,1249620,1296268,1297572,1240724,1218292,1196616,1183012,1233596,1300288,1373928,1434068,1475832,1516916,1526152,1546632,1585504,1587772,1623468,1701488,1696376,1728072,1730596,1714860,1688004,1680132,1680692,1721172,1793556,1848592,1893552,1941372,2041400,2080880,2100884,2156524,2227620,2237548,2252804,2230456
 "01000","Alabama",5,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",4428,4608,4724,4788,4604,4544,4604,4716,4904,5080,5256,5420,5672,5844,5968,6136,6516,6576,6700,6700,6940,7072,7192,7316,7524,7648,7652,7588,7868,7808,7808,7932,8024,8152,8212,8216,8144,8080,8144,8272
 "01000","Alabama",5,SQINC7H,200,"B","   Mining","Thousands of dollars",89236,83580,94144,93080,75468,72076,61180,56176,55508,68852,72152,74092,66472,67232,69564,71144,64176,58140,60264,63780,65600,65600,66908,64428,54920,53144,52288,53392,58276,61004,61780,63668,62448,65320,63608,66052,69760,70736,72156,68796
 "01000","Alabama",5,SQINC7H,300,"C","   Construction","Thousands of dollars",57436,60952,63464,63680,69628,66112,65152,65576,63568,68376,75048,79676,97208,101732,103500,105680,120508,120472,124480,127168,99224,97900,98424,100656,99196,100124,99152,101300,112852,117764,119356,118288,150340,158164,161464,162340,173116,174440,173012,173068
 "01000","Alabama",5,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",523624,526984,544640,544948,504340,483416,482192,470968,499700,533280,573152,611264,612984,634812,634520,639188,648040,649500,663336,720512,733748,746916,740264,719388,723260,714828,708348,731520,770080,796156,811876,838784,857616,869208,877080,912432,964652,959888,960628,939676
 "01000","Alabama",5,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",152744,150412,158280,158320,151452,157928,149828,145244,148408,152748,161856,165124,176916,186776,182784,185128,190736,189408,196160,199620,198084,206212,207024,205892,196136,194588,195384,197340,189004,195296,201712,206188,215116,217172,214260,220336,226036,229008,231296,229524
 "01000","Alabama",5,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",224936,230472,236120,237012,239188,238156,235964,236272,249732,257076,268640,273580,284664,287836,289788,293692,304256,309624,313756,320380,318748,324468,328104,331896,327988,326860,328228,331424,344176,352356,362828,370512,393440,399356,404128,408568,407688,411932,419364,419992
 "01000","Alabama",5,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",44216,45592,46792,46904,50452,50644,50680,51968,54756,56776,58680,60932,62804,63572,64460,66356,69412,70616,72312,73932,73784,75528,76824,78080,79320,81132,83520,85092,89280,90852,93012,94416,103708,105872,107280,109488,109272,110788,112448,114316
 "01000","Alabama",5,SQINC7H,800,"I","   Services","Thousands of dollars",142552,147020,148104,148840,145592,145416,147016,152092,157020,158100,159144,163980,169112,169112,175568,179308,181860,183436,186460,189396,200248,204376,205856,207204,199660,201808,206120,213516,222020,227356,235180,241584,250708,257636,264852,269092,268952,272676,275756,276812
 "01000","Alabama",5,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",238916,243288,251528,260296,264584,269348,274732,276544,293192,301064,316420,337180,439724,470204,498140,521216,538304,551292,561376,566920,576256,575036,573052,573564,537308,540216,545948,551492,569472,576732,584156,593820,628720,638148,647476,654480,661464,670172,681096,694372
 "01000","Alabama",5,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",93560,94220,95932,98552,102120,104484,105592,105532,116084,118280,123904,132896,167032,178400,187824,195480,213120,217492,219624,219628,221196,218844,216576,214312,218368,217528,218652,221732,225144,229688,233860,237660,256572,259632,261904,263384,268096,270800,275308,281616
 "01000","Alabama",5,SQINC7H,920,"...","   Military","Thousands of dollars",36140,36580,37256,38228,38652,39700,40468,41036,46772,50280,56804,66240,131036,147556,161092,172008,167808,173520,176796,177804,182548,180988,179512,177944,137988,136828,135872,134992,141760,141472,141552,142124,145096,145676,145820,145460,144704,144268,144192,144560
 "01000","Alabama",5,SQINC7H,930,"...","   State and local","Thousands of dollars",109216,112488,118340,123516,123812,125164,128672,129976,130336,132504,135712,138044,141656,144248,149224,153728,157376,160280,164956,169488,172512,175204,176964,181308,180952,185860,191424,194768,202568,205572,208744,214036,227052,232840,239752,245636,248664,255104,261596,268196
"Note: See the included footnote file."
"SQINC7H: Wages and Salaries by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1948:Q1-1957:Q4. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
