GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "04000","Arizona",6,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",510392,514992,538376,545320,530348,527560,519080,517584,525400,549648,576372,598084,664680,686272,700956,715696,824844,826808,843996,863084,900656,911196,914836,911188,938960,936140,937364,952680,1034580,1059296,1081612,1101976,1196404,1222324,1232520,1254940,1340760,1351416,1366608,1364800
 "04000","Arizona",6,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",41344,40472,44852,47712,40960,39964,41072,42420,37484,36908,37436,36796,40708,41556,42008,41164,51972,52044,51544,48180,53840,53912,53764,51028,57952,56148,53992,53648,56448,55736,56976,57076,60124,61460,61172,60600,60372,59280,60824,61556
 "04000","Arizona",6,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",469048,474520,493524,497608,489388,487596,478008,475164,487916,512740,538936,561288,623972,644716,658948,674532,772872,774764,792452,814904,846816,857284,861072,860160,881008,879992,883372,899032,978132,1003560,1024636,1044900,1136280,1160864,1171348,1194340,1280388,1292136,1305784,1303244
 "04000","Arizona",6,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",368764,372372,387912,388304,375348,371480,359520,355800,371444,392900,412704,426548,475328,486752,492060,500216,576952,574076,587732,607716,643044,653380,657448,655580,660168,657580,658396,671976,722364,745140,763372,779560,853800,874192,880460,900308,970164,977928,986744,978444
 "04000","Arizona",6,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1720,1784,1832,1864,1796,1768,1796,1844,1824,1888,1952,2020,2656,2744,2796,2888,3204,3236,3292,3292,3852,3928,3992,4060,3764,3824,3824,3796,3812,3780,3780,3840,4340,4408,4440,4436,4588,4552,4588,4668
 "04000","Arizona",6,SQINC7H,200,"B","   Mining","Thousands of dollars",46676,43716,49252,48688,52816,50448,42816,39316,39136,48552,50876,52248,53540,54148,56028,57304,65964,59760,61940,65548,69432,69432,70820,68192,75052,72632,71456,72968,76680,80268,81292,83768,92728,96988,94452,98080,96788,98140,100100,95448
 "04000","Arizona",6,SQINC7H,300,"C","   Construction","Thousands of dollars",41836,44396,46228,46384,36704,34836,34332,34552,39188,42152,46268,49116,52776,55232,56192,57380,66724,66696,68924,70408,81356,80272,80700,82532,85624,86432,85592,87444,93560,97628,98940,98064,105380,110864,113176,113788,126548,127508,126472,126508
 "04000","Arizona",6,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",46520,46816,48384,48412,46640,44700,44588,43552,45860,48940,52604,56100,66832,69220,69184,69688,91696,91900,93856,101952,123016,125220,124108,120608,118212,116832,115772,119560,138648,143348,146180,151024,177292,179684,181316,188628,209088,208060,208224,203676
 "04000","Arizona",6,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",63524,62552,65820,65844,64832,67608,64140,62172,63556,65412,69308,70708,76748,81020,79288,80300,88648,88036,91176,92788,94552,98428,98820,98272,94876,94124,94508,95452,96748,99964,103252,105544,112648,113728,112200,115380,118768,120328,121536,120600
 "04000","Arizona",6,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",97892,100304,102756,103144,99820,99400,98484,98616,101928,104928,109648,111664,121912,123272,124104,125788,139160,141620,143508,146544,155100,157884,159656,161500,163216,162656,163332,164928,178184,182412,187836,191816,205372,208456,210956,213264,231492,233908,238124,238488
