GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948:Q1,1948:Q2,1948:Q3,1948:Q4,1949:Q1,1949:Q2,1949:Q3,1949:Q4,1950:Q1,1950:Q2,1950:Q3,1950:Q4,1951:Q1,1951:Q2,1951:Q3,1951:Q4,1952:Q1,1952:Q2,1952:Q3,1952:Q4,1953:Q1,1953:Q2,1953:Q3,1953:Q4,1954:Q1,1954:Q2,1954:Q3,1954:Q4,1955:Q1,1955:Q2,1955:Q3,1955:Q4,1956:Q1,1956:Q2,1956:Q3,1956:Q4,1957:Q1,1957:Q2,1957:Q3,1957:Q4
 "06000","California",8,SQINC7H,50,"...","Wages and salaries by place of work (thousands of dollars, seasonally adjusted)","Thousands of dollars",10940456,11119028,11497304,11613068,11359176,11272344,11219728,11217416,11546232,11996576,12628104,13187488,14233192,14713504,14975248,15273908,16302908,16450000,16786296,17338128,17878780,18126504,18154772,18083304,18210504,18188904,18242792,18601820,19381232,19872364,20316592,20759424,21788380,22201740,22459240,22941928,23604756,23761196,23987100,23937888
 "06000","California",8,SQINC7H,81,"[01-02]"," Farm wages and salaries","Thousands of dollars",399816,391360,433652,461292,396092,386460,397240,410236,411404,405028,410816,403852,429424,438436,443240,434236,457812,458452,454032,424384,458176,458836,457516,434280,452312,438180,421420,418732,435008,429532,439088,439768,455464,465536,463372,459068,462812,454412,466276,471880
 "06000","California",8,SQINC7H,82,"..."," Nonfarm wages and salaries","Thousands of dollars",10540640,10727668,11063652,11151776,10963084,10885884,10822488,10807180,11134828,11591548,12217288,12783636,13803768,14275068,14532008,14839672,15845096,15991548,16332264,16913744,17420604,17667668,17697256,17649024,17758192,17750724,17821372,18183088,18946224,19442832,19877504,20319656,21332916,21736204,21995868,22482860,23141944,23306784,23520824,23466008
 "06000","California",8,SQINC7H,90,"...","  Private nonfarm wages and salaries","Thousands of dollars",8686856,8839864,9112928,9133832,8939800,8825656,8719820,8688464,8939924,9329244,9827152,10221832,10958800,11245172,11327124,11489304,12258648,12317752,12585632,13122788,13634180,13880296,13915852,13852152,14018448,13980380,14003916,14328816,15004044,15454884,15841356,16214364,17075240,17409700,17597572,18029212,18655948,18755136,18892516,18748948
 "06000","California",8,SQINC7H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",48156,50068,51352,52000,51708,51056,51708,53004,54448,56380,58328,60280,60756,62648,63928,65808,67048,67660,68924,68932,69664,70924,72188,73444,76808,78120,78112,77464,72268,71672,71672,72892,77500,78776,79408,79412,77560,76940,77560,78812
 "06000","California",8,SQINC7H,200,"B","   Mining","Thousands of dollars",141276,132320,149048,147356,161280,154028,130744,120056,112268,139272,145928,149864,155580,157344,162800,166508,184896,167512,173636,183752,194900,194900,198784,191420,196540,190192,187128,191068,194060,203152,205740,212020,208680,218272,212556,220724,217808,220832,225264,214784
 "06000","California",8,SQINC7H,300,"C","   Construction","Thousands of dollars",773280,820616,854500,857264,767740,728900,718340,722984,781336,840424,922452,979320,986992,1032932,1050884,1073024,1074008,1073612,1109356,1133332,1257404,1240592,1247244,1275560,1238772,1250460,1238348,1265200,1337056,1395264,1414080,1401528,1487332,1564764,1597376,1605976,1580868,1592952,1579980,1580428
 "06000","California",8,SQINC7H,400,"D","   Manufacturing","Thousands of dollars",2449584,2465292,2547884,2549372,2561072,2454816,2448624,2391636,2552392,2723880,2927564,3122240,3555376,3681988,3680264,3707360,4205448,4214944,4304712,4675732,4865052,4952324,4908280,4769828,5015848,4957368,4912472,5073152,5377916,5560040,5669796,5857704,6258748,6343332,6400800,6658732,7044184,7009320,7014732,6861732
 "06000","California",8,SQINC7H,500,"E","   Transportation and public utilities","Thousands of dollars",1129352,1112108,1170252,1170584,1142596,1191520,1130372,1095736,1110104,1142508,1210692,1235080,1315540,1388876,1359200,1376592,1454272,1444184,1495660,1522084,1542704,1605972,1612332,1603496,1589620,1577048,1583516,1599316,1652260,1707284,1763388,1802540,1891044,1909080,1883524,1936900,1992564,2018788,2038916,2023340
 "06000","California",8,SQINC7H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",2303576,2360260,2418132,2427240,2351200,2341164,2319580,2322664,2338100,2406852,2515124,2561456,2690572,2720560,2739008,2775908,2887632,2938640,2977788,3040664,3137832,3194140,3229932,3267340,3224416,3213332,3226796,3258076,3377760,3457988,3560792,3636188,3800484,3857704,3903784,3946592,4056092,4098284,4172240,4178508
 "06000","California",8,SQINC7H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",433424,446928,458688,459744,456524,458268,458628,470160,496344,514648,531872,552328,562504,569344,577280,594200,597388,607724,622364,636284,656356,671816,683312,694476,708052,724252,745496,759544,816048,830444,850140,863028,927792,947124,959748,979480,986564,1000316,1015200,1032096
 "06000","California",8,SQINC7H,800,"I","   Services","Thousands of dollars",1408208,1452272,1463072,1470272,1447680,1445904,1461824,1512224,1494932,1505280,1515192,1561264,1631480,1631480,1693760,1729904,1787956,1803476,1833192,1862008,1910268,1949628,1963780,1976588,1968392,1989608,2032048,2104996,2176676,2229040,2305748,2368464,2423660,2490648,2560376,2601396,2700308,2737704,2768624,2779248
 "06000","California",8,SQINC7H,900,"...","  Government and government enterprises","Thousands of dollars",1853784,1887804,1950724,2017944,2023284,2060228,2102668,2118716,2194904,2262304,2390136,2561804,2844968,3029896,3204884,3350368,3586448,3673796,3746632,3790956,3786424,3787372,3781404,3796872,3739744,3770344,3817456,3854272,3942180,3987948,4036148,4105292,4257676,4326504,4398296,4453648,4485996,4551648,4628308,4717060
 "06000","California",8,SQINC7H,910,"...","   Federal civilian","Thousands of dollars",587672,591788,602500,618996,637748,652504,659480,659068,669656,682312,714780,766652,886908,947260,997312,1038004,1081044,1103164,1114000,1114004,1054156,1042928,1032156,1021364,1003068,999212,1004348,1018512,1056296,1077592,1097172,1114988,1147784,1161460,1171600,1178212,1154912,1166572,1185968,1213132
